provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262191832727590,11.848309,4.908203,4.7225714,148.47528298749447,2.522511679920058,2025051500122,23,60811.04208450287,i,148.4752931896768,2.522543820698944,10.548286437988281,4824.23,452.231,False,5247.88,2.70376,4549.51,450.047,False,-63.3472,12.6493,22.1914299917698,0.10177863785166742,22.100040284894973,0.000559382090934971,22.255088496024463,0.10740329040590312,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262191966945315,11.848317,4.908203,4.7225785,148.47531992729054,2.522511838486048,2025051500123,23,60811.04255635306,i,148.47531890196836,2.522551696039162,13.056577682495117,4824.79,365.979,False,5245.6,8.85086,4761.73,365.323,False,-60.6753,13.2915,22.1913039528785,0.08235729461909237,22.100512053140925,0.0018319541287329351,22.205588088538093,0.08329838252845019,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262192371171361,11.848345,4.908203,4.7226005,148.4754317797278,2.5225123161304897,2025051500126,26,60811.043985125616,i,148.47545283049885,2.522505383330776,12.705821990966797,4556.22,355.848,False,4672.46,8.55213,4552.01,354.409,False,-96.2209,13.9644,22.253488233552027,0.0847977117051253,22.226136028681495,0.00198725231892564,22.25449203725275,0.08453292033486628,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262192639606796,11.848364,4.908203,4.722615,148.47550630904897,2.5225126323203764,2025051500128,26,60811.0449378077,i,148.47557902350894,2.5225222782838004,8.810348510742188,4532.36,506.951,False,5720.85,49.8631,4420.66,510.695,False,-174.068,11.6821,22.259189037603768,0.12144116070839378,22.006348579551755,0.009463308776278741,22.28628217684884,0.1254292434710661,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262192773824541,11.848373,4.908203,4.722622,148.47554357770653,2.522512789811334,2025051500129,26,60811.04541385244,i,148.47555099885227,2.522516549024708,14.787449836730957,5491.77,362.821,False,5391.51,8.00095,5384.24,361.429,False,-145.718,12.8525,22.05071914533066,0.07173059137305965,22.070724009543802,0.0016112223315310939,22.072188927432045,0.07288243429498661,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262193330094117,11.84841,4.908203,4.722651,148.47569275760117,2.522513416081838,2025051500133,63,60811.04731837158,i,148.47571709894092,2.522485756104497,9.823948860168457,5390.42,544.073,False,5747.85,15.6729,5226.97,542.091,False,-182.832,17.4987,22.07094350324395,0.10958696364518401,22.001236416675788,0.00296052174142822,22.104374936653393,0.11260210112028457,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262193464836184,11.848419,4.908203,4.722658,148.4757298047599,2.522513570584391,2025051500134,64,60811.04779119583,i,148.47573285016895,2.522529673393953,10.673140525817871,4505.46,416.932,False,4818.5,9.94229,4271.89,413.116,False,-169.479,12.9262,22.265652163599054,0.10047324328014838,22.19272034170023,0.002240262435102027,22.323449812251148,0.10499684699138467,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262194135924788,11.848466,4.9082036,4.722695,148.4759175103631,2.5225143471470317,2025051500139,64,60811.0501876124,i,148.475900150623,2.5225311084813833,11.823081970214844,5430.38,454.157,False,5169.47,2.84029,5238.86,456.785,False,-168.373,13.1787,22.062924470577386,0.09080298657444699,22.11638490655885,0.0005965419341624521,22.101908046358496,0.0946671659882691,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262194269618201,11.8484745,4.9082036,4.722702,148.4759546524079,2.5225144995736546,2025051500140,63,60811.050661436646,i,148.47595759935737,2.522519260431219,10.156693458557129,6085.09,597.734,False,5810.37,13.8556,5976.39,600.788,False,-135.265,12.2807,21.939332513035566,0.10665108828657122,21.989490506058353,0.0025890823894015196,21.958902649177375,0.10914570419590071,nan,nan
2023 YO6,nan,Not a NEA or MBO,Not a NEA or MBO,21165819374351951,745262194403835984,11.848484,4.9082036,4.722709,148.4759918756074,2.5225146519248183,2025051500141,63,60811.051136607966,i,148.47600816848657,2.5225155059624482,8.998310089111328,4847.75,540.217,False,5092.14,4.35425,4787.92,539.684,False,-124.089,13.2875,22.186149462420026,0.12099079647050538,22.132749132456496,0.0009284046968340806,22.199632804487496,0.12238184645649619,nan,nan
