provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745262194001707089,29.31113,2.0589972,1.7171708,148.42576161539705,2.8467971468946898,2025051500138,64,60811.04971380338,i,148.4257426298174,2.8467799677498866,10.97565746307373,5614.69,503.868,False,5350.73,4.04079,5925.39,504.193,False,383.876,19.369,22.02668555418499,0.09743507623511796,22.078967411833325,0.000819931505198312,21.96820762441443,0.09238557702239854,24.939522577992197,0.054782334917573186
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745262194271715341,29.311163,2.0589976,1.7171822,148.42597900407813,2.846666834213507,2025051500140,67,60811.050661436646,i,148.4259424415713,2.8466472376514007,8.570930480957031,5417.94,627.133,False,5884.43,9.4462,5712.67,621.52,False,226.69,20.2932,22.06541453372244,0.12567525773468569,21.975738965227038,0.00174291841921689,22.007902171885043,0.11812458910028784,25.511419082130462,0.09719467648675276
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745262194405933123,29.31118,2.0589979,1.7171879,148.426087938269,2.8466015394224247,2025051500141,67,60811.051136607966,i,148.4260888144855,2.8465622610829007,7.9082231521606445,4505.36,556.514,False,4154.26,14.3634,4623.5,553.366,False,120.401,21.1603,22.26567628563268,0.13411301020866948,22.353765876356956,0.003753945295171977,22.23757284508799,0.1299469083811898,26.198424756184053,0.1908165452814317
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745262194809110559,29.311232,2.0589986,1.7172052,148.4264170769464,2.846404276605215,2025051500144,68,60811.0525717431,i,148.4263939457631,2.8464154821911527,10.594337463378906,5599.22,525.945,False,5382.65,3.32356,6015.29,523.612,False,-24.4891,22.7721,22.029681128900176,0.10198518976800398,22.072509666485665,0.0006703964563132446,21.95185856863762,0.09450990748972629,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745262195211763747,29.311281,2.0589993,1.7172228,148.42675224590457,2.8462034337073328,2025051500147,68,60811.05403220598,i,148.42671047799803,2.8461843860967018,8.78576374053955,5138.54,577.612,False,5143.35,5.57682,5873.13,572.822,False,-31.7799,19.6221,22.122900637844456,0.12204522206798361,22.121884782768436,0.0011772395723207065,21.97782598683989,0.1058947477780784,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745262196149190668,29.31157,2.0590034,1.7173214,148.42863217310273,2.8450775864850617,2025051500154,64,60811.06222199426,z,148.4286675491917,2.845038407064571,6.224026679992676,5859.22,936.255,False,6949.01,33.1418,4954.71,901.063,False,-563.632,57.3124,21.98040044755067,0.1734916795091609,21.79519269498684,0.005178184127662528,22.162454407967502,0.19745186234057424,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745262198298771596,29.311832,2.059007,1.7174134,148.43038558932278,2.844028564987904,2025051500170,68,60811.069850944616,z,148.43040088289962,2.8439896691255586,5.611678123474121,5779.49,1044.02,False,5619.99,30.1266,6167.48,1027.56,False,-908.173,54.7277,21.99527616439903,0.19612981209924107,22.025661097714682,0.005820213073407597,21.924730628870417,0.18089384346794835,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745262199907287127,29.31204,2.0590098,1.7174857,148.43176329972562,2.8432050799278032,2025051500182,64,60811.075838666715,z,148.43176659179477,2.8431807960879714,5.455358028411865,6353.76,1115.77,False,6129.31,49.9474,5664.52,1094.29,False,-141.151,65.0224,21.892423024463,0.1906637882254899,21.93147102194588,0.008847602594866643,22.017092209956147,0.2097459819754794,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745279802829176837,29.39068,2.0608933,1.7650665,149.4106650474992,2.287245085363004,2025051900262,61,60815.07093486421,y,149.41058366318316,2.2872048432564025,5.349305152893066,8498.94,1553.62,False,8022.19,9.48954,8513.83,1541.74,False,215.077,396.792,21.576588036956423,0.19847432642811239,21.63926764860344,0.0012843297563924323,21.574687554668138,0.19661220747425978,25.568515095717082,2.003056765667838
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745279805513531427,29.390837,2.0608978,1.7651882,149.4131729497523,2.28581937485443,2025051900282,61,60815.0810264781,y,149.4130903586856,2.2859326923329286,5.03179407119751,8147.62,1608.44,False,7794.72,86.0782,8316.05,1600.75,False,-475.113,109.395,21.6224230704534,0.21433761668390527,21.67049867210837,0.011989938959876819,21.600207295875414,0.20899252296287632,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284180469874706,29.398205,2.0613174,1.7760816,149.6480799819001,2.1561872815734424,2025052000110,52,60815.997173178526,g,149.6480812924918,2.15616442514846,11.848031044006348,2412.38,201.256,False,2656.11,7.95845,2528.65,200.795,False,22.0833,21.8432,22.94388575457744,0.09057898534271162,22.839384813796034,0.0032531697769182686,22.892778239020643,0.08621612625943084,28.039840086980277,1.0739316225375457
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284180873052202,29.39823,2.0613182,1.7761035,149.64853889517525,2.155927202356241,2025052000113,53,60815.999004494544,g,149.64853095343722,2.155908729352591,18.66839027404785,2773.28,145.076,False,2904.24,1.25809,2698.99,143.376,False,-29.775,8.81502,22.792515689345816,0.05679710247476129,22.742418747023493,0.00047033092558179597,22.821996815279732,0.05767658359006391,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284181027192837,29.398237,2.0613184,1.7761098,149.64867249535507,2.1558514923437024,2025052000114,91,60815.99953748862,g,149.64865662140076,2.1558258586599095,21.188146591186523,2597.96,124.476,False,2802.36,1.30914,2581.74,124.045,False,-23.0213,8.26648,22.863418866103878,0.052020854671520296,22.781190144951236,0.0005072084260209893,22.870218745309984,0.05216642498493943,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284181141487622,29.398247,2.0613189,1.776119,149.64886425742628,2.155742826548595,2025052000115,53,60816.000302056374,g,149.648835436437,2.155729779450166,20.39055061340332,2768.15,132.883,False,2884.72,1.74863,2820.41,131.515,False,14.0122,15.4957,22.794525988574712,0.05211996619237153,22.749740847155376,0.0006581404676600909,22.774219419246066,0.05062760405606857,28.533734153714345,1.2006852566781179
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284181275181140,29.398254,2.061319,1.7761254,149.6489978707903,2.15566711472184,2025052000116,52,60816.00083512574,g,149.6489667250814,2.1556471543908042,19.98910903930664,2519.69,125.061,False,2614.55,4.60045,2542.18,123.632,False,11.8687,12.0966,22.896632244297166,0.05388887339858147,22.856507600763052,0.0019104148217259042,22.886984284973174,0.052801826064550014,28.71399211622255,1.1065842162017914
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284181409398855,29.398264,2.0613194,1.7761338,149.64917410834025,2.155567253580759,2025052000117,52,60816.00153897185,g,149.64917345228403,2.1555391833981146,19.44499969482422,2580.86,131.917,False,2702.1,1.78725,2587.12,130.642,False,15.7834,13.1824,22.87058883813788,0.055495867674462636,22.820746417101997,0.0007181384876142849,22.86795851748127,0.05482650243572953,28.404498621217996,0.9068140611677507
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284181544140847,29.39827,2.0613196,1.7761402,149.64930773438323,2.1554915400922368,2025052000118,53,60816.002071902825,g,149.64929333626947,2.1554835023776504,18.61821174621582,2565.84,136.118,False,2501.63,1.03291,2609.43,135.054,False,5.89758,9.11441,22.87692603466383,0.05759838164043291,22.904442359850268,0.00044829484145767954,22.85863590079634,0.056193506691695316,29.4733153710945,1.6779501270729003
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284181678358615,29.398277,2.0613198,1.7761467,149.64944161662854,2.155415683867165,2025052000119,53,60816.00260581951,g,149.64941024333035,2.155408753888467,20.14192771911621,2595.5,128.938,False,2641.79,0.852944,2598.77,128.283,False,-5.71306,9.78953,22.86444741696283,0.05393668218557205,22.84525425418073,0.0003505472371405362,22.863080380189217,0.053595162972143257,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284181812576336,29.398287,2.06132,1.7761544,149.64960484026042,2.155323206456508,2025052000120,53,60816.003256159864,g,149.6496123700444,2.1553187587384923,20.790613174438477,2506.41,119.016,False,2333.12,0.656553,2476.39,118.166,False,-43.7136,12.3701,22.902369751542043,0.05155580428488231,22.980157254077724,0.0003055322034487793,22.91545244308712,0.05180812001921466,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284181967241266,29.398293,2.0613203,1.7761608,149.6497389857988,2.1552472065496486,2025052000121,92,60816.003791225885,g,149.64972659052495,2.155235237124204,24.027301788330078,2776.67,113.887,False,2508.42,0.321409,2763.78,112.973,False,-39.7849,21.7807,22.791189360426674,0.04453220719672309,22.901499396788815,0.00013911760575911086,22.796241314120294,0.044380838741160195,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284182101458966,29.3983,2.0613205,1.7761666,149.6498593454956,2.155179019130437,2025052000122,92,60816.00427132496,g,149.64985533387045,2.155168473793613,22.260988235473633,2786.64,123.777,False,2793.01,1.48669,2743.08,122.889,False,-46.7656,6.87352,22.787297874925393,0.04822624230642527,22.78481876961055,0.0005779260370775908,22.804403784871123,0.04864059108746646,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284182215229443,29.398306,2.0613208,1.7761723,149.6499787067632,2.155111399373029,2025052000123,53,60816.00474765939,g,149.6499601233222,2.1550913779644953,20.763694763183594,2746.87,131.432,False,2872.08,0.467519,2674.2,130.714,False,-60.2161,9.87972,22.80290468810888,0.05195021322373454,22.75450863861353,0.0001767368161448972,22.83201530864987,0.05307042471166005,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284182483140627,29.398323,2.0613215,1.7761885,149.65031951369707,2.154918338911679,2025052000125,52,60816.00610655401,g,149.6503220029672,2.1549056123981605,19.715940475463867,2711.53,134.104,False,2456.27,1.89959,2715.27,133.863,False,-48.9095,6.99322,22.816963953835916,0.053697200720951285,22.92430973150377,0.0008396689441834168,22.815467438980296,0.05352687271948766,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284182617358391,29.398333,2.0613217,1.776197,149.65049733003124,2.154817616141956,2025052000126,52,60816.00681531953,g,149.6504946776926,2.1548090743965598,19.69511604309082,2638.67,132.682,False,2563.15,1.09174,2615.26,132.6,False,-33.0046,9.8196,22.846537333538535,0.05459480071663443,22.878064984873973,0.0004624550660540608,22.85621281747651,0.055049450853889695,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284182755770426,29.39834,2.061322,1.7762034,149.65063101277096,2.1547418955992894,2025052000127,60,60816.0073481772,g,149.65061936478975,2.1547271764305433,24.099828720092773,3155.79,128.89,False,3020.12,0.194784,3127.93,127.726,False,-22.2391,8.797,22.65222974742544,0.0443440587099917,22.699939459499248,7.002504313130607e-05,22.661857460196284,0.044334989359267725,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284182906241034,29.398348,2.0613222,1.7762111,149.65079379771942,2.154649694591682,2025052000128,91,60816.00799732409,g,149.65078086665005,2.1546316747791927,18.804101943969727,2812.24,146.874,False,2775.81,0.501509,2830.15,145.795,False,-26.7017,6.36832,22.7773690508916,0.056704410791505115,22.791525637083716,0.00019616129293260114,22.77047640232303,0.055931633816844586,nan,nan
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284183040458795,29.398354,2.0613225,1.7762169,149.6509134465947,2.154581928298273,2025052000129,91,60816.0084747443,g,149.6509046040852,2.154569272401625,17.45815658569336,2736.71,154.439,False,2691.99,6.24774,2740.41,154.336,False,5.59236,10.17,22.806928067708657,0.06127065384481792,22.824816398261735,0.0025198449156754914,22.805461175748167,0.06114712275950518,29.53101219440364,1.9744682471014314
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284183154753540,29.398361,2.0613227,1.776224,149.65106169749316,2.154497965514853,2025052000130,53,60816.00906569423,g,149.65106029832634,2.1545134210929717,14.422188758850098,2857.62,198.191,False,2740.9,2.14618,3078.79,198.718,False,138.57,8.01271,22.75998876354314,0.07530151983245573,22.8052670615102,0.0008501533503930988,22.67904981800322,0.07007796144520821,26.045826900197095,0.06278190423778304
2017 CK5,870625,Not a NEA or MBO,Not a NEA or MBO,21164736673494347,745284183292641325,29.398369,2.061323,1.7762296,149.65118085540206,2.1544304821632987,2025052000131,60,60816.00954093928,g,149.65117541862125,2.1543997112478666,16.6528263092041,2837.35,168.046,False,2716.05,2.32219,3128.09,167.779,False,290.796,10.0826,22.767717684391684,0.06430423658841129,22.81515557886395,0.0009282913651374086,22.66180186976066,0.05823481329961128,25.241028966481615,0.03764509774526216
