provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477694707204660,22.644636,2.0599823,1.2651341,225.1965290291965,-41.77153640751961,2025070300111,160,60859.98763237131,i,225.19682863090054,-41.77155532607984,10.62855052947998,5584.07,515.994,False,5131.16,24.0481,11639.2,507.113,False,6288.2,22.194,22.032622899635538,0.10032707416258763,22.12446107430964,0.005088496851988345,21.23519215460546,0.04730487850721937,21.903684100653365,0.0038320709972683555
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477696323059846,22.646166,2.0599787,1.2651696,225.1967269881773,-41.77013110169114,2025070300123,170,60859.993202036996,i,225.1970230065952,-41.77018933847215,12.386929512023926,5566.89,443.905,False,5626.68,5.26724,5672.78,422.845,False,-44.7397,28.9143,22.035968373662605,0.08657683496730116,22.024369424324377,0.001016377871144879,22.015510188077386,0.08093001036768917,nan,nan
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477696591495335,22.64642,2.0599782,1.2651755,225.1967597115111,-41.7698983618666,2025070300125,170,60859.99412464926,i,225.1970845551811,-41.76993631960362,12.252819061279297,5973.78,482.294,False,5921.61,2.17456,6080.11,459.063,False,219.75,22.2793,21.95937697770361,0.08765707522909652,21.968900522173232,0.0003987089072013256,21.94022143315626,0.0819757073225692,25.545177790635474,0.11007710296016876
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477696859930869,22.64667,2.0599778,1.2651813,225.19679210403424,-41.76966785994443,2025070300127,170,60859.99503732545,i,225.19707689321288,-41.76969876272271,11.68782901763916,5579.69,466.826,False,5724.39,44.3826,5572.97,448.177,False,332.248,21.464,22.03347483441127,0.09083835887865671,22.00567693813222,0.008417978738532835,22.034783195142367,0.08731465958034115,25.096344107914113,0.07014111041818305
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477698610528498,22.648798,2.059973,1.2652308,225.1970665624044,-41.76771064085541,2025070300140,181,60860.00278432827,g,225.1974164021009,-41.76768664511598,7.318833351135254,2540.37,341.55,False,2759.79,32.4786,2821.2,348.33,False,296.182,6.47305,22.88775751145981,0.14597604694393151,22.797809892975625,0.012777490646155276,22.77391533086005,0.13405447475189652,25.22110332140081,0.023728736741488343
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477708238553397,22.663197,2.059941,1.2655673,225.1989218038701,-41.75440726910262,2025070300212,113,60860.05518264557,r,225.19926818213906,-41.75445352688778,14.401573181152344,4768.48,331.607,False,4732.51,8.51649,4665.23,327.25,False,84.6192,12.5313,22.204050090815556,0.0755036660097807,22.21227120297054,0.0019538599959662197,22.22781735525639,0.07616069829239104,26.58132769084153,0.1607872136791357
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477708528484567,22.663462,2.0599403,1.2655735,225.1989562808615,-41.75416093045232,2025070300214,154,60860.05614879973,r,225.1992571306222,-41.75420083778317,14.001363754272461,4490.01,319.121,False,4229.22,3.74247,4454.74,317.054,False,275.725,12.0658,22.26938178604824,0.07716714302870573,22.334349251544253,0.0009607764542991637,22.277944038869506,0.07727431295944326,25.298809612480426,0.04751210553239564
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477708661653959,22.663586,2.05994,1.2655765,225.1989724909979,-41.75404514286356,2025070300215,152,60860.05660208196,r,225.1993165224993,-41.754093471758964,14.5059814453125,4696.59,324.667,False,4662.32,7.44735,5074.96,324.886,False,523.487,16.0858,22.22054341345177,0.07505503346795067,22.22849484552357,0.0017342992022637484,22.13641844945436,0.06950606122808464,24.602735248240926,0.03336269218593645
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477715566527064,22.674221,2.0599165,1.2658277,225.20037804710404,-41.744126289488,2025070300267,10,60860.095371542004,r,225.20065821306676,-41.744173531840204,10.798439025878906,4343.27,403.556,False,4671.51,2.71592,3993.25,406.459,False,-347.077,7.40658,22.305457924667706,0.10088144591792787,22.226356847345535,0.0006312247624835815,22.39668374916871,0.1105133082624919,nan,nan
2016 BH118,nan,Not a NEA or MBO,Not a NEA or MBO,21164732362930248,745477717857665583,22.676863,2.0599105,1.2658904,225.2007365085432,-41.74164804495933,2025070300284,28,60860.10502169024,z,225.20105825903696,-41.741639965045046,8.536031723022461,5522.21,666.376,False,6559.94,32.3947,46440.1,631.263,False,41032.2,50.1301,22.0447177124857,0.1310179310190755,21.85775034181819,0.005361649339120441,19.732767097872788,0.014758475354149923,19.867188013397275,0.0013264720347958652
