provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297377817002022,33.851177,1.816037,1.5542051,149.1175894095945,3.1630364964510544,2025052300134,26,60819.02753780842,g,149.1175800343464,3.1630275869530533,6.4254350662231445,923.601,141.32,False,1083.96,18.5296,866.907,138.683,False,-60.4028,12.2126,23.986288998341777,0.16612828073856628,23.812466898426393,0.018559963892039198,24.055068747624603,0.1736900909552236,nan,nan
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297377951219750,33.85118,1.8160368,1.5542102,149.11781784136645,3.16307858114159,2025052300135,26,60819.02806302253,g,149.11772584120922,3.163033584874337,6.265827655792236,931.141,145.645,False,1142.84,5.946,929.683,143.619,False,-8.68997,14.7487,23.977461385438986,0.1698261119136367,23.755036451192844,0.0056488990359587245,23.979162795367486,0.16772636947664296,nan,nan
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297378085437499,33.851185,1.8160366,1.5542152,149.11804497897447,3.163120423988971,2025052300136,26,60819.028586217355,g,149.11802790582553,3.1630960098158813,5.537529945373535,714.153,127.177,False,802.647,0.989337,772.035,126.496,False,42.585,14.3158,24.265521814712905,0.19334886572826238,24.1386885699889,0.001338270828389281,24.180907564252443,0.17789516553031046,27.326858394388204,0.3649919545092538
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297378239053864,33.85119,1.8160362,1.5542202,149.11827212518654,3.1631622650098805,2025052300137,63,60819.02910952353,g,149.11828357577818,3.1631851000553524,6.051596641540527,718.079,119.403,False,nan,nan,762.718,117.998,False,57.2206,35.8691,24.25956946574776,0.18053746680605795,nan,nan,24.194089985534923,0.16797125402738033,27.006118979093948,0.6806006746448603
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297378374844435,33.851192,1.816036,1.5542253,149.11849884560152,3.163204024189756,2025052300138,66,60819.029631473495,g,149.11851177133818,3.1632450867627164,7.099230766296387,784.112,111.309,False,779.912,4.69703,795.293,110.837,False,5.58961,33.8889,24.16405474987079,0.15412620803707774,24.169886011173087,0.006538860386907984,24.14868205958265,0.1513149707503903,29.531546212580135,6.582642766535357
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297378507489311,33.851196,1.8160357,1.5542303,149.11872687784805,3.163246021553012,2025052300139,63,60819.03015675932,g,149.1187089406755,3.1631816269071713,5.548097133636475,611.499,109.352,False,626.99,7.5449,626.843,109.015,False,11.3913,33.6536,24.434010580486014,0.1941579921841338,24.406848481338983,0.013065234141307534,24.407103018480274,0.18882164813182273,28.758566756950312,3.207617214510015
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297378643279907,33.8512,1.8160354,1.5542355,149.11895491888873,3.1632880170801583,2025052300140,66,60819.030681123004,g,149.11898543836259,3.1632818277440133,7.486812591552734,785.285,106.96,False,804.408,1.68919,842.804,105.866,False,59.7034,33.2411,24.162431782323765,0.14788305830160664,24.13630902024771,0.0022799558516948906,24.0856835089185,0.13638110870330647,26.960002345930313,0.6045060465663753
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297378912239673,33.85121,1.8160348,1.5542455,149.1194092898828,3.163371682697972,2025052300142,67,60819.03172731136,g,149.11941880183926,3.1633800528741363,9.1346435546875,1032.21,113.685,False,989.305,6.45752,1195.82,113.273,False,148.271,33.8532,23.865579885643083,0.11958024283654296,23.911674497962316,0.0070869583370514345,23.705835517047515,0.10284541611197229,25.972359487033877,0.24789503527384452
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297379048030237,33.851215,1.8160346,1.5542506,149.11963735748677,3.163413672739057,2025052300143,70,60819.0322521672,g,149.11959377659852,3.163495118503765,7.745525360107422,931.869,121.809,False,943.792,0.49605,1007.88,119.788,False,92.9277,10.8385,23.976612817067096,0.14192170431440432,23.962809279613246,0.0005706548148698003,23.891477926470646,0.12904132441593127,26.47963707329469,0.12663341885981583
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297379182247996,33.85122,1.8160343,1.5542556,149.11986543405064,3.163455660949577,2025052300144,70,60819.03277742538,g,149.11978661248233,3.1634594351803407,6.406360626220703,729.512,112.998,False,847.684,8.18807,804.372,112.845,False,57.1662,31.6336,24.242418864013082,0.16817546090311775,24.079415008246364,0.01048749787494273,24.136357626229696,0.15231746249022993,27.00715171315278,0.6008051230396588
2021 RC141,nan,Not a NEA or MBO,Not a NEA or MBO,21165810668351811,745297379336912933,33.851223,1.816034,1.5542606,149.12009221613218,3.163497407393756,2025052300145,109,60819.03329943505,g,149.12006921704725,3.1634861123645797,8.59248161315918,941.36,110.282,False,950.769,0.844956,955.105,108.783,False,21.3666,32.0818,23.965610665780886,0.12719592873945212,23.954812488044375,0.000964902428654727,23.949872225667477,0.12366142032851467,28.075661448778973,1.6302252180297874
