provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416141797589189,19.658773,1.9569492,1.0688115,224.2729146496715,-37.87453200968273,2025061900258,182,60846.188051312194,g,224.27294139423543,-37.87455159137598,18.65458106994629,3987.47,213.176,False,3930.71,7.80823,6155.26,216.822,False,2147.72,3.61856,22.39825643639304,0.05804505045042068,22.413822501751937,0.0021567803289979904,21.926884035386912,0.0382455836327336,23.07005586132602,0.0018292895428348652
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416141917650972,19.658981,1.9569489,1.0688143,224.2727881537735,-37.87455381978775,2025061900259,155,60846.188516572714,g,224.27285709354345,-37.87456613282087,19.20088768005371,4015.39,209.412,False,4275.63,0.0778398,9948.97,213.826,False,5986.19,2.99689,22.39068069634052,0.05662369009652653,22.32249974065602,1.9766324613311048e-05,21.405554726586832,0.023334942257636042,21.957123767855883,0.0005435564324579587
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416142164590905,19.659403,1.9569482,1.06882,224.2725319498222,-37.87459797717158,2025061900261,114,60846.189458533816,g,224.27259645704888,-37.87461774235577,25.894948959350586,4066.38,155.991,False,5569.76,34.3232,10601.8,157.071,False,6369.45,5.09489,22.376980129602362,0.04165008638678613,22.035408840931666,0.006690762746777892,21.336551002193524,0.016085728237804412,21.889745134800208,0.0008684747490549252
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416142576681497,19.660036,1.9569471,1.0688285,224.27214641628544,-37.87466438320656,2025061900264,132,60846.190876307934,g,224.27218110687033,-37.87469789390642,16.578468322753906,3540.51,199.534,False,4410.98,12.1877,39050.9,197.886,False,35451.9,8.42625,22.527335433584508,0.061189287298057206,22.288662283230064,0.0029999291532076706,19.920922424827772,0.005501845154256888,20.02590125882889,0.0002580591053108897
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416142736064938,19.660242,1.9569467,1.0688313,224.2720202961286,-37.874686095963725,2025061900265,180,60846.19134019294,g,224.2718694721755,-37.87466681329927,13.282904624938965,3776.96,276.471,False,4217.23,11.1115,73275.4,279.207,False,69481.6,13.024,22.45714404761882,0.07947518278791485,22.33743178681244,0.0028606828802565645,19.237604528479796,0.004137065860865794,19.295325448873378,0.0002035161567236952
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416142871855570,19.660452,1.9569464,1.0688341,224.27189337810077,-37.874707940775366,2025061900266,183,60846.191807329466,g,224.27183764231353,-37.87471658119249,17.247303009033203,4717.09,280.249,False,4410.04,3.58044,69898.2,283.232,False,65057.7,11.7354,22.21581462978363,0.06450512668596314,22.28889366881058,0.0008814916306294177,19.288834971327056,0.004399472621127749,19.366753249279643,0.0001958499766723125
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416143139242231,19.660872,1.9569457,1.0688398,224.27163714909892,-37.87475202616574,2025061900268,181,60846.192750367045,g,224.27163489036457,-37.874703152204596,21.151987075805664,5475.62,254.165,False,5529.79,17.9746,57599.9,255.65,False,52014.5,7.47526,22.053916723994888,0.05039723890389305,22.043228395340265,0.003529188933499486,19.498945705854823,0.004818905269786013,19.609688929751172,0.0001560364933639245
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416143270838740,19.66108,1.9569452,1.0688425,224.27151028400183,-37.87477384597608,2025061900269,176,60846.19321768653,g,224.27156365796773,-37.87477846435357,20.752182006835938,4549.91,226.033,False,4880.01,8.61839,43486.1,228.915,False,38827.0,6.67221,22.254992947384743,0.05393781598124373,22.178948272271498,0.001917475289925556,19.80412381044014,0.005715419113058567,19.927165410692478,0.0001865779019196757
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745416143393522209,19.661287,1.9569448,1.0688454,224.27138397961505,-37.87479556417521,2025061900270,154,60846.19368268379,g,224.2714498134465,-37.874770013071355,26.092058181762695,4843.31,184.757,False,5208.64,3.21534,29674.7,185.694,False,24756.3,6.95081,22.18714431859467,0.04141741198979977,22.10818911699421,0.0006702346192830621,20.219034185844897,0.00679416150388604,20.415785623515312,0.00030484142553723547
2022 DC29,nan,Not a NEA or MBO,Not a NEA or MBO,21165814727194947,745424936782790783,20.450396,1.955502,1.0799088,223.81859539977603,-37.96665905872459,2025062100250,117,60848.02981565961,r,223.8186341493346,-37.96668043701171,49.52714538574219,7711.6,155.608,False,7270.09,0.0337197,9539.1,155.395,False,1669.18,39.1048,21.682138749592767,0.021908454674258476,21.74615055524451,5.035797315528691e-06,21.451231540476186,0.01768699238776577,23.343742034102583,0.02543614053163869
