provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745315056296133025,12.567841,2.0003626,1.0372645,226.66232593257868,-41.71539236215614,2025052700777,9,60823.17627479702,i,226.66223540993545,-41.71549535083548,9.375664710998535,3541.1,380.768,False,3921.07,2.3697,3111.93,344.163,False,-302.039,15.0691,22.52715449174258,0.1167472247730474,22.41648849229211,0.0006561650240081406,22.667425475417645,0.1200766828141622,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745319428577034452,12.741359,2.0003474,1.0385593,226.348557327536,-41.38169516128,2025052800585,17,60824.27046670513,g,226.34849677195336,-41.38175477046141,7.180026531219482,1308.15,177.171,False,1294.92,9.72918,8906.39,173.802,False,7594.05,5.46866,23.608356115872425,0.14704809940925415,23.619392616689197,0.00815751009709491,21.525745771758743,0.02118738719376108,21.698816397293285,0.0007818650355895443
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745323768304370110,12.884185,2.0003333,1.0396696,226.13029322400337,-41.13526172527353,2025052900150,142,60825.07024256581,r,226.13032138218776,-41.13525682300545,11.155975341796875,2126.77,187.972,False,2025.25,9.58816,2389.1,183.004,False,-311.109,9.52907,23.080698676099548,0.09596148344159619,23.133803397890006,0.005140210824612378,22.95441413488748,0.08316690716509881,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745323768974934072,12.884674,2.0003333,1.0396731,226.12958882841167,-41.13451311242604,2025052900155,141,60825.072683834296,r,226.12961574655867,-41.134581616992534,11.014501571655273,2214.62,200.002,False,2372.91,1.94303,2447.06,193.562,False,105.634,14.6015,23.03675189838598,0.0980526680607341,22.9617968738166,0.0008890426083499903,22.92838842889293,0.08588153228352531,26.340490659009934,0.15007834892449223
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745323769533825720,12.885065,2.0003333,1.0396758,226.12902626736235,-41.13391516174699,2025052900159,183,60825.074632832,r,226.12909325115666,-41.13396178790934,12.021367073059082,2371.98,203.573,False,3002.6,13.9758,1997.26,197.244,False,-235.947,11.1201,22.962222451853588,0.09318231018415633,22.70625626402984,0.005053630546796073,23.14891348397255,0.10722437464460095,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328180777713726,13.119355,2.0003083,1.041548,225.818354156416,-40.774067745437314,2025053000258,11,60826.22690972403,r,225.81831901500937,-40.774069569558016,8.968110084533691,2574.05,293.254,False,3013.17,7.31301,2280.26,293.339,False,-85.8333,9.16633,22.87345753274131,0.1236947520695817,22.702440941102175,0.0026350986379404372,23.005039072884575,0.1396721249069744,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328180931854523,13.1194515,2.0003083,1.0415488,225.81823360443207,-40.77392840455162,2025053000259,49,60826.2273462717,r,225.81824260709035,-40.77395482603929,10.52115535736084,3021.57,281.613,False,2969.51,6.86875,2852.1,280.794,False,-87.4926,6.78046,22.699418325689233,0.10119157592579708,22.718288016109973,0.0025114078199604674,22.762088091250195,0.10689253824620804,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328181181415554,13.119643,2.0003083,1.0415505,225.8179930918724,-40.77365033378933,2025053000261,13,60826.22821837552,r,225.8180341534518,-40.77365444505133,6.761103630065918,2471.3,365.897,False,2478.08,44.0648,2382.73,366.666,False,-63.0532,10.1706,22.917686305617245,0.16075248480924328,22.91471165922001,0.01930637731310855,22.957312926694488,0.1670783254282615,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328181730869541,13.120031,2.0003083,1.0415537,225.8175058860108,-40.773086748721575,2025053000265,37,60826.22998533427,r,225.81749402641609,-40.77312258800706,9.413713455200195,3342.11,352.736,False,3679.66,25.3317,4257.99,355.949,False,790.925,8.87728,22.589948115416846,0.11459174754710687,22.485480796468014,0.007474479650958779,22.326988347358093,0.09076270743742011,24.15466175880441,0.012186218288707827
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328181996159113,13.120223,2.0003083,1.0415554,225.81726498377725,-40.77280793229295,2025053000267,31,60826.23085918834,r,225.8172429334068,-40.77284461542893,7.152587413787842,2768.45,383.427,False,3975.28,42.4502,3026.79,385.311,False,231.822,10.3547,22.794408308451594,0.1503731637720795,22.401580682679246,0.011594080857680385,22.697544259831176,0.13821444580857337,25.487113350086506,0.04849614132213863
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328182134571217,13.120318,2.0003083,1.0415562,225.8171448285933,-40.77266882982766,2025053000268,39,60826.23129579838,r,225.81715685327967,-40.77264791772641,6.679807186126709,2510.72,369.484,False,2301.44,25.7946,2420.35,367.443,False,-70.7784,10.5807,22.90050430738559,0.15977973254783603,22.995000885029718,0.012168960004748436,22.94030452463239,0.16482993978814744,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328182793601368,13.120801,2.0003083,1.0415603,225.81653985068277,-40.77196807935634,2025053000273,16,60826.23349138747,r,225.81659846861558,-40.771969951480465,8.4638032913208,3091.2,366.773,False,3459.17,14.0114,3023.89,369.727,False,-87.4238,10.3708,22.674682255311623,0.1288233509481733,22.55257025995389,0.0043977846838413465,22.698585066588066,0.13275151969945626,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328183353540675,13.121186,2.000308,1.0415635,225.8160563404037,-40.77140757490404,2025053000277,60,60826.2352479729,r,225.8160256046132,-40.771411918904455,8.554204940795898,2407.38,278.895,False,2237.6,4.14698,2192.2,279.626,False,-125.34,10.2744,22.946138432401735,0.12578255266634564,23.025543819206213,0.0020122121569172403,23.047799590649106,0.1384910530248391,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328183751999709,13.121476,2.000308,1.041566,225.8156930307051,-40.77098614631747,2025053000280,52,60826.23656755632,r,225.81567872076894,-40.770996901646164,8.973814010620117,2966.6,328.359,False,2935.8,10.3675,2702.79,329.347,False,-133.375,9.76884,22.719352483286528,0.1201750327866699,22.730683816583117,0.0038341747554175134,22.820469225762654,0.1323017845359623,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328184020435285,13.121676,2.000308,1.0415677,225.81544154205764,-40.77069429274828,2025053000282,52,60826.23748155938,r,225.81546932873928,-40.77070343989718,11.890663146972656,3284.9,275.604,False,2917.16,0.348747,3221.45,276.36,False,-125.345,15.6767,22.60869464937168,0.09109356574421522,22.73759940796089,0.000129799955962958,22.629871528789373,0.09314254332384281,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328188561293492,13.129559,2.0003073,1.0416356,225.80557200241876,-40.75914984104388,2025053000316,9,60826.27354665327,g,225.8055966169922,-40.759152756287406,8.169283866882324,1962.98,236.219,False,1999.1,14.1191,1859.06,239.475,False,-123.78,4.15963,23.167710323868405,0.13065416700214175,23.14791371535555,0.00766825962682291,23.22676644932693,0.139859217059366,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328188696035373,13.129654,2.0003073,1.0416365,225.80545310451996,-40.75900964047685,2025053000317,10,60826.273983190695,g,225.80537147977256,-40.75897219575302,8.90532112121582,1979.94,219.523,False,2212.86,11.2043,1918.46,218.987,False,-138.534,5.6376,23.158369958072747,0.1203794410419605,23.037615101077797,0.005497371496123505,23.192618150696816,0.1239338420307901,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328188850176317,13.129748,2.0003073,1.0416373,225.8053344963261,-40.7588697538423,2025053000318,48,60826.27441981307,g,225.80530967285557,-40.758884591237745,7.820396900177002,1621.53,200.39,False,2013.97,30.477,1488.37,200.981,False,-130.067,5.35054,23.375187510420524,0.13417616293121834,23.139867523203712,0.016430225879788606,23.468222734368773,0.14661163012738923,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328189099737254,13.129942,2.000307,1.041639,225.8050927098357,-40.75858450483515,2025053000320,12,60826.27530853657,g,225.80506299559528,-40.75864316626721,7.947964191436768,1760.03,225.716,False,nan,nan,1675.76,226.562,False,-121.569,4.07808,23.286199805682422,0.13924082704549198,nan,nan,23.339470444421607,0.14679104450837616,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328189523361919,13.130229,2.000307,1.0416415,225.80473410915585,-40.75816123124618,2025053000323,52,60826.276627218875,g,225.80478486584263,-40.758183383858174,10.930390357971191,2122.56,193.95,False,2147.71,5.2275,2012.93,195.082,False,-126.243,4.75341,23.0828500309823,0.09920969385382145,23.070060921571493,0.0026426687365541995,23.140428289821514,0.10522352264618655,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328189650764067,13.130324,2.000307,1.0416423,225.8046158798036,-40.758021623732255,2025053000324,39,60826.277062799374,g,225.80464668384627,-40.75805718595738,11.4135103225708,2243.48,197.633,False,2173.16,8.92929,2070.17,198.568,False,-113.844,5.01633,23.02269450377249,0.09564484660069406,23.05727078729185,0.00446117802189909,23.109985014251485,0.10414239768739389,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328189780262973,13.130422,2.000307,1.0416431,225.8044935922462,-40.75787719507581,2025053000325,30,60826.277512789675,g,225.804522581176,-40.75784649370898,8.457297325134277,2286.5,268.52,False,2380.52,3.69911,2145.02,274.007,False,-125.411,5.11599,23.00207198570825,0.12750573967784767,22.958320404686663,0.0016871345979986374,23.071421625444785,0.13869302155220645,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328189916578204,13.130517,2.000307,1.041644,225.80437485570235,-40.75773693198952,2025053000326,34,60826.27794932874,g,225.8044227848215,-40.75768970273289,8.828564643859863,2013.49,229.325,False,2072.24,3.6849,1918.7,230.087,False,-115.671,5.40888,23.140126312703803,0.12365914558818912,23.108899873766177,0.0019306785937219615,23.192482338746018,0.1301995093543779,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328190051320132,13.130611,2.000307,1.0416448,225.8042564086827,-40.75759698302672,2025053000327,35,60826.27838593195,g,225.80424428222784,-40.75761819589152,9.13907527923584,1891.32,204.263,False,2207.46,7.11215,1826.09,205.063,False,-114.766,4.86101,23.20808749312494,0.11725976631177505,23.040267912356278,0.003498101480461511,23.246194574812574,0.12192407349429195,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328191270814292,13.131469,2.000307,1.0416523,225.80318658319885,-40.75633168260104,2025053000336,57,60826.282326506625,g,225.80321004259136,-40.756344786653926,9.545147895812988,1833.4,189.045,False,1899.9,6.05284,1651.98,189.406,False,-165.13,4.05644,23.241856918006867,0.11195210870909371,23.203173129180637,0.0034590176840740266,23.354988049961356,0.12448392861383342,nan,nan
2025 KK30,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729600587,745328191670845875,13.131756,2.000307,1.041655,225.8028283154096,-40.75590744090414,2025053000339,52,60826.28364791499,g,225.80277195690812,-40.75592346830076,9.931246757507324,1633.28,161.254,False,1542.23,1.65231,1458.25,160.625,False,-104.307,4.81774,23.36734837044213,0.1071949086720836,23.429627146450244,0.0011632329977727283,23.490420037244867,0.1195929215767355,nan,nan
