provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350183529218151,11.824165,4.513028,3.9998522,322.647645241749,-14.728026352847108,2025060400351,81,60831.297995202745,i,322.64764080239235,-14.728024023442917,136.50416564941406,52822.8,382.991,False,52144.9,0.974657,53270.2,372.955,False,350.183,15.7097,19.592946438171364,0.007872115558634435,19.606970435199052,2.029384317287108e-05,19.583789197617328,0.00760144954599801,25.039262309405384,0.048707644223593284
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350184446722158,11.823815,4.5130353,3.9998085,322.6476344028246,-14.728192565414,2025060400358,39,60831.301544218244,i,322.6476308040342,-14.728188328601236,144.07264709472656,55669.5,385.645,False,55520.8,0.770479,56156.5,374.037,False,371.736,15.7709,19.53595669831412,0.007521330832065936,19.53886069660409,1.5067091234318037e-05,19.526499919487925,0.007231673965353184,24.97441346840882,0.04606235934477123
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350185311797307,11.823514,4.5130415,3.9997709,322.64762493124067,-14.728335470662811,2025060400364,153,60831.30459655767,i,322.64761950762926,-14.728331835609517,142.3722381591797,56756.4,395.296,False,54215.4,0.604156,57046.2,382.047,False,384.642,15.6616,19.514962927871956,0.007561916889436252,19.564693365450644,1.2099036071182666e-05,19.509433214368194,0.0072713390606051745,24.937358244405136,0.04420829327683183
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350185380478996,11.823464,4.513043,3.9997647,322.64762334771706,-14.728359160520265,2025060400365,28,60831.30510236046,i,322.6476194110248,-14.728352570850756,132.64622497558594,57848.4,434.116,False,55457.6,0.81152,58832.5,422.942,False,433.163,14.5737,19.494271650526663,0.008147770173070916,19.540097291939357,1.5887752063080657e-05,19.475956741298248,0.007805267952300018,24.808371631853706,0.03652942167126544
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350186311614559,11.823112,4.51305,3.9997208,322.6476120516352,-14.72852655841426,2025060400372,12,60831.30867844932,i,322.6476091724163,-14.728518268091428,143.12545776367188,58409.5,406.351,False,57740.5,0.46714,59099.5,396.528,False,269.693,15.4666,19.483791278535772,0.007553394685001167,19.49629864923745,8.783969638244653e-06,19.471040483421206,0.00728474559403743,25.322825841781313,0.06226579282403878
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350186528145505,11.823061,4.513051,3.9997144,322.64761042900824,-14.728550382150464,2025060400373,169,60831.30918775888,i,322.6476064754408,-14.728545765227,155.83680725097656,60770.1,388.755,False,57360.4,0.160432,60792.3,376.836,False,172.615,20.8512,19.440775094585202,0.006945609316582963,19.503469601570366,3.036708795449874e-06,19.44037854934889,0.006730202371152761,25.807303633956177,0.13115257738241645
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350187298848773,11.822748,4.5130577,3.9996755,322.64760023907195,-14.728698781994163,2025060400379,103,60831.31235878196,i,322.6475930996567,-14.728692886388027,140.99159240722656,62700.9,443.485,False,59730.1,0.12255,62907.3,432.964,False,123.882,14.0577,19.406815590361283,0.007679438682091373,19.459516866991528,2.227636851771132e-06,19.403247372674016,0.0074726569516686235,26.167479446426363,0.12320557909976113
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350188929384479,11.8219185,4.513075,3.9995723,322.6475726000276,-14.72909164112662,2025060400391,141,60831.32075649434,g,322.6475731364925,-14.729082227387696,127.41854858398438,33781.5,263.067,False,34796.8,0.317228,33359.8,241.6,False,5.9089,7.83587,20.078302675895678,0.008454963547148139,20.046151708159297,9.89820631665693e-06,20.091941378888365,0.007863172667500055,29.471233439159228,1.4398090738874805
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350189842169881,11.821566,4.513082,3.9995284,322.64756057702994,-14.729258574375708,2025060400398,90,60831.32432666166,g,322.64755725180424,-14.72925660874234,115.01290893554688,34576.7,299.596,False,35455.8,0.413935,34506.4,281.214,False,-32.8619,7.52528,20.053041169898155,0.00940755596580438,20.02578175372736,1.2675619000677887e-05,20.05525091822627,0.008848336054969392,nan,nan
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350190758101069,11.821205,4.5130897,3.9994836,322.64754813469244,-14.729429063065597,2025060400405,45,60831.32797337229,g,322.64754384502845,-14.729423102227827,114.07193756103516,34924.3,305.089,False,36188.9,0.83919,34809.4,285.304,False,-90.7825,7.56526,20.04218070032039,0.009484689854924996,20.003561590709484,2.5177306074597277e-05,20.04575870489842,0.008898885945392798,nan,nan
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350192776609831,11.81921,4.5131307,3.9992366,322.647476716662,-14.730370647861342,2025060400420,55,60831.348133566615,r,322.6474726736209,-14.73036873833914,161.26394653320312,57386.0,355.397,False,55196.2,0.37991,56912.8,329.89,False,138.353,15.0472,19.50298511501315,0.006724068473292527,19.5452270663271,7.473015152107826e-06,19.511975103633745,0.00629337385571084,26.047528573219864,0.11808410670788885
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350193715609657,11.818832,4.513139,3.9991899,322.6474627682049,-14.730548477170792,2025060400427,54,60831.35194478082,r,322.6474599038013,-14.730549896701131,143.5598907470703,58320.8,405.646,False,58668.9,0.358154,57308.6,368.314,False,77.9799,13.2758,19.485441303782366,0.00755175749259867,19.478980164963108,6.628056326070761e-06,19.504450472534717,0.006977867694900825,26.670043363296706,0.1848427232612679
2001 HO8,30512,Not a NEA or MBO,Not a NEA or MBO,21163611475949647,745350194572296249,11.818511,4.5131454,3.9991503,322.6474508038934,-14.730699713357872,2025060400433,152,60831.35518652464,r,322.64744794700135,-14.730696372379247,142.75880432128906,57413.1,400.796,False,56873.1,0.166538,57408.5,376.3,False,0.531417,13.3544,19.502472477758015,0.00757943231094317,19.512732717361956,3.1792944505632877e-06,19.50255950115674,0.007116760072060206,32.086411366662816,27.284326420311096
