provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2006 DD168,nan,MBO,MBO,21163632885184580,745174275338010684,21.344095,2.23753,1.4929068,269.95871522118875,-22.670061411955665,2025042500453,41,60791.279216819836,i,269.958670424747,-22.67008309119934,14.457191467285156,4609.46,319.613,False,4393.16,0.27317,8954.15,292.395,False,4597.36,30.1603,22.24087488268819,0.07528331208190696,22.293057409713,6.751189175337292e-05,21.519939039101317,0.03545437722314602,22.24372875013022,0.007122811759666205
2006 DD168,nan,MBO,MBO,21163632885184580,745174275604873637,21.343792,2.2375317,1.4928977,269.9587324035796,-22.6700853202357,2025042500455,38,60791.28027748602,i,269.9587255297552,-22.67010689371805,15.2137451171875,4951.21,322.534,False,5086.46,8.14798,6720.33,292.326,False,2196.03,28.9395,22.16322164148135,0.07072752723419934,22.13396092446642,0.0017392364558663524,21.831523488649744,0.04722817271013439,23.045904313709734,0.014307939033834706
2006 DD168,nan,MBO,MBO,21163632885184580,745174276280156791,21.343033,2.2375355,1.4928753,269.95877511426056,-22.67014489497723,2025042500460,46,60791.28292506441,i,269.9587577397905,-22.670146159175914,13.618658065795898,4593.81,332.558,False,4848.23,10.0957,5627.34,296.133,False,1810.59,25.8454,22.24456741412913,0.07859930456106108,22.18604196793799,0.002260880224977756,22.024242140847655,0.05713575573535618,23.255449726981276,0.015498421442986526
2006 DD168,nan,MBO,MBO,21163632885184580,745174276683333859,21.342577,2.2375379,1.4928619,269.95880073995164,-22.67018073623346,2025042500463,47,60791.284521776055,i,269.9587855252974,-22.67017702663825,13.073813438415527,4295.89,326.485,False,4506.11,10.0682,4681.12,300.862,False,876.595,23.7728,22.31736708458114,0.08251527800403019,22.26549555991753,0.002425908313235184,22.224125536915203,0.06978175251398097,24.043002563392193,0.029444602119411883
2006 DD168,nan,MBO,MBO,21163632885184580,745200689658986789,19.535486,2.2462444,1.4449292,269.94987050556506,-22.802184182710334,2025050100647,48,60797.28074399984,g,269.9498326699393,-22.802197332839413,15.300507545471191,2475.08,162.235,False,2449.15,1.59736,2072.48,160.331,False,-224.912,4.11299,22.916026863618747,0.07116715753902166,22.927461581728465,0.0007081279910907178,23.108774139777687,0.0839946181356227,nan,nan
2006 DD168,nan,MBO,MBO,21163632885184580,745200690057969770,19.535,2.2462466,1.4449182,269.9498161824828,-22.802219389979967,2025050100650,41,60797.28220231854,g,269.9497981720866,-22.802241136431267,13.871872901916504,2251.46,159.571,False,2171.72,2.79071,2114.81,157.928,False,-221.37,4.45373,23.01883942987889,0.07695096248994135,23.057990437370513,0.0013951959252892336,23.086821581607623,0.08107968840460127,nan,nan
2006 DD168,nan,MBO,MBO,21163632885184580,745200690328502685,19.534668,2.246248,1.4449105,269.9497789247872,-22.80224348775284,2025050100652,45,60797.28320126145,g,269.9497634212093,-22.80227490044955,14.460095405578613,2135.02,146.094,False,2027.62,0.696001,1956.36,146.481,False,-194.663,4.79356,23.076495120881713,0.07429416927482675,23.132533586719042,0.0003726898919624354,23.171378071638152,0.08129369300554742,nan,nan
2006 DD168,nan,MBO,MBO,21163632885184580,745200690731155792,19.534172,2.2462502,1.4448991,269.9497233012706,-22.80227939040137,2025050100655,45,60797.284691791996,g,269.94970222288805,-22.802302049480716,17.459047317504883,2305.87,131.266,False,2280.92,2.49099,2174.53,131.166,False,-171.368,5.62785,22.99291289717546,0.061807581708908564,23.00472490397002,0.0011857312129500814,23.056586476356834,0.0654907835312633,nan,nan
2006 DD168,nan,MBO,MBO,21163632885184580,745200690999591254,19.533834,2.2462516,1.4448913,269.94968548579686,-22.802303748599417,2025050100657,45,60797.28570343807,g,269.94966128460806,-22.802302205453156,14.818991661071777,2195.49,147.401,False,2099.25,3.85954,1892.16,146.101,False,-199.5,4.93352,23.046171346519554,0.07289425325995574,23.094839595355342,0.0019961616273141323,23.2076053370899,0.083833893609862,nan,nan
2006 DD168,nan,MBO,MBO,21163632885184580,745200691398574240,19.533337,2.2462537,1.4448799,269.9496297563482,-22.80233957257548,2025050100660,38,60797.28719301775,g,269.9496117655147,-22.802351297218493,16.49777603149414,2119.6,126.489,False,1998.04,0.451607,1974.43,125.662,False,-157.358,6.68894,23.084365172871188,0.06479226210290226,23.148489532805527,0.0002454035197453035,23.161395617499572,0.06910135179979893,nan,nan
2006 DD168,nan,MBO,MBO,21163632885184580,745200691655475549,19.533,2.2462552,1.4448721,269.9495919824653,-22.802363805190925,2025050100662,16,60797.28820217203,g,269.94958482368594,-22.802382831003253,13.24783706665039,1960.61,147.301,False,2148.02,0.348221,1846.31,147.553,False,-178.097,5.28211,23.16902197459603,0.08157156411803192,23.06990418833037,0.00017601146538316268,23.23423841072791,0.08676962285703627,nan,nan
