provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2008 CX73,nan,MBO,MBO,21163641457292120,745424937205367139,11.11761,3.4202297,2.582797,226.921415799828,-41.46304605296487,2025062100253,155,60848.03113540527,r,226.92141256532997,-41.46303963373944,12.810288429260254,2441.84,185.135,False,2409.63,11.6574,2268.19,181.12,False,-175.064,49.3463,22.93070695173612,0.08231815314221048,22.94512414895319,0.005252616373204504,23.010801449568433,0.08669844289249709,nan,nan
2008 CX73,nan,MBO,MBO,21163641457292120,745424940293948217,11.119612,3.4202511,2.582895,226.92012191729967,-41.46179286102269,2025062100276,158,60848.041759721695,r,226.9200980860039,-41.46180830547747,17.00290298461914,2560.87,150.252,False,2452.87,1.69998,2464.06,144.817,False,-151.706,55.0014,22.87903111905655,0.06370258059930682,22.925813619172335,0.0007524776149842413,22.920871777391206,0.06381056373767503,nan,nan
2008 CX73,nan,MBO,MBO,21163641457292120,745433742104330299,11.490294,3.4243503,2.6021905,226.69930515470023,-41.22009244234464,2025062300319,55,60850.07467867204,r,226.69928954115423,-41.220065764060095,15.369244575500488,2810.0,181.825,False,2932.5,1.75768,3317.95,173.399,False,411.834,13.9274,22.7782342002373,0.07025408616254196,22.73190494803108,0.0006507679031107833,22.597825423185576,0.05674153534337537,24.86319446562768,0.03671741885172077
2008 CX73,nan,MBO,MBO,21163641457292120,745433742379581977,11.490494,3.4243524,2.6022007,226.69918878106537,-41.219964969463085,2025062300321,68,60850.07574989271,r,226.6992138617539,-41.219952932332546,14.396919250488281,2784.51,192.625,False,2776.55,0.422443,2505.76,183.914,False,152.573,16.5254,22.788128041420507,0.07510834427172276,22.79123623431522,0.0001651912100103237,22.902651315223693,0.07968923167985176,25.9413057995844,0.11759764495292943
2008 CX73,nan,MBO,MBO,21163641457292120,745433745191862482,11.492321,3.4243722,2.602296,226.6981217853194,-41.218794559047126,2025062300342,56,60850.08557360824,r,226.69811420932243,-41.21879731117301,17.08147621154785,2858.47,166.872,False,2761.67,2.92171,2547.7,154.971,False,-130.679,14.6304,22.759665914629544,0.06338319706803165,22.79707057514174,0.0011486551369698607,22.884629303109662,0.0660429489570061,nan,nan
2008 CX73,nan,MBO,MBO,21163641457292120,745433746114084998,11.493178,3.4243815,2.602341,226.6976213173564,-41.21824451004182,2025062300349,23,60850.09018429268,g,226.69760122829132,-41.21826863001931,11.46852970123291,1536.91,135.593,False,1591.37,6.55658,1437.68,133.161,False,-131.527,7.75714,23.433378884931287,0.09578845114934298,23.395572086778653,0.004473325737970015,23.505844381489247,0.1005632049250288,nan,nan
2008 CX73,nan,MBO,MBO,21163641457292120,745433746650431946,11.49354,3.4243853,2.60236,226.6974100684233,-41.21801211661924,2025062300353,22,60850.0921310609,g,226.69739714655955,-41.21799602054277,13.976099967956543,1792.64,127.489,False,1740.47,1.51868,1590.18,124.111,False,-159.513,7.67708,23.26626728410934,0.07721540306718254,23.29833366359852,0.0009473796512681696,23.39638424595058,0.08473996756564739,nan,nan
2008 CX73,nan,MBO,MBO,21163641457292120,745433746809815269,11.493625,3.4243863,2.6023645,226.6973603822705,-41.21795743822754,2025062300354,70,60850.092589598906,g,226.69732783834098,-41.217946652060846,13.381133079528809,1561.55,114.702,False,1534.86,0.173093,1272.37,111.782,False,-145.049,7.51328,23.416110229382483,0.07975160196044076,23.434828090145558,0.00012244331418781793,23.63846645231604,0.09538558940232493,nan,nan
2008 CX73,nan,MBO,MBO,21163641457292120,745433747188351435,11.493889,3.4243891,2.6023784,226.6972064588441,-41.21778800282223,2025062300357,24,60850.09400891409,g,226.69718883119464,-41.21782909594999,12.694887161254883,1733.2,136.015,False,1789.6,1.36874,1527.3,133.198,False,-151.46,7.88357,23.302878329681775,0.08520448499184827,23.268110087090385,0.0008304037508625142,23.440189085896264,0.09468859049127772,nan,nan
2008 CX73,nan,MBO,MBO,21163641457292120,745464542784913606,12.735842,3.4386249,2.676564,226.13806186731003,-40.376546281022925,2025063000426,43,60857.221485952716,g,226.138219726166,-40.37642801086905,8.375163078308105,2236.92,269.449,False,nan,nan,79504.5,274.678,False,77229.5,4.02896,23.025873906667556,0.13078275057659383,nan,nan,19.149020723331795,0.00375108149926393,19.18054194216549,5.664141276369247e-05
2008 CX73,nan,MBO,MBO,21163641457292120,745464543181275484,12.736061,3.4386275,2.6765788,226.13798618945103,-40.37639083451749,2025063000429,31,60857.22278962034,g,226.13832058169177,-40.37630522690148,9.004709243774414,2731.27,295.139,False,2918.47,23.8297,79530.6,297.929,False,76851.4,4.00507,22.809088406007724,0.11732384702423047,22.73711192739819,0.008865182375871996,19.148664331423554,0.004067268193035279,19.18587056347618,5.658257126696573e-05
2008 CX73,nan,MBO,MBO,21163641457292120,745464543340658996,12.736136,3.4386284,2.6765838,226.13796014857567,-40.37633730694543,2025063000430,79,60857.223238299455,g,226.1378884033378,-40.37622025536033,7.6116790771484375,475.624,370.38,False,2410.62,1.85928,134156.0,374.5,False,133928.0,5.84363,24.70684061363471,0.8454892663235924,22.944678058676857,0.0008374142345139026,18.58097474787108,0.0030308611518077423,18.582821541520605,4.737351772052877e-05
2008 CX73,nan,MBO,MBO,21163641457292120,745464543437127729,12.736209,3.4386294,2.6765888,226.1379349279489,-40.37628544673042,2025063000431,7,60857.22367359555,g,226.13788995066517,-40.37622310407218,7.899193286895752,578.081,383.094,False,2504.61,1.63672,135555.0,393.36,False,134870.0,5.82761,24.495028273187366,0.7195168563421405,22.90314967785929,0.0007095100722120343,18.569711146659102,0.003150641271803466,18.575211606238945,4.691367377059556e-05
2008 CX73,nan,MBO,MBO,21163641457292120,745464545865105623,12.737769,3.4386477,2.6766932,226.13739786725776,-40.3751766936429,2025063000449,30,60857.232970256315,r,226.13729858269988,-40.37517310502841,8.64509105682373,2373.16,271.866,False,3181.95,34.6448,3402.12,275.679,False,1119.09,4.49005,22.961682491154104,0.12438047458193117,22.643266639112674,0.011821402716906784,22.570625892512034,0.08797886178095625,23.777837495723904,0.004356226773795361
2008 CX73,nan,MBO,MBO,21163641457292120,745464546022916215,12.737842,3.4386485,2.676698,226.1373728313339,-40.37512479920304,2025063000450,75,60857.23340559425,r,226.1373881426023,-40.375112861767725,7.895798206329346,2001.81,252.062,False,1937.16,40.1524,2524.0,253.456,False,544.98,4.67326,23.146442832149297,0.136712688711559,23.182086248808574,0.022504550306837984,22.894776623569754,0.10902787187848505,24.55904862748106,0.009310301273818676
2008 CX73,nan,MBO,MBO,21163641457292120,745464546140356936,12.737915,3.4386494,2.676703,226.1373477462314,-40.37507278401408,2025063000451,43,60857.233841860565,r,226.13742394422135,-40.37509554137098,9.628263473510742,2315.73,240.663,False,2365.02,1.05753,2903.91,240.647,False,701.635,4.49809,22.988280204361743,0.11283548960926386,22.965412946686296,0.0004854921516717543,22.742542152161832,0.08997495508480796,24.284721872335215,0.006960512046371536
2008 CX73,nan,MBO,MBO,21163641457292120,745464546404073620,12.738061,3.438651,2.6767128,226.13729771623136,-40.37496898802232,2025063000453,34,60857.23471153538,r,226.1372764172691,-40.375032807595645,9.628677368164062,2332.32,246.778,False,2505.08,11.969,2452.79,248.922,False,273.162,4.52759,22.98052962708102,0.11487951959944318,22.902945966974922,0.00518752937246361,22.925849065459587,0.11018620431255291,25.308949340920833,0.017995798802233866
