provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2010 FE110,nan,MBO,MBO,21164706660233285,745416141174735135,15.577438,2.4983935,1.6434181,223.92311523179535,-41.76678900454747,2025061900254,18,60846.186180225355,g,223.92312937145076,-41.76678669567578,17.682262420654297,5293.14,254.128,False,4158.32,12.788,5543.09,255.836,False,211.345,14.1745,22.090716519604293,0.05212708706179989,22.352705278281096,0.003338943440942436,22.04062020549943,0.05011111382278268,25.587520049359565,0.07281822730960642
2010 FE110,nan,MBO,MBO,21164706660233285,745424938026926345,16.017994,2.5020885,1.6591789,223.779320376736,-41.585890399963176,2025062100259,186,60848.03381525183,r,223.77931298848418,-41.585922808174246,26.412342071533203,4815.32,176.587,False,4574.7,9.89418,7687.35,167.188,False,2783.49,63.5834,22.19343715645733,0.039816027239144666,22.249093405790447,0.0023482347054762983,21.685558349552032,0.023613087232750577,22.788525840323892,0.024801526296990683
2010 FE110,nan,MBO,MBO,21164706660233285,745424938426434243,16.018332,2.5020914,1.6591908,223.77920887487943,-41.585756108265294,2025062100262,180,60848.03519838274,r,223.77916721157362,-41.585729893077115,23.475934982299805,4159.5,175.563,False,3766.0,3.98436,7309.96,162.664,False,3131.52,85.2257,22.35239717841614,0.04582644768830389,22.460299210798382,0.0011486892943901033,21.74021250452447,0.02416021381033119,22.66061201886871,0.029548790331721395
2010 FE110,nan,MBO,MBO,21164706660233285,745424942317174992,16.02197,2.5021212,1.6593196,223.77800984440464,-41.58430838231176,2025062100291,177,60848.05006643802,g,223.77800829914395,-41.58424458683252,6.576457977294922,4856.19,715.828,False,6623.09,66.2678,4842.72,719.392,False,10.5863,26.6341,22.18426083732203,0.1600432414172435,21.84734838401942,0.010863411291579063,22.18727655330739,0.16128744516310956,28.838139517918023,2.7316065945141457
2010 FE110,nan,MBO,MBO,21164706660233285,745433742941094382,16.4966,2.5061896,1.677306,223.6546438275912,-41.385057345612864,2025062300325,115,60850.077717199776,r,223.6546249856767,-41.38505667251044,42.23003387451172,7920.13,185.567,False,7809.39,0.878637,7342.38,173.363,False,-428.765,14.6349,21.653169240809646,0.02543857420867239,21.668457201029998,0.00012215653235589946,21.735407873898644,0.025635624392446436,nan,nan
2010 FE110,nan,MBO,MBO,21164706660233285,745433743052243363,16.496706,2.5061905,1.6773101,223.65461610698813,-41.38501310016528,2025062300326,71,60850.078165884326,r,223.6545911966279,-41.385010453741515,41.98566436767578,8231.16,195.106,False,7955.9,0.647446,7346.4,180.352,False,-432.269,12.2157,21.61134737006536,0.025735576394176205,21.648276724041587,8.8356508527487e-05,21.73481358616042,0.02665451160262173,nan,nan
2010 FE110,nan,MBO,MBO,21164706660233285,745433743341650631,16.496918,2.5061922,1.6773182,223.6545611084688,-41.38492528111657,2025062300328,111,60850.07905422094,r,223.6545451346104,-41.38493497317129,43.362998962402344,8478.9,193.611,False,8246.54,1.10492,7846.43,180.426,False,-427.594,12.0029,21.579151166896228,0.024792184651044033,21.60932057017876,0.00014547333473920407,21.663319714054722,0.024966134984265864,nan,nan
2010 FE110,nan,MBO,MBO,21164706660233285,745433746005033211,16.499464,2.5062137,1.677415,223.6539018482067,-41.38386883971525,2025062300348,71,60850.089728972605,g,223.6538835286754,-41.38385742415306,37.33462142944336,5262.63,140.179,False,5223.81,0.166978,5144.37,134.488,False,-214.358,9.79946,22.096992931362095,0.028920410472264537,22.10503155674646,3.4705331873831734e-05,22.121669482951734,0.028384135382213557,nan,nan
2010 FE110,nan,MBO,MBO,21164706660233285,745433746721735169,16.500038,2.5062187,1.6774368,223.6537537399872,-41.38363049470007,2025062300353,158,60850.0921310609,g,223.6537365079095,-41.383631393016735,34.738590240478516,5540.56,157.994,False,5288.18,0.717875,5377.65,152.154,False,-242.696,10.964,22.04111583273528,0.030960734600640836,22.09173439060704,0.0001473896229372232,22.0735186869615,0.030719573987389996,nan,nan
2010 FE110,nan,MBO,MBO,21164706660233285,745433747259130461,16.500486,2.5062222,1.6774538,223.6536381388281,-41.38344419153732,2025062300357,159,60850.09400891409,g,223.65362239608618,-41.38344590110018,35.81229782104492,5267.74,147.287,False,4841.26,0.0906609,5258.61,144.463,False,-243.522,10.0414,22.095939123360232,0.030357387429610656,22.187604034902193,2.0332274267108717e-05,22.097822620841026,0.029827028557475908,nan,nan
2010 FE110,nan,MBO,MBO,21164706660233285,745464542233362735,18.056837,2.5206273,1.7459495,223.51825843781776,-40.69277470531851,2025063000422,15,60857.21972568116,g,223.51824704479145,-40.69268831781063,17.176733016967773,3626.72,208.183,False,3949.29,1.49285,3458.24,210.062,False,-486.49,3.29359,22.501214940572908,0.06232403402610716,22.408702425383332,0.00041041331951707034,22.552862178596584,0.06595028553379735,nan,nan
