provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2010 SA23,nan,MBO,MBO,21164706877289281,745416141742539060,9.76184,3.7171743,2.8662393,227.1398734817984,-38.8803363899943,2025061900258,77,60846.188051312194,g,227.13985547170924,-38.88029672294722,13.272459030151367,2182.83,163.3,False,2163.43,2.42847,2567.21,163.529,False,314.014,4.54596,23.052450176307673,0.08122516146685299,23.062142915011776,0.0012187488256652553,22.876346527047858,0.06916043723888295,25.157627446107114,0.01571813098646865
2010 SA23,nan,MBO,MBO,21164706877289281,745416141857357966,9.761932,3.7171738,2.8662426,227.1398018627989,-38.88030413305093,2025061900259,40,60846.188516572714,g,227.13975177256634,-38.880161376219405,10.569168090820312,1848.98,174.105,False,2092.4,49.4739,2321.04,177.797,False,423.33,3.04141,23.232669477671323,0.10223588101950434,23.098388272284858,0.02567176770946988,22.985793419224358,0.08316988658863683,24.833302417985696,0.007800460685413806
2010 SA23,nan,MBO,MBO,21164706877289281,745416142008353277,9.762028,3.7171736,2.866246,227.13972870998464,-38.88027117905244,2025061900260,72,60846.188991285606,g,227.13967822694147,-38.88022986153393,9.749868392944336,1686.3,167.904,False,1859.61,8.28874,2085.04,169.439,False,315.677,4.55427,23.332662868530164,0.10810618158076725,23.226445326243564,0.00483939393332515,23.102214002112916,0.08823142400869945,25.151892641632056,0.015663908258602068
2010 SA23,nan,MBO,MBO,21164706877289281,745416142120026421,9.76212,3.717173,2.866249,227.13965679561343,-38.88023877680962,2025061900261,29,60846.189458533816,g,227.13963580819242,-38.880196022025196,12.494183540344238,1918.0,154.833,False,1786.4,1.00162,2420.67,157.257,False,256.753,5.15824,23.192878492913387,0.08764743780323767,23.27005321000319,0.00060876351401881,22.94016106530664,0.07053403725858615,25.37621122232786,0.021812745911691703
2010 SA23,nan,MBO,MBO,21164706877289281,745416142679966183,9.762496,3.7171717,2.8662622,227.1393670457795,-38.88010816336266,2025061900265,73,60846.19134019294,g,227.13930949488613,-38.88007763265083,11.438776969909668,1811.17,160.141,False,1817.23,5.45568,2175.26,162.65,False,248.903,5.33498,23.255101933739546,0.0959992073476663,23.251475267134257,0.0032595924817447157,23.05622206050043,0.08118339246080711,25.40992467267518,0.023271639765007075
2010 SA23,nan,MBO,MBO,21164706877289281,745416142815232433,9.762589,3.7171714,2.8662655,227.13929516318868,-38.88007574479748,2025061900266,75,60846.191807329466,g,227.1392541284729,-38.88008079365799,10.991023063659668,1785.47,158.641,False,1675.46,0.0736426,2117.54,159.492,False,265.55,4.86678,23.270618624203898,0.09646887772389759,23.33966486548594,4.772207943359479e-05,23.08542092288333,0.08177708111590241,25.339634285522166,0.01989847214061072
2010 SA23,nan,MBO,MBO,21164706877289281,745416142954692943,9.762685,3.717171,2.8662689,227.1392214400437,-38.88004248982036,2025061900267,85,60846.19228652783,g,227.13920638336563,-38.880027306622225,13.998769760131836,2043.45,144.286,False,1964.74,3.05783,2461.85,146.11,False,270.212,4.84209,23.12408998675283,0.07666276780894703,23.166737287875304,0.0016897894168991514,22.921845987105073,0.06443808974840419,25.320738397568675,0.019455954774150973
2010 SA23,nan,MBO,MBO,21164706877289281,745416143083143235,9.762777,3.7171707,2.866272,227.139150031952,-38.88001027299751,2025061900268,74,60846.192750367045,g,227.13917783246484,-38.87998166025977,12.12952995300293,1988.3,162.507,False,2004.99,1.14873,2566.58,165.538,False,319.857,4.3284,23.15379519205308,0.08873898969083727,23.14471947805442,0.0006220568678936035,22.876612952660324,0.07002726908793319,25.137610369240186,0.014692505757910684
2010 SA23,nan,MBO,MBO,21164706877289281,745416143217885366,9.762871,3.7171702,2.8662753,227.13907816866535,-38.87997784472618,2025061900269,75,60846.19321768653,g,227.13907460268655,-38.87997935233448,11.458063125610352,2089.2,179.408,False,2185.88,3.90851,2600.56,181.694,False,342.813,4.19316,23.100049982463094,0.09323653587244968,23.050934267064818,0.0019413741871824846,22.862332779915462,0.07585741140663,25.062356830407552,0.013280318546650753
2010 SA23,nan,MBO,MBO,21164706877289281,745416143332704568,9.762963,3.71717,2.8662786,227.13900661946545,-38.87994555212397,2025061900270,38,60846.19368268379,g,227.1389933871586,-38.87990820366266,12.80611801147461,1859.56,145.053,False,1903.37,0.695789,2397.58,146.609,False,297.326,5.35873,23.226474476450683,0.084691691575982,23.20119195306227,0.0003968977591775506,22.95056719667372,0.06639139758929433,25.216917820446238,0.019568309592279523
