provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2011 PJ1,nan,MBO,MBO,21164711121793354,745174274989883610,21.417168,2.2570612,1.5237757,271.00920972658946,-23.95361041360582,2025042500450,145,60791.277617615146,i,271.009137036531,-23.953628928995144,6.570333003997803,1695.07,248.587,False,1629.87,21.8944,3199.57,233.506,False,1397.82,27.0527,23.327030940318018,0.15922641577107285,23.36961758815409,0.01458493158657047,22.637270936609056,0.07923749417363893,23.536371916556565,0.021012789201373932
2011 PJ1,nan,MBO,MBO,21164711121793354,745174275392013702,21.416817,2.2570565,1.5237551,271.00932168430245,-23.95368150931629,2025042500453,144,60791.279216819836,i,271.0092205741954,-23.95370116101629,5.971085071563721,1638.08,256.79,False,1682.05,13.9233,2183.39,239.84,False,589.862,22.1654,23.364162259452023,0.17020305282830964,23.335402715152483,0.008987265677151487,23.0521717611902,0.11926544510363368,24.473123953355547,0.04079899502900144
2011 PJ1,nan,MBO,MBO,21164711121793354,745174275656778905,21.416584,2.2570534,1.5237412,271.0093959227114,-23.9537286570499,2025042500455,137,60791.28027748602,i,271.0093567988145,-23.953788012769802,5.737624645233154,1524.1,264.978,False,1667.17,4.32754,1475.98,253.911,False,51.1435,18.9874,23.44246635968723,0.18876465404302312,23.345050254507882,0.0028182888641863626,23.47729883262207,0.1867778453844282,27.128023858779308,0.4030875313033534
2011 PJ1,nan,MBO,MBO,21164711121793354,745174276329439772,21.416,2.2570455,1.523707,271.0095810329601,-23.953846231634817,2025042500460,140,60791.28292506441,i,271.00946765084404,-23.953897757915513,6.41563081741333,1779.34,281.78,False,nan,nan,1530.91,270.076,False,-131.183,17.8864,23.274352666082862,0.17193945638732397,nan,nan,23.437625826009647,0.19154050368482503,nan,nan
2011 PJ1,nan,MBO,MBO,21164711121793354,745174276547019882,21.415766,2.2570424,1.5236932,271.0096555544011,-23.953893569338923,2025042500462,43,60791.28399201683,i,271.0096358688369,-23.953908581398725,5.7863264083862305,1873.22,322.233,False,1942.07,34.7065,1361.09,293.754,False,-244.096,14.053,23.21852805195272,0.18676932864003704,23.17933783110051,0.019403062570359463,23.56528291923265,0.23432642860947683,nan,nan
2011 PJ1,nan,MBO,MBO,21164711121793354,745174276729997586,21.41565,2.2570407,1.5236864,271.00969248654326,-23.95391703030294,2025042500463,136,60791.284521776055,i,271.0096396834042,-23.953992861199104,5.756267547607422,1594.9,287.772,False,1664.25,61.8622,1807.35,269.742,False,-155.048,18.9799,23.393166338266397,0.19590223699217946,23.346953585940728,0.04035813854986579,23.25739435607844,0.16204313722925848,nan,nan
2011 PJ1,nan,MBO,MBO,21164711121793354,745200689712988586,19.999926,2.239111,1.4488637,271.3387265305121,-24.22384035264293,2025050100647,151,60797.28074399984,g,271.3387207603344,-24.22380097574661,5.08466100692749,1074.56,202.367,False,1085.96,16.4436,1175.89,175.698,False,1142.18,10.3406,23.821923265491993,0.2044717571274038,23.810465466942652,0.016440211586101657,23.724083243832247,0.16222748318859428,23.75566357085298,0.009829591908346876
2011 PJ1,nan,MBO,MBO,21164711121793354,745200689968840888,19.999662,2.239108,1.448852,271.3387473785549,-24.22388762037906,2025050100649,127,60797.281717596794,g,271.33870831282707,-24.22398591552613,6.223591327667236,1365.48,217.176,False,1572.3,5.8454,213.011,196.048,False,1380.59,10.6832,23.561786656854718,0.17268348405744294,23.40866143022658,0.004036482896692293,25.57899491387849,0.9992742834449333,23.54983821851209,0.008401579891401046
2011 PJ1,nan,MBO,MBO,21164711121793354,745200690115117328,19.999533,2.2391067,1.448846,271.338757759538,-24.22391117380768,2025050100650,150,60797.28220231854,g,271.33869288368004,-24.223952483970454,8.54450511932373,1801.95,210.783,False,1896.96,1.97016,2187.49,180.528,False,1091.5,9.62524,23.26064318909679,0.12700393785499436,23.204854589129706,0.0011276326824668245,23.05013481398803,0.08960305478656783,23.804940649887104,0.009574413102480694
2011 PJ1,nan,MBO,MBO,21164711121793354,745200690384076866,19.999264,2.2391036,1.448834,271.3387791195759,-24.223959673052736,2025050100652,151,60797.28320126145,g,271.3387035892812,-24.223982127898868,6.735368728637695,1294.19,188.329,False,1255.01,4.68862,2762.66,175.318,False,1203.63,11.118,23.62000494971896,0.15799505270815073,23.653382025758873,0.00405622627945905,22.796681435360583,0.06890066044300891,23.69876748604414,0.010029008174160794
