provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2013 NG62,nan,MBO,MBO,21164719678566983,745416141078790280,13.645292,2.7582953,1.8999344,225.45934616808955,-39.97501063476826,2025061900253,91,60846.18571192013,g,225.45935305449524,-39.97498111587268,12.05704402923584,2078.74,170.353,False,2357.36,9.30234,2209.26,174.775,False,97.7266,2.63811,23.105499572568693,0.0889762149725939,22.96893517529671,0.004284405598767773,23.03938292154672,0.08589280470428888,26.424968019009437,0.02930923040327713
2013 NG62,nan,MBO,MBO,21164719678566983,745416141209862492,13.645418,2.7582943,1.8999364,225.45927425322628,-39.97493861710935,2025061900254,85,60846.186180225355,g,225.45931145055357,-39.97492709079487,12.209288597106934,2302.03,183.277,False,2642.93,9.15228,2141.68,188.494,False,88.0547,2.27862,22.994722538567405,0.08644129922171406,22.844785876417042,0.0037598278616502007,23.07311358201983,0.09555805269248621,26.538118611517405,0.02809594670617377
2013 NG62,nan,MBO,MBO,21164719678566983,745416141338312783,13.645542,2.7582932,1.8999386,225.45920296134352,-39.97486720877404,2025061900255,74,60846.186645377835,g,225.45920465352614,-39.97483906406757,9.013011932373047,1654.88,181.141,False,2001.3,6.7336,1613.72,183.946,False,-6.0649,2.56677,23.353083728446585,0.11884326858154022,23.146719485079373,0.0036530821373979006,23.380429565809578,0.1237617645059358,nan,nan
2013 NG62,nan,MBO,MBO,21164719678566983,745416141456801800,13.645667,2.758292,1.8999407,225.4591313725045,-39.97479548840055,2025061900256,44,60846.18711265712,g,225.459150348827,-39.974736606282384,12.4674654006958,1701.01,141.846,False,1733.58,1.43198,1534.48,142.063,False,-65.7898,3.12657,23.323232826825155,0.09053875595169522,23.302640307614066,0.0008968450172107725,23.435096933001653,0.10051805710295737,nan,nan
2013 NG62,nan,MBO,MBO,21164719678566983,745416141613564257,13.645793,2.758291,1.8999428,225.4590591803341,-39.974723148750506,2025061900257,87,60846.18758317418,g,225.45908396752037,-39.97472752244002,12.885111808776855,2051.2,158.002,False,2050.03,2.67968,1972.58,160.306,False,-59.8074,2.60332,23.119980006248774,0.08363323650303367,23.12059944313816,0.001419211265181078,23.162413460448978,0.08823471375172943,nan,nan
2013 NG62,nan,MBO,MBO,21164719678566983,745416141726285970,13.645918,2.7582898,1.8999449,225.4589874578544,-39.97465126497442,2025061900258,46,60846.188051312194,g,225.45895995309675,-39.97465998666849,13.151593208312988,2094.43,158.069,False,2099.53,0.497073,2092.99,161.592,False,-28.4648,2.7837,23.097335410542463,0.08194174167504825,23.094694773314494,0.0002570528352689787,23.098082121695533,0.08382566588897965,nan,nan
2013 NG62,nan,MBO,MBO,21164719678566983,745416141978468869,13.64617,2.7582877,1.8999492,225.458843429529,-39.97450686816467,2025061900260,15,60846.188991285606,g,225.45883434820766,-39.97449955493271,11.555917739868164,1909.59,163.725,False,1948.72,1.29463,1939.6,167.039,False,50.6945,2.62319,23.19764969012516,0.09308918141202653,23.175626410307512,0.0007213076988487746,23.180719575057623,0.09350396668376922,27.137597890743343,0.05618148470720936
2013 NG62,nan,MBO,MBO,21164719678566983,745416142286749984,13.646422,2.7582853,1.8999534,225.45869852219815,-39.97436152988039,2025061900262,91,60846.189937692834,g,225.4586886979488,-39.974352179391474,12.23055362701416,1857.18,149.192,False,1855.64,1.10531,2265.66,151.331,False,249.294,3.40154,23.227864973361353,0.087219953172825,23.22876567753339,0.0006467175934347654,23.012013198867855,0.07251994786693318,25.408220407244684,0.014814536572792887
2013 NG62,nan,MBO,MBO,21164719678566983,745416142665810076,13.646797,2.758282,1.8999597,225.45848368684617,-39.97414594404904,2025061900265,46,60846.19134019294,g,225.45851085252505,-39.9741497672938,13.418435096740723,1938.92,142.904,False,1970.98,0.21928,2822.22,143.858,False,830.026,3.87677,23.1811002493369,0.08002189396299464,23.163294467226436,0.00012079282500373838,22.77352284823,0.05534360978980944,24.102270757301447,0.005071105679549445
2013 NG62,nan,MBO,MBO,21164719678566983,745416142801600708,13.646922,2.758281,1.8999618,225.45841219716857,-39.97407417500182,2025061900266,49,60846.191807329466,g,225.45842335808868,-39.974061868248874,13.763618469238281,2039.7,146.07,False,2141.64,4.49296,3498.92,147.373,False,1456.82,3.36456,23.12608428625687,0.07775334567717777,23.073133880228482,0.002277772901780024,22.54016499223927,0.04573074162008832,23.491485302395876,0.0025075332704604797
