provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2013 WU137,nan,MBO,MBO,21164719830480725,745174275063283934,17.234613,2.8147993,2.1252387,272.066577879792,-22.709477432202437,2025042500451,29,60791.278146256256,i,272.06656608397793,-22.709502973149526,10.425405502319336,4448.5,428.567,False,4268.8,6.5204,14762.1,308.573,False,13047.5,55.5112,22.27946601273929,0.10459945890872321,22.32423552992513,0.0016584133069648419,20.97712967133721,0.022695204927182865,21.111181736181255,0.004619315543709907
2013 WU137,nan,MBO,MBO,21164719830480725,745174275351643227,17.234411,2.814797,2.1252239,272.066581952561,-22.709538988656405,2025042500453,67,60791.279216819836,i,272.0665466171403,-22.709568529390893,11.697385787963867,4542.03,385.541,False,4450.61,10.4349,18246.9,326.88,False,14933.8,38.4318,22.256875055361938,0.09216051539715799,22.27895118484534,0.0025456172028577597,20.74702724686481,0.01945017774608607,20.96457418727739,0.0027941179160193065
2013 WU137,nan,MBO,MBO,21164719830480725,745174276554883681,17.233511,2.8147857,2.1251578,272.0665997586316,-22.709813572760915,2025042500462,58,60791.28399201683,i,272.0665866255147,-22.709849844557244,11.74624252319336,5290.86,451.699,False,5413.1,11.9301,16964.2,336.902,False,14970.5,31.5944,22.091184353214672,0.0926930548516573,22.066384854931766,0.002392887946184509,20.826166590133536,0.02156227375581142,20.961909236013668,0.002291385350408668
2013 WU137,nan,MBO,MBO,21164719830480725,745200689692541145,16.017517,2.8008654,2.04522,272.0033332817971,-23.063918945281703,2025050100647,112,60797.28074399984,g,272.003278216374,-23.063837146241095,7.151126384735107,1332.19,194.695,False,1583.53,14.0081,3978.23,188.624,False,2752.09,3.79862,23.588584624431444,0.15867663594157935,23.400934241159174,0.00960455473934099,22.400775285079312,0.05147915007544873,22.800843384636536,0.0014986061919301538
2013 WU137,nan,MBO,MBO,21164719830480725,745200689930043408,16.017294,2.800863,2.0452073,272.0032966835522,-23.063979894774835,2025050100649,53,60797.281717596794,g,272.0032809625219,-23.063998764569575,7.581416130065918,1231.32,165.277,False,1229.66,5.40622,1704.45,155.363,False,200.125,4.76857,23.67407271321644,0.1457356517572804,23.67553735491322,0.004773456546930288,23.321039366769742,0.09896637975249056,25.64674663768161,0.025870875880612435
2013 WU137,nan,MBO,MBO,21164719830480725,745200690095194441,16.017183,2.800862,2.0452008,272.0032784326088,-23.06401027060176,2025050100650,112,60797.28220231854,g,272.0032487364284,-23.06408729992464,7.478285789489746,1278.96,171.88,False,1350.69,6.42786,1477.52,166.309,False,100.013,3.98341,23.632857628279687,0.14591257730889445,23.573610835792003,0.005166959397382646,23.476166564927173,0.12220999128228739,26.399858858166297,0.0432437013760253
2013 WU137,nan,MBO,MBO,21164719830480725,745200690363629656,16.016954,2.8008597,2.045188,272.00324082235267,-23.06407282804925,2025050100652,112,60797.28320126145,g,272.00318799841835,-23.06414867243115,6.334769248962402,1016.61,162.532,False,1137.94,22.8516,882.054,156.978,False,-126.382,4.11063,23.88211407220746,0.17358365239009116,23.75970164670684,0.021803268570072035,24.036262045725955,0.19322704890070194,nan,nan
2013 WU137,nan,MBO,MBO,21164719830480725,745200690442273126,16.01684,2.8008585,2.0451815,272.0032219898191,-23.064104132792384,2025050100653,6,60797.283701374006,g,272.0031721575138,-23.064133457073385,5.211831569671631,997.905,191.08,False,1270.32,17.7285,780.745,184.822,False,-85.8677,3.95901,23.902276971468204,0.20789801624649995,23.64021720664929,0.015152461991872843,24.16872697771865,0.257021107852291,nan,nan
2013 WU137,nan,MBO,MBO,21164719830480725,745200690599559714,16.016731,2.8008573,2.0451753,272.0032039806139,-23.06413405680636,2025050100654,50,60797.28417959226,g,272.0031743362517,-23.064129294648676,7.135775089263916,1081.36,148.915,False,1010.95,9.66399,973.932,143.176,False,-105.69,5.31204,23.815074262743728,0.14951764614214327,23.888175795392836,0.010378894822944922,23.92867840371386,0.15961212917825143,nan,nan
2013 WU137,nan,MBO,MBO,21164719830480725,745200690766282918,16.016613,2.800856,2.0451686,272.0031846846851,-23.06416610572968,2025050100655,112,60797.284691791996,g,272.003207297305,-23.064203709881454,6.018493175506592,905.09,148.24,False,1047.2,54.1789,772.674,141.617,False,-161.938,6.06296,24.008270551373748,0.1778271068974819,23.849925966768215,0.056172648799198525,24.180009237340744,0.19899557464819587,nan,nan
2013 WU137,nan,MBO,MBO,21164719830480725,745200691034718853,16.016382,2.8008537,2.0451555,272.0031465278169,-23.06422944144301,2025050100657,112,60797.28570343807,g,272.00314500293007,-23.06424810926859,7.126950740814209,1102.91,150.032,False,1106.59,6.2122,761.688,145.401,False,-240.457,5.4875,23.793649780216025,0.1476957926810788,23.790033180344935,0.006095130842002848,24.19555723279776,0.20725957793368047,nan,nan
2013 WU137,nan,MBO,MBO,21164719830480725,745200691111789522,16.016268,2.8008525,2.045149,272.0031275162909,-23.06426097870909,2025050100658,3,60797.28620794672,g,272.00306711354773,-23.06431311880182,7.7154412269592285,1306.73,169.673,False,1284.44,9.80531,1039.17,165.217,False,-248.457,4.2858,23.609535361782342,0.14097795744310698,23.62821549479547,0.008288422053370936,23.858283452799377,0.17262052001765932,nan,nan
2013 WU137,nan,MBO,MBO,21164719830480725,745200691270648326,16.016151,2.8008513,2.0451424,272.0031084236867,-23.06429263748289,2025050100659,50,60797.28671342708,g,272.0031236391401,-23.064330137289232,7.058549404144287,1002.13,142.935,False,984.315,8.71911,950.743,137.668,False,-210.275,5.11301,23.897689836040186,0.15485984954070675,23.917164738856506,0.00961750341319293,23.954842180417774,0.15721507708735905,nan,nan
2013 WU137,nan,MBO,MBO,21164719830480725,745200691436847664,16.01604,2.8008504,2.0451362,272.00309030694496,-23.06432266613338,2025050100660,111,60797.28719301775,g,272.00315830741295,-23.064311932229355,5.8453369140625,787.708,135.123,False,791.836,3.37063,577.479,130.019,False,-212.33,4.73751,24.15908684871371,0.18624659510035013,24.15341189547888,0.004621683099398153,24.496159503279678,0.24445275343903763,nan,nan
