provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2014 KJ83,nan,MBO,MBO,21164723923333962,745174274967865211,22.46515,2.1600173,1.4204016,271.1396282623669,-23.6467648568074,2025042500450,103,60791.277617615146,i,271.1395724754504,-23.646790754204844,16.15207290649414,4664.24,285.762,False,4668.09,3.93099,4111.36,248.279,False,-188.414,24.6578,22.228047722714948,0.0665193314659348,22.22715198489284,0.0009142964864524259,22.365036270468682,0.06556602090301239,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745174275226862410,22.464893,2.1600158,1.4203899,271.1397173411748,-23.64671453667148,2025042500452,85,60791.27868052027,i,271.13966228160564,-23.64675492727606,17.513216018676758,5615.83,317.135,False,5261.08,0.71511,7232.29,284.943,False,1993.68,24.2748,22.026465103535152,0.0613132799797647,22.09731271955047,0.00014757821780732357,21.751810413799035,0.04277662017139926,23.150861340307507,0.013219788433523415
2014 KJ83,nan,MBO,MBO,21164723923333962,745174275372090176,22.464762,2.160015,1.420384,271.1397622413447,-23.64668915423056,2025042500453,106,60791.279216819836,i,271.13970435331277,-23.646753529443757,18.547882080078125,5990.56,317.16,False,5250.11,0.649023,9675.09,271.122,False,3309.5,29.0939,21.956331433598244,0.057482454947293815,22.099579021238636,0.00013421962269176267,21.435862483482268,0.03042524525695638,22.600594036439443,0.009544735248980698
2014 KJ83,nan,MBO,MBO,21164723923333962,745174275640001268,22.464504,2.1600134,1.4203724,271.1398510880791,-23.646638891788367,2025042500455,105,60791.28027748602,i,271.1398011923635,-23.646687242880002,19.52055549621582,6000.49,305.808,False,5669.96,0.170211,12611.9,271.941,False,7310.99,23.6755,21.954533166796494,0.055333284355953846,22.016050019789468,3.2593571884662955e-05,21.148048669971434,0.02341092067420927,21.740059490505715,0.003515987251522941
2014 KJ83,nan,MBO,MBO,21164723923333962,745174276038984663,22.464117,2.1600113,1.4203547,271.1399849901836,-23.646563048796303,2025042500458,98,60791.28187701356,i,271.13992468530324,-23.646601528993273,17.00980567932129,5581.51,315.548,False,5765.12,26.4684,17777.8,272.39,False,12830.1,20.5985,22.033120777659313,0.06138158076068225,21.99797909920236,0.004984752883563102,20.775304912076137,0.01663556163990332,21.1294249296718,0.0017431303834372083
2014 KJ83,nan,MBO,MBO,21164723923333962,745174276331537410,22.463861,2.1600099,1.4203433,271.1400726446741,-23.64651334111409,2025042500460,144,60791.28292506441,i,271.13999672934386,-23.646545964856667,16.09086799621582,5447.83,335.621,False,5564.85,16.5972,32861.1,300.743,False,27332.5,24.0594,22.0594411171304,0.06688825971756344,22.03636632479108,0.0032382150549985704,20.108294705836027,0.009936598603212846,20.30830160805803,0.0009557180005894323
2014 KJ83,nan,MBO,MBO,21164723923333962,745174276730520262,22.463474,2.1600075,1.4203258,271.1402060566677,-23.646437594664608,2025042500463,137,60791.284521776055,i,271.14013527330957,-23.646507162459542,11.961433410644531,4175.93,359.114,False,4091.8,12.6122,63428.3,321.394,False,59356.9,25.9507,22.348116929065263,0.093369158455006,22.370213992025963,0.0033465765098469485,19.3942923075544,0.005501473490739877,19.466322000567114,0.00047468139501126325
2014 KJ83,nan,MBO,MBO,21164723923333962,745200685126516769,20.926825,2.151642,1.3576751,271.5450153898808,-23.341254541193383,2025050100613,107,60797.236190814656,u,271.5451324707599,-23.341379182276086,5.414276123046875,1695.24,337.382,False,nan,nan,1951.5,332.887,False,-44.9611,6.73951,23.326922028229482,0.21608022574117342,nan,nan,23.17407861095683,0.1852049504670084,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200689784291499,20.913708,2.1515794,1.3572131,271.5465171292765,-23.338932007215256,2025050100648,31,60797.28124434253,g,271.5464759823103,-23.33900653563106,16.53201675415039,3640.68,217.687,False,3630.62,0.315761,2945.5,220.501,False,-644.171,3.20585,22.497043750366565,0.06491937160076744,22.500047975652336,9.442826255454218e-05,22.727102432319967,0.08127853558732624,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200689928995475,20.91357,2.1515787,1.3572084,271.5465324798977,-23.338907380619855,2025050100649,51,60797.281717596794,g,271.5464612798182,-23.338943765885574,22.523530960083008,3753.12,166.292,False,3748.1,1.15646,3354.99,164.08,False,-450.993,3.71478,22.464018839835315,0.048106441416440424,22.4654720481431,0.0003349992021071305,22.585771928076113,0.053099293584572244,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200690359435700,20.913136,2.1515768,1.3571932,271.5465805939427,-23.338830082343108,2025050100652,104,60797.28320126145,g,271.54650316143625,-23.338879867099084,24.113025665283203,3898.88,161.934,False,3590.15,0.274004,3669.46,161.893,False,-439.412,3.88502,22.422650361013925,0.045094390721181786,22.512218544012715,8.286452781793946e-05,22.488494616782916,0.04790162560694381,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200690453807157,20.91299,2.151576,1.3571881,271.5465967888779,-23.33880402671018,2025050100653,28,60797.283701374006,g,271.54653209254025,-23.338862716215623,18.856225967407227,3787.93,199.075,False,3763.53,3.97082,3231.81,198.438,False,-504.885,3.6842,22.4539951577142,0.057060963520833924,22.461011535924342,0.0011455370221156375,22.626385429249083,0.06666583769997024,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200690600083563,20.912851,2.1515753,1.3571832,271.54661226376805,-23.338779111992302,2025050100654,51,60797.28417959226,g,271.54655022477846,-23.33883240574996,26.248577117919922,3953.13,148.96,False,3762.15,0.0670197,3337.19,144.62,False,-347.605,4.73359,22.40764729094367,0.040912208084393636,22.461409760092945,1.934152484642002e-05,22.59154768522319,0.047051311848467475,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200690762088987,20.9127,2.1515746,1.357178,271.5466288313502,-23.33875241906897,2025050100655,104,60797.284691791996,g,271.5465672901787,-23.338791757699692,26.34627914428711,3821.74,143.432,False,3784.47,0.245167,3566.86,142.058,False,-335.36,4.34441,22.44434715809499,0.040748277784680605,22.45498734121395,7.03365841010607e-05,22.51928480849188,0.04324181708071399,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200691269600066,20.912111,2.1515718,1.3571573,271.54669418006944,-23.33864694197531,2025050100659,48,60797.28671342708,g,271.5466143122767,-23.338689940840336,26.23614501953125,3963.39,151.13,False,3519.58,0.0327859,3939.85,149.212,False,-355.872,5.11586,22.40483300622847,0.04140075096669485,22.533772873003535,1.0113944782386593e-05,22.411300754445698,0.04111955345138822,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200691432653349,20.91197,2.151571,1.3571525,271.54670967454297,-23.338621888593455,2025050100660,103,60797.28719301775,g,271.5466519930562,-23.33866498888877,27.072120666503906,3781.25,138.139,False,3472.61,0.0775505,3444.28,136.66,False,-318.432,5.302,22.45591152000864,0.03966479915539174,22.548359937562893,2.4246714611755483e-05,22.557253866162647,0.043079166750742026,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200691705282916,20.911676,2.1515698,1.3571421,271.5467422223419,-23.338569206339194,2025050100662,111,60797.28820217203,g,271.5466874576518,-23.33862157566719,25.899003982543945,3878.1,147.172,False,3939.94,1.72335,3457.22,146.328,False,-363.032,4.43508,22.428452463840337,0.04120315657720272,22.411275995762622,0.0004749066149440331,22.553182467384005,0.045954151571791314,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200691941212171,20.911388,2.1515684,1.3571321,271.5467739663661,-23.338517753685103,2025050100664,49,60797.28918785686,g,271.54670862956783,-23.338560174688176,21.180133819580078,3716.86,173.858,False,3460.05,0.949592,2913.85,170.537,False,-495.163,3.6317,22.474559460670722,0.050785857279217694,22.552294047979995,0.0002979744204259477,22.738831985426103,0.06354417410937786,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200692104266096,20.91124,2.1515677,1.3571268,271.5467903588023,-23.33849115634412,2025050100665,104,60797.28969674934,g,271.54673337689366,-23.33854210542837,21.672693252563477,3565.39,164.816,False,3456.08,0.148824,2719.38,160.412,False,-447.681,3.70664,22.519732427548206,0.05018993644053344,22.553540508448062,4.6753433990280566e-05,22.813825298900667,0.06404589515488776,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200692398916191,20.910936,2.1515663,1.3571162,271.54682369980054,-23.33843700186064,2025050100667,154,60797.29073289838,g,271.5467593442693,-23.338489308472568,22.18226432800293,3707.76,165.626,False,3534.59,0.356091,3343.62,164.09,False,-437.316,4.3581,22.477220959921553,0.048499943864418096,22.52915236194461,0.00010938209900927482,22.589457676154456,0.053283101434541985,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200692456063345,20.910788,2.1515656,1.3571111,271.5468401334871,-23.33841028102528,2025050100668,7,60797.29124312107,g,271.5467941044872,-23.338452276191315,22.912513732910156,3959.95,172.589,False,3643.67,0.498114,3239.69,168.258,False,-375.546,4.57508,22.40577575745089,0.047320328048940395,22.496152431059574,0.00014842738350368215,22.623741381258064,0.05638928442935938,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200692618068529,20.910639,2.1515648,1.3571059,271.5468564632188,-23.338383710820413,2025050100669,60,60797.291751934696,g,271.54678851078285,-23.33842595916124,25.667211532592773,4072.93,158.184,False,3875.52,0.30988,3458.07,155.23,False,-412.061,3.82557,22.375232653009643,0.04216770357585748,22.429175038403564,8.681362007549923e-05,22.552915527949096,0.048737828642610295,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200692801569158,20.910492,2.1515641,1.3571007,271.54687252855825,-23.33835755297301,2025050100670,154,60797.292251945415,g,271.54680395616236,-23.338398913506595,21.845224380493164,4021.44,181.723,False,3913.33,5.01232,3557.54,181.811,False,-546.682,3.45465,22.389046032317573,0.04906283595718708,22.418633797663013,0.001390646132684185,22.522125508400094,0.055487440195240566,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200692857143827,20.910343,2.1515634,1.3570956,271.54688887574906,-23.338330918098023,2025050100671,4,60797.292760800476,g,271.54687261738013,-23.338359829181314,17.16680908203125,3231.3,187.67,False,3117.16,1.42436,2796.2,189.185,False,-532.712,3.70218,22.626556782068164,0.06305824543679012,22.665602293982847,0.0004961180382857364,22.78357944051893,0.07345862414465719,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200693045363098,20.910194,2.1515627,1.3570904,271.546905215612,-23.33830427696663,2025050100672,107,60797.2932699156,g,271.5468589460601,-23.338355557014342,19.823835372924805,3947.79,200.85,False,3827.53,0.741357,3119.3,201.586,False,-677.893,3.00596,22.40911488272468,0.055238531227528066,22.44270348328113,0.00021029702192179055,22.66485711995,0.07016613136147781,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200693283389850,20.909895,2.1515613,1.3570799,271.5469380659782,-23.33825066165899,2025050100674,49,60797.29429340684,g,271.54688771381956,-23.338275138780674,21.98413848876953,3970.15,179.08,False,3714.73,1.89606,3365.73,177.085,False,-517.019,3.61224,22.402982737795192,0.04897387915286162,22.475181872830092,0.0005541778240365386,22.582301821833553,0.05712508258975209,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200693716451615,20.909431,2.151559,1.3570637,271.5469889844884,-23.33816741343954,2025050100677,107,60797.29588233264,g,271.54694390374533,-23.338215267206976,17.6854305267334,3949.11,221.002,False,3707.21,1.23019,2924.56,219.835,False,-742.014,2.99076,22.40875189319783,0.060760491605481935,22.477382041606454,0.00036028762271426046,22.734848638907714,0.08161324133560816,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200693809251078,20.909279,2.1515584,1.3570584,271.54700566467875,-23.33814010473925,2025050100678,28,60797.29640350863,g,271.54695623465074,-23.338191798285138,18.794921875,4129.2,216.543,False,4516.3,4.33606,3302.2,218.495,False,-669.581,3.26991,22.360335151972937,0.056938042010803866,22.263043090251365,0.001042405859396081,22.602991583390594,0.07183935868965004,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200693955527353,20.90914,2.1515577,1.3570535,271.54702099379165,-23.338114991679728,2025050100679,51,60797.29688292678,g,271.54695176110135,-23.338159721220894,29.374711990356445,4213.52,142.715,False,4120.48,0.436519,3988.19,142.044,False,-341.594,4.38354,22.338387345729046,0.03677467717436165,22.362630478893163,0.00011502166769505968,22.398060415431893,0.03866975310262294,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200694119104876,20.908997,2.151557,1.3570485,271.5470366046411,-23.33808940103707,2025050100680,107,60797.29737012891,g,271.5469763917842,-23.33813231618044,28.507902145385742,3862.92,133.987,False,3584.81,0.54462,3570.52,132.534,False,-295.453,5.73408,22.432710736658578,0.037659216157442846,22.51383462627355,0.00016494977912728524,22.518171318846942,0.04030140082208328,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200694387540097,20.908693,2.1515555,1.357038,271.5470696929503,-23.33803510662243,2025050100682,107,60797.29840548485,g,271.5470277001147,-23.338082116132302,21.494169235229492,3751.11,173.841,False,3623.91,0.960681,3106.15,172.45,False,-501.598,3.57441,22.464600469226028,0.050317230333740984,22.50205651780269,0.00028782342587220007,22.669443972782503,0.06027886968876063,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200694626615337,20.908401,2.151554,1.3570278,271.54710163589573,-23.337982623418373,2025050100684,51,60797.29940548696,g,271.5470223063637,-23.338032261639285,24.83748435974121,3950.24,156.884,False,3571.48,0.213192,3300.9,153.446,False,-368.382,5.77573,22.408441296839932,0.04312007424464446,22.5178794498043,6.481074380935583e-05,22.603419112923753,0.050471653693367036,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200694790193180,20.908258,2.1515534,1.3570228,271.5471172147372,-23.33795700275469,2025050100685,107,60797.29989384275,g,271.5470740115229,-23.33799068168,24.063011169433594,3797.18,156.495,False,3750.67,1.25504,3186.62,152.575,False,-380.541,4.12103,22.45134705767251,0.044746966201510543,22.464727885754833,0.0003633064088827736,22.641674266200113,0.051984921966090905,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200695058628893,20.907948,2.151552,1.357012,271.547151065156,-23.33790127872389,2025050100687,107,60797.3009545994,g,271.5470843470066,-23.33795639664883,23.889495849609375,3779.33,157.305,False,3900.7,1.1883,3379.96,155.103,False,-385.915,4.08924,22.45646294032646,0.04519100533871368,22.42214363778246,0.0003307561112024806,22.57772111087901,0.049823353254738155,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200695296131830,20.907646,2.1515505,1.3570014,271.5471840271401,-23.337846946224573,2025050100689,48,60797.30198891531,g,271.5471188215136,-23.337888629091825,29.572290420532227,3768.35,126.867,False,3387.52,0.112992,3595.71,128.014,False,-252.42,11.9526,22.45962188995192,0.03655289132039835,22.575295323802138,3.621513921866038e-05,22.51053836704423,0.03865424192804211,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200695460757707,20.9075,2.1515498,1.3569963,271.54720008418985,-23.33782045356481,2025050100690,106,60797.30249235105,g,271.5471285706586,-23.337867297321758,27.719871520996094,3644.78,129.292,False,3528.79,0.51796,3232.15,125.338,False,-252.815,7.55794,22.49582169301884,0.03851453649930534,22.53093545284564,0.00015936565547275454,22.62627126373262,0.042103245752938515,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200695967744045,20.906885,2.151547,1.356975,271.54726689086965,-23.33771005299668,2025050100694,49,60797.30459107594,g,271.5472109797528,-23.337762097012227,28.910654067993164,4009.52,135.354,False,3903.49,0.858719,3738.59,133.65,False,-257.321,5.83046,22.392269034375644,0.036652452608821176,22.421367324910875,0.00023884838974306278,22.46823037450835,0.038813732912074565,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200696130798460,20.90674,2.1515462,1.3569698,271.54728256689305,-23.33768410707514,2025050100695,104,60797.30508495514,g,271.5472161472506,-23.337727554693917,27.234472274780273,4032.64,145.521,False,3994.27,0.275512,3498.0,144.053,False,-297.214,5.07935,22.386026394924414,0.0391796486222926,22.39640644854525,7.489062143695342e-05,22.540450487143353,0.04471227865771263,nan,nan
2014 KJ83,nan,MBO,MBO,21164723923333962,745200696427020659,20.906414,2.1515446,1.3569585,271.5473180952906,-23.33762524611828,2025050100697,157,60797.306202946434,g,271.5472565058801,-23.337675715461835,26.714567184448242,3836.68,142.668,False,3752.67,0.401735,3316.28,138.967,False,-261.878,4.78587,22.44011107388343,0.04037339961245562,22.464149084179493,0.00011623144367278763,22.59837201101338,0.04549721273981288,nan,nan
