provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 EC329,nan,MBO,MBO,21164732414638403,745297377807040559,22.386866,2.6569514,2.4950027,149.02086587518983,1.6674635766399484,2025052300134,7,60819.02753780842,g,149.02084362431836,1.6674671941917036,12.789095878601074,1586.25,124.598,False,1666.55,0.886378,1634.09,125.37,False,14.3877,30.509,23.399070912243097,0.08528325243598225,23.345454098342714,0.0005774640106292335,23.366810091994097,0.08329942281008908,28.50502155963661,2.3022947746820934
2016 EC329,nan,MBO,MBO,21164732414638403,745297377941782553,22.386854,2.6569524,2.4950106,149.0210093895729,1.667491825631329,2025052300135,8,60819.02806302253,g,149.02102361796352,1.6674888899089826,13.587843894958496,1657.45,121.326,False,1616.48,2.13937,1709.07,121.684,False,-8.74765,18.0489,23.35139894201091,0.07947632251310624,23.37857417400562,0.0014369441341700662,23.318100406881975,0.07730328566852716,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297378076000274,22.386845,2.6569536,2.4950182,149.02115209107407,1.6675199125199147,2025052300136,8,60819.028586217355,g,149.02113786373198,1.6675124434182946,14.990046501159668,1744.6,116.451,False,1738.06,4.09493,1718.74,113.671,False,-43.95,36.5188,23.295760344844346,0.07247223698258282,23.299838051500313,0.0025580324003635136,23.311974545262167,0.07180650840024767,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297378213888017,22.386835,2.6569545,2.4950259,149.0212947981682,1.667547998413752,2025052300137,15,60819.02910952353,g,149.02129615890664,1.6675317247562444,14.603849411010742,1634.28,111.34,False,1600.24,2.40871,1659.89,111.038,False,5.98671,31.8872,23.366683815716783,0.07396888103301046,23.389537201768597,0.0016342696550957056,23.349801719077185,0.07263010068550463,29.457029434128398,5.782990397912032
2016 EC329,nan,MBO,MBO,21164732414638403,745297378363834374,22.386824,2.6569555,2.4950337,149.0214372379366,1.6675760296017228,2025052300138,45,60819.029631473495,g,149.02143392199932,1.6675834713069864,14.531451225280762,1490.22,102.234,False,1494.65,0.470678,1526.43,100.538,False,16.2243,32.8434,23.466874052104416,0.07448508179900701,23.46365121610652,0.0003419075628533902,23.44080772945056,0.07151179215545686,28.374585053837112,2.1978924568970153
2016 EC329,nan,MBO,MBO,21164732414638403,745297378616541223,22.386805,2.6569574,2.4950492,149.02172377190945,1.6676324112046208,2025052300140,15,60819.030681123004,g,149.02172827424212,1.6676002437319786,13.776076316833496,1569.07,112.817,False,1522.89,0.253732,1569.31,110.765,False,-7.04531,32.3467,23.41089423980532,0.07806503665422315,23.44332865229039,0.0001808968550049845,23.410728104013916,0.0766334029395817,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297378750758957,22.386793,2.6569586,2.4950569,149.02186677464204,1.6676605468242058,2025052300141,15,60819.03120546072,g,149.0218506356489,1.6676279501240314,13.551459312438965,1571.81,116.246,False,1454.42,3.45207,1547.77,115.312,False,-26.5743,35.8466,23.40899984085698,0.08029754775642725,23.493275372236543,0.0025769978855558918,23.425733924812075,0.0808895429034333,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297378885500948,22.386784,2.6569595,2.4950647,149.0220092371417,1.6676885740396208,2025052300142,16,60819.03172731136,g,149.02200488390937,1.6676609788448276,15.459957122802734,1755.66,112.724,False,1773.2,0.105653,1739.72,112.597,False,-38.5395,32.7107,23.288898942563804,0.06971083495789136,23.27810572332938,6.469168368108174e-05,23.2988016278073,0.0702702973112842,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297379019718706,22.386774,2.6569605,2.4950724,149.02215252423477,1.6677167613481332,2025052300143,16,60819.0322521672,g,149.0221462816344,1.6677157503978577,14.79171371459961,1927.46,127.291,False,2029.62,2.52686,1902.14,126.193,False,-34.5894,11.9696,23.1875365869208,0.0717028890033358,23.131463168113964,0.0013517325369020736,23.2018937955849,0.07203061220172634,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297379153936424,22.386763,2.6569614,2.4950802,149.02229581714408,1.6677449476574604,2025052300144,16,60819.03277742538,g,149.02230343514321,1.6677251939569386,13.454127311706543,1591.99,116.309,False,1610.14,0.974485,1555.15,115.028,False,-38.0754,29.6595,23.395149168128476,0.07932266594610408,23.382840892303495,0.0006571065958667499,23.42056927120322,0.08030740576005653,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297379304407048,22.386753,2.6569624,2.4950879,149.0224382969581,1.6677729718984384,2025052300145,47,60819.03329943505,g,149.0224331552119,1.6677768160725308,16.472890853881836,1738.54,104.257,False,1563.23,1.12021,1717.58,103.139,False,-28.6781,26.7146,23.299538257355934,0.06510957531304797,23.414942811028315,0.0007780381806153102,23.312707591762596,0.06519739937668156,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297379438624775,22.386744,2.6569636,2.4950957,149.02258105560455,1.667801048849037,2025052300146,47,60819.033822497426,g,149.02258537857492,1.6677918000888368,15.752828598022461,1747.47,108.832,False,1586.47,1.31957,1762.52,107.991,False,-13.4587,30.5236,23.29397569656655,0.06761938425981008,23.398920359935325,0.000903077203362608,23.28466485346896,0.06652391704658354,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297379555541044,22.386732,2.6569645,2.4951034,149.02272327413797,1.6678290174456565,2025052300147,14,60819.034343319145,g,149.02271228791204,1.6677849010228596,14.240090370178223,1723.47,117.948,False,1774.92,4.00086,1738.51,118.192,False,-26.5433,22.8255,23.30899069806327,0.07430382538431375,23.277053015332726,0.0024473658966146688,23.29955701112385,0.07381340012415032,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297379823976496,22.386713,2.6569664,2.4951189,149.0230090937866,1.6678852200968148,2025052300149,14,60819.03539085956,g,149.0229636797964,1.6678788645350657,13.240548133850098,1660.09,125.514,False,1611.35,3.41034,1641.85,124.21,False,-26.7592,19.7419,23.349670938633913,0.08208898116579191,23.382025307923634,0.002297905322508567,23.361666322901147,0.08213862107033133,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297379959767052,22.386702,2.6569674,2.4951265,149.02315242198745,1.6679134004445917,2025052300150,17,60819.03591508551,g,149.02312067077952,1.6679047240375295,13.60561752319336,1800.31,130.952,False,1680.78,1.07247,1794.11,130.543,False,-14.1725,10.1426,23.2616317301028,0.0789749089611351,23.336222801936145,0.0006927851548877193,23.26537734168142,0.07900031867597569,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297380228202592,22.386683,2.6569695,2.495142,149.023439642339,1.6679698654737063,2025052300152,17,60819.03696702246,g,149.02344226854925,1.6679626852542104,14.783973693847656,1708.1,114.431,False,1596.86,2.96472,1641.63,113.175,False,-38.0591,20.7981,23.318716783803403,0.07273688961852828,23.39183290416689,0.0020157708767068894,23.361811796702206,0.07485133551495782,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297380381818917,22.386671,2.6569705,2.4951499,149.0235824425194,1.667997935490946,2025052300153,54,60819.03749054286,g,149.02359302776546,1.667986124214574,15.170429229736328,1760.51,115.159,False,1774.59,0.444219,1742.73,112.331,False,-34.0787,25.2246,23.28590375327572,0.07102049474252886,23.277254946174313,0.00027178370949557893,23.296924743752186,0.06998320817061428,nan,nan
2016 EC329,nan,MBO,MBO,21164732414638403,745297380500832291,22.386662,2.6569715,2.4951575,149.02372524872138,1.6680260045215638,2025052300154,25,60819.03801396572,g,149.02369942064564,1.667998702609896,13.897266387939453,1706.01,120.166,False,1627.36,5.33862,1689.02,119.286,False,-12.3005,23.7628,23.320046062503266,0.07647585678380507,23.37129091735258,0.003561801489164642,23.330913007036916,0.07667945364933788,nan,nan
