provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 EX331,nan,MBO,MBO,21164732414701912,745323768582242940,10.455663,2.2583516,1.293689,228.51895938508451,-39.77502283576813,2025052900152,160,60825.07121841946,r,228.5189287358754,-39.77505858636436,41.13667678833008,9509.29,229.698,False,9748.4,2.47295,8871.33,203.668,False,-341.957,53.8333,21.454629765392326,0.02622608329491454,21.42766660396346,0.00027542686185297836,21.53002815383533,0.024926332196873756,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328180655030416,10.757997,2.260257,1.2985896,228.18249443580805,-39.79533411397556,2025053000257,33,60826.22647301195,r,228.18245128500118,-39.79537905957042,26.51663589477539,10326.6,386.757,False,10249.3,0.619919,10459.2,384.469,False,-366.756,16.0864,21.36510665360585,0.04066353695983529,21.373264507580913,6.566970596781976e-05,21.351253810670624,0.039910499727550695,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328180788200007,10.758115,2.2602577,1.2985916,228.18236487114643,-39.7953393008572,2025053000258,31,60826.22690972403,r,228.18233334605293,-39.79537054343164,33.217803955078125,11102.7,329.908,False,10493.8,0.377618,10607.4,326.565,False,-331.768,12.667,21.28642846805276,0.03226179597216022,21.347668063263214,3.9070075461859746e-05,21.33597759452086,0.03342604533632301,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328181191901531,10.758471,2.2602599,1.2985975,228.18197593718503,-39.795354828536006,2025053000261,33,60826.22821837552,r,228.18195511751819,-39.795395686416065,28.1540584564209,11925.2,420.399,False,11224.6,2.14286,12052.3,419.65,False,-372.36,12.1219,21.208835803677747,0.038275449716108245,21.27457285421702,0.0002072751541211009,21.19732518413668,0.03780433602578765,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328181618147843,10.758832,2.260262,1.2986033,228.18158144728343,-39.79537051302725,2025053000264,78,60826.22954664577,r,228.1815512519336,-39.7954047196572,25.552005767822266,10929.3,422.111,False,10756.5,1.67378,11206.5,421.073,False,-357.763,13.736,21.303519151553278,0.041933261517160945,21.320822546106502,0.00016894747419689545,21.276325011337946,0.04079544896493475,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328184970444814,10.763271,2.2602892,1.2986766,228.1767282116888,-39.79555824622536,2025053000289,72,60826.24591091223,u,228.17682123923515,-39.795616951469064,5.231175899505615,2781.47,537.154,False,2910.37,153.854,2757.6,524.962,False,-136.362,35.8532,22.78931406106622,0.20967601392826146,22.740129443659832,0.057396432605431556,22.79867178555056,0.20669067388316825,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328187233271900,10.765734,2.2603042,1.2987174,228.17403837256649,-39.79565828646757,2025053000306,36,60826.255002145765,u,228.17406344000005,-39.79569236417991,7.429764747619629,3011.41,395.321,False,3566.47,23.8126,2510.44,365.373,False,-480.779,44.3382,22.703075311109806,0.14252936344351977,22.519403570852834,0.007249241203153619,22.900625410059728,0.15801958550128972,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328188594323743,10.770744,2.2603347,1.298801,228.1685684788729,-39.79585351567788,2025053000316,72,60826.27354665327,g,228.16852451813995,-39.79588265669884,31.02861976623535,7761.23,247.884,False,7431.36,0.767415,7828.56,248.443,False,-42.4903,6.88314,21.67517361843928,0.03467705981826926,21.722329268734253,0.00011212082995355346,21.665795280715916,0.03445634324547206,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328188728541262,10.770863,2.2603354,1.298803,228.16843985605777,-39.795857980815306,2025053000317,72,60826.273983190695,g,228.1684055777991,-39.79587638375555,30.334617614746094,6874.78,226.118,False,6727.12,0.456617,6856.18,224.846,False,-60.9454,7.70711,21.806853021789053,0.035710888597328065,21.8304270440805,7.369655922518964e-05,21.80979444492357,0.035606333101167065,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328189132767249,10.77122,2.2603378,1.2988089,228.1680499484698,-39.7958714826208,2025053000320,75,60826.27530853657,g,228.1680283776319,-39.79590760996945,28.57402801513672,7215.23,249.8,False,6824.25,1.33294,7105.75,249.527,False,-130.522,6.86127,21.754374553783556,0.037589502759600824,21.814862678944934,0.0002120703663665327,21.770975190656838,0.03812693806354691,nan,nan
2016 EX331,nan,MBO,MBO,21164732414701912,745328191282348256,10.773112,2.2603493,1.2988406,228.1659868301688,-39.795942094298375,2025053000336,79,60826.282326506625,g,228.16595114325725,-39.79598487913128,32.3742790222168,7395.23,226.838,False,7064.17,0.0318937,7435.26,228.034,False,-63.2449,5.79832,21.72762078888866,0.03330338976368849,21.777347156912462,4.90194114367048e-06,21.721759634833276,0.0332987378799389,nan,nan
