provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 EJ49,nan,MBO,MBO,21164736707311946,745416141839007907,12.3831005,2.9562643,2.0933173,226.9781510028945,-39.58971347744222,2025061900259,5,60846.188516572714,g,226.97792491506644,-39.58962173954586,6.046425819396973,1086.81,176.017,False,1163.56,28.9333,877.107,179.295,False,-126.288,2.47735,23.809615876933798,0.17584307964970877,23.735527987877617,0.02699811764849931,24.04236856406881,0.22194221689729862,nan,nan
2017 EJ49,nan,MBO,MBO,21164736707311946,745416142656897604,12.383803,2.9562697,2.0933435,226.97757444027943,-39.589534983146834,2025061900265,29,60846.19134019294,g,226.97733614379501,-39.58942735515933,6.030072212219238,935.303,156.439,False,1062.26,11.9499,869.378,158.844,False,-31.0724,4.05331,23.972619206553738,0.18160049203451295,23.834422919564126,0.012213995254860062,24.051978396642838,0.19837478885738521,nan,nan
2017 EJ49,nan,MBO,MBO,21164736707311946,745416142935294426,12.384038,2.9562714,2.0933526,226.9773813729752,-39.589475153339286,2025061900267,48,60846.19228652783,g,226.9770737825424,-39.5893618748059,5.436659812927246,785.57,141.123,False,820.446,3.56376,814.029,142.472,False,65.1126,3.64077,24.162037765134748,0.19504608142921284,24.114875016332682,0.004716097560190978,24.123400318517856,0.19002641217229857,26.865837369172525,0.06070891995586278
2017 EJ49,nan,MBO,MBO,21164736707311946,745424936909144418,12.828337,2.959798,2.110689,226.62880445124728,-39.47688784200487,2025062100251,102,60848.03025114289,r,226.6285104502878,-39.4767754462047,15.685861587524414,2074.95,129.363,False,2059.77,2.55185,1974.65,128.353,False,-123.399,23.3207,23.107480935562876,0.06769035548725104,23.11545316852402,0.001345119112925814,23.161274662668625,0.07057326306960729,nan,nan
2017 EJ49,nan,MBO,MBO,21164736707311946,745424937148219861,12.828554,2.9597998,2.1106973,226.62863586672168,-39.47683409302535,2025062100253,46,60848.03113540527,r,226.62837282629738,-39.47670995117638,11.38204288482666,1880.46,165.711,False,1990.54,1.41157,1759.66,164.249,False,-88.6703,29.6977,23.214339773031533,0.09567788433343855,23.152572705751055,0.0007699380938875318,23.286428074131372,0.10134405211479082,nan,nan
2017 EJ49,nan,MBO,MBO,21164736707311946,745424937442345327,12.828775,2.9598014,2.1107059,226.62846460746124,-39.47677947287721,2025062100255,95,60848.03203380895,r,226.6281741975602,-39.476648178455235,14.134015083312988,2251.84,157.947,False,2243.24,5.54651,2198.87,160.078,False,-61.0071,16.209,23.018656134254833,0.07615495612431152,23.022810653694126,0.0026845308489811823,23.044501056946665,0.07904172329580088,nan,nan
2017 EJ49,nan,MBO,MBO,21164736707311946,745424937825075476,12.8291025,2.959804,2.1107187,226.62821095203424,-39.47669853962808,2025062100258,57,60848.03336336161,r,226.6279155840373,-39.476568558923454,10.320831298828125,2039.86,197.881,False,1988.15,1.31499,1875.12,198.378,False,-89.1179,7.3255,23.12599910309708,0.10532417121670197,23.153877117858773,0.0007181210078436324,23.2174273377743,0.11486528002615595,nan,nan
2017 EJ49,nan,MBO,MBO,21164736707311946,745424937940943143,12.829213,2.9598048,2.110723,226.6281247450609,-39.47667102439925,2025062100259,22,60848.03381525183,r,226.6278344310232,-39.47654815623188,13.066275596618652,2179.94,163.805,False,2215.35,3.3919,2071.55,162.916,False,-76.4858,17.7194,23.053888678230635,0.08158436280290726,23.036394078268724,0.0016623596896671255,23.109261424116838,0.08538717180984691,nan,nan
2017 EJ49,nan,MBO,MBO,21164736707311946,745424938520805606,12.829673,2.9598083,2.110741,226.62776827199505,-39.476557195786086,2025062100263,104,60848.035684131566,r,226.6274743597754,-39.47642239904594,10.594124794006348,2014.45,183.845,False,1909.02,7.56078,2038.8,184.2,False,-24.8719,7.58475,23.139608795372418,0.09908768086941128,23.19797379304626,0.004300118673844134,23.126563411705547,0.09809329056961547,nan,nan
2017 EJ49,nan,MBO,MBO,21164736707311946,745424938792910974,12.829909,2.9598103,2.1107502,226.62758478388093,-39.47649857242772,2025062100265,111,60848.036646992834,r,226.62731885061933,-39.47636133074517,8.2227144241333,2361.44,285.051,False,2427.13,2.29329,2162.69,286.943,False,73.3991,5.52863,22.967057738438125,0.13105994351551786,22.937267456698514,0.0010258651133090745,23.06251434910054,0.1440541200174589,26.735773144534562,0.08178074951634183
2017 EJ49,nan,MBO,MBO,21164736707311946,745424939596644540,12.83059,2.9598155,2.1107767,226.6270573767993,-39.47632994612864,2025062100271,108,60848.03941194208,r,226.62679359419178,-39.47621909405944,8.628641128540039,2110.81,241.614,False,2218.89,2.24808,2080.16,241.758,False,7.39578,11.4264,23.088877112391643,0.12427885900270334,23.034660620301203,0.001100019370875971,23.104758193509944,0.12618520676732117,29.22754002766262,1.6774506847662676
2017 EJ49,nan,MBO,MBO,21164736707311946,745424939864555963,12.8308115,2.9598172,2.1107852,226.6268855102808,-39.47627495602092,2025062100273,107,60848.040312246674,r,226.62658535559802,-39.47613466442829,15.698628425598145,2327.71,147.135,False,2348.75,0.159955,2290.92,146.576,False,-52.1833,26.5171,22.98267783734455,0.06862959440987228,22.972908017228544,7.394100228342657e-05,22.999975227807404,0.06946679925506542,nan,nan
