provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 SF316,nan,MBO,MBO,21164736944420422,745416141101859220,15.176149,2.460533,1.5887815,225.88336645155573,-39.13199030148285,2025061900253,135,60846.18571192013,g,225.88329758005491,-39.131989170860194,22.591114044189453,3889.02,172.331,False,4289.56,1.93133,4341.14,176.988,False,-185.139,2.15685,22.42539955306631,0.04811134889268201,22.318968117977946,0.0004888414751941535,22.305990486093567,0.04426539584366658,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416141234503845,15.176298,2.4605315,1.5887831,225.8832933429265,-39.13193053594266,2025061900254,132,60846.186180225355,g,225.8832513772109,-39.13191327804638,21.80196762084961,4079.59,185.707,False,4432.88,1.22475,3858.35,189.453,False,-204.435,2.04585,22.37345868021072,0.049423792544924086,22.28328509141018,0.00029997552324678424,22.433995920098724,0.05331190254245187,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416141361381668,15.176445,2.46053,1.5887849,225.88322086898376,-39.13187127430576,2025061900255,118,60846.186645377835,g,225.88319204429325,-39.13184536267188,22.926361083984375,4140.25,180.082,False,4419.1,1.16743,4084.54,184.233,False,-183.512,2.46529,22.357433585396773,0.04722457533252108,22.28666540265264,0.00028682786912184206,22.372142105934206,0.04897208453185392,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416141479346503,15.176592,2.4605289,1.5887866,225.883148094536,-39.13181175195157,2025061900256,87,60846.18711265712,g,225.88313083449088,-39.13180214109009,26.364669799804688,4033.52,151.696,False,4013.91,0.724458,4122.51,154.316,False,-130.13,2.94419,22.38578945796507,0.04083327654051824,22.391080947529176,0.00019596111374419503,22.36209576725468,0.04064185932106698,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416141749354882,15.176888,2.460526,1.58879,225.88300180065448,-39.13169205236569,2025061900258,90,60846.188051312194,g,225.88299694400152,-39.13167840492126,25.63800048828125,4157.63,161.687,False,4063.51,1.30448,4177.67,165.761,False,-142.773,2.39028,22.352885436745744,0.04222343759383067,22.377746665248146,0.00034854623561584913,22.347664691628403,0.04307968894754325,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416141864698044,15.177035,2.4605248,1.5887917,225.88292937174543,-39.13163276751714,2025061900259,54,60846.188516572714,g,225.88288908430044,-39.131655444923965,22.11509132385254,4014.5,180.146,False,4649.79,1.97468,3878.74,183.769,False,-190.677,1.97656,22.39092134437114,0.04872114338054575,22.231416643009126,0.0004610921123636,22.42827333044763,0.05144058484616513,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416142014120059,15.177185,2.4605234,1.5887935,225.88285539685717,-39.13157220179503,2025061900260,83,60846.188991285606,g,225.8828419778431,-39.13156557040969,26.073312759399414,4117.44,156.829,False,4123.49,0.470391,4113.89,160.243,False,-138.343,2.81869,22.363431817254103,0.04135456011018415,22.361837574088412,0.00012385637307078755,22.3643682762884,0.042291266117574125,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416142113210864,15.177332,2.460522,1.5887952,225.88278267944867,-39.1315126503741,2025061900261,16,60846.189458533816,g,225.8827562202688,-39.131505786002926,22.551410675048828,3610.22,159.216,False,3604.24,1.58427,3492.64,162.498,False,-124.734,3.39301,22.506165839313343,0.0478825613648454,22.507965747503498,0.00047724327521745253,22.542115474589206,0.05051478778803574,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416142306148876,15.177484,2.4605207,1.588797,225.88270810529667,-39.13145156267127,2025061900262,128,60846.189937692834,g,225.88270761461777,-39.13144275130388,25.940744400024414,4009.33,154.341,False,3887.06,0.355795,3978.77,157.507,False,-145.482,3.00254,22.392320469745826,0.041795914036579944,22.42594687268582,9.938089528616481e-05,22.40062790793641,0.04298088496494876,nan,nan
2017 SF316,nan,MBO,MBO,21164736944420422,745416142685208889,15.177926,2.4605167,1.5888021,225.88248974584536,-39.1312726009659,2025061900265,83,60846.19134019294,g,225.88245236803922,-39.13126377413717,29.279647827148438,4263.24,144.698,False,3995.16,1.67552,4241.84,146.251,False,-134.41,3.57035,22.325650485222543,0.03685080985321135,22.39616458182818,0.00045534414245925294,22.331114332175154,0.037434231187003036,nan,nan
