provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 UN109,nan,MBO,MBO,21164736976599374,745200690130321547,15.687671,2.8298619,2.0684853,271.27184678865217,-24.95659612433234,2025050100650,179,60797.28220231854,g,271.2718456511058,-24.95659984874844,9.117620468139648,1723.0,186.21,False,1730.33,2.16679,2170.88,183.194,False,446.395,5.06396,23.309286806379927,0.11733891234910038,23.304677683752836,0.001359603324298597,23.058410514688333,0.09162200089202825,24.775701722989396,0.012316726057871725
2017 UN109,nan,MBO,MBO,21164736976599374,745200690398756897,15.687427,2.8298619,2.068475,271.27180323259563,-24.956575531674115,2025050100652,179,60797.28320126145,g,271.2718285455393,-24.956613053028388,8.117905616760254,1307.87,164.495,False,1331.63,12.921,1748.48,159.722,False,303.56,5.40782,23.608588559007345,0.13655651736565716,23.589041069219064,0.010535056236838666,23.29334833964467,0.09918098014620848,25.19438864834613,0.0193420287721342
2017 UN109,nan,MBO,MBO,21164736976599374,745200690642550959,15.687188,2.8298619,2.0684648,271.27176057062445,-24.95655535604209,2025050100654,132,60797.28417959226,g,271.2717705763469,-24.956536045643936,9.196699142456055,1418.74,156.709,False,1425.97,2.87236,1537.55,153.653,False,342.762,6.55745,23.520242973923633,0.1199265797009961,23.514724050332482,0.0021870202735542917,23.43292684648118,0.10850158995755292,25.062518350245657,0.02077144145160908
2017 UN109,nan,MBO,MBO,21164736976599374,745200690799837484,15.687063,2.8298619,2.0684595,271.2717382279319,-24.956544787478776,2025050100655,176,60797.284691791996,g,271.2717403220156,-24.95657240838109,10.308133125305176,1585.55,154.2,False,1480.25,4.41355,1758.33,152.541,False,269.94,6.30055,23.399550111643755,0.10559144417045654,23.474162325614905,0.0032372578402271664,23.287249062279884,0.09419124450295563,25.321831881307297,0.025341687655123755
2017 UN109,nan,MBO,MBO,21164736976599374,745200691069321237,15.686816,2.8298619,2.0684488,271.2716940494136,-24.95652388537404,2025050100657,178,60797.28570343807,g,271.2717763032125,-24.95652453754806,9.738370895385742,1400.47,146.693,False,1571.95,12.0868,1776.89,139.705,False,208.599,5.86568,23.534315497532567,0.11372603268501061,23.408903213610323,0.008348278479874838,23.275848632948122,0.08536419093096637,25.60171944974065,0.030530258571478012
2017 UN109,nan,MBO,MBO,21164736976599374,745200691470401842,15.686453,2.8298619,2.0684333,271.27162896380304,-24.956493079785425,2025050100660,175,60797.28719301775,g,271.27164702891866,-24.95650021986214,11.145438194274902,1659.98,148.771,False,1562.73,1.70759,1649.54,145.126,False,261.1,7.27444,23.349742873912483,0.09730602692648281,23.41529013992171,0.0011863804314357813,23.35659284604854,0.09552272537038749,25.35798279506229,0.030249415887690236
2017 UN109,nan,MBO,MBO,21164736976599374,745200691739361389,15.686207,2.8298619,2.0684228,271.27158486229644,-24.95647219797895,2025050100662,176,60797.28820217203,g,271.2715575770967,-24.956478706341432,9.59510326385498,1461.84,151.099,False,1439.27,5.66833,1779.96,150.006,False,295.669,6.13692,23.48775042235333,0.11222408579478158,23.50464430252559,0.004275994932901339,23.27397441689557,0.09150033996646202,25.222985495563783,0.02253559236787588
2017 UN109,nan,MBO,MBO,21164736976599374,745200691981582659,15.6859665,2.8298619,2.0684125,271.27154178925446,-24.956451796595054,2025050100664,126,60797.28918785686,g,271.2715587476581,-24.956465511241138,7.718987941741943,1302.4,168.626,False,1302.94,2.92805,1380.2,164.003,False,429.839,5.05116,23.61313901078458,0.14057383101862958,23.61268900622313,0.0024399359003775983,23.55014498073576,0.1290131919886187,24.816735484142974,0.012758794040728804
2017 UN109,nan,MBO,MBO,21164736976599374,745200692139917776,15.685842,2.829862,2.0684073,271.2715195233375,-24.956441247842264,2025050100665,172,60797.28969674934,g,271.2715367355569,-24.95643595299265,7.631275653839111,1272.58,167.159,False,1442.41,14.9059,463.299,163.682,False,400.493,5.39822,23.638287303651964,0.1426162447999082,23.502278162723094,0.011220024065739968,24.735346566660304,0.38358700662290024,24.893512644670295,0.014634569879915247
2017 UN109,nan,MBO,MBO,21164736976599374,745200692491714912,15.685465,2.829862,2.068391,271.2714518182182,-24.95640916064009,2025050100668,75,60797.29124312107,g,271.27142846989244,-24.956373346940392,8.805384635925293,1459.89,165.641,False,1527.22,14.828,1530.65,161.387,False,416.675,6.36463,23.489199654769266,0.12318903199023956,23.440246013805716,0.010541570191288875,23.43781024311165,0.11447665954039615,24.850506421580107,0.016584411507092195
2017 UN109,nan,MBO,MBO,21164736976599374,745200692656341042,15.685341,2.829862,2.0683858,271.2714295748332,-24.95639861522507,2025050100669,133,60797.291751934696,g,271.2714274876722,-24.956393409445525,9.258732795715332,1418.68,152.154,False,1415.8,2.16045,1480.44,147.013,False,416.418,5.5745,23.520288843236237,0.11644564510596093,23.52249519257304,0.0016567867515125628,23.47402301601754,0.10781750257874909,24.8511762669861,0.014534521983171244
2017 UN109,nan,MBO,MBO,21164736976599374,745200692814676194,15.685219,2.829862,2.0683806,271.27140767671153,-24.956388231675607,2025050100670,179,60797.292251945415,g,271.2714917114057,-24.95638276545001,7.001561164855957,1396.9,199.364,False,1415.95,8.39519,1899.36,198.747,False,571.489,4.80776,23.53708668764761,0.15495504847830727,23.522380242876253,0.006437347577659198,23.203481789269485,0.11361027327994966,24.507480285208242,0.00913396183005864
2017 UN109,nan,MBO,MBO,21164736976599374,745200692894367831,15.685094,2.829862,2.0683753,271.2713853793398,-24.956377656936592,2025050100671,75,60797.292760800476,g,271.2714183519833,-24.956371639434735,6.123021602630615,1264.05,205.269,False,1161.28,21.2066,2164.31,200.28,False,563.349,6.16451,23.645589325617532,0.17631262478315726,23.737657606307792,0.019827064122678227,23.06170130543582,0.10047139267323114,24.523056182536408,0.011880790517086137
2017 UN109,nan,MBO,MBO,21164736976599374,745200693080490256,15.68497,2.829862,2.06837,271.271363076867,-24.956367077866247,2025050100672,174,60797.2932699156,g,271.27134805305025,-24.95635613116459,6.456792831420898,1374.88,218.227,False,nan,nan,1724.59,216.369,False,734.231,4.36859,23.55433801002306,0.17233282857286883,nan,nan,23.308285362707714,0.1362176894923814,24.2354181809798,0.006460005199541766
2017 UN109,nan,MBO,MBO,21164736976599374,745200693320089801,15.68472,2.829862,2.0683594,271.2713181936934,-24.95634578187242,2025050100674,119,60797.29429340684,g,271.2713530793524,-24.95632170408477,6.944977760314941,1257.18,178.67,False,1257.92,8.89199,2110.0,174.02,False,592.849,4.98927,23.65150629517813,0.15430445714078775,23.65086740671992,0.007674855969362548,23.089293861755767,0.08954493791031999,24.467639772667653,0.009137286748447337
2017 UN109,nan,MBO,MBO,21164736976599374,745200693479473279,15.684598,2.829862,2.0683541,271.2712963145857,-24.956335397873303,2025050100675,167,60797.29479243902,g,271.27127127356033,-24.956342204561825,9.374151229858398,1550.31,162.864,False,1699.83,9.97704,2074.81,160.468,False,482.369,5.0072,23.4239535880099,0.11405933835529254,23.32398630367312,0.0063726573481676764,23.107554138078946,0.08397198533990148,24.69155155294346,0.01127041373581465
2017 UN109,nan,MBO,MBO,21164736976599374,745200693754200401,15.684332,2.829862,2.0683427,271.27124850600666,-24.956312700849143,2025050100677,179,60797.29588233264,g,271.2712453700955,-24.956349485086697,5.841772556304932,1538.36,257.099,False,1813.68,3.10737,1047.38,254.252,False,822.616,4.08489,23.432355062899994,0.18145407713723688,23.253598308023182,0.0018601869689369474,23.849739303248704,0.26356298483111174,24.112007082401426,0.005391473901097464
2017 UN109,nan,MBO,MBO,21164736976599374,745200694013722665,15.684088,2.829862,2.0683324,271.2712046252159,-24.9562918603201,2025050100679,162,60797.29688292678,g,271.2712137949519,-24.956315566106166,10.05769157409668,1454.63,142.735,False,1550.35,1.27077,1601.52,141.313,False,455.038,6.09317,23.493118646028332,0.10653744067469394,23.423925633107956,0.000889941605707157,23.388669070353018,0.09580188962698152,24.754880848671807,0.014538512239928136
2017 UN109,nan,MBO,MBO,21164736976599374,745200694156329170,15.683969,2.829862,2.0683272,271.2711832046341,-24.956281684031904,2025050100680,178,60797.29737012891,g,271.2712020363928,-24.95628569116388,12.282635688781738,1737.56,137.507,False,1785.26,1.40875,2313.13,132.966,False,413.13,7.5342,23.30015043783013,0.08592297669245814,23.270746308006895,0.0008567552805824294,22.989499952006557,0.06241154246701849,24.859783154643882,0.019800435274908584
