provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 WA92,nan,MBO,MBO,21164737009627713,745262191851601982,18.728428,3.135685,2.8776097,149.24623613975965,2.8292821308834286,2025051500122,59,60811.04208450287,i,149.2462205247533,2.8293125962271723,5.703351974487305,2448.55,422.822,False,2410.54,35.7526,2353.43,423.892,False,-45.6205,11.3082,22.92772753623332,0.18748775177386237,22.944714126227698,0.01610340146520169,22.97074681839327,0.19555920627345272,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262191985819709,18.728443,3.1356847,2.8776162,149.24630643530523,2.829278088396676,2025051500123,59,60811.04255635306,i,149.24629267422281,2.8293055594350722,8.249166488647461,2581.45,314.392,False,2614.62,28.392,2535.77,313.764,False,-70.0964,14.2007,22.870340726455304,0.13223063839601223,22.856478504079575,0.01178994315014423,22.889725342844883,0.13434378517888823,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262192120037450,18.72846,3.1356847,2.8776224,149.2463771815718,2.829274019556588,2025051500124,59,60811.0430310299,i,149.24635230244485,2.8292881158422007,8.859627723693848,2729.2,303.731,False,2658.4,0.729849,2670.97,302.452,False,-79.2838,16.4206,22.80991161290524,0.12083091586862464,22.838449219207853,0.00029808286626638043,22.833327486639977,0.12294525423242797,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262192259498036,18.728477,3.1356845,2.8776288,149.24644867669895,2.8292699072070326,2025051500125,69,60811.04351116055,i,149.24648359964905,2.8293109477836222,7.7254438400268555,2508.14,315.766,False,2508.68,79.3298,2418.73,313.107,False,-104.183,17.8301,22.90162061051199,0.13669036958566425,22.901386860851872,0.03433329164630431,22.94103153056068,0.1405496284317483,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262192527933469,18.72851,3.1356843,2.8776417,149.24658974286814,2.829261791887797,2025051500127,69,60811.04445870916,i,149.24659700028707,2.8293135303320818,5.0927042961120605,2295.18,451.243,False,2397.64,21.6944,2150.17,446.44,False,-66.8308,12.1749,22.997958155212743,0.21346076965384686,22.95054011023442,0.009823992522094508,23.068818044145125,0.2254315200727291,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262192658481209,18.728527,3.135684,2.8776479,149.24666110147447,2.829257686087048,2025051500128,62,60811.0449378077,i,149.24661710348462,2.829306388161177,6.259353160858154,2988.42,470.383,False,4271.19,35.7247,2782.91,474.557,False,-73.0838,10.6694,22.711395942727627,0.1708969494859376,22.323627787266233,0.009081216647702416,22.788752130865436,0.18514567119166528,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262192792174668,18.728542,3.1356838,2.8776543,149.24673201727742,2.829253605333688,2025051500129,61,60811.04541385244,i,149.24674315161317,2.829291076057154,7.121591567993164,2469.43,342.902,False,2866.09,7.97559,2463.05,342.329,False,-17.5466,15.4169,22.918508230329827,0.15076399620053657,22.756775407091197,0.0030213241037203267,22.921316908172194,0.15090192758504797,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262192930586744,18.72856,3.1356838,2.8776608,149.24680308627362,2.829249515335708,2025051500130,69,60811.04589065211,i,149.24679602342755,2.829301273061201,5.436971664428711,2679.05,489.469,False,2862.97,18.703,2717.14,492.707,False,-17.1166,12.6593,22.830047932546435,0.19836665921097002,22.757958018023476,0.007092817418450607,22.814720003135683,0.19687975230653287,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262193081581573,18.728577,3.1356835,2.877667,149.24687356344236,2.8292454589746057,2025051500131,101,60811.046363020694,i,149.24686892694567,2.8292896451841534,5.709517002105713,2139.11,366.552,False,nan,nan,2136.02,363.322,False,-3.31427,14.5146,23.074417150521846,0.18604875834406548,nan,nan,23.075986703159252,0.18467609665195195,nan,nan
2017 WA92,nan,MBO,MBO,21164737009627713,745262193215799317,18.728592,3.1356833,2.8776734,149.24694464074295,2.829241367647814,2025051500132,101,60811.04684006958,i,149.24688646345987,2.8292647263405404,5.6323561668396,2299.3,458.359,False,2729.98,49.4762,2109.08,457.221,False,-13.7705,14.1956,22.99601087864763,0.216438463902514,22.80960134430638,0.019677104634769613,23.08976732634168,0.23537342533219532,nan,nan
