provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 YH47,nan,MBO,MBO,21164737042855752,745284211062079718,7.4420266,2.9590857,1.9974114,227.9230160663712,-40.71672799516161,2025052000338,34,60816.298369852564,r,227.9230309329503,-40.71672158958769,26.068214416503906,5550.33,211.125,False,5061.49,0.803953,6325.43,207.995,False,783.042,65.8769,22.03920297154211,0.04129953588399858,22.139303991853012,0.00017245531056626039,21.897274834820976,0.03570155551979182,24.165537368525932,0.09134240027483857
2017 YH47,nan,MBO,MBO,21164737042855752,745284211597901859,7.44215,2.9590838,1.997411,227.92249566627905,-40.71664462529456,2025052000342,32,60816.300334970816,r,227.92242755739522,-40.716635519034234,5.798203468322754,4946.63,869.301,False,4898.84,17.8145,5831.88,876.169,False,1062.56,21.5231,22.164226458102828,0.19080295442749684,22.174766896415598,0.003948250833795334,21.985478574023272,0.163118656555703,23.8341162828913,0.021992553371726013
2017 YH47,nan,MBO,MBO,21164737042855752,745284213880652632,7.4431767,2.9590678,1.9974078,227.9181743644632,-40.71594813781827,2025052000359,34,60816.316676849194,z,227.91820291524095,-40.71594684550095,11.737011909484863,5681.08,463.45,False,5788.36,11.5567,13304.4,460.048,False,7593.99,169.231,22.013922722616257,0.0885719705459324,21.993611191386385,0.0021677172161907936,21.090011734181488,0.037543275861177894,21.69882491421118,0.024195478403966738
2017 YH47,nan,MBO,MBO,21164737042855752,745284214416474470,7.443303,2.9590657,1.9974074,227.9176429143463,-40.71586197409265,2025052000363,32,60816.318689001,z,227.91764242592768,-40.71588984170692,8.274673461914062,6874.38,829.946,False,6729.93,14.5653,18115.2,828.232,False,11355.8,36.3471,21.806916180333076,0.13108126377367899,21.82997360408724,0.002349812422544811,20.754892213813044,0.04964016413227689,21.26195568101486,0.003475172364012461
2017 YH47,nan,MBO,MBO,21164737042855752,745288581980880920,7.508065,2.9581778,1.9972032,227.68600388374685,-40.67942717269981,2025052100136,4,60817.219083456235,u,227.68584133129158,-40.679416622821385,5.492672920227051,1937.6,357.692,False,nan,nan,3334.31,345.588,False,1472.28,12.8013,23.181839699183,0.20043308440163538,nan,nan,22.592485043607127,0.11253225126638682,23.480023947122657,0.009440347389363455
2017 YH47,nan,MBO,MBO,21164737042855752,745288582516179056,7.5084896,2.9581726,1.997203,227.68461622518296,-40.67919804653733,2025052100140,1,60817.224314639956,g,227.6846089685451,-40.67919885344332,21.861085891723633,4277.5,195.322,False,4428.1,3.78027,4481.82,193.029,False,31.5068,6.06656,22.322024954467153,0.04957759760259763,22.284456426027766,0.0009268932545395843,22.27136401682525,0.04676193815072669,27.653989270082985,0.20905593926367672
2017 YH47,nan,MBO,MBO,21164737042855752,745288582666649804,7.5085573,2.9581718,1.997203,227.68439530687823,-40.67916148703068,2025052100141,32,60817.22514724822,g,227.68440455650324,-40.67916239858833,22.531339645385742,4174.65,184.34,False,4246.07,0.395471,4491.46,184.228,False,-12.6707,4.60544,22.348449849466235,0.04794284854800945,22.33003217095992,0.00010112344064227579,22.26903116869576,0.04453407306841267,nan,nan
2017 YH47,nan,MBO,MBO,21164737042855752,745288582920405174,7.508636,2.958171,1.997203,227.68413754500816,-40.67911880181986,2025052100143,4,60817.22611979296,g,227.68414220128247,-40.679118343565484,23.35031509399414,4101.55,174.766,False,4297.54,0.478429,4198.86,173.125,False,-43.8741,5.17923,22.367630026222038,0.046262946842268754,22.316950171033398,0.00012087093331209349,22.342171549187043,0.044766457221523275,nan,nan
2017 YH47,nan,MBO,MBO,21164737042855752,745288583337738345,7.5088196,2.9581687,1.9972029,227.68353830832848,-40.67901944996195,2025052100146,32,60817.228379524175,g,227.68357211801472,-40.67900563741271,22.463533401489258,4187.86,186.331,False,4387.6,0.297173,4441.09,184.052,False,67.0829,4.89321,22.345019648441635,0.04830780219049566,22.29443240630739,7.35371207158291e-05,22.28127610227737,0.04499614488996381,26.833470411472504,0.07919656281715264
2017 YH47,nan,MBO,MBO,21164737042855752,745288584547795282,7.5092206,2.9581637,1.9972028,227.68222731764948,-40.67880151304248,2025052100155,36,60817.2333252631,g,227.68222104087144,-40.67878405795128,23.869403839111328,4183.98,175.056,False,4293.65,0.868229,11601.7,172.396,False,7242.3,4.56697,22.346026005376302,0.04542675578810322,22.31793342541247,0.0002195492530400154,21.23869590380003,0.016133546925299055,21.75030875236476,0.0006846615949729914
2017 YH47,nan,MBO,MBO,21164737042855752,745288585085190151,7.50946,2.9581609,1.9972028,227.68144330179467,-40.67867080074544,2025052100159,37,60817.23628496645,g,227.68146603825866,-40.67865566091621,27.0649471282959,4672.97,171.05,False,4855.55,0.848032,13632.9,166.814,False,9196.53,5.27934,22.226017467817037,0.0397424277491338,22.184403967107365,0.0001896261143869612,21.06352934617226,0.013285213640136143,21.49093998797507,0.00062327531984021
2017 YH47,nan,MBO,MBO,21164737042855752,745288585620488429,7.51057,2.9581473,1.9972026,227.6778109725288,-40.678061526721386,2025052100163,34,60817.25000592864,r,227.67782908992228,-40.67805486670224,20.749759674072266,6143.95,294.907,False,6684.99,2.29546,6447.6,286.039,False,503.702,8.00918,21.928880783706262,0.05211487899588231,21.837248057078344,0.0003728149070836962,21.876504767014488,0.04816720875355411,24.6445658207674,0.017263891830803808
2017 YH47,nan,MBO,MBO,21164737042855752,745288586292101205,7.5108232,2.9581442,1.9972026,227.6769828973456,-40.67792178327667,2025052100168,35,60817.25313642433,r,227.6769976269894,-40.677947454362275,19.546518325805664,5347.64,272.754,False,5541.96,1.08687,4939.35,259.992,False,186.622,8.79844,22.07959456443376,0.05537749041367906,22.0408415404871,0.00021293081660517306,22.165825475651165,0.05714977204242356,25.722592936334316,0.05118788319367402
2017 YH47,nan,MBO,MBO,21164737042855752,745288587498488107,7.511252,2.958139,1.9972026,227.67557924679437,-40.67768419541895,2025052100177,32,60817.258446173575,r,227.67555632086896,-40.677678890293706,20.58045768737793,6299.82,305.992,False,6492.41,1.62065,6465.31,296.047,False,256.734,8.13693,21.90167967813848,0.05273588877263663,21.868985128857673,0.00027102391800027547,21.87352660677049,0.04971593629943793,25.376291494555076,0.03441133507741333
2017 YH47,nan,MBO,MBO,21164737042855752,745288588037456268,7.511418,2.958137,1.9972028,227.6750354838132,-40.67759191598082,2025052100181,36,60817.26050490688,r,227.6750546428957,-40.67758731160478,21.828716278076172,6444.89,293.418,False,6428.49,3.14541,6703.05,282.389,False,416.666,7.88192,21.876961203698663,0.049430562534724276,21.879727528758345,0.0005312422446641085,21.834318884299286,0.0457403686793849,24.85052988026498,0.020538479409855575
2017 YH47,nan,MBO,MBO,21164737042855752,745288591528689691,7.512841,2.9581196,1.9972031,227.67037185745735,-40.67679503394993,2025052100207,39,60817.27817853546,i,227.6703509033635,-40.6768050961714,17.844018936157227,7341.51,405.493,False,7637.8,0.926667,6624.97,394.431,False,-31.4217,13.5343,21.735536547943,0.05996837944639126,21.69257932289934,0.00013172849646005556,21.847040174820556,0.06464150068997429,nan,nan
2017 YH47,nan,MBO,MBO,21164737042855752,745288593022910676,7.5137844,2.958108,1.9972036,227.66727985554908,-40.67626141674535,2025052100218,73,60817.28992112672,z,227.66722149610104,-40.67628747534455,10.206059455871582,6852.83,669.735,False,7122.67,7.12621,9653.18,651.388,False,2701.77,27.21,21.810325091895145,0.10611025122460115,21.768392953061717,0.0010862758650223843,21.438324024081503,0.07326451577307107,22.82087905455012,0.010934639485922317
