provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2019 CF11,nan,MBO,MBO,21164745263493446,745306290727158346,7.770268,2.9625866,2.0048568,228.0192104930309,-40.63130845745332,2025052501004,117,60821.28659021382,g,228.01927697844997,-40.63134451441385,24.894285202026367,4207.31,168.403,False,4133.01,0.431368,4031.48,163.242,False,-178.413,6.6068,22.339988703452615,0.04345798893140286,22.359333921375914,0.00011331980191639901,22.386338731199174,0.04396344646806862,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745306290951553369,7.7704,2.9625866,2.0048587,228.0189516972657,-40.631284755342485,2025052501006,33,60821.287567510604,g,228.01901331255834,-40.63132037573863,24.665298461914062,4380.54,176.307,False,4324.67,1.16825,4270.4,173.013,False,-176.769,8.36016,22.296180864420514,0.04369847068337347,22.310117585572335,0.00029329666906636895,22.323828633720222,0.04398802988471078,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745306291377799301,7.7705984,2.9625864,2.0048616,228.0185626565325,-40.63124907933197,2025052501009,78,60821.289036242364,g,228.01864233213652,-40.63125834501536,23.589365005493164,4422.48,185.87,False,4536.85,0.378039,4303.7,183.246,False,-257.266,5.65185,22.285835310908023,0.04563181381672581,22.258113925119186,9.047039750078388e-05,22.315394975357215,0.046229246911636324,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745306292562690114,7.771194,2.9625864,2.0048702,228.01739532277145,-40.63114170848459,2025052501018,34,60821.29344660387,g,228.01747595795862,-40.6311610936773,23.085533142089844,4158.09,178.706,False,4208.7,1.81869,4058.85,176.622,False,-248.615,5.88461,22.352765327781142,0.04666266834211573,22.33963002475967,0.00046917514292153757,22.378992469614445,0.047246113763415816,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745306293096939759,7.7714586,2.9625862,2.0048738,228.0168767922498,-40.63109386026609,2025052501022,29,60821.295406075245,g,228.0169620789599,-40.63111474355693,23.71388816833496,4306.39,180.373,False,4188.33,0.387899,4202.81,175.797,False,-206.429,6.65006,22.314716569729438,0.04547602317398992,22.344897748321422,0.00010055463456372471,22.341150592538526,0.04541465394485646,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745319428304404773,8.2295885,2.962469,2.0113473,227.261798632256,-40.55550888011915,2025052800583,9,60824.269487192854,g,227.26189116687385,-40.55555452554748,23.192392349243164,4506.06,193.667,False,4396.65,0.725715,8311.96,194.013,False,3507.64,3.42103,22.26550756030209,0.046664109869236775,22.29219528781202,0.00017921259306787909,21.600741393651795,0.025342631559082347,22.537462498280576,0.0010589274528433287
2019 CF11,nan,MBO,MBO,21164745263493446,745319428439146792,8.229672,2.962469,2.0113487,227.26167393878373,-40.55549282165734,2025052800584,10,60824.26997758447,g,227.2617235714124,-40.55553910862537,22.78746795654297,4234.22,183.886,False,4186.31,0.0316855,6452.63,185.185,False,2088.25,3.32362,22.333066396965087,0.047151938099773805,22.34542152208271,8.217761103702157e-06,21.875658112322085,0.031159706984429478,23.10054377480526,0.0017280376644301465
2019 CF11,nan,MBO,MBO,21164745263493446,745319428587520569,8.229757,2.962469,2.01135,227.2615495101145,-40.55547679076729,2025052800585,37,60824.27046670513,g,227.26161090389678,-40.55551894984384,27.993701934814453,4513.92,160.031,False,4401.89,0.0801902,5203.85,157.923,False,627.578,3.50477,22.263615374220237,0.0384923658267315,22.29090200214649,1.97790942180101e-05,22.109188055592405,0.032949204906473406,24.405830717897885,0.006063398819862587
2019 CF11,nan,MBO,MBO,21164745263493446,745319428843897379,8.229926,2.962469,2.0113525,227.2612996665121,-40.55544458225764,2025052800587,14,60824.27144834303,g,227.26134045222418,-40.555482629694204,24.503969192504883,4160.06,169.891,False,4174.93,0.0939101,4284.02,171.42,False,-63.8479,3.64966,22.35225099859686,0.04433994076742555,22.34837695885004,2.4422347004707752e-05,22.320371270865838,0.043444451095716576,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745319429259133231,8.23018,2.962469,2.0113566,227.26092676063445,-40.555396460520605,2025052800590,38,60824.27291429491,g,227.260981602589,-40.555438119889274,25.008808135986328,4334.31,171.298,False,4448.55,0.611423,4160.69,172.069,False,-357.005,3.28045,22.307700060690117,0.04290981549419409,22.27945385708015,0.000149227081543253,22.35208661760342,0.04490157784226912,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745319430471286936,8.230937,2.9624689,2.0113683,227.2598098852227,-40.55525198652703,2025052800599,46,60824.27730721195,g,227.25991116901938,-40.555292102406135,26.255922317504883,4087.88,154.735,False,4087.5,0.875737,3969.59,152.355,False,-295.787,3.68538,22.371254684701782,0.041097438555445856,22.371355585829143,0.00023261636187378826,22.403135843771324,0.041671137617400524,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745319433540993570,8.236069,2.9624677,2.011449,227.2522506370993,-40.55426103516017,2025052800622,13,60824.30713470461,r,227.2523730143891,-40.55429211941855,21.1991024017334,6521.64,302.565,False,7089.48,4.52377,6027.18,297.344,False,-504.128,7.33979,21.864107922959292,0.05037165046776846,21.77346404881791,0.0006928040882603993,21.949714563980805,0.05356354552052513,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745319433956753872,8.236321,2.9624677,2.011453,227.25187871674865,-40.554211715984025,2025052800625,38,60824.308606891944,r,227.25193051880166,-40.55424824458523,26.70771026611328,6759.28,251.771,False,6770.0,1.29002,6290.05,245.266,False,-238.817,7.5375,21.82524894135737,0.040441717824332216,21.82352832828714,0.00020688647074354916,21.903364789480896,0.042335782909409515,nan,nan
2019 CF11,nan,MBO,MBO,21164745263493446,745323768305943071,8.369417,2.9624403,2.013468,227.06578187045704,-40.53100755292527,2025052900150,145,60825.07024256581,r,227.06584312691493,-40.5310537194962,32.365638732910156,6431.35,196.835,False,6543.07,1.63357,9839.42,191.722,False,3259.2,9.79432,21.879244621183112,0.033229553656383415,21.860546112783396,0.0002710694049878932,21.41757626107476,0.021155669585601684,22.617222487125872,0.0032627786266383784
