provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2019 QF12,nan,MBO,MBO,21164745498374726,745297377805991963,21.033964,2.8185616,2.6758595,148.71326274547755,1.94481067222768,2025052300134,5,60819.02753780842,g,148.71327051950482,1.9448218883479294,10.892805099487305,1403.33,128.335,False,1336.76,0.325787,1442.12,126.759,False,32.0594,10.4992,23.532100510158756,0.0992909490216093,23.584866387959273,0.00026460901495678853,23.502496503949438,0.09543369411749095,27.635111570281282,0.35557003239248713
2019 QF12,nan,MBO,MBO,21164745498374726,745297377943879686,21.033957,2.818562,2.675867,148.71336369640596,1.9447760785740635,2025052300135,12,60819.02806302253,g,148.71337143932152,1.9447630097390127,9.520063400268555,1230.73,129.595,False,1386.3,9.96878,1266.94,128.094,False,36.4153,8.99986,23.67459304975063,0.11432725863019964,23.545356903662384,0.00780744752835627,23.643109930301407,0.10977338586088259,27.496790315480432,0.26833430030922845
2019 QF12,nan,MBO,MBO,21164745498374726,745297378076524623,21.033949,2.8185627,2.6758747,148.7134640771124,1.944741681602532,2025052300136,9,60819.028586217355,g,148.7134611578744,1.9447081768070762,11.576027870178223,1432.2,122.675,False,1577.76,0.896722,1451.44,121.277,False,19.8036,33.1907,23.509990863540107,0.09299867111650482,23.40489763963675,0.0006170796289046132,23.495502324926083,0.09072013688747811,28.158139618641417,1.8196865550388404
2019 QF12,nan,MBO,MBO,21164745498374726,745297378212839443,21.033941,2.8185632,2.6758823,148.7135644633302,1.944707284027252,2025052300137,13,60819.02910952353,g,148.71360365488886,1.9447134436486428,11.185620307922363,1334.48,120.151,False,1460.06,2.22751,1338.78,119.268,False,22.8232,34.8546,23.58671984250903,0.09775515085086592,23.48907319858789,0.0016564306465017848,23.583226936690295,0.0967250634035701,28.004058649249604,1.658089122520935
2019 QF12,nan,MBO,MBO,21164745498374726,745297378347057224,21.033936,2.818564,2.67589,148.7136646630786,1.9446729516356944,2025052300138,13,60819.029631473495,g,148.713695554059,1.9446501637337867,9.955994606018066,1124.64,113.592,False,1092.91,1.35379,1170.53,110.905,False,57.4289,33.9869,23.772466170926908,0.10966260179177281,23.803538966734667,0.0013449038066220631,23.72904360060263,0.10287098105092607,27.002173723801402,0.6425476911584329
2019 QF12,nan,MBO,MBO,21164745498374726,745297378479702124,21.033928,2.8185647,2.6758978,148.71376544432246,1.9446384213089525,2025052300139,10,60819.03015675932,g,148.713791261481,1.9446508780099214,11.647679328918457,1273.95,112.576,False,1280.45,3.3076,1337.5,110.572,False,65.4043,32.4612,23.637119083763125,0.09594398505577095,23.631593480229547,0.0028046243359727938,23.584265523266833,0.08975852120250473,26.860984297086823,0.5388682785259452
2019 QF12,nan,MBO,MBO,21164745498374726,745297378615492668,21.03392,2.8185651,2.6759055,148.7138662311921,1.9446038903752871,2025052300140,13,60819.030681123004,g,148.71390536788007,1.9445984947574744,11.586722373962402,1331.8,113.962,False,1294.51,2.89315,1384.25,112.596,False,23.4782,36.0779,23.588902433802062,0.09290633927268133,23.61973646761281,0.0024265535037095993,23.54696366954007,0.08831465012815258,27.97333796316493,1.6684022040178614
2019 QF12,nan,MBO,MBO,21164745498374726,745297378749710409,21.033913,2.8185658,2.675913,148.7139668317634,1.9445694245953475,2025052300141,13,60819.03120546072,g,148.71397242277777,1.9445657905580775,11.937276840209961,1391.09,116.566,False,1318.82,2.86062,1437.73,115.801,False,31.3484,35.1443,23.54161195504171,0.09097896729023948,23.599536232648102,0.002355043790841546,23.505806677448497,0.08744989857079785,27.659461546854875,1.217205254149247
2019 QF12,nan,MBO,MBO,21164745498374726,745297378888122402,21.033905,2.8185666,2.6759207,148.71406705389074,1.9445350897953528,2025052300142,21,60819.03172731136,g,148.71410303379724,1.9445485225510908,12.550919532775879,1428.63,113.996,False,1514.89,0.93722,1534.67,112.555,False,89.3187,35.6094,23.512700582052922,0.08663515841066989,23.44904724259925,0.0006717145478702999,23.4349624600718,0.07962951993493553,26.522643983574337,0.4328591380175272
2019 QF12,nan,MBO,MBO,21164745498374726,745297379292348441,21.033882,2.8185682,2.6759436,148.71436890646436,1.9444316870964204,2025052300145,24,60819.03329943505,g,148.71438837872006,1.9444300231749418,13.149660110473633,1483.92,110.88,False,1522.59,1.59309,1599.46,108.599,False,105.543,30.3735,23.471473747320434,0.08112730055282849,23.443542591557126,0.0011360087689782194,23.39006656769546,0.07371854745968613,26.341426421056443,0.31245662657580486
2019 QF12,nan,MBO,MBO,21164745498374726,745297379427090477,21.033876,2.818569,2.6759515,148.71446934341787,1.9443972841025443,2025052300146,25,60819.033822497426,g,148.71449720536663,1.9444002701626875,11.340991020202637,1315.53,113.803,False,1237.87,0.255497,1377.84,112.445,False,61.1872,26.8606,23.602248084815937,0.09392414926498913,23.66831240963051,0.00022409651538326156,23.552003055485486,0.08860652197732008,26.933348574620346,0.4766278899302301
2019 QF12,nan,MBO,MBO,21164745498374726,745297379559735321,21.033869,2.8185697,2.675959,148.7145694020029,1.944363012074953,2025052300147,22,60819.034343319145,g,148.71458410512358,1.9443511698444405,11.630766868591309,1399.81,120.087,False,1487.3,2.06764,1465.37,118.625,False,46.4493,23.509,23.53482722527042,0.09314320941865893,23.46900351950697,0.0015093872147674183,23.485131763274854,0.08789279002476993,27.23255209298751,0.549514716255564
2019 QF12,nan,MBO,MBO,21164745498374726,745297379693953068,21.033861,2.8185701,2.6759667,148.71466985045288,1.94432860788666,2025052300148,22,60819.03486655337,g,148.71464744479286,1.9443183724582827,9.803790092468262,1158.31,117.869,False,1206.88,1.0554,1241.55,116.083,False,66.2577,23.8499,23.740437930726678,0.11048392729359549,23.69583976967764,0.000949461421999779,23.665089421663453,0.10151464789897487,26.846909141388856,0.3908179713406414
2019 QF12,nan,MBO,MBO,21164745498374726,745297379828170799,21.033854,2.8185709,2.6759744,148.71477049682176,1.944294137301237,2025052300149,22,60819.03539085956,g,148.714806200373,1.9442783713331395,9.814445495605469,1230.98,126.427,False,1153.77,1.43304,1340.04,125.113,False,97.7766,23.7659,23.6743725249476,0.11150983400011454,23.74470187570268,0.0013485386249746975,23.58220556288626,0.10136989097309419,26.424412630416118,0.26390257711410997
2019 QF12,nan,MBO,MBO,21164745498374726,745297379963961353,21.033846,2.8185713,2.675982,148.71487134107696,1.944259600345953,2025052300150,25,60819.03591508551,g,148.71490206898102,1.944271405217143,8.98178768157959,1126.05,125.037,False,1104.85,2.60648,1203.83,124.046,False,83.9548,10.837,23.771105765614806,0.12056053881342434,23.791741723948462,0.0025613880967473614,23.698587134777235,0.11187728797874635,26.589886126734896,0.14014830181394053
2019 QF12,nan,MBO,MBO,21164745498374726,745297380098703428,21.033838,2.818572,2.6759896,148.71497276748036,1.9442248654445773,2025052300151,26,60819.03644384879,g,148.71497834885238,1.9442204890100452,10.078595161437988,1211.71,122.03,False,1275.94,3.68842,1257.25,119.492,False,66.9133,20.7095,23.691503304876825,0.1093433181309854,23.635424418523257,0.003138589101732718,23.651445889267585,0.10319092230403677,26.83621888526231,0.33603264798319993
