provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2019 UK165,nan,MBO,MBO,21164745566926155,745297377804943440,25.297344,2.3678894,2.181306,148.80969500000006,1.4600005257150517,2025052300134,3,60819.02753780842,g,148.80967540782947,1.4600084822281967,11.190200805664062,1402.2,122.534,False,1412.78,3.78354,1481.12,121.285,False,43.5642,12.7971,23.532975130868383,0.09487919058307885,23.524813632001674,0.0029076900057424023,23.473524387616326,0.08890806957187528,27.302175608258413,0.31893789916147935
2019 UK165,nan,MBO,MBO,21164745566926155,745297377939685418,25.297348,2.367889,2.1813116,148.80984481332925,1.4600065366542794,2025052300135,4,60819.02806302253,g,148.8098164959167,1.459960630898086,9.99496078491211,1304.15,129.089,False,1400.87,0.340996,1367.77,127.405,False,54.0964,9.53006,23.61168111539932,0.10746969536946527,23.534005416644575,0.00026428697960393494,23.55996729975071,0.10113412186739881,27.06707906387993,0.19127207617777356
2019 UK165,nan,MBO,MBO,21164745566926155,745297378073903122,25.297352,2.3678885,2.1813176,148.80999377885223,1.4600125123905772,2025052300136,4,60819.028586217355,g,148.81000684227976,1.4600117784536735,10.77034854888916,1298.64,121.891,False,1339.56,2.22492,1316.35,119.909,False,41.0066,40.0849,23.61627804864261,0.1019077411617465,23.582594525536713,0.0018033355194130133,23.60157157570523,0.09890191915518498,27.3678656104097,1.0613322659522826
2019 UK165,nan,MBO,MBO,21164745566926155,745297378208645147,25.297356,2.3678877,2.1813235,148.81014275096885,1.4600184872075297,2025052300137,5,60819.02910952353,g,148.81014267048533,1.46001400671113,11.562480926513672,1310.61,111.27,False,1386.74,2.07947,1337.86,109.282,False,17.2704,36.9369,23.60631631884806,0.09217834840948985,23.54501240065484,0.0016281031728265305,23.58397333893734,0.08868747306095091,28.306744066017988,2.3221079368412396
2019 UK165,nan,MBO,MBO,21164745566926155,745297378344435716,25.297361,2.3678873,2.1813293,148.81029144477907,1.4600244496814307,2025052300138,8,60819.029631473495,g,148.81028668931816,1.4600031249933263,11.951842308044434,1321.87,110.208,False,1264.97,1.92079,1366.58,108.606,False,16.4174,38.1525,23.5970281381841,0.09052086536102988,23.644799460356225,0.0016486329686877955,23.56091238366139,0.08628654970377322,28.361739027091833,2.5231492081023776
2019 UK165,nan,MBO,MBO,21164745566926155,745297378475507784,25.297365,2.3678868,2.1813352,148.81044099990862,1.4600304455024515,2025052300139,2,60819.03015675932,g,148.8104416337214,1.4600068254305563,13.072185516357422,1527.89,114.617,False,1546.39,2.56204,1501.2,112.769,False,-14.3288,49.0358,23.439769768442794,0.08144815521763094,23.42670240824332,0.0017988344841945857,23.45890364596211,0.08155967693075138,nan,nan
2019 UK165,nan,MBO,MBO,21164745566926155,745297378611298341,25.297369,2.3678863,2.181341,148.81059056177057,1.46003644039861,2025052300140,5,60819.030681123004,g,148.81056688358817,1.4600197930709358,12.030217170715332,1344.78,110.418,False,1476.85,1.1131,1324.88,109.174,False,-27.6937,36.3148,23.578371872565437,0.08914827469920755,23.47665904960843,0.0008183180728053692,23.594558635595554,0.08946785210073813,nan,nan
2019 UK165,nan,MBO,MBO,21164745566926155,745297378745516076,25.297373,2.3678858,2.181347,148.81073984555906,1.4600424229566642,2025052300141,5,60819.03120546072,g,148.8107253705285,1.4600131508398977,12.270334243774414,1433.52,115.258,False,1385.15,2.68039,1415.76,114.028,False,-20.9029,36.8494,23.508990594060496,0.08729545823932086,23.546257964970632,0.002100997210064384,23.522525897808926,0.08744725586938938,nan,nan
2019 UK165,nan,MBO,MBO,21164745566926155,745297378883928075,25.297377,2.3678854,2.1813526,148.8108885661517,1.4600483817598378,2025052300142,13,60819.03172731136,g,148.81088461815142,1.4600462713911766,12.56275463104248,1435.46,113.149,False,1285.93,0.411551,1445.38,112.776,False,3.7929,41.1057,23.50752229176824,0.08558230213893173,23.626956633960127,0.0003474806565801695,23.50004489381313,0.0847147372140516,29.95257149389527,11.76670813283337
2019 UK165,nan,MBO,MBO,21164745566926155,745297379017621529,25.29738,2.3678849,2.1813586,148.81103814833443,1.4600543738910563,2025052300143,12,60819.0322521672,g,148.8110500605906,1.460054041220025,13.108499526977539,1621.86,124.319,False,1678.55,4.05596,1595.9,122.84,False,-15.1409,13.0871,23.3749666025222,0.08322397785474668,23.337664262483425,0.0026235159409120244,23.392485796569208,0.0835715454452553,nan,nan
2019 UK165,nan,MBO,MBO,21164745566926155,745297379152363569,25.297386,2.3678844,2.1813645,148.81118773736586,1.4600603650992672,2025052300144,13,60819.03277742538,g,148.8111539888448,1.4600503127209106,11.72215461730957,1375.41,115.673,False,1376.75,7.98624,1355.57,114.564,False,-7.74982,36.1698,23.55391952906567,0.09131121419410781,23.552862287116696,0.006298129515386103,23.56969517067234,0.09175940064882643,nan,nan
