provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 FK34,nan,MBO,MBO,21165806170879051,745174275086878248,21.129595,2.3111598,1.5913297,271.98726006204527,-23.522356281049134,2025042500451,74,60791.278146256256,i,271.98719949035916,-23.522427840414974,12.582440376281738,6215.98,491.823,False,5938.95,0.36256,3834.6,280.301,False,-893.455,120.344,21.9162259822947,0.0859060095093663,21.965725791872124,6.628183597941128e-05,22.440699802518917,0.07936497434227925,nan,nan
2020 FK34,nan,MBO,MBO,21165806170879051,745174275230533342,21.12946,2.3111603,1.5913247,271.9872839940491,-23.52231526727889,2025042500452,92,60791.27868052027,i,271.98723044382405,-23.52239606256953,17.21278953552246,7296.06,419.471,False,6352.54,13.9673,4180.63,254.474,False,-1758.42,50.8912,21.742278999264716,0.06242202735462912,21.89263147244758,0.002387203173862901,22.346895698659985,0.06608851815493817,nan,nan
2020 FK34,nan,MBO,MBO,21165806170879051,745174276067820372,21.128653,2.3111634,1.5912952,271.98742706156503,-23.52206960639132,2025042500458,153,60791.28187701356,i,271.9873674118884,-23.52213190850235,15.29690170288086,7080.48,459.657,False,6220.07,6.66997,5328.63,284.775,False,-151.687,48.3349,21.774843252031435,0.07048480641086433,21.91551185012878,0.0011642679514713198,22.08346111009129,0.05802439424071893,nan,nan
2020 FK34,nan,MBO,MBO,21165806170879051,745174276337829522,21.128387,2.3111646,1.5912856,271.9874738826383,-23.52198903354667,2025042500460,156,60791.28292506441,i,271.9874224430513,-23.522073875991303,14.976373672485352,6859.25,453.278,False,6070.7,11.1865,6937.31,284.633,False,153.645,64.4823,21.809308420160292,0.07174842028717993,21.941903036140992,0.002000689743314787,21.79702223638808,0.044546999598899746,25.93370389037672,0.45566575884150556
2020 FK34,nan,MBO,MBO,21165806170879051,745174276393927966,21.12825,2.311165,1.5912806,271.9874979486249,-23.521947585526224,2025042500461,7,60791.2834647063,i,271.9874440600161,-23.522031037997458,11.188163757324219,5524.94,487.911,False,5500.96,6.49758,5023.13,318.445,False,-374.947,75.4815,22.04418109648614,0.09588206472486856,22.04890379019202,0.0012824412384817457,22.147563980412645,0.06883104393923907,nan,nan
2020 FK34,nan,MBO,MBO,21165806170879051,745174276572710045,21.128117,2.3111656,1.5912757,271.98752151389044,-23.52190697780048,2025042500462,92,60791.28399201683,i,271.98744225594646,-23.521973064776418,14.914837837219238,6853.81,456.614,False,6573.37,0.25716,8782.84,309.628,False,879.307,59.2176,21.810169838635982,0.07233383505016443,21.855529784609125,4.247561388961044e-05,21.54091259148293,0.0382762666193132,24.039648665284957,0.0731197337305903
2020 FK34,nan,MBO,MBO,21165806170879051,745174276738385071,21.127983,2.311166,1.5912708,271.9875451142693,-23.521866287716,2025042500463,152,60791.284521776055,i,271.98749203201055,-23.521961514297704,15.085949897766113,6227.35,413.8,False,6226.94,12.0216,4552.12,261.823,False,-1481.01,51.6779,21.914241794582715,0.07214587605157931,21.9143133075295,0.002096099566043139,22.25446571673927,0.06244798047935609,nan,nan
2020 FK34,nan,MBO,MBO,21165806170879051,745200684966084748,19.539112,2.3170009,1.5391629,272.1553577058611,-23.04139497664577,2025050100612,57,60797.23559562226,u,272.1552761399071,-23.041501783847387,5.760916709899902,1761.9,306.039,False,1852.67,26.5978,2626.52,305.063,False,919.489,8.02548,23.285046846048765,0.1885905098780558,23.230504801478233,0.015587337725097208,22.85154821155841,0.12610523759410366,23.99113363868625,0.009476518327645124
2020 FK34,nan,MBO,MBO,21165806170879051,745200685798654148,19.538029,2.3170047,1.5391318,272.15534318828225,-23.041098365296868,2025050100618,109,60797.23925939443,u,272.1553838521486,-23.041256131964715,5.450394630432129,1643.14,294.208,False,1581.52,9.35072,2227.55,291.566,False,773.888,8.4845,23.360813570112327,0.1944035705807693,23.402313265587964,0.006419403839046195,23.030431323518744,0.1421129786874453,24.178304718090793,0.011903439191338456
2020 FK34,nan,MBO,MBO,21165806170879051,745200687812444314,19.535364,2.3170137,1.5390553,272.15530502843643,-23.04036819516132,2025050100633,110,60797.2482660204,u,272.1551678473556,-23.040412587670158,5.906872272491455,1819.02,315.077,False,nan,nan,2746.29,316.244,False,820.862,8.16889,23.250406303022835,0.18806307682556583,nan,nan,22.80313399575924,0.1250259595545845,24.11432462208608,0.0108048120515991
