provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 CU22,nan,MBO,MBO,21165810415448661,745262191833776141,22.988157,2.579281,2.2880468,148.7586525593294,2.4118573468236115,2025051500122,25,60811.04208450287,i,148.75870096246567,2.4118373748145903,8.089381217956543,3540.79,431.84,False,3463.4,17.442,3521.78,432.697,False,-116.848,9.80226,22.52724956292684,0.1324179952818687,22.55124339908327,0.005467867068309451,22.53309443398684,0.13339697109826232,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262191967993874,22.988184,2.5792804,2.288052,148.75872369330892,2.411823527987205,2025051500123,25,60811.04255635306,i,148.75874125560347,2.4118459101168552,10.222253799438477,3325.42,323.068,False,3849.02,1.65372,3260.04,322.11,False,-86.515,10.5137,22.59538376444492,0.10548039797000999,22.43662457511534,0.00046648333614561266,22.616942664985732,0.10727674164114687,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262192102735884,22.98821,2.5792794,2.2880573,148.7587952844546,2.4117894936182847,2025051500124,26,60811.0430310299,i,148.75875309807037,2.411781893464474,10.588106155395508,3180.84,311.309,False,3349.88,60.5332,3116.16,309.208,False,-61.0865,11.1714,22.64364540966823,0.1062610607543533,22.587426913129505,0.019619535141616948,22.665950659298503,0.10773462798830277,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262192236953647,22.988237,2.5792785,2.2880626,148.7588676344989,2.4117551003304207,2025051500125,26,60811.04351116055,i,148.75887000428273,2.411753145125333,9.274128913879395,3043.54,327.55,False,3041.05,4.9167,2974.32,323.552,False,-33.3169,12.811,22.691552451362345,0.11684843177698259,22.692441080722357,0.0017553933637386532,22.716530746526676,0.11810837924926229,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262192386375716,22.988264,2.5792775,2.2880678,148.75893908544697,2.4117211362954207,2025051500126,55,60811.043985125616,i,148.75896820753863,2.4117104027036134,8.753973960876465,3084.68,340.345,False,3066.6,20.1445,2982.92,339.877,False,-40.6923,10.8522,22.67697472991447,0.11979359224385745,22.683357137077394,0.00713220278988551,22.713396013388852,0.1237099181686436,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262192505389087,22.98829,2.5792766,2.288073,148.75901039073682,2.4116872433380947,2025051500127,26,60811.04445870916,i,148.7590104372616,2.4116804454903864,7.07508659362793,3264.9,453.274,False,3103.47,27.5893,3194.45,453.989,False,-43.0829,10.2662,22.615325322745733,0.15073539553489684,22.670381131271633,0.009652003185366893,22.639009779394755,0.15430271760093303,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262192654811149,22.988317,2.5792756,2.2880785,148.75908260591473,2.411652919774468,2025051500128,55,60811.0449378077,i,148.75908363423108,2.411647094396754,6.808622360229492,3381.33,486.717,False,3297.4,16.8943,3318.44,487.568,False,-68.4367,11.5869,22.577281080693353,0.1562835533827575,22.604570948149657,0.005562793172684777,22.597665095011067,0.15952382197857598,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262192789028887,22.988346,2.5792747,2.2880838,148.75915437407562,2.4116188105642844,2025051500129,55,60811.04541385244,i,148.75915771250726,2.411598762878379,6.689024448394775,2473.82,353.579,False,2564.78,16.1072,2442.68,352.978,False,-75.1056,11.9003,22.916579729188854,0.15518247964765516,22.877374691545253,0.006818585092464582,22.930333589042938,0.15689365834342905,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262192927440912,22.988373,2.5792737,2.288089,148.75922629837618,2.4115846290443543,2025051500130,63,60811.04589065211,i,148.75921931296958,2.4115755608387817,8.862015724182129,4142.76,463.305,False,4242.27,35.3878,4013.6,463.084,False,-106.831,11.9519,22.356775625653874,0.12142316543846375,22.33100423048434,0.009056899644346392,22.39116475353335,0.12527084626772567,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262193057988636,22.9884,2.5792727,2.2880943,148.75929762482383,2.4115507335372,2025051500131,56,60811.046363020694,i,148.75929638870855,2.4115709680776622,9.21502685546875,3736.02,404.268,False,3635.4,9.2211,3635.56,405.563,False,-126.715,12.0647,22.468977013152063,0.11748556152325483,22.49861952196525,0.0027539424073256,22.498571691296394,0.12111873070174868,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262193192206422,22.988426,2.579272,2.2880995,148.7593695597453,2.411516550787208,2025051500132,56,60811.04684006958,i,148.7594065308234,2.411520919690003,8.746774673461914,3771.92,432.462,False,4024.37,19.1474,3664.24,435.15,False,-136.691,11.5283,22.45859383984802,0.12448293346730645,22.38825521124437,0.005165783637088938,22.49004022464116,0.1289375434286094,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262193327996949,22.988453,2.579271,2.288105,148.75944165099747,2.411482295688994,2025051500133,59,60811.04731837158,i,148.75943558297138,2.411530627830252,5.9804768562316895,3304.54,545.17,False,3449.72,3.01103,3176.38,549.82,False,-142.313,9.94268,22.602222454211855,0.1791204770394771,22.55554039283442,0.0009476665548400307,22.645168907974366,0.1879370573030173,nan,nan
2021 CU22,nan,MBO,MBO,21165810415448661,745262193462214665,22.98848,2.5792701,2.2881103,148.7595129934056,2.4114483983346937,2025051500134,59,60811.04779119583,i,148.75950591569745,2.411464645257885,9.364973068237305,3863.72,408.466,False,4268.37,30.8579,3752.65,403.606,False,-101.584,10.5728,22.43248589326133,0.1147822129156633,22.324344823117173,0.007849258378629763,22.464154876319036,0.11677338535237029,nan,nan
