provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 LQ14,nan,MBO,MBO,21165810566378577,745284197567430687,10.380397,2.1280947,1.1566187,225.3471663635007,-39.67571242016616,2025052000237,151,60816.135274031665,u,225.34718346092728,-39.675756103443696,8.57034969329834,2898.29,341.05,False,3318.01,58.4597,2847.08,336.801,False,-118.49,6.73125,22.744645389414103,0.12776165062449057,22.597805770327504,0.01912948251887217,22.76400079384782,0.1284393216551351,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284197696929823,10.380517,2.128093,1.1566176,225.3469061076603,-39.675582971273656,2025052000238,142,60816.13631592141,u,225.34686678919704,-39.675591696366965,10.204620361328125,3329.47,320.03,False,4019.58,39.0625,3154.7,315.845,False,-72.6874,7.7901,22.59406224440249,0.1043614026679458,22.389548287238334,0.010551244078746656,22.65260485233895,0.10870268432020198,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284197831147608,10.380616,2.1280916,1.1566167,225.34668959440748,-39.675475241808506,2025052000239,142,60816.13718127388,u,225.3467678033474,-39.675419926602345,11.271100044250488,3854.43,343.24,False,4396.74,3.71328,3647.43,342.49,False,-40.1951,7.90676,22.435099612028786,0.09668565544779868,22.29217298088483,0.0009169617213706815,22.495032605744683,0.10194953409220343,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284205416022508,10.396157,2.1278775,1.1564912,225.31268888038224,-39.65801095949325,2025052000296,17,60816.27380867624,i,225.312694301293,-39.65803645819345,58.79180145263672,20802.6,347.803,False,19180.8,0.253377,20712.6,345.962,False,-79.3545,15.6852,20.604705974436737,0.01815265044379291,20.69283316345323,1.4342496709991796e-05,20.60941347498337,0.01813502322505087,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284205571736062,10.396218,2.1278765,1.1564907,225.312555337216,-39.657939836422045,2025052000297,58,60816.27435135268,i,225.31255259885774,-39.657955130430594,66.87273406982422,19647.8,292.047,False,18324.3,0.0975914,19687.5,294.034,False,-102.884,31.0533,20.666715135106788,0.016138498233997083,20.74243147045356,5.7824043425709305e-06,20.66452357216581,0.01621553551841724,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284205705953449,10.396294,2.1278756,1.1564902,225.31239034132847,-39.657851931644274,2025052000298,58,60816.275022669506,i,225.31238651021835,-39.65786376085538,47.5709342956543,20228.0,421.622,False,19344.5,1.15209,20308.3,425.211,False,-145.696,19.1093,20.635117637598732,0.02263052601321337,20.683606227669873,6.466260557620852e-05,20.630816032477497,0.022732919939673992,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284205885260005,10.396355,2.1278746,1.1564897,225.3122563501944,-39.65778052045778,2025052000299,144,60816.27556749106,i,225.3122543451188,-39.65780029493219,57.87539291381836,20309.7,348.487,False,18115.4,0.155419,20286.6,348.531,False,-130.287,17.7269,20.630741270833674,0.018629766407770997,20.754880156624345,9.314949662037874e-06,20.631976855635486,0.018653334655819608,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284205986447826,10.396409,2.127874,1.1564893,225.3121363896666,-39.65771656807672,2025052000300,81,60816.27605568517,i,225.31213447282812,-39.65773556855844,57.203651428222656,20323.9,350.437,False,18732.0,0.0599482,20389.7,351.637,False,-83.8605,12.8552,20.62998235568805,0.018720921860343517,20.718539627224892,3.4746919452562714e-06,20.626472951812694,0.01872440640637304,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284206231814446,10.396519,2.1278725,1.1564885,225.31189651647017,-39.657588635315605,2025052000302,37,60816.277031280464,i,225.31190386066137,-39.65760681678379,45.33053970336914,20397.5,448.728,False,19053.1,1.12298,20473.6,453.045,False,-63.1725,19.2518,20.6260576454963,0.023885291444675365,20.700085905122535,6.399273959009288e-05,20.62201448554526,0.024025446567704955,nan,nan
2021 LQ14,nan,MBO,MBO,21165810566378577,745284206556348973,10.39663,2.1278708,1.1564877,225.31165154832712,-39.65745791152621,2025052000304,144,60816.27802847215,i,225.31165558025992,-39.65747371047197,54.18721008300781,19589.4,360.576,False,18672.3,0.0507851,19931.0,364.992,False,-49.1197,16.2239,20.669947142660963,0.019984807996517254,20.722005413611875,2.9529954798241497e-06,20.651177277134032,0.01988284750481064,nan,nan
