provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 PM150,nan,MBO,MBO,21165810634862669,745200689700405292,15.492196,2.8033237,2.02686,269.7334151097916,-23.92573722477516,2025050100647,127,60797.28074399984,g,269.7334008086321,-23.925778644564566,12.71864128112793,2058.34,161.121,False,1997.29,2.14393,2040.76,161.489,False,-29.1654,4.28872,23.11620716906041,0.08498833912901035,23.14889715978363,0.0011654503505819027,23.125520161608517,0.08591625247858131,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200690082087146,15.491833,2.8033228,2.0268443,269.733350691911,-23.925692690286567,2025050100650,87,60797.28220231854,g,269.7333484271107,-23.925702052183677,14.095586776733398,2264.0,160.979,False,2128.14,2.81558,2307.85,160.175,False,-26.1917,4.33678,23.012808943709416,0.07719997029457419,23.079999568083153,0.0014364549228794742,22.99198100858599,0.07535489418795022,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200690351046752,15.491583,2.803322,2.0268333,269.73330652728833,-23.925662155921387,2025050100652,88,60797.28320126145,g,269.7332424610351,-23.925677080578733,11.503822326660156,1719.88,149.579,False,1981.29,0.836769,1668.71,149.774,False,-29.1417,5.18924,23.311254631328747,0.09442712841093069,23.15762985968445,0.00045854486920052646,23.344047854093564,0.09744956307038509,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200690751602949,15.491211,2.8033211,2.0268173,269.7332406168181,-23.925616583875204,2025050100655,84,60797.284691791996,g,269.73321169084926,-23.925623580100265,16.466793060302734,2253.21,134.695,False,2212.69,1.43433,2369.36,133.668,False,-22.3534,6.0561,23.017995843784078,0.06490440242471582,23.03769859596636,0.0007038057916971518,22.963422319931233,0.06125205947706622,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200691020038412,15.490958,2.8033206,2.0268064,269.7331958243629,-23.92558561086625,2025050100657,84,60797.28570343807,g,269.7331525234908,-23.92559364852709,12.49487590789795,1911.04,151.252,False,1899.15,1.15021,2046.56,151.771,False,-24.6157,5.59261,23.196825534374838,0.08593214579104923,23.203601816433334,0.0006575703071968157,23.12243876493606,0.08051719010113795,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200691422691458,15.490586,2.8033197,2.0267904,269.7331298367338,-23.92553997769804,2025050100660,84,60797.28719301775,g,269.73309386974677,-23.92556496195971,14.921294212341309,1968.13,130.518,False,1814.68,2.09859,1993.45,130.56,False,-19.268,6.76347,23.164865544057378,0.07200140410066566,23.25299983587593,0.001255601518086999,23.15098665884863,0.07110974426981048,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200692092731494,15.489961,2.803318,2.0267632,269.73301888614264,-23.92546323782006,2025050100665,82,60797.28969674934,g,269.7329936589069,-23.925470003258223,13.04493236541748,2046.42,156.449,False,2123.88,2.93435,2083.4,156.665,False,-43.9296,4.6634,23.122513047717433,0.08300463512722638,23.082175121644532,0.0015000518970608822,23.103068401328557,0.08164388173273447,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200692368506956,15.489702,2.8033173,2.0267522,269.73297292738306,-23.925431444644865,2025050100667,96,60797.29073289838,g,269.7329370156605,-23.925445360309766,13.705220222473145,2046.93,145.462,False,2028.34,2.02041,1949.3,145.471,False,-51.1819,6.16955,23.12224249374234,0.07715621040732115,23.132148130119624,0.001081491460269393,23.175303265827292,0.08102555785742717,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200692602863713,15.489448,2.8033168,2.0267413,269.73292770267653,-23.92540015582722,2025050100669,31,60797.291751934696,g,269.7328968493269,-23.925398561233727,10.66253662109375,1791.68,167.082,False,1841.11,0.637907,1836.56,168.155,False,-50.275,5.03499,23.266848852914602,0.10124964944655358,23.237300666430745,0.00037618543231801756,23.239987162321533,0.09940974667909125,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200692765917454,15.489323,2.8033164,2.0267358,269.7329055047482,-23.92538479681939,2025050100670,86,60797.292251945415,g,269.73290224286956,-23.92536296102506,10.913238525390625,1797.19,167.086,False,1804.93,2.52327,1797.41,166.546,False,-50.735,4.17527,23.263515051877903,0.10094164992701535,23.258849059016256,0.0015178457858820674,23.2633820953907,0.10060310347562301,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200693032255707,15.489068,2.8033159,2.0267248,269.7328602953138,-23.925353513055125,2025050100672,82,60797.2932699156,g,269.73286902865766,-23.925361501349137,11.619963645935059,2246.73,191.52,False,2111.72,3.35018,2268.17,194.206,False,-59.5347,3.70463,23.0211227985238,0.09255237807022032,23.08840918225083,0.0017224876744645103,23.010811032551498,0.09296326366724365,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200693434384446,15.4886875,2.8033147,2.0267084,269.7327926230971,-23.92530667812352,2025050100675,81,60797.29479243902,g,269.73277427715755,-23.92530856006671,13.00522518157959,2043.69,155.153,False,1999.08,5.86072,1972.64,154.245,False,-41.0425,4.80364,23.123962481410025,0.08242699923863642,23.147924588267852,0.0031830623091462303,23.162380403843706,0.0848960653529669,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200693706490097,15.488415,2.8033142,2.0266967,269.7327441648057,-23.92527313497128,2025050100677,88,60797.29588233264,g,269.73270938493494,-23.925251226584123,9.216848373413086,2108.08,228.267,False,2500.24,44.3675,2178.91,232.66,False,-42.9676,3.23904,23.09028223978337,0.11756562142385656,22.905045756887752,0.019266711029380452,23.054401813648454,0.11593292038887698,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200694108618909,15.488043,2.8033133,2.0266805,269.7326779785495,-23.92522731190336,2025050100680,87,60797.29737012891,g,269.7326321603057,-23.92525368440517,13.447854042053223,1708.53,125.318,False,1625.62,0.360085,1718.62,125.614,False,-27.0042,6.63219,23.31844345898582,0.07963704953161349,23.37245241885883,0.0002404973695549256,23.31205034939309,0.07935649898697823,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200694778134704,15.487412,2.8033116,2.0266533,269.7325656681679,-23.92514953121052,2025050100685,84,60797.29989384275,g,269.73253080951633,-23.925153512410443,13.990792274475098,2041.41,144.695,False,1938.17,3.52867,2216.98,146.004,False,-0.215733,6.16383,23.12517438716076,0.07695690991485486,23.18152030775456,0.0019767124481097124,23.03559557146638,0.07150349928750273,nan,nan
2021 PM150,nan,MBO,MBO,21165810634862669,745200695046570153,15.487147,2.8033109,2.026642,269.7325184062362,-23.925116790093583,2025050100687,84,60797.3009545994,g,269.73252478361377,-23.925123011352554,12.720013618469238,2007.08,156.992,False,1921.73,0.246969,2190.3,158.065,False,7.93172,4.72244,23.14358831544088,0.08492531775552523,23.190769086193423,0.00013953218555195357,23.048740967894673,0.07835314433181743,29.151581593505217,0.6464328003126221
2021 PM150,nan,MBO,MBO,21165810634862669,745200695717134610,15.486497,2.8033092,2.026614,269.732402512813,-23.925036477261983,2025050100692,83,60797.30355416398,g,269.73237306639913,-23.925040040928856,14.566749572753906,1946.62,132.019,False,1976.5,1.48259,1832.62,130.77,False,30.3988,5.13756,23.176797049976265,0.07363419944682262,23.160257953302526,0.0008144202360180109,23.24231894825038,0.07747472389981593,27.692858903538028,0.18349522996094372
