provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 PP87,nan,MBO,MBO,21165810633946960,745464542103863686,18.843748,2.3892083,1.5992497,224.6474937145572,-40.980697960569,2025063000421,24,60857.219271350696,g,224.64752072894012,-40.9806983172865,20.473222732543945,4074.25,196.996,False,4362.5,6.55879,3991.09,199.679,False,-65.7698,3.10116,22.37488081445076,0.05249694834096663,22.300661400081907,0.0016323475041958415,22.397271172752284,0.054320678256660024,nan,nan
2021 PP87,nan,MBO,MBO,21165810633946960,745464542769709359,18.844282,2.3892057,1.5992637,224.6475535457052,-40.98020571382296,2025063000426,14,60857.221485952716,g,224.64760801387752,-40.98020876773718,19.55435562133789,3843.2,197.689,False,4099.48,0.86068,3804.89,200.859,False,-100.005,3.1081,22.43826754948732,0.05584879846821606,22.368178075235,0.00022794877006162564,22.44914476624642,0.057315687834354055,nan,nan
2021 PP87,nan,MBO,MBO,21165810633946960,745464542920180260,18.844389,2.3892052,1.5992665,224.64756536927484,-40.98010876815992,2025063000427,45,60857.22192128851,g,224.6475860169451,-40.98010040215303,23.343048095703125,4184.14,179.495,False,4199.76,1.11597,4173.29,181.785,False,-89.548,3.16597,22.345984445877484,0.04657688519114576,22.34193887843821,0.0002885043709400261,22.348803578127775,0.047293755792343434,nan,nan
2021 PP87,nan,MBO,MBO,21165810633946960,745464543034474925,18.844494,2.3892047,1.5992693,224.64757715207904,-40.98001226457226,2025063000428,7,60857.22235545619,g,224.64760292045503,-40.98002433663162,17.70088005065918,3861.76,217.087,False,3956.43,2.68476,3793.88,223.633,False,-85.6964,3.0762,22.433036797697245,0.06103414530756823,22.406741303055064,0.0007367604848746023,22.45229105832682,0.0639995064175238,nan,nan
2021 PP87,nan,MBO,MBO,21165810633946960,745464543981339317,18.845232,2.3892012,1.5992887,224.647660556978,-40.97933221925494,2025063000435,21,60857.22541367485,g,224.6476857364134,-40.979346877932436,24.3021240234375,4303.83,175.767,False,4327.16,1.09967,4257.97,175.641,False,-40.7263,3.47175,22.315362209054353,0.044341107846282694,22.30949257614207,0.0002759203602838308,22.326993452109342,0.04478655090153957,nan,nan
2021 PP87,nan,MBO,MBO,21165810633946960,745468900894310561,19.024593,2.3883133,1.6040441,224.67694195149613,-40.814256530580096,2025070100128,157,60857.98834868114,i,224.67699124321973,-40.814269622121984,20.454740524291992,7676.43,371.676,False,7875.86,5.00332,9928.87,368.028,False,2272.69,6.62201,21.68710174008721,0.05256897735438522,21.659255049880098,0.0006897387711360228,21.40775042603999,0.040244391928091386,23.00864952542733,0.003163544716375312
2021 PP87,nan,MBO,MBO,21165810633946960,745468901439046079,19.025024,2.3883111,1.604055,224.67699252284805,-40.81387768148669,2025070100132,172,60857.990113633656,i,224.67701928880737,-40.81389371623285,24.367090225219727,7431.57,303.849,False,7130.69,3.78377,7486.14,299.294,False,70.2517,8.53952,21.722298593464135,0.04439167858507534,21.767171118130104,0.0005761260417786598,21.7143551184367,0.04340746133843956,26.783357883890567,0.13197781893828728
2021 PP87,nan,MBO,MBO,21165810633946960,745468901696995494,19.025246,2.3883102,1.6040608,224.6770184939552,-40.813682960633656,2025070100134,152,60857.99102096536,i,224.677052612801,-40.81367393253235,23.968544006347656,7980.02,331.37,False,8042.86,8.83322,7656.85,329.366,False,-150.792,7.50068,21.644990047825857,0.045085150161113086,21.636473745666827,0.001192429858205772,21.68987463810882,0.04670387735683016,nan,nan
2021 PP87,nan,MBO,MBO,21165810633946960,745468901846417519,19.025352,2.3883097,1.6040635,224.6770309459306,-40.81358956274487,2025070100135,181,60857.99145541865,i,224.67707435656266,-40.81359527287087,27.89452362060547,8026.36,286.35,False,7427.7,1.2839,7866.15,281.418,False,-124.796,10.2362,21.63870343123705,0.03873494014161972,21.722864085078722,0.0001876727252137926,21.660594454140494,0.03884310803489363,nan,nan
2021 PP87,nan,MBO,MBO,21165810633946960,745468901961236972,19.02546,2.3883092,1.6040663,224.6770435671393,-40.81349487068843,2025070100136,144,60857.99189614932,i,224.67707788718,-40.813507782030825,24.560775756835938,7798.82,313.234,False,7465.28,5.32013,7437.23,308.048,False,-179.021,9.49124,21.669927782571392,0.04360781651188869,21.717384777659685,0.000773749649255643,21.72147197168662,0.04497089262909704,nan,nan
