provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 QR7,nan,MBO,MBO,21165810650199890,745284207213806104,5.1203227,3.868913,2.902073,228.13738983564707,-38.22249634427471,2025052000309,118,60816.28066749245,i,228.13739971636662,-38.2224929099897,8.323715209960938,2914.13,350.977,False,2752.71,22.4489,2984.87,342.492,False,43.6927,27.7295,22.738727739057737,0.13076576546978683,22.80059886399774,0.008854395877062275,22.71268640473351,0.12458028470656037,27.29897780695073,0.6890606962299363
2021 QR7,nan,MBO,MBO,21165810650199890,745284208131309811,5.1205363,3.86891,2.9020734,228.1365433056591,-38.22234692986297,2025052000316,76,60816.28426395198,i,228.1365480736433,-38.22233731903989,5.595457553863525,4024.15,715.821,False,4603.87,95.8719,3406.21,711.034,False,-125.838,26.0667,22.38831462470875,0.1931321588886991,22.242192342592816,0.022609585604419863,22.56932146340406,0.226643501650292,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745284208533962975,5.1206245,3.868909,2.9020736,228.13619405698387,-38.22228521108333,2025052000319,76,60816.285747094415,i,228.13622002082607,-38.2222762303003,6.203395843505859,2347.03,368.288,False,2058.55,20.5836,2655.06,350.69,False,-109.028,14.5376,22.973703384360466,0.17037004396619934,23.116096424209776,0.010856359197867135,22.83981412636132,0.14340799224670608,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745284210682495528,5.121287,3.8688998,2.9020758,228.13357258243923,-38.22182055288571,2025052000335,78,60816.29689451413,r,228.1335614207108,-38.221765122612936,7.722382068634033,2082.59,267.049,False,2323.01,8.27468,1975.46,260.093,False,-152.552,37.7959,23.10349050742292,0.13922316332133033,22.98487229709152,0.0038674477382596166,23.160829420676563,0.14295018792550349,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745284211486753295,5.1214614,3.8688974,2.9020762,228.132881512918,-38.22169765511162,2025052000341,76,60816.299835672995,r,228.1328243231493,-38.22162271236471,6.185185432434082,2693.09,441.658,False,3046.89,11.2978,2582.41,440.418,False,-169.265,37.7329,22.824372796364102,0.17805719588777133,22.690358099682697,0.004025885737970873,22.869937049986696,0.18516725977145962,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288582308560921,5.1827626,3.868149,2.9022377,227.92059371498095,-38.18426022691112,2025052100138,117,60817.222943721055,g,227.92054166673853,-38.18422202313192,8.770362854003906,1342.03,152.971,False,1427.37,11.8333,1522.75,149.245,False,178.681,5.33488,23.580594415685788,0.1237573987152223,23.513658592073682,0.0090010592077876,23.44342847956635,0.10641319624211507,25.769804065572714,0.032416833554972796
2021 QR7,nan,MBO,MBO,21165810650199890,745288582983319848,5.182999,3.8681464,2.9022388,227.9198470843444,-38.18412452494609,2025052100143,124,60817.22611979296,g,227.9198538589383,-38.18408968736681,5.217040061950684,855.692,163.333,False,966.477,9.53772,904.708,160.302,False,83.5748,5.23857,24.069206299634285,0.20724342404333482,23.937021203403777,0.01071463441740628,24.008728914024246,0.19237774587244177,26.59481165346934,0.06805526831214737
2021 QR7,nan,MBO,MBO,21165810650199890,745288584033468561,5.1833644,3.8681426,2.9022408,227.91869148219504,-38.18391406376671,2025052100151,79,60817.23103663155,g,227.91862867915768,-38.183856384626615,6.118185997009277,1074.51,173.256,False,nan,nan,816.835,170.734,False,-204.441,4.52941,23.821973836039234,0.17506612930867843,nan,nan,24.1196641251377,0.2269394347356515,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288584164016403,5.1834135,3.868142,2.902241,227.9185361629337,-38.18388573702809,2025052100152,72,60817.23169760447,g,227.91850907164581,-38.183871879831834,9.051207542419434,1615.88,177.848,False,1783.29,0.792153,1380.11,175.82,False,-181.653,4.76063,23.37897723259195,0.11949898493697922,23.271945040658924,0.00048229349902207677,23.55021575477968,0.1383180684864883,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288584276214074,5.1834593,3.8681414,2.9022412,227.91839212893908,-38.18385946008413,2025052100153,30,60817.23231028124,g,227.91853721313075,-38.183897869924536,6.842126369476318,1326.15,197.619,False,1695.71,3.24433,1174.88,198.361,False,-195.968,4.72089,23.593518355948717,0.16179323807754992,23.326621071731644,0.0020772930192202083,23.72501621832832,0.18331038931611335,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288584970371252,5.18368,3.868139,2.9022424,227.9176941367333,-38.183732007131056,2025052100158,74,60817.23528171837,g,227.91771595800287,-38.18370856265704,10.233194351196289,1608.79,154.886,False,2062.62,2.93802,1678.75,152.108,False,-43.6694,6.47082,23.383751578420103,0.10452907803378352,23.11395187699027,0.0015465352285983387,23.33753493580807,0.0983762707305172,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288585399763326,5.1846886,3.868128,2.902248,227.9145055321993,-38.18314736557655,2025052100161,125,60817.24886228235,r,227.91450492413765,-38.18316488572145,8.717737197875977,2347.2,266.401,False,2612.69,13.66,1971.18,262.717,False,-394.502,7.03509,22.973624781338238,0.12322819434264713,22.857280316789748,0.005676584946525707,23.16318426025313,0.14470589298352352,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288585533980995,5.1847243,3.8681276,2.9022481,227.9143914933736,-38.18312638330112,2025052100162,125,60817.24934808076,r,227.91440656121875,-38.183107039693255,11.52835464477539,2700.54,232.528,False,2697.94,4.9003,2150.84,222.994,False,-307.237,11.4352,22.82137344836856,0.09348651174788941,22.82241930586541,0.0019720354299536482,23.068479694078235,0.11256655675399636,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288587007230080,5.185242,3.8681219,2.902251,227.91275442840583,-38.18282462385537,2025052100173,119,60817.25632777852,r,227.91280542197606,-38.1828097433401,9.236090660095215,2298.72,249.402,False,2393.2,2.83939,2148.2,246.717,False,-228.367,8.92474,22.996284827792074,0.11779806873850185,22.9525525367271,0.0012881617199366757,23.069813244059333,0.12469489812355429,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288587118379316,5.185279,3.8681216,2.9022512,227.91263835557632,-38.18280318911142,2025052100174,75,60817.25682246129,r,227.91265036908354,-38.18279054902336,6.861949920654297,2077.65,300.322,False,2177.16,22.4665,1848.95,297.499,False,-284.257,7.9863,23.10606908021689,0.15694196520302217,23.055274177286883,0.011203904490238574,23.232687111263857,0.17469668515771283,nan,nan
2021 QR7,nan,MBO,MBO,21165810650199890,745288587230577003,5.185315,3.8681211,2.9022515,227.9125243984402,-38.18278214004157,2025052100175,33,60817.257308527915,r,227.91261844706762,-38.18270831117445,8.717238426208496,2569.09,310.695,False,3320.9,13.7602,2191.04,309.489,False,-320.772,8.1589,22.875551666165777,0.13130439437663577,22.59686053647446,0.004498764573460449,23.048374215175116,0.15336252242209855,nan,nan
