provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 RM206,nan,MBO,MBO,21165810668746317,745306290618106144,9.61384,2.218308,1.2442491,228.47606305696948,-38.55834029050577,2025052501003,165,60821.28609988717,g,228.47605392550952,-38.55834199444044,52.76634979248047,10780.8,196.834,False,10584.4,3.98223,10667.3,191.176,False,-147.294,8.49615,21.318372546417386,0.01982318599746486,21.33833434964255,0.00040849278850910474,21.329863747205223,0.01945822306626379,nan,nan
2021 RM206,nan,MBO,MBO,21165810668746317,745306291020759779,9.614266,2.2183053,1.2442498,228.47548886129152,-38.55851991583729,2025052501006,165,60821.287567510604,g,228.47548728171145,-38.55852282409268,51.56687545776367,10360.4,200.155,False,10430.3,0.109774,10154.6,196.862,False,-152.435,14.0379,21.3615586510332,0.02097559172854439,21.35425802048445,1.1426863023734627e-05,21.383342989822516,0.021048609342865624,nan,nan
2021 RM206,nan,MBO,MBO,21165810668746317,745306292069335103,9.615402,2.2182982,1.2442517,228.4739582468873,-38.558998612032894,2025052501014,117,60821.29148228136,g,228.47395655657766,-38.559005997097145,51.2588005065918,10134.6,196.91,False,10156.4,0.489054,10225.1,188.601,False,-103.931,7.82866,21.385483511081574,0.021095290223132213,21.383150466223963,5.228069073669598e-05,21.375831131384388,0.02002630189663157,nan,nan
2021 RM206,nan,MBO,MBO,21165810668746317,745306293366423744,9.616823,2.2182891,1.2442541,228.4720447864216,-38.55959680926686,2025052501024,31,60821.29638096117,g,228.47204154484967,-38.55959761073063,49.46975326538086,10728.9,216.277,False,10732.8,0.743054,11438.1,211.051,False,782.743,7.18621,21.323611966929327,0.021886656860196786,21.32321742828299,7.516776749346508e-05,21.254115314233474,0.020033547006014427,24.165952045289423,0.009967931659090991
2021 RM206,nan,MBO,MBO,21165810668746317,745306294170157248,9.617672,2.2182837,1.2442555,228.470901724966,-38.55995405003269,2025052501030,28,60821.299308234506,g,228.47089828242957,-38.55995608447203,52.6558952331543,10610.4,201.128,False,10182.8,0.112856,11120.0,195.625,False,406.538,9.82917,21.335670568484602,0.020580934728703645,21.380331986101552,1.2033217601545327e-05,21.284738031884903,0.019100462684874916,24.8772471492796,0.026250648464948567
2021 RM206,nan,MBO,MBO,21165810668746317,745315056064922080,10.190766,2.2148643,1.2453475,227.7607867668421,-38.79082591947825,2025052700775,80,60823.17529632947,i,227.76078481317768,-38.79082000260625,55.94706726074219,19495.9,347.234,False,20089.1,0.911915,20376.5,345.325,False,1114.23,7.30993,20.67514175683885,0.019337631364124013,20.6425988195832,4.928539133321912e-05,20.627176027912345,0.018400209464908928,23.78256290050868,0.007122995816868823
2021 RM206,nan,MBO,MBO,21165810668746317,745315057654038955,10.192738,2.2148533,1.2453526,227.75843749925764,-38.791532092141466,2025052700787,39,60823.181324098354,i,227.7584371930957,-38.791534922599325,61.74616241455078,19955.5,321.611,False,19407.0,0.00725012,23533.6,318.859,False,3406.81,7.36374,20.649843465425207,0.01749816834112024,20.68010398534962,4.056122893289257e-07,20.470779099301232,0.014710744459069596,22.569130197929542,0.0023467933191063735
2021 RM206,nan,MBO,MBO,21165810668746317,745315057770955088,10.192896,2.2148523,1.2453531,227.75824890485748,-38.79158871943456,2025052700788,6,60823.18180886337,i,227.75825397904038,-38.79159556094793,58.242347717285156,19409.5,333.54,False,19607.4,0.780644,24704.2,330.679,False,4887.33,7.22001,20.679964130364464,0.01865769149192702,20.668949956529957,4.3227222195795296e-05,20.41807304776919,0.01453316270787883,22.17732082202882,0.0016039485603295432
2021 RM206,nan,MBO,MBO,21165810668746317,745315058580980205,10.193887,2.2148468,1.2453557,227.75706758243487,-38.79194321412676,2025052700794,15,60823.18484059785,i,227.75706987542446,-38.7919440033679,60.323204040527344,19543.2,322.245,False,19384.8,0.418406,19891.2,322.212,False,-97.664,7.4794,20.672510852141784,0.017902547790904385,20.68134664476011,2.34347805849479e-05,20.65334758236164,0.017587538903859716,nan,nan
2021 RM206,nan,MBO,MBO,21165810668746317,745315058724634914,10.194051,2.2148461,1.2453561,227.75687279388768,-38.79200163251378,2025052700795,33,60823.18534069705,i,227.75686892869888,-38.79200081778681,63.17051696777344,19910.7,313.127,False,19372.2,0.00458967,19696.3,309.223,False,-193.294,7.83321,20.652283720660673,0.017074906924481013,20.68205268357245,2.572330942775287e-07,20.66403833068059,0.017045566140832955,nan,nan
2021 RM206,nan,MBO,MBO,21165810668746317,745315059248923045,10.194695,2.2148423,1.2453579,227.75610382823777,-38.79223215649961,2025052700799,9,60823.187314538976,i,227.75610209715447,-38.792239445630585,60.62628173828125,19835.6,325.961,False,19975.5,0.61596,20135.7,326.79,False,-196.38,7.86425,20.65638666681162,0.01784204482941174,20.648755852998224,3.347951614703574e-05,20.64008321194144,0.017620830534658044,nan,nan
2021 RM206,nan,MBO,MBO,21165810668746317,745315059788939511,10.195347,2.2148387,1.2453595,227.7553279495174,-38.79246460224377,2025052700803,15,60823.18930601212,i,227.7553317319333,-38.79246924485886,58.45891189575195,19745.4,336.503,False,19214.4,0.130233,20035.2,331.127,False,531.068,7.33416,20.66133513839975,0.018503219626300638,20.690932909225463,7.358995616355965e-06,20.6455158370745,0.017944248206460796,24.587124680509312,0.014994243645436145
2021 RM206,nan,MBO,MBO,21165810668746317,745315059956711882,10.195625,2.2148373,1.2453603,227.7549957398671,-38.79256408318671,2025052700804,79,60823.19015996641,i,227.75500472995893,-38.792564660926146,57.97888946533203,20430.5,350.672,False,21402.0,0.138337,21579.2,354.539,False,1097.79,7.23202,20.62430251163917,0.018635730070927045,20.573864100695005,7.017918449929187e-06,20.564911688906957,0.017838281485195638,23.798701785406816,0.007152611666117724
2021 RM206,nan,MBO,MBO,21165810668746317,745315060111901263,10.195785,2.2148364,1.2453607,227.7548060811984,-38.79262086466375,2025052700805,119,60823.19064699408,i,227.75480690116356,-38.79262347655294,59.447837829589844,18958.0,319.527,False,20331.8,0.465408,20046.5,319.234,False,952.968,7.26301,20.705518702671394,0.01829950633216253,20.629560385829258,2.485320007632226e-05,20.644903604164746,0.01728999681402539,23.95230418602856,0.008274897786948844
2021 RM206,nan,MBO,MBO,21165810668746317,745315060249788650,10.195945,2.2148354,1.2453612,227.7546148713692,-38.79267810156087,2025052700806,126,60823.19113763813,i,227.75461139541477,-38.792688158556665,62.53668212890625,19970.2,318.893,False,19551.4,0.158037,20977.7,319.87,False,751.425,7.49142,20.649044006679993,0.01733751764731754,20.672055325831465,8.776174422593827e-06,20.595605364640555,0.016555411100761832,24.21028591764471,0.010824374788621378
