provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2021 RO115,nan,MBO,MBO,21165810668156239,745284205476315592,6.304798,3.1449718,2.1745796,227.32286856614132,-37.87106754855027,2025052000296,132,60816.27380867624,i,227.3228566997535,-37.87106478315221,11.629670143127441,5909.78,501.965,False,5719.97,7.61744,5919.59,503.039,False,0.142703,27.5563,21.971071754596068,0.0922202839798235,22.006515581672456,0.0014459044938700256,21.969270959023373,0.09226444242119432,33.513917266758114,209.6583281810396
2021 RO115,nan,MBO,MBO,21165810668156239,745284206167326878,6.305053,3.1449707,2.1745818,227.32215592673012,-37.87099618743432,2025052000301,170,60816.27654415411,i,227.32212341871917,-37.870987479730516,17.916906356811523,5895.34,322.809,False,5622.89,1.59821,6074.95,322.326,False,94.8937,24.0877,21.973727886086696,0.05945126446875104,22.025101004761495,0.00030860187426851943,21.941143195554417,0.05760722055163121,26.45690655269914,0.2756019415159701
2021 RO115,nan,MBO,MBO,21165810668156239,745284207348548054,6.3054833,3.144969,2.1745853,227.3209557397198,-37.87087559636653,2025052000310,119,60816.281154310185,i,227.32091606512856,-37.87084864186083,8.918208122253418,5321.93,596.331,False,5167.42,27.7798,5678.06,596.151,False,319.195,48.0478,22.084827069328085,0.12165852020647643,22.116815611985004,0.005836865501075573,22.014500045297723,0.11399363842293637,25.139859775669336,0.16343374056817056
2021 RO115,nan,MBO,MBO,21165810668156239,745284207460221517,6.305535,3.1449687,2.1745858,227.3208120784323,-37.87086112760127,2025052000311,76,60816.281706903814,i,227.32078440569066,-37.87084970231527,13.705677032470703,5756.19,411.926,False,5295.0,2.01114,6125.52,412.95,False,281.595,61.7328,21.999662209378712,0.07769774292844411,22.090335088891237,0.0004123829326184323,21.93214259107129,0.07319456594361033,25.275937647275928,0.23802104149674325
2021 RO115,nan,MBO,MBO,21165810668156239,745284207616459002,6.3055816,3.1449685,2.174586,227.3206806584532,-37.87084788535609,2025052000312,118,60816.28221123776,i,227.3206236273719,-37.87083509778713,10.663744926452637,5810.79,537.593,False,6029.67,12.5586,6356.02,542.134,False,518.793,20.0813,21.989412041537268,0.10044833812372854,21.94926615374245,0.0022613720717659484,21.892036858917205,0.09260739890739196,24.61251466872018,0.04202638431007617
2021 RO115,nan,MBO,MBO,21165810668156239,745284208158048433,6.3057733,3.1449678,2.1745877,227.3201467422582,-37.87079402419244,2025052000316,127,60816.28426395198,i,227.32012775682878,-37.870790469497784,10.192193984985352,6973.94,677.806,False,6534.88,9.48977,7114.03,685.564,False,243.958,26.1531,21.79130449256793,0.10552407291349035,21.861905976869316,0.0015766757734926155,21.76971080208493,0.10463010502564535,25.43171237239833,0.11639449160445015
2021 RO115,nan,MBO,MBO,21165810668156239,745284208560701648,6.305911,3.144967,2.174589,227.31976070819172,-37.87075501928526,2025052000319,127,60816.285747094415,i,227.31972827700386,-37.87077521440038,15.652379989624023,5652.36,361.53,False,5361.99,1.28068,6414.52,360.99,False,758.563,10.9056,22.019425490350404,0.06944465997835099,22.076684953298415,0.0002593217290717159,21.8820895877658,0.06110198436661611,24.200020877907722,0.015609256577039095
2021 RO115,nan,MBO,MBO,21165810668156239,745284208984326263,6.3063307,3.1449654,2.1745925,227.31858956145305,-37.87063637067882,2025052000322,167,60816.29025122464,r,227.31848691693165,-37.87061330573527,5.551047325134277,7277.63,1272.62,False,8177.84,38.4889,7634.45,1286.99,False,353.488,13.367,21.745025087572273,0.1898598342931756,21.618403497494285,0.005110003640909511,21.69305558438387,0.18302976531521867,25.029063291721187,0.04105665587650159
2021 RO115,nan,MBO,MBO,21165810668156239,745284209118543904,6.306387,3.1449652,2.174593,227.3184330829658,-37.87062048214307,2025052000323,167,60816.29085395938,r,227.31841047195104,-37.87060480860954,7.082332611083984,5142.53,715.234,False,5817.13,38.3893,5482.24,726.753,False,331.306,13.628,22.122057960560227,0.15100650665322,21.98822809830061,0.007165157927792275,22.05260484347185,0.14393058315763382,25.09942674807605,0.04466086726768201
2021 RO115,nan,MBO,MBO,21165810668156239,745284209522770049,6.3065276,3.1449647,2.1745942,227.31804012596257,-37.87058054513948,2025052000326,170,60816.29236537675,r,227.31800089252533,-37.87051630521096,6.871731758117676,4359.21,641.772,False,5026.31,24.7376,4450.37,649.704,False,101.111,15.6111,22.301480531814253,0.15984434614433685,22.146876811352758,0.005343583658838854,22.279009673015086,0.15850527356944802,26.38800398525754,0.1676329644606688
