provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 RY88,nan,MBO,MBO,21165814962468953,745284182725885974,17.847958,3.3011277,3.118435,149.3088984904063,0.5437493568635914,2025052000127,3,60816.0073481772,g,149.30891935743455,0.5437682920317666,10.957279205322266,1633.91,146.391,False,1639.86,6.81664,1582.3,138.705,False,-43.388,16.8627,23.366929650315274,0.0972770914250253,23.3629830783336,0.004513234544757467,23.4017778962893,0.09517603338289292,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284183261708394,17.847982,3.3011284,3.1184664,149.30927602272862,0.543848564929814,2025052000131,1,60816.00954093928,g,149.30924553827452,0.5438188345371229,8.799895286560059,1887.73,208.708,False,2076.48,7.0478,1818.24,200.94,False,-52.6033,10.651,23.210150316910276,0.12003932028546033,23.10668062901572,0.003685107376642482,23.250871986564345,0.11998847061256164,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284183664361606,17.848001,3.3011289,3.118491,149.30957161703716,0.5439262217284503,2025052000134,1,60816.01125654897,g,149.3095798253803,0.5439699159377425,8.927839279174805,1543.11,175.397,False,1792.29,2.11116,1327.15,168.167,False,-78.9096,11.598,23.42900779610433,0.12340978825855725,23.266479272159287,0.0012789017622163985,23.592699951519375,0.1375767660561792,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284183932797138,17.848013,3.3011293,3.1185043,149.30973441756066,0.5439689843051666,2025052000136,1,60816.01220191838,g,149.3097402634885,0.5440210850943082,8.846867561340332,1540.18,174.529,False,1810.35,35.6491,1499.69,161.1,False,-64.0517,10.7332,23.431071263229974,0.12303266827681998,23.255593648775534,0.02138013114819859,23.459996303453146,0.11663218134898508,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284184201232733,17.848026,3.3011296,3.1185212,149.3099372031938,0.5440222422794075,2025052000138,1,60816.013378554475,g,149.30989681741582,0.544037507023457,7.9825053215026855,1489.73,190.937,False,1594.05,27.6871,1319.19,169.431,False,-72.9353,10.0773,23.467231105176417,0.139157573924319,23.393745117656145,0.018858182217724177,23.599231671926912,0.13944722050200342,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284189973119037,17.848642,3.301149,3.1193252,149.31962653493122,0.5465562176421884,2025052000181,2,60816.069462385756,r,149.31960692856774,0.5465233706986616,5.47585916519165,2214.35,395.897,False,2458.13,12.8874,2246.88,399.466,False,-35.2534,13.6945,23.036884285811144,0.19411551504706842,22.92348793391428,0.005692260815224381,23.021050360369713,0.19302976799010152,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284190106812539,17.848646,3.3011491,3.1193326,149.31971596301992,0.5465794974334975,2025052000182,1,60816.06997807289,r,149.3197357220151,0.5465473281709646,7.325667858123779,2531.57,339.755,False,2736.51,5.32527,2991.9,335.712,False,-74.6487,12.2941,22.891525119457704,0.145713647889709,22.807007397327325,0.0021128512629212935,22.710132351038787,0.12182716359691445,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284190241030277,17.848652,3.3011494,3.11934,149.31980453030886,0.546602551047777,2025052000183,1,60816.07048924177,r,149.31982682272664,0.5466181198547153,7.291546821594238,2240.29,300.103,False,2327.55,4.54054,1430.46,294.522,False,-104.146,12.2677,23.02423938026931,0.14544218968493064,22.982752429254102,0.0021180334690154567,23.511310734348402,0.22354572003129664,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284190376820740,17.848658,3.3011494,3.1193466,149.31988686317362,0.5466239800000924,2025052000184,4,60816.070964540704,r,149.31987141873566,0.5466001158160168,5.985348224639893,1847.76,304.05,False,1917.79,3.97533,1815.43,302.052,False,-131.869,16.7906,23.233386090910397,0.1786585260306432,23.19299735353367,0.0022505903895198433,23.252551198153625,0.18064523806346483,nan,nan
2022 RY88,nan,MBO,MBO,21165814962468953,745284191721619463,17.848711,3.3011513,3.1194217,149.3207926801757,0.5468596189472525,2025052000194,9,60816.07618805147,r,149.32084249718582,0.5468657483058006,6.050668239593506,2805.4,461.994,False,nan,nan,2764.25,467.481,False,61.3117,34.561,22.78001305616026,0.1787993215417962,nan,nan,22.79605670433848,0.18361618276850752,26.9311416241099,0.6120223469938304
