provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2022 SN246,nan,MBO,MBO,21165814980752974,745284212790657434,10.671707,2.1897666,1.2245524,226.76984281486557,-41.81062391185425,2025052000351,3,60816.31033631688,z,226.76983593374482,-41.81061875450569,10.14746379852295,19045.2,1853.38,False,19900.8,28.2401,20835.5,1872.64,False,402.997,31.5304,20.70053620030736,0.10565821598206107,20.652823619543447,0.0015407068422723076,20.602990182744925,0.09758311835005651,24.88674544208622,0.0849477671219399
2022 SN246,nan,MBO,MBO,21165814980752974,745284214404415520,10.672256,2.1897802,1.2245715,226.76753647682943,-41.8099151802376,2025052000363,9,60816.318689001,z,226.76753565209563,-41.809918880697694,20.343624114990234,18623.9,915.141,False,17517.5,4.71458,18972.2,904.891,False,538.901,31.3516,20.724823399587645,0.05335089244335309,20.791319684585964,0.00029221009050052504,20.70470580915046,0.051784872127329275,24.571227524317628,0.06316478877911201
2022 SN246,nan,MBO,MBO,21165814980752974,745288579838640143,10.740757,2.1912174,1.2265412,226.53438843663443,-41.73885715421656,2025052100120,14,60817.20159372757,u,226.53437304166374,-41.73887479213218,5.891299247741699,2280.16,376.961,False,2449.41,2.29896,2340.73,368.095,False,1.46783,16.6587,23.005086735008362,0.1794962720455735,22.927346322539197,0.0010190471022810607,22.976621705779806,0.17073907411386735,30.98331064310658,12.32224129774598
2022 SN246,nan,MBO,MBO,21165814980752974,745288581715591238,10.74219,2.1912434,1.2265792,226.5299885847093,-41.73750346580111,2025052100134,10,60817.217460307875,u,226.52998988827562,-41.73744563430336,8.766563415527344,3551.34,401.852,False,3599.6,21.5747,4339.65,391.068,False,306.961,12.1463,22.524019340632893,0.12285651146426164,22.509364362684686,0.006507509615476457,22.306363263553482,0.09784122872930646,25.182292002650463,0.04296206381176659
2022 SN246,nan,MBO,MBO,21165814980752974,745288582654591315,10.742882,2.191256,1.2265977,226.52786025059024,-41.73684334841075,2025052100141,9,60817.22514724822,g,226.52786345942644,-41.73684908765409,61.70887756347656,12381.6,198.959,False,12131.6,0.28989,12613.3,194.373,False,-75.4525,6.27424,21.16805811029142,0.017446614006263145,21.190204828888206,2.594415156021121e-05,21.147928203572526,0.016731371472027405,nan,nan
2022 SN246,nan,MBO,MBO,21165814980752974,745288583326204339,10.743172,2.1912613,1.2266055,226.5269661086878,-41.73656497958559,2025052100146,10,60817.228379524175,g,226.52697521097105,-41.73656867595291,64.42471313476562,13045.7,202.05,False,13026.3,0.472105,13656.6,192.566,False,945.737,6.3369,21.111331515671633,0.016815732402282842,21.11294732653199,3.9349738204297914e-05,21.0616435581373,0.015309511720086445,23.96057404996018,0.007274963350051622
2022 SN246,nan,MBO,MBO,21165814980752974,745288584536260631,10.743616,2.1912694,1.2266175,226.52559866146336,-41.73613805556996,2025052100155,14,60817.2333252631,g,226.52560441978483,-41.73614473069351,66.9024658203125,13590.1,202.74,False,13580.5,0.120671,19985.8,200.634,False,5916.65,6.24658,21.066943400176974,0.016197244350213674,21.06771060031488,9.647426080023525e-06,20.648196114893132,0.010899518263266387,21.96981031965796,0.0011462801261497054
2022 SN246,nan,MBO,MBO,21165814980752974,745288585075229116,10.743881,2.1912742,1.2266247,226.52478110118344,-41.73588211106736,2025052100159,18,60817.23628496645,g,226.52479330391176,-41.73589005869293,67.71961212158203,13812.8,203.862,False,13646.1,1.64012,27288.9,197.919,False,13487.4,7.2399,21.049295706434563,0.01602429317546058,21.062478657306112,0.00013049426188409673,20.31003490980888,0.007874550741342011,21.075179374301154,0.0005828122130977769
2022 SN246,nan,MBO,MBO,21165814980752974,745288587488526344,10.745859,2.1913104,1.2266787,226.51867186633,-41.73395287812869,2025052100177,13,60817.258446173575,r,226.51866885197833,-41.733947277517174,79.19683074951172,25465.2,321.062,False,25754.8,0.344738,28337.8,313.81,False,2423.25,12.1123,20.385132304780235,0.013688824780088907,20.372854512821778,1.4533000588587518e-05,20.26908464295149,0.012023335134385691,22.939004446476638,0.005426911191617326
2022 SN246,nan,MBO,MBO,21165814980752974,745288589094420582,10.74679,2.1913273,1.2267046,226.51579089659904,-41.73303281429624,2025052100189,4,60817.26893247643,i,226.51578411533117,-41.7330347111274,67.16229248046875,30841.8,456.829,False,32073.2,0.376477,31140.8,446.304,False,318.547,19.5547,20.177150681081887,0.01608193370644404,20.134644295396193,1.2744432188818669e-05,20.166675559509134,0.015560563098328099,25.142066211597996,0.06665028043864167
2022 SN246,nan,MBO,MBO,21165814980752974,745288592986734788,10.748643,2.1913617,1.2267566,226.51004558348492,-41.731178251440646,2025052100218,4,60817.28992112672,z,226.51004832948482,-41.73118821483127,42.26642608642578,30912.9,728.768,False,32201.6,7.81259,30840.5,719.852,False,-296.06,29.2148,20.174650613793524,0.025596103836983436,20.1303063856463,0.0002634158567130193,20.177196473968337,0.025342305323665687,nan,nan
2022 SN246,nan,MBO,MBO,21165814980752974,745288593658347727,10.748869,2.191366,1.2267629,226.5093452880987,-41.73095040524473,2025052100223,5,60817.292487493614,z,226.50934078086917,-41.73094642194489,39.82229232788086,28399.2,709.9,False,29220.0,2.51459,28276.5,699.841,False,-174.914,34.7853,20.266734764299763,0.02714034830095301,20.235799471004302,9.343536722141758e-05,20.271435868796377,0.026871880005840416,nan,nan
2022 SN246,nan,MBO,MBO,21165814980752974,745288594869977168,10.749283,2.1913736,1.2267747,226.5080597572154,-41.730531138844405,2025052100232,12,60817.29720284515,z,226.50806037727577,-41.73053934584212,36.509517669677734,29785.8,805.372,False,32347.4,4.48467,30785.7,793.481,False,989.394,23.5056,20.21497679886725,0.0293569931254511,20.125401539526187,0.00015052735931482314,20.17912744516856,0.02798413194975718,23.91157683898503,0.025794457389137795
2022 SN246,nan,MBO,MBO,21165814980752974,745288595405799649,10.749469,2.191377,1.2267799,226.50748255637723,-41.73034246485516,2025052100236,10,60817.29932161764,z,226.507481030334,-41.73038641053251,41.950294494628906,29845.7,704.524,False,32711.2,11.6333,44160.1,690.263,False,14095.0,35.5029,20.212795605233865,0.025629394506748907,20.113258834999463,0.00038612753751826785,19.78742484114197,0.01697105540788701,21.027337299480948,0.0027347841789756313
2022 SN246,nan,MBO,MBO,21165814980752974,745297388355715106,10.939272,2.1942983,1.2313348,226.0497904008372,-41.57475931038205,2025052300212,159,60819.08126372041,i,226.04978822547426,-41.57476083614217,86.22736358642578,21460.9,244.901,False,20319.8,0.0585302,30722.1,239.922,False,9330.1,70.4778,20.570880152980507,0.012389875471297326,20.630201385658772,3.127410459976579e-06,20.181372767694555,0.008478977734243843,21.475284299108836,0.008201444853263769
2022 SN246,nan,MBO,MBO,21165814980752974,745297389563150491,10.939857,2.1943054,1.2313466,226.04861493576425,-41.57437004285635,2025052300221,158,60819.085671736204,i,226.04890673196786,-41.57429468350786,11.218130111694336,8223.93,271.799,False,23077.3,0.823338,8400.16,268.789,False,40.5715,61.7191,21.612301528599776,0.03588333535474203,20.49203747366532,3.8736239285708296e-05,21.589281084157037,0.03474147455558124,27.379447368629585,1.651668395150574
2022 SN246,nan,MBO,MBO,21165814980752974,745297392246456441,10.941943,2.1943314,1.231389,226.044416578696,-41.57297400821955,2025052300241,156,60819.10139749409,z,226.04408271823974,-41.57286555945812,45.73811721801758,4858.46,391.839,False,18665.6,0.913295,6273.14,378.18,False,1443.79,151.465,22.183753429960934,0.08756556202861987,20.722395135846977,5.3124326910370934e-05,21.906287526444455,0.06545425433107441,23.501239896947908,0.11390231670000213
2022 SN246,nan,MBO,MBO,21165814980752974,745297392915448083,10.9422655,2.1943355,1.2313956,226.04376700135575,-41.572757169899134,2025052300246,152,60819.10382878358,z,226.04410503083494,-41.57286859365679,45.66187286376953,4002.36,380.171,False,18078.1,1.28492,5189.42,367.824,False,1281.09,132.392,22.394209597076614,0.10313050219187328,20.757118062491813,7.716984470683266e-05,22.11220296318638,0.0769565472360501,23.63105092605326,0.11220350607678839
2022 SN246,nan,MBO,MBO,21165814980752974,745297394138088301,10.94287,2.1943429,1.231408,226.04254846025464,-41.57234976318926,2025052300255,180,60819.108387760905,z,226.04255394303513,-41.57235685896293,52.87552261352539,20856.1,389.98,False,20381.9,0.0695794,21094.8,372.904,False,117.823,197.869,20.601917269077333,0.020301754642056875,20.626888313006976,3.7064686005793464e-06,20.589561429321314,0.019193135260444746,26.221924826715885,1.823358293703345
