provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2023 RZ22,nan,MBO,MBO,21165819257041498,745284180980531246,19.25287,3.0692122,2.8928223,148.44134644985556,1.338244828051638,2025052000114,2,60815.99953748862,g,148.44138800267365,1.3382466728483589,8.470858573913574,1767.8,204.919,False,2108.93,6.57455,1858.43,194.385,False,188.604,18.6442,23.28141714610346,0.1258558536539235,23.08984462320622,0.0033847625863422026,23.227134449830675,0.11356404066774148,25.711122729474816,0.10732901660058287
2023 RZ22,nan,MBO,MBO,21165819257041498,745284181924249642,19.252857,3.0692203,2.892888,148.44212095304147,1.3381186487417516,2025052000121,10,60816.003791225885,g,148.4421210267486,1.3381324357200877,9.433502197265625,1375.81,140.904,False,1549.61,4.26056,1317.86,130.762,False,-34.8817,19.2865,23.553603799333004,0.1111960047058893,23.424443984450562,0.0029851668013494695,23.600326821129123,0.10772998044383006,nan,nan
2023 RZ22,nan,MBO,MBO,21165819257041498,745284182058467337,19.252855,3.0692213,2.8928955,148.44220835909232,1.338104408856944,2025052000122,10,60816.00427132496,g,148.4421754453112,1.3381454307727694,9.666340827941895,1447.85,149.859,False,1543.19,6.88593,1303.6,140.108,False,-87.1692,21.072,23.498191092154308,0.11237858730396796,23.428951540273438,0.0048447072978046336,23.612139140851102,0.11669249223741637,nan,nan
2023 RZ22,nan,MBO,MBO,21165819257041498,745284182997991437,19.252842,3.0692294,2.8929603,148.44297384354434,1.3379796996873643,2025052000129,10,60816.0084747443,g,148.44280376722284,1.3379247759429969,6.649285316467285,1215.91,197.414,False,1479.86,53.6936,1137.48,189.227,False,-102.797,15.0807,23.68774639387686,0.17627910181789,23.474448431893887,0.03939364922096882,23.76014059535506,0.18061909992216638,nan,nan
2023 RZ22,nan,MBO,MBO,21165819257041498,745284184210145285,19.252825,3.069239,2.8930364,148.4438673183756,1.3378341429395622,2025052000138,18,60816.013378554475,g,148.44383921180608,1.3378525941648656,5.279351711273193,1028.01,188.755,False,1180.28,30.4248,1045.45,183.819,False,164.623,18.9097,23.870006641452996,0.19935422873682979,23.720037353026513,0.027987686828724455,23.851741883323697,0.19090243723651534,25.85877371332679,0.12471493170169413
2023 RZ22,nan,MBO,MBO,21165819257041498,745284190115725315,19.252602,3.0693479,2.893914,148.45421039742985,1.3361505322282832,2025052000182,18,60816.06997807289,r,148.45421793658747,1.3361334696971663,7.32177209854126,2524.4,335.275,False,2894.43,86.2522,2197.17,335.906,False,-295.36,18.1904,22.894604613244788,0.14420068670003652,22.746092398426704,0.03235425818656733,23.045340887194605,0.16598866948168992,nan,nan
2023 RZ22,nan,MBO,MBO,21165819257041498,745284190249943053,19.2526,3.0693488,2.8939219,148.45430408242922,1.3361353022379543,2025052000183,18,60816.07048924177,r,148.45423960517772,1.3360847777769536,5.488628387451172,1888.54,335.462,False,2016.7,9.783,1884.14,340.033,False,-331.32,13.9452,23.209684508081907,0.1928596891162767,23.138396780551055,0.005266900153735374,23.212217067379918,0.19594410428319364,nan,nan
2023 RZ22,nan,MBO,MBO,21165819257041498,745284190384160861,19.252596,3.0693498,2.8939292,148.45439117286827,1.3361211447286592,2025052000184,18,60816.070964540704,r,148.4543300135293,1.3360956212723998,7.909492015838623,2428.08,305.937,False,2287.29,2.56789,2279.42,293.646,False,-297.093,22.9142,22.936842485801748,0.13680227970696224,23.00169690333038,0.0012189320190866368,23.005439150899708,0.1398698354268101,nan,nan
2023 RZ22,nan,MBO,MBO,21165819257041498,745297377940733993,19.2146,3.0750427,2.9394,149.0201211226297,1.2412646254777284,2025052300135,6,60819.02806302253,g,149.02009505040215,1.2412604570729084,7.499814033508301,917.918,121.523,False,857.861,2.04429,992.213,118.307,False,67.8515,37.7926,23.99299024907055,0.14374042058116157,24.06645765990924,0.0025873185493359785,23.908487703921043,0.1294582823157141,26.82110134382485,0.6047440634486145
2023 RZ22,nan,MBO,MBO,21165819257041498,745297378074951688,19.214592,3.0750437,2.939408,149.02022153837996,1.2412465987666343,2025052300136,6,60819.028586217355,g,149.02022031118074,1.241219949077509,10.325182914733887,1213.56,117.894,False,1180.2,0.144626,1251.01,113.924,False,72.6301,33.9675,23.68984681435726,0.10547626396319378,23.720111019162445,0.00013305007446694022,23.656848038379188,0.0988732418886522,26.747208447995312,0.5077749448190236
2023 RZ22,nan,MBO,MBO,21165819257041498,745297378209693707,19.214584,3.0750446,2.9394162,149.02032195909655,1.2412285715017983,2025052300137,7,60819.02910952353,g,149.02029312075203,1.2412149299841495,11.275919914245605,1315.87,113.544,False,1229.31,5.19633,1357.74,111.286,False,54.0752,34.322,23.601967539708298,0.09368617773707086,23.675846412081597,0.004589439132926595,23.567958475761095,0.0889914442613772,27.06750468158608,0.6891262001252688
2023 RZ22,nan,MBO,MBO,21165819257041498,745297378343911477,19.214577,3.0750456,2.9394243,149.02042219273198,1.2412105781622291,2025052300138,7,60819.029631473495,g,149.02039498444833,1.2412094844061552,10.814810752868652,1248.3,117.286,False,1235.2,4.00026,1302.68,115.509,False,54.4797,38.7189,23.659202531249147,0.1020120603299498,23.67065683544059,0.0035162136882912454,23.612905591512956,0.09627253125887733,27.05941326772639,0.7716362536855002
2023 RZ22,nan,MBO,MBO,21165819257041498,745297378476556327,19.21457,3.0750468,2.9394324,149.0205230075063,1.241192480847713,2025052300139,4,60819.03015675932,g,149.0205125185977,1.2411785118585403,12.075831413269043,1343.45,111.847,False,1302.25,3.59777,1402.39,110.142,False,42.8434,34.3714,23.579446270294653,0.09039141154472574,23.613264084738162,0.002999600014565758,23.532827972959,0.08527239495422552,27.32029020260896,0.8710390177078341
2023 RZ22,nan,MBO,MBO,21165819257041498,745297378612346894,19.214561,3.0750477,2.9394405,149.02062382735102,1.2411743829760402,2025052300140,7,60819.030681123004,g,149.02059475751872,1.2411803250113391,11.618610382080078,1438.39,121.066,False,1366.22,2.00043,1410.05,118.686,False,10.0279,34.8502,23.505308351217977,0.09138393626271475,23.56119842665181,0.0015897435544489917,23.526913680162746,0.09138802133859206,28.89697504180522,3.773285091111855
2023 RZ22,nan,MBO,MBO,21165819257041498,745297378746564631,19.214554,3.0750487,2.9394488,149.02072446027867,1.2411563190134072,2025052300141,7,60819.03120546072,g,149.0207172907597,1.241163655877385,11.553536415100098,1493.16,127.257,False,1357.85,2.96891,1516.49,126.751,False,25.3914,35.4021,23.464734107217115,0.09253364217816924,23.56787052796356,0.0023739390291126644,23.447901129885636,0.09074781236875552,27.888283408528164,1.513793733450613
2023 RZ22,nan,MBO,MBO,21165819257041498,745297378883403812,19.214546,3.0750496,2.9394567,149.0208247140842,1.2411383234624969,2025052300142,12,60819.03172731136,g,149.0207890756797,1.2411203913171116,11.327788352966309,1231.33,109.542,False,1135.84,0.807104,1261.53,107.195,False,38.6189,34.4875,23.674063886980175,0.09658963834834904,23.76170713559675,0.0007715013126454716,23.647756017834887,0.09225740920537245,27.43300024306974,0.9695855201279391
