provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KD29,nan,MBO,MBO,21165827729537348,745284205428081027,9.19243,2.335665,1.3648359,226.471898224286,-39.429698971479965,2025052000296,40,60816.27380867624,i,226.47185550692348,-39.42974624091566,6.916868686676025,2051.09,289.804,False,1845.63,16.9806,2164.07,291.373,False,41.4365,21.8016,23.120038160372893,0.1534065623456112,23.23463839498053,0.009989246239716811,23.06182170432819,0.14618482295937424,27.356542323329325,0.5712544637643271
2025 KD29,nan,MBO,MBO,21165827729537348,745284205588513012,9.192479,2.335665,1.3648362,226.4717772959853,-39.42965147178222,2025052000297,90,60816.27435135268,i,226.47177186145157,-39.42966199484579,9.403081893920898,2511.21,260.671,False,2286.44,4.36194,2583.17,261.233,False,-10.8404,31.5511,22.900292436592338,0.11270261577685153,23.002100504687494,0.002071305698577305,22.86961756208757,0.1097992530151532,nan,nan
2025 KD29,nan,MBO,MBO,21165827729537348,745284205882114649,9.192592,2.3356647,1.3648368,226.47150654656932,-39.42954506444968,2025052000299,138,60816.27556749106,i,226.47153574840385,-39.42954090252628,6.845603942871094,2017.13,292.377,False,2575.04,60.0627,2108.48,292.478,False,69.71,15.0429,23.138165276054924,0.15737424407169243,22.87304003441259,0.025324750365156863,23.090076295388773,0.1506079987435833,26.791762307418107,0.23429380952279105
2025 KD29,nan,MBO,MBO,21165827729537348,745284206127481074,9.192681,2.3356645,1.3648374,226.47128907101305,-39.42945953513121,2025052000301,94,60816.27654415411,i,226.47129466396922,-39.42950162021391,6.45321798324585,2092.84,320.072,False,2156.78,25.6498,2430.41,319.607,False,318.493,25.3732,23.098159886152672,0.1660488781404831,23.065485366188994,0.012912265236810246,22.935801180660896,0.14277792549873544,25.142250231801263,0.08649672141897556
2025 KD29,nan,MBO,MBO,21165827729537348,745284206655439144,9.192875,2.335664,1.3648385,226.4708220231994,-39.42927567514197,2025052000305,77,60816.2786430751,i,226.4707966301655,-39.42933717580076,8.36578369140625,2742.42,331.675,False,3029.56,8.60458,4162.03,331.639,False,1348.99,10.9293,22.804665112204958,0.13131159804780282,22.696551083857464,0.003083716371751721,22.35173704031896,0.086513671456944,23.574978182162166,0.008796460406096232
2025 KD29,nan,MBO,MBO,21165827729537348,745284207177630121,9.193061,2.3356636,1.3648397,226.4703718988564,-39.42909824691505,2025052000309,49,60816.28066749245,i,226.4703749380617,-39.42913309193965,6.5496907234191895,2137.75,320.121,False,2107.04,24.9463,2373.01,320.223,False,224.997,20.6419,23.075107712234402,0.16258541082401026,23.090818029063886,0.012854573777740807,22.961751074624363,0.1465133710005779,25.519558210164647,0.09960869608611157
2025 KD29,nan,MBO,MBO,21165827729537348,745284207573991434,9.193203,2.3356633,1.3648405,226.47002868039607,-39.4289628063436,2025052000312,37,60816.28221123776,i,226.47003878814672,-39.42896837682996,5.354886531829834,2740.5,525.778,False,nan,nan,2723.62,527.958,False,175.186,21.286,22.80542548397945,0.20830367695668794,nan,nan,22.812133666746007,0.2104636839978755,25.791251479880124,0.13192252509020885
2025 KD29,nan,MBO,MBO,21165827729537348,745284208298033188,9.193437,2.3356628,1.3648418,226.4694643590912,-39.42873982810634,2025052000317,138,60816.28475189184,i,226.46944566765092,-39.42879705031354,5.333439350128174,1589.9,298.352,False,1489.21,2.53976,11544.5,299.001,False,9930.76,24.8362,23.39657545996993,0.20374334993066062,23.467610168903178,0.00185165932149074,21.244062179808388,0.028120422594827197,21.40754380993071,0.002715357428873749
2025 KD29,nan,MBO,MBO,21165827729537348,745284208382443808,9.193482,2.3356626,1.3648422,226.46935420484692,-39.42869626171212,2025052000318,43,60816.28524772648,i,226.46930354951772,-39.428757389354246,8.855752944946289,3049.77,338.288,False,4072.23,57.0183,19333.9,340.427,False,16300.3,12.5137,22.689332272956257,0.12043253123558725,22.375419257653125,0.015202194366854905,20.68420130811925,0.01911740071222255,20.869511019308504,0.0008335169781949157
2025 KD29,nan,MBO,MBO,21165827729537348,745284209585160336,9.194181,2.335661,1.3648463,226.46766664061627,-39.4280271263062,2025052000327,33,60816.29285474647,r,226.4676945197052,-39.428071736662226,6.5407795906066895,2010.28,323.112,False,nan,nan,1976.13,326.801,False,-93.9996,8.16205,23.141858604324902,0.17451021297981384,nan,nan,23.16046121902433,0.17955279814987887,nan,nan
