provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KK26,nan,MBO,MBO,21165827729536587,745297389673776071,10.660061,1.9932985,1.0157448,228.47161970447664,-39.286381943765896,2025052300222,113,60819.086175326986,i,228.47158890736904,-39.28639515217722,17.411436080932617,4465.11,255.047,False,4238.33,0.294687,6314.83,229.002,False,1834.46,138.545,22.275419627252234,0.06201723297141557,22.33201305940868,7.549019123559292e-05,21.89909582778569,0.03937330982673419,23.24122940687238,0.08199869373180481
2025 KK26,nan,MBO,MBO,21165827729536587,745297391908291181,10.662316,1.9932797,1.0157356,228.46827778527577,-39.2853545502128,2025052300239,23,60819.100420095594,z,228.4682542884805,-39.285352358131306,14.830219268798828,6294.26,422.735,False,6578.75,5.35441,6536.62,390.611,False,307.567,96.5436,21.902638344036202,0.07292019962708256,21.854641542436664,0.0008836750109568348,21.861616884496314,0.06488070116609634,25.180150707701745,0.34080668199350844
2025 KK26,nan,MBO,MBO,21165827729536587,745297392044081462,10.662394,1.9932791,1.0157354,228.46816363093467,-39.285319308359874,2025052300240,26,60819.100906042106,z,228.46812240307793,-39.28531816143393,13.435564041137695,5659.75,414.47,False,6271.52,5.80508,6010.02,384.738,False,360.574,85.0035,22.01800687963461,0.07950971087264694,21.906567967663953,0.00100498530491283,21.952810203371904,0.0695045909573802,25.00751396522689,0.25595683056235174
2025 KK26,nan,MBO,MBO,21165827729536587,745297392446734355,10.662624,1.9932771,1.0157344,228.46782135319668,-39.28521357919017,2025052300243,26,60819.102363017635,z,228.4677898977493,-39.28521110597571,15.650398254394531,5813.98,365.207,False,5913.86,9.70891,6295.44,339.326,False,43.8922,147.662,21.988816169970445,0.06820086485649542,21.97032242717302,0.0017824763059736363,21.902434787222735,0.058521487719909,27.2940316147587,3.6526303200483223
2025 KK26,nan,MBO,MBO,21165827729536587,745297393564517298,10.6632595,1.9932718,1.0157319,228.46687895610867,-39.28492199626551,2025052300251,110,60819.10637334062,z,228.46685005679953,-39.28490940292601,11.58965015411377,5390.61,462.821,False,5706.92,38.7786,41187.6,423.6,False,35751.9,242.798,22.070905245996606,0.09321793719194463,22.008995553309486,0.007377592334827407,19.863083742887476,0.011166415268547515,20.01675223017893,0.007373442951845867
2025 KK26,nan,MBO,MBO,21165827729536587,745297394529207711,10.663816,1.9932672,1.0157297,228.46605199812936,-39.28466554210448,2025052300258,158,60819.10989085356,z,228.46601066197968,-39.28466447283836,14.284293174743652,6391.09,448.512,False,6438.13,1.86321,7923.54,419.631,False,848.704,140.141,21.886062693113978,0.07619447096143407,21.878100665266203,0.0003142146167518715,21.652701857914153,0.05750063482752451,24.078109403632695,0.1792806068689183
2025 KK26,nan,MBO,MBO,21165827729536587,745297394932909168,10.664052,1.9932652,1.0157288,228.4657024811812,-39.28455698211683,2025052300261,160,60819.111376135515,z,228.4656797761164,-39.28454633665074,17.400638580322266,6678.15,379.841,False,6321.86,0.732526,6483.63,352.646,False,-322.637,202.314,21.838359591749324,0.061754697856933015,21.897887838497585,0.0001258063324735225,21.87045446190304,0.05905342105306765,nan,nan
2025 KK26,nan,MBO,MBO,21165827729536587,745297395530073062,10.664885,1.9932582,1.0157255,228.46446480254576,-39.284171736158434,2025052300266,19,60819.11663625539,r,228.46444418605105,-39.28416928458517,28.907350540161133,5491.45,189.361,False,5156.15,0.51958,5216.76,174.412,False,-135.956,66.1194,22.05078237719286,0.03743930618317528,22.119186162734927,0.0001094085383702748,22.106497905733676,0.03629943379323833,nan,nan
2025 KK26,nan,MBO,MBO,21165827729536587,745297395665863204,10.664962,1.9932575,1.0157253,228.4643494685921,-39.28413577042619,2025052300267,22,60819.11712660639,r,228.46432005770478,-39.284132624545194,29.68496322631836,5849.38,195.455,False,5692.88,2.34104,5671.58,182.344,False,-117.757,38.8471,21.98222543212262,0.036279499047855726,22.011669948771697,0.00044647907986897646,22.015739829128883,0.034906934827962664,nan,nan
2025 KK26,nan,MBO,MBO,21165827729536587,745297396068516270,10.665195,1.9932556,1.0157243,228.464002489576,-39.28402749937709,2025052300270,22,60819.11860076864,r,228.46396503527018,-39.284028155913255,31.84361457824707,5325.17,164.746,False,5485.04,0.702885,5463.04,156.337,False,-16.7686,78.9965,22.084166324204155,0.03358966977559901,22.052050494662353,0.0001391325599356823,22.056414041235882,0.031070749239660297,nan,nan
