provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KM29,nan,MBO,MBO,21165827729537357,745297388578015407,11.267806,1.9501313,0.97430044,228.3521849803687,-40.12070945265578,2025052300214,71,60819.08224434325,i,228.35225322057013,-40.12055271197063,19.025747299194336,4850.54,248.366,False,4815.3,1.52602,5233.78,221.916,False,141.913,122.694,22.185524765387,0.05559380051366018,22.193441670378704,0.00034408142477690456,22.102961386368477,0.04603599041290584,26.019944590439813,0.9386971133206298
2025 KM29,nan,MBO,MBO,21165827729537357,745297392066102111,11.2704935,1.9501362,0.9743178,228.34777166160453,-40.11941162116109,2025052300240,68,60819.100906042106,z,228.3478027977083,-40.11924713503245,10.108867645263672,4391.04,429.69,False,4882.55,14.7257,3873.12,401.303,False,-384.132,108.014,22.29358150706559,0.10624589808405603,22.178383294938655,0.0032745648648415944,22.429847585043966,0.11249566055341484,nan,nan
2025 KM29,nan,MBO,MBO,21165827729537357,745297394079368516,11.271571,1.9501381,0.9743248,228.3459987259843,-40.11888585187909,2025052300255,68,60819.108387760905,z,228.34604686727783,-40.11875220818604,10.607057571411133,4194.03,391.587,False,4008.15,1.8665,4265.19,371.664,False,-49.3164,102.988,22.343421223969088,0.10137271576230482,22.392640111225706,0.0005056015112459388,22.325154059149806,0.09460986918266392,nan,nan
2025 KM29,nan,MBO,MBO,21165827729537357,745297394639831234,11.27186,1.9501387,0.9743267,228.34552206335172,-40.118744039021806,2025052300259,113,60819.110397827186,z,228.34560231200552,-40.11860061446567,11.15561294555664,4354.23,377.937,False,3931.24,1.16469,4569.85,367.97,False,199.632,261.664,22.302721590619726,0.09423937150351658,22.413676107536343,0.00032166596867114645,22.250245114064132,0.08742482664696428,25.649424585067724,1.423108892797574
2025 KM29,nan,MBO,MBO,21165827729537357,745297395687882906,11.272829,1.9501404,0.97433317,228.3439254650259,-40.11826757434133,2025052300267,64,60819.11712660639,r,228.34398803548723,-40.118126873099946,22.312692642211914,4482.76,199.535,False,4155.9,0.0833197,4366.07,188.835,False,11.7009,42.1251,22.271136336673912,0.04832790265803886,22.35333730316208,2.176741941510215e-05,22.299773307830122,0.04695870926701831,28.729451823456102,3.908822826182645
2025 KM29,nan,MBO,MBO,21165827729537357,745297396090536590,11.273041,1.9501408,0.97433454,228.3435755673028,-40.11816285038904,2025052300270,64,60819.11860076864,r,228.3436292462813,-40.1180204525297,26.712139129638672,4334.88,157.285,False,4393.33,0.292348,4524.7,148.189,False,36.7557,100.423,22.307557330218245,0.0393944071249952,22.293015415622808,7.224879523062888e-05,22.261025479177302,0.03555907584268492,27.486688279487034,2.9664211431619485
2025 KM29,nan,MBO,MBO,21165827729537357,745297397164278050,11.274988,1.9501443,0.97434765,228.34035926515904,-40.11719486094439,2025052300278,64,60819.13214026288,r,228.34042263579724,-40.117042104673146,28.97320556640625,4598.17,157.202,False,4371.34,0.032236,4618.8,147.748,False,-93.2016,52.6071,22.243537459369158,0.03711909330322438,22.298463571440013,8.006650613562353e-06,22.238677153056354,0.03473096058647706,nan,nan
2025 KM29,nan,MBO,MBO,21165827729537357,745297397704820091,11.2752905,1.9501449,0.97434974,228.3398591915781,-40.11704346415709,2025052300282,71,60819.13424434215,r,228.33991020717295,-40.11689622290874,30.188936233520508,4502.74,147.625,False,4265.21,0.792476,4812.11,135.105,False,2.55229,128.596,22.26630776752029,0.03559650321459565,22.325148963039396,0.0002017297837026964,22.194161165055256,0.030483174630817473,30.382674968610797,54.7043351144411
2025 KM29,nan,MBO,MBO,21165827729537357,745297399288169240,11.276558,1.9501473,0.97435844,228.33776183206345,-40.11640577041622,2025052300294,19,60819.143066219345,g,228.33780754651872,-40.116265642080606,24.169288635253906,2834.9,115.804,False,2664.1,0.223825,2829.77,108.412,False,-27.2821,25.6885,22.768655677577797,0.044351688142362365,22.836123653856564,9.121838117131296e-05,22.770622147326286,0.04159590192880611,nan,nan
2025 KM29,nan,MBO,MBO,21165827729537357,745297399692394601,11.276786,1.9501476,0.97436005,228.3373842247672,-40.11629048507103,2025052300297,22,60819.14465413257,g,228.337453669467,-40.11614503604355,27.170320510864258,2989.45,108.838,False,2928.28,0.0681632,2993.85,98.7421,False,8.6688,69.5233,22.711021782655763,0.03952879499584302,22.73346848590294,2.5273284880070224e-05,22.709424871530942,0.035809366965662476,29.05510249727959,8.707544410680457
