provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KO29,nan,MBO,MBO,21165827729537359,745297397971681880,7.9237876,2.5150948,1.5396036,228.7721527175672,-37.82334854292596,2025052300284,68,60819.13524325666,r,228.77216591132523,-37.82334084449325,30.448652267456055,6642.8,216.501,False,6444.37,0.519727,7081.58,195.677,False,6.82228,138.242,21.84412208944017,0.035386130647436405,21.877048812144988,8.756269443978469e-05,21.774674573766887,0.0300008759507365,29.315176161746223,22.00061427074138
2025 KO29,nan,MBO,MBO,21165827729537359,745306290351768126,8.376466,2.513957,1.5425766,228.09632185297136,-37.96286702558631,2025052501001,169,60821.28512016622,g,228.09631797685444,-37.962878690348184,28.03411865234375,5908.16,209.487,False,6250.82,1.88998,6058.57,203.356,False,143.578,12.7941,21.97136935126038,0.03849719942940513,21.910157547925884,0.0003282800856453037,21.944074706397053,0.03644275482648195,26.007280229238884,0.09674892452261084
2025 KO29,nan,MBO,MBO,21165827729537359,745306290624397750,8.376691,2.5139565,1.5425782,228.09601062473928,-37.9629229065726,2025052501003,177,60821.28609988717,g,228.09600119903033,-37.96291990857761,31.951465606689453,5883.44,182.898,False,5935.81,0.441014,5729.07,176.615,False,47.3721,9.26557,21.975921688745224,0.0337521886721947,21.9663000114993,8.066714618748136e-05,22.004789711661658,0.03347093187045129,27.211193387521504,0.21236053057579682
2025 KO29,nan,MBO,MBO,21165827729537359,745306292073529650,8.377927,2.5139537,1.5425879,228.09430028482328,-37.96322972187855,2025052501014,125,60821.29148228136,g,228.09431041902218,-37.963240479134946,32.48445510864258,5810.14,178.712,False,5803.68,0.476839,5688.99,173.243,False,-48.1407,7.98033,21.989533481472666,0.03339576845920587,21.990741320754793,8.920570343591782e-05,22.012412029335486,0.03306319495430743,nan,nan
2025 KO29,nan,MBO,MBO,21165827729537359,745306292987364014,8.3787155,2.513952,1.5425941,228.09320972650696,-37.96342512171387,2025052501021,76,60821.29491702103,g,228.09320741771322,-37.96342761799051,34.02928161621094,6284.03,183.305,False,6439.85,0.319298,6266.77,180.965,False,-8.82228,8.66774,21.90440441287617,0.031670898112407794,21.87781060431724,5.383252599361081e-05,21.907390607306716,0.03135271403061105,nan,nan
2025 KO29,nan,MBO,MBO,21165827729537359,745306293390016599,8.379051,2.5139513,1.5425967,228.0927454500655,-37.963508255303935,2025052501024,76,60821.29638096117,g,228.0927489239365,-37.963502635150476,30.97128677368164,6146.61,198.671,False,6215.22,0.901703,6095.87,194.672,False,-29.9911,7.30123,21.92841087869988,0.03509321528980326,21.91635869756503,0.00015751840791986858,21.937410737369007,0.03467305424960805,nan,nan
2025 KO29,nan,MBO,MBO,21165827729537359,745306294172779182,8.379724,2.5139496,1.542602,228.0918166315617,-37.96367447897975,2025052501030,33,60821.299308234506,g,228.09180918963798,-37.963678364069196,31.419544219970703,6001.53,189.822,False,5899.43,0.218166,5588.45,184.316,False,-125.23,9.23607,21.954345085470038,0.03434068179228006,21.97297483676967,4.0151457164323686e-05,22.031771537951307,0.03580931046944931,nan,nan
2025 KO29,nan,MBO,MBO,21165827729537359,745315057673961808,8.8366785,2.5129845,1.5461577,227.51462727567505,-38.07230685028426,2025052700787,77,60823.181324098354,i,227.5146034853493,-38.072301506255975,32.36006546020508,9678.38,299.082,False,9363.73,0.215131,10202.5,299.778,False,-131.442,7.5063,21.43549333886788,0.03355149935407621,21.47137773947272,2.4944707229945695e-05,21.378233491386727,0.0319019695588793,nan,nan
2025 KO29,nan,MBO,MBO,21165827729537359,745315057786159449,8.836805,2.5129843,1.5461588,227.5144750999988,-38.07233250808996,2025052700788,35,60823.18180886337,i,227.51445985091127,-38.07233915605528,33.20052719116211,9890.96,297.92,False,9970.04,1.13634,9984.16,296.258,False,-136.308,7.479,21.41190389044434,0.03270284643532824,21.40325774396284,0.000123747296707108,21.401721152683336,0.032216834139682446,nan,nan
2025 KO29,nan,MBO,MBO,21165827729537359,745315057917231334,8.836932,2.512984,1.5461599,227.5143226143242,-38.07235821039474,2025052700789,29,60823.18229364473,i,227.5143298291108,-38.07235769785013,30.871337890625,9835.5,317.952,False,9727.25,0.319605,9950.52,314.791,False,-140.229,7.33502,21.418008893194507,0.03509857081683975,21.430024805452334,3.567367056224937e-05,21.40538560877269,0.03434795222392474,nan,nan
