provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KP28,nan,MBO,MBO,21165827729537104,745284205848559738,7.7505727,2.8496768,1.8873237,227.53753487013685,-40.648302676800434,2025052000299,74,60816.27556749106,i,227.5375307532921,-40.6483219043033,8.867392539978027,2643.24,285.735,False,2943.62,5.71624,2440.76,284.532,False,-254.419,27.4467,22.844658509402286,0.11736838868525022,22.727795594238536,0.002108399996989256,22.93118730233619,0.1265698825878164,nan,nan
2025 KP28,nan,MBO,MBO,21165827729537104,745284206081344080,7.750632,2.8496776,1.8873253,227.5372544289237,-40.648233575886415,2025052000301,6,60816.27654415411,i,227.53723601780058,-40.64823617404144,7.842886447906494,2779.13,345.663,False,2977.92,19.9097,2563.79,342.234,False,-270.903,37.8445,22.790227889919972,0.13504184528030796,22.715217462191134,0.007258987182466423,22.877793860334542,0.14493224803138366,nan,nan
2025 KP28,nan,MBO,MBO,21165827729537104,745284206499201937,7.750721,2.8496788,1.8873276,227.5368285307009,-40.64812856920014,2025052000304,35,60816.27802847215,i,227.53679728861118,-40.64816563535798,8.930183410644531,3013.01,339.986,False,3344.43,7.27529,2755.77,332.27,False,-250.818,34.788,22.702498563798056,0.12251373208095308,22.58919474604216,0.0023618511758322727,22.799392572331996,0.13090989243293005,nan,nan
2025 KP28,nan,MBO,MBO,21165827729537104,745284208246128919,7.751126,2.849684,1.8873379,227.53490021629295,-40.6476521577745,2025052000317,39,60816.28475189184,i,227.53489022503493,-40.64765465991066,7.801055908203125,2405.41,302.558,False,2425.3,58.0825,3499.7,297.342,False,1069.48,48.2132,22.947027259350463,0.13656640728659106,22.938086311221998,0.02600184403589385,22.53992297136451,0.09224647555434001,23.827068351371445,0.048946046046427424
2025 KP28,nan,MBO,MBO,21165827729537104,745284209875091637,7.751672,2.8496912,1.887352,227.53229951502,-40.64700710292759,2025052000329,74,60816.29382987938,r,227.53231815007658,-40.6470236351735,8.11829662322998,2413.48,290.412,False,2379.54,4.34787,1976.63,287.049,False,-337.437,10.2314,22.943390748129392,0.1306457113645572,22.958767457991375,0.0019838454731797572,23.160186541025194,0.15767215071260643,nan,nan
2025 KP28,nan,MBO,MBO,21165827729537104,745284211062604308,7.751944,2.8496947,1.887359,227.5310002618068,-40.64668377223478,2025052000338,35,60816.298369852564,r,227.53100266149224,-40.64668202484619,13.294170379638672,2517.28,187.601,False,2439.89,0.666721,2634.87,186.555,False,106.91,60.3609,22.897671174067366,0.08091479419260651,22.931574430182593,0.0002966867954049422,22.84810196989425,0.07687267330758897,26.32745413894284,0.6130017135082404
2025 KP28,nan,MBO,MBO,21165827729537104,745284213881177244,7.75304,2.849709,1.8873878,227.525771095898,-40.64537533017942,2025052000359,35,60816.316676849194,z,227.52579328613618,-40.645354606557326,5.329416275024414,2389.5,436.872,False,2894.37,46.4257,2636.72,427.492,False,266.979,167.713,22.954232412857966,0.19850502503362272,22.7461148357943,0.01741521039798215,22.84733997854653,0.1760306561079341,25.33380722904363,0.6820464181119003
2025 KP28,nan,MBO,MBO,21165827729537104,745284214420144647,7.7531605,2.8497107,1.887391,227.52519711670675,-40.64523102596169,2025052000363,39,60816.318689001,z,227.525259546228,-40.645297689509,5.165538787841797,4275.48,837.337,False,4404.42,15.0803,4408.07,827.603,False,151.743,33.7526,22.322537806919794,0.21263742868619578,22.290278204121734,0.0037174539073350026,22.28937883709625,0.20384399653056642,25.947228362246527,0.24150321597267552
2025 KP28,nan,MBO,MBO,21165827729537104,745288582516703699,7.8162084,2.850422,1.8887868,227.27367063525588,-40.5825837642028,2025052100140,2,60817.224314639956,g,227.27369301844166,-40.58254385631474,8.38380241394043,1357.68,161.74,False,1419.35,8.58251,1431.76,162.288,False,-134.937,5.34332,23.568006405917345,0.12934341875445662,23.51977626342556,0.006565217873687396,23.510324429876935,0.12306668009952855,nan,nan
2025 KP28,nan,MBO,MBO,21165827729537104,745288582671892503,7.816274,2.8504224,1.8887882,227.27343266814515,-40.582523154371046,2025052100141,42,60817.22514724822,g,227.27347434378757,-40.58254436833696,8.236065864562988,1329.62,158.612,False,1398.93,2.23099,1418.91,158.666,False,-135.298,3.55364,23.590681156237896,0.12951880312522965,23.535509999057755,0.001731513692409841,23.520112850147648,0.12140968554173041,nan,nan
