provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KQ29,nan,MBO,MBO,21165827729537361,745284205680787862,10.950163,2.0684443,1.0980407,226.0246262471485,-40.630230641053735,2025052000298,10,60816.275022669506,i,226.02460132540378,-40.630267064647754,10.794045448303223,4403.57,399.445,False,4298.83,7.55707,4295.21,399.205,False,-103.591,13.4462,22.290487782432436,0.09848643795235448,22.316624302764083,0.0019086551715756857,22.317539004699505,0.100910388778035,nan,nan
2025 KQ29,nan,MBO,MBO,21165827729537361,745284205836501482,10.950215,2.0684435,1.0980402,226.02449308556996,-40.630166513671405,2025052000299,51,60816.27556749106,i,226.0244814685061,-40.63020421904473,17.720808029174805,5873.58,321.358,False,5367.58,0.682955,5742.07,319.356,False,-87.9004,26.4489,21.97774276466928,0.05940329620151367,22.07555366917228,0.00013814586607696427,22.00232882684341,0.06038525627563664,nan,nan
2025 KQ29,nan,MBO,MBO,21165827729537361,745284206087110744,10.950308,2.0684419,1.0980392,226.0242544242216,-40.63005152336895,2025052000301,17,60816.27654415411,i,226.02425569102041,-40.63008330397212,14.684134483337402,5568.0,377.127,False,5112.02,1.10496,5641.79,377.406,False,-9.04827,24.1738,22.035751933493735,0.07353815608225815,22.128518635189998,0.00023468120898511934,22.021457700703884,0.07263002728169105,nan,nan
2025 KQ29,nan,MBO,MBO,21165827729537361,745284206508114620,10.95045,2.0684397,1.0980377,226.02389204152732,-40.62987678287507,2025052000304,52,60816.27802847215,i,226.02388704187013,-40.629906193880345,19.40642738342285,6657.74,338.314,False,6343.91,0.670014,6691.15,335.925,False,40.7004,16.7166,21.841682884385126,0.05517183614999514,21.89410744053491,0.00011467036345050123,21.836248101197597,0.054508705775968946,27.376003271519977,0.4459370844496447
2025 KQ29,nan,MBO,MBO,21165827729537361,745284206618214660,10.950508,2.0684388,1.0980371,226.02374190844196,-40.6298043395271,2025052000305,6,60816.2786430751,i,226.02373837957927,-40.62982301713526,17.248844146728516,6341.25,365.933,False,5808.53,0.973505,6408.96,362.684,False,157.941,10.8271,21.89456281168635,0.06265432236938752,21.98983444828156,0.0001819685333425722,21.883031104000597,0.06144197213725068,25.903762830910544,0.07442889859206953
2025 KQ29,nan,MBO,MBO,21165827729537361,745284209191944487,10.951714,2.068419,1.0980247,226.020651681268,-40.62830676484854,2025052000324,51,60816.29132796575,r,226.0206509708498,-40.62829943278604,8.70881462097168,4938.03,556.834,False,4842.67,18.6221,7344.33,560.664,False,2310.69,17.2601,22.166115737058217,0.12243239574880975,22.18728782903222,0.004175111953953678,21.73511953189758,0.08288478303937488,22.990645815413373,0.008110094951490551
2025 KQ29,nan,MBO,MBO,21165827729537361,745284209442029602,10.951812,2.0684173,1.0980238,226.0203993281498,-40.62818392432581,2025052000326,16,60816.29236537675,r,226.02042998587478,-40.62819028506802,6.193891525268555,4571.1,725.042,False,4299.28,47.601,8487.01,736.865,False,4009.74,16.9071,22.249948171134697,0.1722133237230037,22.316510728219548,0.012021113664146812,21.57811324524924,0.09426653438724891,22.392209470237276,0.004578015374500349
2025 KQ29,nan,MBO,MBO,21165827729537361,745284209973658026,10.9520035,2.0684142,1.0980217,226.01990944796395,-40.62794522396259,2025052000330,6,60816.294381302054,r,226.0198941490056,-40.62797763799273,15.60621452331543,4225.64,268.443,False,4069.69,5.38282,20619.1,267.227,False,16298.1,8.57222,22.335268727563218,0.06897375714965209,22.376096693070714,0.001436060924131488,20.614325758302652,0.014071323343524891,20.869657580597085,0.0005710585692735135
2025 KQ29,nan,MBO,MBO,21165827729537361,745284210256249147,10.952101,2.0684125,1.0980208,226.01965928476096,-40.62782320830996,2025052000332,33,60816.295411938976,r,226.01966259794602,-40.62785409741712,16.74761962890625,4441.14,266.593,False,4616.74,1.34166,17607.4,267.443,False,13254.2,11.3473,22.281263806964787,0.06517462837822216,22.23916140196484,0.0003155232452357921,20.785761899597244,0.01649150550025042,21.09411618496157,0.0009295297938872195
2025 KQ29,nan,MBO,MBO,21165827729537361,745284210411438277,10.952147,2.0684118,1.0980203,226.01954151835076,-40.62776574021532,2025052000333,73,60816.29589666701,r,226.0195382753588,-40.62779807336453,17.247005462646484,4616.17,266.449,False,4323.92,3.49796,20124.0,266.989,False,15603.8,29.1989,22.23929553279024,0.06266955863501056,22.31030589422619,0.0008783377078724807,20.640714228365724,0.014404672948530007,20.916924075706635,0.002031704040541908
