provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 MG118,nan,MBO,MBO,21165827764140103,745416141076168799,14.509328,2.5673358,1.6987586,226.12967402459387,-39.75373754443878,2025061900253,86,60846.18571192013,g,226.12973867156245,-39.75372800395341,7.790130138397217,1312.86,167.753,False,1492.45,4.546,1104.56,171.461,False,-56.8685,2.37856,23.604453970822775,0.1387318633237872,23.465250559699715,0.003307150626455945,23.79202666279795,0.16853896930747944,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416141207241093,14.509462,2.5673356,1.6987616,226.1296029343072,-39.75370903891515,2025061900254,80,60846.186180225355,g,226.12963648286095,-39.75368052770364,6.331933498382568,1210.45,193.423,False,1438.03,34.5163,1128.77,196.821,False,-64.2346,2.24414,23.69263290687994,0.17349445818544354,23.505580112035553,0.026060371493981514,23.768486335229092,0.18931729309898676,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416141338837004,14.509595,2.5673354,1.6987646,226.12953246086423,-39.753680770927645,2025061900255,75,60846.186645377835,g,226.12949977489197,-39.75369674998121,8.473543167114258,1758.84,203.045,False,2064.49,3.75705,1577.48,207.185,False,-45.2382,2.65837,23.286934186352077,0.12534017306358736,23.1129680461976,0.00197587068378696,23.405090359016416,0.14259975132314912,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416141452083709,14.509728,2.5673351,1.6987675,226.12946169488825,-39.75365237577423,2025061900256,35,60846.18711265712,g,226.12946884114328,-39.75362616146838,9.36639404296875,1441.05,156.623,False,1651.07,3.37829,1368.31,157.471,False,-65.0548,3.01696,23.503302338817868,0.11800510532506844,23.35558631950215,0.0022215483384404352,23.559538701206066,0.12495118140154506,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416141629817059,14.509863,2.567335,1.6987704,226.1293903335499,-39.75362373175325,2025061900257,118,60846.18758317418,g,226.12943939756536,-39.75361698515454,10.016105651855469,1602.64,157.592,False,1640.45,4.7451,1554.46,160.114,False,-63.7137,2.89446,23.387910045033163,0.1067634236306442,23.362592537640808,0.0031405571896364697,23.421051149584052,0.11183405770118945,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416141723664443,14.509997,2.5673347,1.6987734,226.1293194375283,-39.75359526458296,2025061900258,41,60846.188051312194,g,226.12936161276826,-39.75357193264061,10.346748352050781,1628.97,154.612,False,1733.16,3.84734,1507.54,156.858,False,-71.99,2.46072,23.370217304081603,0.10305152862177143,23.302903335349846,0.002410161995297818,23.454327861297905,0.11296974345528228,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416141842153888,14.51013,2.5673347,1.6987764,226.12924900658072,-39.75356697435628,2025061900259,11,60846.188516572714,g,226.12931245936915,-39.75357016993335,10.393641471862793,1985.54,188.491,False,2527.47,6.97236,1848.47,191.884,False,-67.8544,2.16365,23.155303377054793,0.10307095099018909,22.893284989080684,0.00299514689313026,23.232969000898485,0.11270694797944557,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416141990003026,14.510265,2.5673344,1.6987793,226.12917707196505,-39.75353807005959,2025061900260,37,60846.188991285606,g,226.12920200639437,-39.7535738130609,10.691307067871094,1696.31,158.742,False,1788.41,1.91567,1587.03,161.548,False,-62.6834,2.64506,23.326236906688496,0.10160403194796672,23.268832255284664,0.0011629952170269335,23.398537138950083,0.11051997358248161,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416142109540399,14.510399,2.5673342,1.6987823,226.12910635981623,-39.75350964702713,2025061900261,9,60846.189458533816,g,226.12911820166502,-39.753538977012155,9.55091381072998,1574.68,161.872,False,1544.12,12.4724,1525.92,165.058,False,-68.4624,3.68612,23.407019184087595,0.1116101547283576,23.42829738307015,0.008769872788339161,23.44117055550574,0.11744353561522014,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416142284128319,14.510536,2.567334,1.6987853,226.1290338417845,-39.75348048787332,2025061900262,86,60846.189937692834,g,226.1290349108941,-39.75347799630937,10.687675476074219,1552.5,143.778,False,1587.72,10.503,1454.58,146.601,False,-77.8253,3.23826,23.422420977878453,0.10055071170059786,23.398065231319105,0.007182304090540544,23.493156003129016,0.10942678705153805,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416142661616154,14.510937,2.5673335,1.6987941,226.1288215008257,-39.75339504691661,2025061900265,38,60846.19134019294,g,226.12880770671498,-39.75339031554335,10.20874309539795,1436.44,140.515,False,1593.97,5.67113,1348.68,141.831,False,-75.9613,3.72,23.506781318647757,0.1062085630949192,23.39379966167971,0.003862902985553762,23.575227663604057,0.11417907778902685,nan,nan
2025 MG118,nan,MBO,MBO,21165827764140103,745416142796882440,14.51107,2.5673332,1.6987971,226.12875084330528,-39.753366596268606,2025061900266,40,60846.191807329466,g,226.12872951744524,-39.753340048971005,11.96074104309082,1711.48,143.504,False,1729.52,1.17135,1647.85,144.166,False,-78.2447,3.41126,23.31657044131935,0.09103669789890637,23.30518601644317,0.0007353352904658346,23.357705825257778,0.09498816543484903,nan,nan
