provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 MS118,nan,MBO,MBO,21165827764140115,745416141787103264,15.906305,2.31357,1.4308994,226.54268380174267,-37.85341400836077,2025061900258,162,60846.188051312194,g,226.54267847596094,-37.85340530204941,27.973695755004883,4900.89,173.843,False,4903.04,1.08025,5110.27,174.477,False,127.909,3.91067,22.17431258240012,0.03851293056904251,22.173836400541035,0.00023921211182595964,22.12889037936271,0.037069665694288115,26.132747269989405,0.03319513218744215
2025 MS118,nan,MBO,MBO,21165827764140115,745416142036140227,15.906669,2.3135698,1.4309062,226.5423972405929,-37.85351771679511,2025061900260,125,60846.188991285606,g,226.54238972862095,-37.853508453416715,27.170547485351562,4485.01,163.491,False,4285.06,0.130003,4645.38,163.585,False,22.2095,4.06411,22.270591517473672,0.03957808437716513,22.320107716771403,3.293978791774166e-05,22.232446912860844,0.0382337222843689,28.033653077741537,0.1986785510586883
2025 MS118,nan,MBO,MBO,21165827764140115,745416142707228946,15.907575,2.313569,1.4309233,226.54168136336975,-37.8537767579051,2025061900265,125,60846.19134019294,g,226.54169432239266,-37.85377008762564,31.824487686157227,4894.14,151.84,False,4406.39,0.0141568,4987.82,152.014,False,4.89441,7.75761,22.17580899850863,0.033684810150311294,22.289792633871453,3.4882408433596162e-06,22.155223107490983,0.0330900308078381,29.675749102993453,1.720885181409826
2025 MS118,nan,MBO,MBO,21165827764140115,745416142996111503,15.90794,2.3135688,1.4309301,226.54139315191952,-37.85388103216442,2025061900267,164,60846.19228652783,g,226.54141746740282,-37.85388547916921,29.525352478027344,4619.91,155.309,False,4502.41,1.64642,4788.31,155.397,False,141.45,5.41628,22.2384161753003,0.03649954322723302,22.266387361476042,0.00039702686835631223,22.199544338449932,0.035235845296595,26.023492643942035,0.04157406287028069
2025 MS118,nan,MBO,MBO,21165827764140115,745416143111979447,15.908118,2.3135686,1.4309336,226.54125180704511,-37.85393216729947,2025061900268,129,60846.192750367045,g,226.5412465852124,-37.853937569388115,28.075666427612305,4555.33,161.289,False,4353.83,0.22954,4924.28,160.492,False,197.249,4.26653,22.25370037169202,0.03844228745587347,22.302821311671345,5.724152981423524e-05,22.169143198806772,0.035386287406050446,25.6624630136479,0.0234846630201022
2025 MS118,nan,MBO,MBO,21165827764140115,745416143363113057,15.908478,2.3135684,1.4309403,226.5409679370461,-37.85403485847555,2025061900270,96,60846.19368268379,g,226.54096557862164,-37.85403702030447,29.76412010192871,4513.45,150.166,False,4448.68,1.29036,4640.84,150.007,False,130.608,5.51055,22.263728363746328,0.03612328845251148,22.279422038499117,0.00031492273786484613,22.233508547265167,0.03509451747082252,26.110075537904955,0.04580886001520169
2025 MS118,nan,MBO,MBO,21165827764140115,745424936746614960,16.592138,2.3131015,1.4444138,226.01730769435903,-38.05845953700889,2025062100250,48,60848.02981565961,r,226.0173130055628,-38.05846110623941,50.53456115722656,7364.38,145.379,False,7095.42,0.137209,7342.85,144.527,False,-78.3355,21.529,21.732159542559522,0.021433337747047344,21.772554742462525,2.099562515089661e-05,21.735338344271838,0.021370201836958546,nan,nan
2025 MS118,nan,MBO,MBO,21165827764140115,745424936876638504,16.592302,2.3131013,1.444417,226.01718220358276,-38.05850758233858,2025062100251,40,60848.03025114289,r,226.0171885629186,-38.0585080475673,52.416385650634766,7440.86,140.041,False,6741.61,0.005405,7557.05,140.878,False,-64.3695,28.7706,21.720942186571975,0.020434141623666077,21.828090959234522,8.704751901032587e-07,21.704119288894596,0.02024022012575747,nan,nan
2025 MS118,nan,MBO,MBO,21165827764140115,745424937010856332,16.592466,2.3131013,1.4444203,226.01705699874532,-38.058555510424696,2025062100252,40,60848.0306865646,r,226.01705206978443,-38.05855748945752,52.706085205078125,7260.74,135.38,False,6696.81,0.00676494,7292.43,134.564,False,-50.5343,31.3082,21.747547751515484,0.020244075391337067,21.835330046923566,1.0967819307603835e-06,21.742819301270828,0.02003461097315846,nan,nan
2025 MS118,nan,MBO,MBO,21165827764140115,745424937409314884,16.592972,2.3131008,1.4444304,226.01666928468936,-38.05870387724654,2025062100255,32,60848.03203380895,r,226.01667342179576,-38.0587017466187,40.43023681640625,7433.73,182.203,False,6614.69,0.411585,7401.98,181.951,False,-93.6073,29.1195,21.72198304518783,0.026611727546759643,21.8487262705628,6.755762449947355e-05,21.726630234600414,0.02668891203257877,nan,nan
2025 MS118,nan,MBO,MBO,21165827764140115,745424937559785919,16.593142,2.3131008,1.4444337,226.01653917946055,-38.05875364810702,2025062100256,63,60848.032485754215,r,226.01656242404187,-38.05876218230615,29.77842140197754,7253.84,242.403,False,7490.29,1.84859,7011.68,241.25,False,-149.073,11.254,21.74858009340242,0.03628226136481533,21.713753413052537,0.0002679577290138112,21.7854447540715,0.03735678936164736,nan,nan
