provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 MZ323,nan,MBO,MBO,21165827765515098,745319429249171708,13.685686,1.870117,0.90511185,226.908619701504,-41.91462628269663,2025052800590,19,60824.27291429491,g,226.9085521614124,-41.9143764990741,12.997132301330566,3267.95,250.337,False,3382.73,2.10342,2585.53,229.921,False,-405.73,16.9155,22.614311508329717,0.08317139321235095,22.576831668752515,0.0006751231348023499,22.868626034516865,0.0965502457154348,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745323768993809072,13.865343,1.8710147,0.90734243,226.73673530854447,-41.841685590847895,2025052900155,177,60825.072683834296,r,226.73668975382623,-41.84143801138383,15.320978164672852,3664.14,236.424,False,3622.79,0.278638,3286.33,206.957,False,-116.005,53.2864,22.490069884579956,0.0700557565009971,22.502392087573647,8.350673571108237e-05,22.608222045717874,0.06837435777344285,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745323770195476686,13.866427,1.8710196,0.90735483,226.7356996006025,-41.84128888238471,2025052900164,165,60825.077108812606,r,226.7356639052051,-41.84106396141218,14.469802856445312,3528.93,239.036,False,3731.03,10.5023,3287.32,206.932,False,-28.9001,42.2099,22.53089241162624,0.07354354990439524,22.470428138785323,0.003056187577866513,22.607895022458653,0.06834551156351605,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745328180906689026,14.145256,1.8723289,0.91078466,226.4902919876048,-41.73069760246428,2025053000259,1,60826.2273462717,r,226.49026429216673,-41.730484176461815,10.550819396972656,3435.71,327.644,False,3662.27,8.73788,3472.52,322.208,False,-19.0228,15.6372,22.559958764954892,0.10354045324984053,22.490624095696653,0.002590478678574299,22.54838810454686,0.10074323476247225,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745328181583544335,14.145816,1.8723314,0.91079164,226.48980355984708,-41.73046903151514,2025053000264,12,60826.22954664577,r,226.48973819326017,-41.73028474080668,8.788874626159668,3336.88,381.09,False,3166.5,4.04488,3109.69,380.847,False,-290.87,18.4365,22.591648565750347,0.12399703340428579,22.648551269091655,0.00138691696377748,22.668207277794025,0.13297125042377855,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745328183327851067,14.147267,1.8723379,0.9108098,226.488539642941,-41.72987548579235,2025053000277,11,60826.2352479729,r,226.48856957881404,-41.72966537245189,12.685442924499512,3899.75,304.727,False,4100.95,8.11938,3769.0,299.621,False,-200.718,20.5073,22.42240808313923,0.08483957313527617,22.367788762609315,0.0021496249413814786,22.459434656375986,0.08631185189479607,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745328183729455949,14.147603,1.8723395,0.910814,226.4882473723812,-41.72973780619592,2025053000280,9,60826.23656755632,r,226.4882182931677,-41.72952824741065,11.543180465698242,4339.35,373.301,False,4169.11,31.7608,3891.45,363.556,False,-360.916,15.1572,22.306438274223765,0.09340255943506565,22.349891650773756,0.008271273950584145,22.42472137684996,0.10143414828529558,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745328183999463508,14.147836,1.8723406,0.9108169,226.4880450814707,-41.72964241884801,2025053000282,12,60826.23748155938,r,226.48802114311994,-41.72944343645394,10.119187355041504,3106.51,307.541,False,2905.77,2.38088,2881.51,304.334,False,-319.582,21.2389,22.66931810667314,0.10748665896083844,22.741846903519757,0.0008896119532146448,22.750949668578567,0.11467128595369615,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745328188826583097,14.157185,1.8723829,0.9109355,226.47993293038024,-41.72575231122275,2025053000318,3,60826.27441981307,g,226.47980849261333,-41.725525780363604,10.245749473571777,2349.24,235.245,False,2637.03,17.9135,2393.41,236.611,False,-78.97,9.22403,22.97268153733375,0.10872197359512772,22.84721231157664,0.007375469792008174,22.952457286770205,0.1073351955413161,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745328189498196343,14.157741,1.8723855,0.9109427,226.47945224822692,-41.725517757739006,2025053000323,4,60826.276627218875,g,226.47940463234,-41.725327651253686,10.836529731750488,2425.09,220.53,False,2379.9,1.24954,2565.08,220.61,False,-0.280483,9.97849,22.938180308688242,0.09873340586625978,22.95860327203724,0.0005700537173235016,22.87724768072256,0.09337886440155782,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745337017616302263,14.629084,1.8744918,0.9168432,226.12612551379587,-41.54062619406334,2025060100561,159,60828.08831060516,i,226.12610144503654,-41.54045930892676,20.315523147583008,3987.71,195.612,False,3970.02,2.16567,4271.26,190.686,False,-12.3722,78.2299,22.398191092140355,0.053259397507704365,22.403018258060705,0.0005922756625976086,22.323610038099456,0.04847157755262116,nan,nan
2025 MZ323,nan,MBO,MBO,21165827765515098,745337018283721052,14.629722,1.8744944,0.91685075,226.1256608789733,-41.54039388731683,2025060100566,152,60828.090555896306,i,226.12564515900584,-41.540228840552906,16.127492904663086,3916.28,237.193,False,3798.63,1.57167,4229.21,232.175,False,298.622,63.789,22.41781565502317,0.06575858168125089,22.450932549005227,0.00044921962226208273,22.33435188395642,0.05960470371096053,25.212195466783275,0.23192539800851433
2025 MZ323,nan,MBO,MBO,21165827765515098,745337019873362877,14.636686,1.8745233,0.91693413,226.12058235551777,-41.53783624134338,2025060100578,112,60828.11507167827,z,226.12055373911275,-41.53764119421563,9.233336448669434,3083.59,329.76,False,3127.34,3.32546,4307.68,306.937,False,974.245,168.914,22.677358397563737,0.1161089416164425,22.662062220251222,0.001154518591342893,22.31439137105439,0.07736243467584678,23.928329541458325,0.18824427921119438
2025 MZ323,nan,MBO,MBO,21165827765515098,745337020545499735,14.637351,1.874526,0.9169422,226.12009720654177,-41.537590003725946,2025060100583,114,60828.1174126019,z,226.12008294845094,-41.53742029773622,13.453947067260742,4749.4,348.318,False,4889.09,13.2562,5275.75,324.951,False,615.977,93.2752,22.208403152550954,0.07962720843117274,22.176929954761075,0.002943847742672729,22.094289480972304,0.06687410382960382,24.426088777271353,0.1644091633496203
2025 MZ323,nan,MBO,MBO,21165827765515098,745337022313922595,14.639083,1.8745333,0.91696304,226.11883246723923,-41.53694640076476,2025060100596,159,60828.1235159265,z,226.118830051275,-41.5367844100188,11.758541107177734,4330.28,364.065,False,4460.4,13.704,4281.52,334.793,False,84.7446,54.8427,22.308710105984968,0.09128245139978378,22.276565505912792,0.0033357837389792725,22.321005052408296,0.08489902622110543,26.579719935312347,0.7026371843076321
2025 MZ323,nan,MBO,MBO,21165827765515098,745337022961418496,14.639752,1.874536,0.91697115,226.11834365186832,-41.53669698441066,2025060100601,114,60828.12587480736,z,226.11835457913875,-41.536549491561125,9.578288078308105,4269.29,440.719,False,4418.42,11.92,4402.57,412.593,False,39.5506,36.4156,22.324110849763624,0.11208059506028267,22.286832529057136,0.0029290958922844855,22.290734368621795,0.10175128658190703,27.407117360130997,0.9996747710699206
2025 MZ323,nan,MBO,MBO,21165827765515098,745337023228281655,14.640055,1.8745372,0.9169748,226.11812236127503,-41.53658394697792,2025060100603,111,60828.12694267015,z,226.11810186943129,-41.536403549087694,11.496249198913574,4796.47,406.717,False,4563.83,6.12795,3609.15,388.053,False,-191.901,69.4678,22.19769562017681,0.09206507360811514,22.251676334334405,0.0014578407324483753,22.50648769897375,0.11673751788449643,nan,nan
