provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2017 VD26,585205,MBO,MBO,21164736992392772,745279800730976297,19.311344,3.0593617,2.870847,149.0313254307964,3.618392815166432,2025051900246,155,60815.06280658315,y,149.03143127116505,3.618370442669945,5.411009788513184,10320.3,1926.86,False,10016.4,89.8342,10798.3,1850.34,False,240.239,628.368,21.36576921567943,0.20271326290789454,21.3982208087857,0.009737653986274377,21.316611547293924,0.18604605616987427,25.448391228585464,2.8398464501700715
2017 VD26,585205,MBO,MBO,21164736992392772,745284180612481069,19.320559,3.05888,2.8830304,149.20338745538297,3.607959233282097,2025052000111,68,60815.99776202555,g,149.2033924317316,3.607961773704727,10.0243558883667,2970.19,278.976,False,3141.49,12.1246,2913.59,280.071,False,-39.7682,23.6499,22.718039442475522,0.1019781104063339,22.65716079935833,0.004190405723012066,22.738928872569453,0.10436720028184548,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284180746698798,19.320568,3.0588799,2.8830404,149.2035261131353,3.607949950230995,2025052000112,68,60815.99852844935,g,149.2035271746811,3.6079161411951706,14.61050796508789,3511.89,225.264,False,4131.48,11.1045,3501.87,223.711,False,-50.3659,23.8107,22.536147772201964,0.06964264146286478,22.359735868307823,0.0029182175743144943,22.53924991435988,0.06936040526462704,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284181016707144,19.320581,3.0588791,2.8830538,149.2037087689009,3.607937719156948,2025052000114,71,60815.99953748862,g,149.20372364077394,3.607934219003889,18.167556762695312,3268.21,177.695,False,3405.77,4.41967,3166.79,171.092,False,-29.9321,14.4054,22.614225126717248,0.05903228530682359,22.56946170465984,0.0014089606222809218,22.64845182443991,0.058659011580875296,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284181149352048,19.320591,3.058879,2.8830638,149.2038472628069,3.607928443471459,2025052000115,68,60816.000302056374,g,149.2038620962331,3.6079344297693696,17.442447662353516,3227.06,174.131,False,3820.01,5.29316,2943.06,169.819,False,-8.62361,15.951,22.62798237974005,0.058585933964503914,22.444838747707454,0.0015044398819119649,22.728002188065858,0.06264861509791707,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284181285142607,19.320597,3.0588787,2.8830707,149.20394376040028,3.607921979594293,2025052000116,71,60816.00083512574,g,149.203939555121,3.607952502896363,16.749658584594727,3265.91,190.039,False,3890.89,5.5274,3245.29,176.528,False,-13.2106,12.0147,22.614989497875744,0.06317756146347554,22.424877647561665,0.0015423973646366313,22.621866208071634,0.05905877080754683,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284181439283201,19.320606,3.0588782,2.88308,149.2040710414358,3.607913452551895,2025052000117,109,60816.00153897185,g,149.20406975857318,3.607940153463743,18.70953941345215,3088.48,167.016,False,3348.8,3.58981,3011.88,163.335,False,6.81539,13.8597,22.6756380235364,0.05871345326667074,22.58777695668259,0.0011638755715166066,22.70290588070683,0.058879748593446045,29.316273200718427,2.2079408595134065
2017 VD26,585205,MBO,MBO,21164736992392772,745284181708242947,19.32062,3.0588777,2.8830938,149.20426423850708,3.6079005070746577,2025052000119,110,60816.00260581951,g,149.20426843100122,3.607875505493028,20.902076721191406,3216.78,155.004,False,3180.11,2.15912,3209.31,150.911,False,25.9459,15.6046,22.631446590307107,0.05231736418528559,22.643894607100325,0.0007371552446895519,22.63397080680052,0.05105444114184827,27.864828151760584,0.6529925403753288
2017 VD26,585205,MBO,MBO,21164736992392772,745284181842460709,19.320627,3.0588772,2.8831024,149.20438211966288,3.607892606805823,2025052000120,110,60816.003256159864,g,149.20439576891974,3.607898690965077,21.23663330078125,2956.02,135.815,False,2944.05,1.58758,3016.03,133.035,False,8.61618,30.5958,22.723231572561676,0.04988439331453912,22.727637028172346,0.0005854836086354562,22.70141084674952,0.04789107488089431,29.061713039085966,3.855416970005358
2017 VD26,585205,MBO,MBO,21164736992392772,745284181976678492,19.320635,3.058877,2.8831096,149.20447900012587,3.607886113159473,2025052000121,110,60816.003791225885,g,149.20447814310896,3.60788261782704,23.116315841674805,3053.7,132.298,False,2907.36,0.52322,3044.77,128.048,False,5.25685,38.9539,22.687934094649624,0.04703826021551247,22.74125293228672,0.0001953933736938479,22.691113763341733,0.04566070775831594,29.598186085999732,8.045438002157564
2017 VD26,585205,MBO,MBO,21164736992392772,745284182224666692,19.320646,3.0588765,2.883122,149.2046521268929,3.607874507083939,2025052000123,71,60816.00474765939,g,149.2046476591941,3.6078751141891643,20.05192756652832,3074.03,150.62,False,3209.96,0.396911,3037.93,147.58,False,-37.5114,17.0637,22.680729735800647,0.05319843342474709,22.63375096170772,0.0001342510943588829,22.693555617865734,0.052744123364199445,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284182513549327,19.320663,3.0588758,2.8831398,149.20489825646774,3.607858003013154,2025052000125,110,60816.00610655401,g,149.2049113888915,3.6078591328136183,21.487871170043945,3356.92,156.262,False,3248.54,0.441693,3326.13,148.255,False,-38.2378,20.3774,22.58514754642019,0.050540170042602466,22.620779440195783,0.0001476238816049518,22.595151989800105,0.048394329749310246,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284182647767080,19.320671,3.0588756,2.8831491,149.20502667403437,3.607849390183313,2025052000126,110,60816.00681531953,g,149.20505973128604,3.607850425578053,21.489789962768555,3441.36,154.065,False,3572.7,2.51069,3400.22,149.502,False,-64.6793,33.0536,22.558174699962215,0.0486069303459495,22.51750863989003,0.0007629935457125683,22.571232465502927,0.04773800939042148,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284182917251098,19.320686,3.0588748,2.8831646,149.2052407794748,3.6078350275317055,2025052000128,112,60816.00799732409,g,149.205234715523,3.6078186509782406,18.248477935791016,3058.5,163.936,False,3140.74,2.49553,2979.61,161.622,False,-71.9382,20.9488,22.686228787915447,0.058195604217623896,22.657420039201494,0.0008626906907669502,22.714601402958127,0.058893225645210594,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284183051993145,19.320692,3.0588746,2.8831708,149.20532718803418,3.607829230064558,2025052000129,113,60816.0084747443,g,149.20533226384012,3.6078449833575466,17.335420608520508,3361.36,190.026,False,3719.59,3.71012,3228.61,183.397,False,-75.1144,15.0656,22.583712396088558,0.06137935315234677,22.473762295709346,0.0010829719061261564,22.627460994935404,0.06167383473533434,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284183184637984,19.3207,3.0588744,2.8831787,149.20543425217554,3.607822045948057,2025052000130,110,60816.00906569423,g,149.20547264922126,3.60783914908614,14.346210479736328,3264.51,220.885,False,3716.86,8.37765,3253.66,220.979,False,-64.6779,12.3228,22.615454988517754,0.0734636545473758,22.474559460670722,0.0024472048815948524,22.619069608839826,0.07374000710383354,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284183454646298,19.320711,3.058874,2.8831928,149.2056273787974,3.6078090847462105,2025052000132,113,60816.01013182878,g,149.20563983028526,3.6078186326897796,18.011079788208008,3454.73,188.509,False,3315.66,0.644012,3410.95,188.349,False,-59.2187,17.5812,22.553964727869975,0.059243718118535904,22.59857505376997,0.00021088625955854653,22.567811632359067,0.05995318908137073,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284183857299492,19.320732,3.058873,2.8832138,149.2059169186269,3.607789647746338,2025052000135,113,60816.011729216334,g,149.20592421009687,3.607768005433311,20.811025619506836,3277.47,154.851,False,3222.06,0.237954,3210.07,151.566,False,-64.8147,20.4546,22.61115319693426,0.051297902434730036,22.62966592168464,8.018325985482544e-05,22.633713719634457,0.05126389264932028,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284184127307795,19.320745,3.0588725,2.8832276,149.20610863722698,3.6077767740988738,2025052000137,116,60816.01278751195,g,149.20612403201451,3.6077566183254977,14.213223457336426,2768.57,190.516,False,2541.6,0.402315,2766.64,187.25,False,-10.572,28.8571,22.794361201676168,0.07471370444046349,22.88723195373488,0.00017186336732779884,22.795118412993165,0.07348412234145459,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284184394170431,19.320757,3.058872,2.8832414,149.206301459908,3.607763823563432,2025052000139,113,60816.013851595686,g,149.2063205483008,3.6077668791641933,17.373661041259766,3071.49,176.748,False,2956.43,1.9817,3116.83,174.242,False,37.4945,18.6953,22.681627239191712,0.06247837516044514,22.72308102366154,0.0007277707997216809,22.665717184349784,0.06069655637902907,27.465081106645876,0.5413637619897276
2017 VD26,585205,MBO,MBO,21164736992392772,745284184506368012,19.320765,3.0588715,2.8832498,149.20641545816017,3.607756165817951,2025052000140,71,60816.014480708174,g,149.20643935981838,3.6077558367187827,15.6224946975708,2883.54,183.124,False,2741.79,0.225037,2943.52,179.319,False,36.4394,11.894,22.750185034663247,0.06895147852279261,22.804914514245425,8.911361114643204e-05,22.727832515272144,0.06614296130967026,27.496071964865717,0.3543896600074867
2017 VD26,585205,MBO,MBO,21164736992392772,745284184640585745,19.32077,3.0588713,2.883256,149.2065019122587,3.607750357694342,2025052000141,71,60816.01495770269,g,149.20651586557963,3.6077382420457123,19.00519371032715,3148.8,162.314,False,3326.23,3.09518,3164.71,158.578,False,30.4148,13.6865,22.654637291285475,0.055967409352754495,22.595119315786178,0.0010103177000938507,22.649165215014115,0.05440431546150232,27.692287564518246,0.4885755557423394
2017 VD26,585205,MBO,MBO,21164736992392772,745284189494444038,19.321342,3.0588462,2.8838942,149.21530923306798,3.607156128687961,2025052000177,113,60816.06343342403,r,149.2153559582077,3.6071945896690005,19.910358428955078,5441.06,273.686,False,6094.38,11.0713,5528.45,271.624,False,102.452,10.9977,22.060791200778382,0.054612667526519915,21.937676195652895,0.0019723927601273264,22.043491496311916,0.05334442615476159,26.37369886105915,0.11654824082149647
2017 VD26,585205,MBO,MBO,21164736992392772,745284189898670106,19.321404,3.0588436,2.8839672,149.21631557825725,3.6070879573822,2025052000180,116,60816.06895572477,r,149.21630797054294,3.6070791370202064,11.799217224121094,5412.89,448.666,False,5585.57,14.8281,5424.99,452.652,False,29.8847,7.49391,22.066426968805235,0.08999497340064168,22.032331286948256,0.0028823210068856125,22.064002598150594,0.09059199225640323,27.711377720610823,0.2722600197725413
2017 VD26,585205,MBO,MBO,21164736992392772,745284190167105617,19.321415,3.058843,2.8839805,149.2165020908635,3.607075317657352,2025052000182,116,60816.06997807289,r,149.2165260244069,3.607071781202392,16.424297332763672,5050.4,303.492,False,4927.7,4.91452,5097.34,304.342,False,-27.6408,10.9374,22.14168558019592,0.06524478524420184,22.168389307041192,0.0010828321225066478,22.131641026708444,0.06482501649007463,nan,nan
2017 VD26,585205,MBO,MBO,21164736992392772,745284190321770501,19.32142,3.0588427,2.8839874,149.2165952652525,3.607069002766546,2025052000183,155,60816.07048924177,r,149.21660576947133,3.6070641754343464,14.079339027404785,5685.48,397.499,False,5568.49,21.0681,5714.33,398.775,False,-18.588,8.89959,22.013082163381807,0.07590899087687442,22.03565634409368,0.004107827785662788,22.007586692448818,0.07576819023511511,nan,nan
