provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2005 JE46,363790,Apollo,NEA,21163628689634885,745284180748271621,20.06943,2.9491758,2.7652853,149.33131420566613,3.7516182044264257,2025052000112,71,60815.99852844935,g,149.33137522978154,3.7517119237232333,6.351475715637207,1448.83,240.749,False,1605.5,11.8804,1450.65,240.78,False,49.7429,33.0706,23.497456457786285,0.1804144763709947,23.385974225243693,0.008034244836878417,23.49609337586417,0.18021132434192277,27.158172229123142,0.7218305648271877
2005 JE46,363790,Apollo,NEA,21163628689634885,745284181037154336,20.069437,2.949176,2.7653005,149.33144845998183,3.751621692106009,2025052000114,110,60815.99953748862,g,149.3314479543777,3.751618794819341,5.244597434997559,933.879,170.825,False,958.872,31.64,958.324,167.318,False,37.0468,17.1801,23.974273443085274,0.19860268647213758,23.945598397021776,0.035826150438739386,23.946219117179428,0.18956345421676848,27.478123285970288,0.5034998074385505
2005 JE46,363790,Apollo,NEA,21163628689634885,745284181305589793,20.069445,2.9491768,2.7653198,149.33162118787965,3.751626172974721,2025052000116,110,60816.00083512574,g,149.33159267820636,3.7516231692252,5.552023887634277,1020.07,183.032,False,nan,nan,1082.79,176.647,False,20.4415,12.5594,23.87842505404797,0.1948145373202218,nan,nan,23.813639370248122,0.1771276423764542,28.12371811235105,0.6670838761515735
2005 JE46,363790,Apollo,NEA,21163628689634885,745284181844033543,20.069462,2.9491777,2.7653563,149.3319434178709,3.75163451329802,2025052000120,113,60816.003256159864,g,149.33193390879646,3.751648506464123,7.754467487335205,1075.07,139.596,False,1011.45,7.97175,1173.91,136.717,False,76.5133,32.2578,23.82140819681479,0.14098098845384568,23.887638940065614,0.00855723688738161,23.725912962909394,0.12644801323359836,26.69065769443046,0.4577434693302008
2005 JE46,363790,Apollo,NEA,21163628689634885,745284182379331642,20.069475,2.9491785,2.7653856,149.33220554847523,3.7516412799202743,2025052000124,110,60816.00522575411,g,149.33217371886076,3.7515782333820513,7.374456405639648,1105.73,156.756,False,nan,nan,1108.09,152.206,False,26.5052,15.9298,23.79087728725664,0.15392153956288526,nan,nan,23.78856244452176,0.14913550612941243,27.841672309186862,0.6525346347659984
2005 JE46,363790,Apollo,NEA,21163628689634885,745284182513549395,20.06948,2.949179,2.765399,149.33232285309293,3.751644302745196,2025052000125,110,60816.00610655401,g,149.3323551244973,3.7516140156538746,9.875263214111328,1501.27,151.853,False,1497.38,5.17325,1540.24,144.674,False,-14.0729,23.4132,23.45885297051467,0.10982188034813026,23.46166992619518,0.0037510752236041968,23.431029012333948,0.10198267562808977,nan,nan
2005 JE46,363790,Apollo,NEA,21163628689634885,745284182649339920,20.069487,2.9491792,2.7654095,149.3324172641511,3.7516467332603054,2025052000126,113,60816.00681531953,g,149.33240627499126,3.75164566680847,7.616740703582764,1122.22,147.986,False,1132.6,3.73026,1075.13,142.984,False,-18.449,28.1625,23.774805017460938,0.14317491576934321,23.7648086301776,0.003575912333404425,23.821347544046546,0.1443945362622832,nan,nan
2005 JE46,363790,Apollo,NEA,21163628689634885,745284182919348235,20.069494,2.9491796,2.7654274,149.3325746769342,3.7516507810001567,2025052000128,116,60816.00799732409,g,149.3325978617915,3.7516839524660264,6.680277347564697,1153.88,167.993,False,1179.52,11.9966,1139.0,159.508,False,-20.7944,21.1431,23.74459838073853,0.15807196360581324,23.72073670901428,0.011042748662452681,23.758690689802247,0.152048819822,nan,nan
2005 JE46,363790,Apollo,NEA,21163628689634885,745284183053566010,20.069498,2.94918,2.7654345,149.33263820729658,3.7516524129710014,2025052000129,116,60816.0084747443,g,149.33271122648404,3.751671806484033,8.078832626342773,1509.43,183.136,False,1874.92,7.41075,1555.82,179.513,False,54.3784,15.3808,23.452967517949,0.13173011020200148,23.217543120125654,0.004291446726026698,23.420101662417444,0.12527398451200902,27.061433959561104,0.3070978922842848
2005 JE46,363790,Apollo,NEA,21163628689634885,745284183186210835,20.069502,2.9491801,2.7654433,149.33271692575428,3.751654433770284,2025052000130,113,60816.00906569423,g,149.33271603291433,3.75164581184957,6.926732540130615,1546.0,221.105,False,1610.49,1.46235,1634.28,220.678,False,57.7692,13.4099,23.426976276044233,0.15527923603769772,23.382604925324763,0.0009858653952894113,23.366683815716783,0.14660773131845342,26.995759128360397,0.25203073225025685
2005 JE46,363790,Apollo,NEA,21163628689634885,745284183588864047,20.069513,2.9491808,2.7654681,149.33293765875166,3.751660092444337,2025052000133,113,60816.010722717605,g,149.33294509264593,3.7516848015599247,7.641874313354492,1382.51,180.922,False,1351.68,1.65265,1496.84,181.011,False,129.653,21.6885,23.54832928899082,0.1420847307208167,23.572815237242565,0.0013274901352710467,23.462061574086277,0.1312967333650391,26.118043575459502,0.18162317187149374
2005 JE46,363790,Apollo,NEA,21163628689634885,745284183858872349,20.069519,2.9491813,2.7654834,149.3330718243502,3.75166352626558,2025052000135,116,60816.011729216334,g,149.3331137761326,3.7517149370163003,8.429375648498535,1338.06,151.345,False,1376.25,7.43876,1404.92,148.989,False,50.7363,19.1634,23.583810982245453,0.12280521055772003,23.55325667005048,0.005868505603963458,23.530870978474542,0.11514018209425989,27.13670298796261,0.41008897591707705
2005 JE46,363790,Apollo,NEA,21163628689634885,745284184395743294,20.069534,2.9491823,2.765515,149.3333545967824,3.7516707495963706,2025052000139,116,60816.013851595686,g,149.33338709165324,3.751685814192773,7.570351600646973,1369.88,173.387,False,1352.82,1.57755,1376.51,172.55,False,-6.53159,18.5948,23.558293683385664,0.13742264687887715,23.571900005062943,0.0012660984284762033,23.553051565343953,0.13610056164888895,nan,nan
2005 JE46,363790,Apollo,NEA,21163628689634885,745284184506368058,20.069538,2.9491825,2.7655246,149.33343842957493,3.7516728874517296,2025052000140,71,60816.014480708174,g,149.33343246906415,3.751609392806059,6.460667610168457,1209.35,184.337,False,1298.26,24.2889,1298.22,180.044,False,-24.9114,11.857,23.69361999956232,0.165494988972231,23.616595800622527,0.020312832801542762,23.61662928584875,0.15057563475585678,nan,nan
