provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262191855796250,17.477648,3.3546007,3.1155155,148.92827933998356,3.2678239094224737,2025051500122,67,60811.04208450287,i,148.9282873047076,3.2678238356363325,8.395063400268555,3718.75,442.965,False,4414.42,10.563,3421.4,440.354,False,-126.731,13.5463,22.474007542318436,0.12932924610812774,22.287815892322573,0.002597992813466311,22.56449040337761,0.13974054439637457,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262191990013987,17.477663,3.3546007,3.1155221,148.92834142217134,3.267814920812806,2025051500123,67,60811.04255635306,i,148.92835062961885,3.267839440348353,9.330578804016113,3353.84,353.228,False,3083.59,42.2105,3238.11,347.95,False,-85.2653,16.3313,22.586144121321208,0.1143502417044493,22.677358397563737,0.014862373231347944,22.624270969382245,0.11666741190588793,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262192124756016,17.477676,3.3546007,3.1155288,148.92840390264053,3.267805874449929,2025051500124,68,60811.0430310299,i,148.92841688085005,3.267801682768805,11.012075424194336,3565.28,329.852,False,3365.84,12.1638,3603.93,324.851,False,-29.4596,22.1881,22.5197658837433,0.10044996312659069,22.582266303339907,0.003923739085244475,22.508059153137573,0.09786608309702252,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262192394240100,17.477703,3.3546007,3.1155422,148.92852940137607,3.267787703604486,2025051500126,70,60811.043985125616,i,148.92854961456274,3.267787702675612,9.484365463256836,3455.53,354.449,False,3425.53,7.04185,3460.36,351.535,False,-16.4258,17.3168,22.55371332141611,0.11136876668530617,22.563180552407353,0.0022319441154602243,22.552196758416674,0.11029900613439286,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262192527409246,17.477716,3.3546007,3.1155488,148.92859163021356,3.267778693428776,2025051500127,68,60811.04445870916,i,148.92861185762166,3.2677623711078807,6.010949611663818,3127.61,507.262,False,3290.45,47.6471,2685.9,509.738,False,-48.9046,15.1859,22.661968480102345,0.17609378810808918,22.606861776439846,0.015721916669633542,22.82727544144469,0.20605421974773236,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262192662675498,17.477732,3.3546004,3.1155555,148.92865465238725,3.267769568307586,2025051500128,70,60811.0449378077,i,148.92867746076237,3.267775690546914,6.826353549957275,3437.55,498.384,False,3371.12,10.2654,3361.28,498.183,False,-85.7765,12.5902,22.559377425070274,0.15741256066146264,22.58056443188184,0.003306175981865587,22.583738262033414,0.1609194503551338,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262192796893276,17.477745,3.3546004,3.1155622,148.92871728371594,3.2677604997035945,2025051500129,70,60811.04541385244,i,148.92871508605938,3.267768496216615,10.893577575683594,4057.84,368.572,False,4151.83,9.16248,3854.6,361.366,False,-88.2455,13.4666,22.379262679305903,0.09861698489465556,22.354401072895847,0.002396060642865008,22.435051679823744,0.1017869912604926,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262192931635283,17.477758,3.3546004,3.1155689,148.92878005057008,3.2677514114048614,2025051500130,71,60811.04589065211,i,148.92879707731927,3.267777576388309,8.174389839172363,4430.6,519.738,False,4405.64,12.495,4627.26,520.154,False,-110.848,14.7938,22.28384361816113,0.1273638615929257,22.289977449885534,0.0030792968406866115,22.23669029835915,0.12204847997355105,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262193065853085,17.477772,3.3546004,3.1155756,148.92884229495988,3.2677423986882776,2025051500131,71,60811.046363020694,i,148.92886389744422,3.2677328618832187,9.668046951293945,3953.16,408.806,False,3764.62,0.107196,3805.61,405.694,False,-110.485,18.3066,22.407639043359616,0.11227865417173112,22.460697103328165,3.091589006464347e-05,22.448939270330673,0.11574403359376702,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262193220517903,17.477787,3.3546004,3.1155822,148.92890506960657,3.2677333091272525,2025051500132,110,60811.04684006958,i,148.92890960053742,3.2677401863808577,6.763780117034912,3394.3,490.28,False,3408.31,28.1935,3118.09,488.083,False,-94.2244,15.4738,22.57312442405687,0.1568260723819141,22.568652259373675,0.008981197052464411,22.66527835331327,0.16995320134184164,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262193488953431,17.477814,3.3546004,3.1155956,148.92903023603358,3.267715185257672,2025051500134,110,60811.04779119583,i,148.92902476810335,3.267701534532386,7.373844623565674,3082.65,410.406,False,3285.65,36.6825,2920.02,408.536,False,-81.0834,13.2925,22.677689488632836,0.14454857779111235,22.608446785134653,0.012121655792645033,22.73653542759287,0.15190386875547995,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262193602723932,17.477829,3.3546004,3.1156025,148.92909565533455,3.267705712570427,2025051500135,71,60811.048288111924,i,148.9291120293205,3.267658992995939,8.254103660583496,3148.13,380.25,False,2936.5,8.55216,3115.46,376.031,False,-62.4584,13.2956,22.654868395495626,0.131141727701032,22.730424987052558,0.003162060284862831,22.666194564526208,0.1310466134349817,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262193736941683,17.477842,3.3546004,3.1156092,148.92915818286457,3.267696658554943,2025051500136,71,60811.048763050516,i,148.9292314148199,3.2677499696508003,6.68065881729126,2962.96,437.519,False,3082.33,2.4156,3087.19,433.86,False,-39.5607,14.1691,22.720685542968276,0.16032286576628507,22.67780213935834,0.000850883706942703,22.676091623600456,0.15258455191696144,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262193870635091,17.477856,3.3546004,3.1156158,148.9292205827098,3.2676876229773906,2025051500137,70,60811.04923726723,i,148.92919839801786,3.2676935740146384,10.381103515625,4151.26,393.515,False,3991.75,27.6001,4103.24,390.038,False,-46.249,15.4217,22.354550224342333,0.10292140763092147,22.39709166509264,0.0075070902113429155,22.36718263860321,0.1032058440515101,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262194429526042,17.477911,3.3546004,3.1156423,148.9294706172826,3.267651417195112,2025051500141,112,60811.051136607966,i,148.9295018965178,3.2676555397046707,7.562189102172852,3863.27,503.259,False,3768.93,82.3661,3721.39,503.927,False,-22.6718,13.4623,22.43261234050116,0.14143627466465966,22.459454841162867,0.02372765072127851,22.47323706565794,0.14702350636973527,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262194562695189,17.477924,3.3546004,3.115649,148.92953316900767,3.267642359411036,2025051500142,110,60811.05161158222,i,148.92954400995276,3.267631195210256,7.661972522735596,3511.73,469.425,False,3659.68,35.0863,3438.37,467.983,False,-28.7897,13.9622,22.536197211770137,0.14513408135010925,22.4913922387002,0.010409234359265886,22.559118440704292,0.14777527457760942,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262194832703510,17.477953,3.3546004,3.1156626,148.929659601784,3.2676240512477945,2025051500144,113,60811.0525717431,i,148.92970215538324,3.2676199410734372,6.916814804077148,3124.93,452.706,False,3091.41,33.9707,3121.3,448.387,False,0.999407,13.3673,22.662899290314154,0.15728969870415627,22.674608512281882,0.011930872705580804,22.6641612021056,0.15597026395098046,31.40064403972587,14.521973232440505
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262194965348419,17.477966,3.3546004,3.1156693,148.92972203422093,3.26761501064165,2025051500145,110,60811.05304537207,i,148.92975464700802,3.2675680255691275,7.379714488983154,4200.84,561.726,False,4731.6,52.9758,4266.38,561.869,False,15.9007,11.9853,22.34165968886002,0.14518198559158532,22.212479919789196,0.012156087237251171,22.324851192854084,0.14298809588765157,28.396459416799914,0.8183837516056038
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262195101139000,17.47798,3.3546002,3.115676,148.92978526108223,3.2676058549715017,2025051500146,113,60811.05352545515,i,148.92973260357317,3.2676106563846097,6.153590202331543,3010.16,489.995,False,3188.85,71.4734,3169.2,492.298,False,25.7947,12.4614,22.703526080698154,0.17673655947939643,22.640914739279594,0.024335184052191632,22.647625898591652,0.16865637223003324,27.87117377063246,0.5245183254785015
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262195235356685,17.477995,3.3546002,3.115683,148.92985204905483,3.26759618360282,2025051500147,113,60811.05403220598,i,148.929897775412,3.267576301154435,6.429795265197754,3135.02,503.686,False,nan,nan,3211.08,499.84,False,88.2114,12.1263,22.65939920379433,0.17443911925894032,nan,nan,22.63337215958564,0.16900680375654364,26.536188177379014,0.14925465817209094
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262198725017657,17.47849,3.3545997,3.115926,148.9321354252223,3.2672655429173,2025051500173,113,60811.07134320839,z,148.93215676775705,3.2674041242467626,6.086350917816162,3813.75,737.363,False,4682.52,21.6793,3835.15,724.682,False,131.9,53.3204,22.446619448373838,0.20991981099232557,22.223800892941945,0.005026780695071757,22.44054414089871,0.20515847145315372,26.099388061375237,0.43890744252850117
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262198860808260,17.478504,3.3545997,3.1159332,148.93220093788128,3.267256057382692,2025051500174,116,60811.071839933895,z,148.93222719375657,3.267207767386852,5.013245582580566,4128.61,799.505,False,4265.76,154.379,4045.11,798.009,False,-29.4652,61.4403,22.360490385589525,0.21025273843547493,22.325009015794308,0.03929308643196559,22.38267413111511,0.21419126050855458,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262199373561891,17.478563,3.3545997,3.115962,148.93247347830183,3.267216597426734,2025051500178,70,60811.07390261915,z,148.93245834313925,3.2672044706386263,5.5956549644470215,3913.8,687.499,False,3857.79,49.9848,3559.1,681.418,False,-188.965,52.5395,22.418503414189146,0.19072067330201303,22.43415353151643,0.014067718770328154,22.521649493850706,0.20787283448417185,nan,nan
2020 JF40,nan,Not a NEA or MBO,Not a NEA or MBO,21165806238052422,745262199797186568,17.478605,3.3545997,3.1159825,148.93266627932258,3.2671886836466477,2025051500181,110,60811.07536162604,z,148.93270108817407,3.26713791236525,5.006106376647949,4398.25,880.547,False,4830.62,108.724,3753.33,869.158,False,-102.167,50.0432,22.291800221581596,0.21736867042807678,22.189992785861513,0.02443694167666459,22.463958102153573,0.2514237518013645,nan,nan
