provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284205818151825,7.2930245,3.1732895,2.2191145,225.8105510893595,-41.241288493137255,2025052000299,16,60816.27556749106,i,225.81051299593216,-41.24128174609982,11.660882949829102,4075.44,348.477,False,3469.74,0.929871,3968.06,346.238,False,-321.538,39.4139,22.374563756382344,0.09283760519898829,22.54925767111884,0.0002909712652659122,22.403554408004283,0.09473726044187496,nan,nan
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284206504968376,7.2931757,3.1732888,2.219116,225.80998711151463,-41.24108588536218,2025052000304,46,60816.27802847215,i,225.80993434716518,-41.241107763723875,11.08625316619873,3751.57,334.451,False,3878.38,15.3832,3443.45,332.374,False,-319.426,23.2292,22.46446734446753,0.09679295351213726,22.428374136332344,0.004306462325776487,22.557515562216356,0.10479910634692684,nan,nan
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284207032926533,7.2933044,3.173288,2.2191174,225.80950672355263,-41.24091314253084,2025052000308,29,60816.280125752084,i,225.8094341667999,-41.240895258824736,9.960186004638672,3773.59,377.661,False,3874.9,16.0858,3405.56,370.315,False,-278.98,21.4575,22.458113193811265,0.10866051238690515,22.429348779617563,0.00450719659041649,22.569528640834974,0.11806117008600148,nan,nan
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284207713452397,7.293466,3.1732874,2.2191188,225.80890423412387,-41.24069627933631,2025052000313,47,60816.28275687109,i,225.8089179765149,-41.240764479107675,5.681822299957275,3365.27,608.749,False,3679.96,39.7416,3042.04,605.899,False,-246.56,25.9152,22.58245020877261,0.19640054156763073,22.485392266385837,0.011725370507505193,22.692087685249405,0.21625174487038532,nan,nan
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284208238265126,7.293588,3.1732867,2.2191203,225.80844755881685,-41.240531742777335,2025052000317,24,60816.28475189184,i,225.8083912575679,-41.24053289734607,12.063370704650879,3713.97,311.132,False,3915.08,4.22932,3524.67,307.938,False,-198.418,61.19,22.475404030173046,0.09095584161022555,22.418148376395592,0.0011728817309959796,22.532203868894463,0.09485694550356105,nan,nan
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284209860411523,7.2941446,3.1732838,2.2191257,225.8063714441044,-41.23978201519724,2025052000329,46,60816.29382987938,r,225.80630179930418,-41.23978921360889,9.422581672668457,2855.02,298.318,False,3035.39,6.54528,31605.7,293.33,False,29034.2,10.7706,22.7609771052866,0.11344741665320765,22.69446379086247,0.002341197571231699,20.150586493131264,0.010076631564404305,20.24272536894266,0.00040276746140347245
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284210388369961,7.294271,3.173283,2.219127,225.80589917985267,-41.239611078210906,2025052000333,29,60816.29589666701,r,225.80582395188713,-41.239626910743006,12.332592010498047,3077.15,247.224,False,3115.21,2.96584,4147.84,241.273,False,1241.06,40.2275,22.679628366811492,0.08723008463786214,22.666281692894344,0.0010336767074515113,22.355445052307314,0.063155482314812,23.6655180029721,0.035192861029158244
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284211068895640,7.294422,3.1732824,2.2191286,225.80533437988004,-41.239406457179335,2025052000338,47,60816.298369852564,r,225.80527991977004,-41.239423918490466,15.346847534179688,2972.03,186.268,False,2637.77,0.328449,2923.86,180.787,False,77.1227,55.4957,22.717367016979157,0.06804706386742794,22.84690768042988,0.00013519335645460317,22.735108525273915,0.06713282675002673,26.682044386389816,0.7812704797809645
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284213887467818,7.2955394,3.1732767,2.21914,225.8011612681757,-41.23788819499901,2025052000359,47,60816.316676849194,z,225.80105221836192,-41.2378603246429,8.690964698791504,4145.83,474.399,False,4437.97,6.79402,4000.58,465.468,False,-215.13,174.773,22.355971254908916,0.1242386074154043,22.2820390420854,0.001662136815654197,22.394692580140394,0.1263255417560307,nan,nan
2025 KK29,nan,Not a NEA or MBO,Not a NEA or MBO,21165827729537355,745284214808641566,7.295755,3.1732755,2.2191424,225.8003564523636,-41.23759410418727,2025052000366,12,60816.32021498008,z,225.80028506062231,-41.23755159110269,7.025015830993652,6232.53,877.653,False,7085.55,29.7447,5788.39,860.158,False,-347.64,31.2933,21.913339093332795,0.15289131164981362,21.77406611234946,0.004557853379523509,21.99360551294172,0.1613410088280043,nan,nan
