provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262191899836494,10.6751,5.422097,5.2126946,150.82772072181714,3.274386467484663,2025051500122,151,60811.04208450287,i,150.8277351866593,3.2743939011004555,34.854740142822266,15818.3,453.099,False,15345.1,1.01913,15805.9,453.01,False,-54.8104,9.14747,20.902100493803,0.031099801726708586,20.935075720237208,7.210812294007156e-05,20.902951898320566,0.031118086066903528,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262192034054224,10.675112,5.422097,5.2127023,150.8277496491818,3.2743940068131083,2025051500123,151,60811.04255635306,i,150.8277566745431,3.2743944622731616,46.35255813598633,16286.4,347.251,False,16482.5,3.27149,16213.8,344.871,False,-63.5039,10.6106,20.87043723140714,0.023149559232412676,20.857442288960648,0.0002154997871603469,20.875287984035147,0.02309384213246171,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262192168271961,10.675122,5.422097,5.21271,150.8277787626069,3.274401593617575,2025051500124,151,60811.0430310299,i,150.82778164928243,3.274400641029485,49.295040130615234,16038.4,317.02,False,15994.3,1.34607,16063.9,315.502,False,-64.7798,11.2755,20.887097371951185,0.021460998062211044,20.890086919055435,9.137486520621594e-05,20.885372493772948,0.0213243328903925,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262192318742547,10.675134,5.4220977,5.2127175,150.82780818479995,3.27440925984707,2025051500125,182,60811.04351116055,i,150.82780378558473,3.2744113029932413,46.915489196777344,15892.3,335.434,False,16134.6,0.974458,15866.2,334.331,False,-67.3077,11.2557,20.8970331266774,0.02291630740955427,20.88060451856878,6.557363266830599e-05,20.898817675519943,0.022878525400703884,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262192452436033,10.675145,5.4220977,5.2127247,150.827837241514,3.2744168298211305,2025051500126,181,60811.043985125616,i,150.82783523319776,3.2744114905600132,47.9854736328125,16500.1,338.067,False,16727.4,2.00533,16375.6,333.666,False,-66.4646,10.4853,20.856283584969574,0.02224541518623886,20.841428869012255,0.00013016125792113711,20.864506972267886,0.022122746584498438,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262192570925171,10.675156,5.4220977,5.2127323,150.82786623914456,3.2744243833836717,2025051500127,151,60811.04445870916,i,150.8278728842825,3.2744238457705497,40.46025466918945,16297.1,396.974,False,15675.8,3.38997,16165.3,393.58,False,-65.8474,10.757,20.86972419999081,0.026446978506495963,20.91192572881073,0.00023479588139468507,20.87854059117668,0.02643464990150166,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262192720347195,10.675167,5.4220977,5.21274,150.82789560695284,3.2744320323339084,2025051500128,180,60811.0449378077,i,150.82790436342157,3.2744299919978217,32.0692138671875,16243.1,503.985,False,15187.3,3.56788,16297.0,504.291,False,-55.7475,9.45047,20.873327731025327,0.03368782796448921,20.946298584461736,0.0002550668287332429,20.86973083613085,0.03359679574549123,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262192854564958,10.675179,5.422098,5.212747,150.82792479312715,3.2744396329387686,2025051500129,180,60811.04541385244,i,150.82792499701333,3.2744368899968306,41.465091705322266,15903.4,378.79,False,15397.4,0.728843,15845.0,377.48,False,-57.6698,9.01577,20.89627501734425,0.025860257314549082,20.931381491952337,5.139381870080948e-05,20.9002693911842,0.025865807163165215,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262192989306918,10.675189,5.422098,5.2127547,150.82795404295533,3.2744472490796404,2025051500130,181,60811.04589065211,i,150.8279510253646,3.2744477511266736,35.94149398803711,16162.2,442.264,False,15733.0,1.9492,16233.3,441.367,False,-50.288,9.91101,20.878748795221494,0.029710190399550775,20.907971143343307,0.00013451452662449962,20.87398297626579,0.029520069364973325,nan,nan
2008 TN49,312480,Not a NEA or MBO,Not a NEA or MBO,21163641742309710,745262193123000410,10.6752,5.422098,5.2127624,150.82798304980625,3.274454800923045,2025051500131,180,60811.046363020694,i,150.82799166586548,3.274444488210001,40.14552688598633,15717.5,384.2,False,14646.8,0.458641,15770.4,382.233,False,-48.6862,9.77315,20.909041327444438,0.026539835414136414,20.985643136053962,3.3998084041379604e-05,20.90539320085155,0.0263153882164924,nan,nan
