provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2004 RP249,nan,MBO,MBO,21163624530655568,745200689673666822,18.676481,2.3123698,1.5068822,268.96869731214326,-23.768310495218355,2025050100647,76,60797.28074399984,g,268.968721455569,-23.768311686843447,12.258186340332031,2242.21,183.019,False,2310.69,2.89907,5389.32,185.848,False,3309.8,4.3477,23.02330930606185,0.08862254421847846,22.990645815413373,0.0013622014919936081,22.071165107083456,0.03744107170903946,22.60049560492139,0.0014262056187717466
2004 RP249,nan,MBO,MBO,21163624530655568,745200690076319843,18.676065,2.3123658,1.5068649,268.9686783778096,-23.76830286460111,2025050100650,76,60797.28220231854,g,268.9687064203192,-23.768278610796244,11.803633689880371,2106.39,176.377,False,2137.06,4.87097,5320.56,176.255,False,3326.84,4.562,23.091153094601246,0.09091331764767123,23.075458181312634,0.002474702670542082,22.08510662529867,0.03596734891884098,22.594920184945295,0.0014888387225531162
2004 RP249,nan,MBO,MBO,21163624530655568,745200690343182571,18.675781,2.3123631,1.5068531,268.96866537070804,-23.76829760979956,2025050100652,73,60797.28320126145,g,268.96870332846754,-23.76827777802719,13.505696296691895,2406.84,173.061,False,2326.18,5.81477,5540.41,174.15,False,3315.17,5.56489,22.946381908975653,0.0780685843290472,22.983391738317778,0.002714023307563973,22.041145208213894,0.03412760934648905,22.598735516382263,0.0018225317527659096
2004 RP249,nan,MBO,MBO,21163624530655568,745200690745835592,18.675356,2.312359,1.5068356,268.9686459208777,-23.76828973228839,2025050100655,73,60797.284691791996,g,268.968659956289,-23.768276071467643,13.815145492553711,2078.65,147.692,False,2085.54,2.03208,4707.76,146.297,False,2669.06,6.47073,23.10554662694031,0.0771436078919447,23.10195366993139,0.0010579047705380025,22.217964267675477,0.03374002801214406,22.834104134262596,0.0026322021577289355
2004 RP249,nan,MBO,MBO,21163624530655568,745200691014271040,18.675068,2.3123565,1.5068237,268.96863267716924,-23.7682843545424,2025050100657,73,60797.28570343807,g,268.9686501125195,-23.768268857159935,14.223033905029297,2439.46,170.931,False,2437.6,0.858246,5266.42,169.572,False,2941.56,5.39241,22.93176576401313,0.07607666365596655,22.932593853466194,0.00038227303426227046,22.096211287646533,0.03495932136133968,22.72855570020767,0.0019903501664901542
2004 RP249,nan,MBO,MBO,21163624530655568,745200691395952876,18.674643,2.3123524,1.506806,268.96861312962466,-23.76827639629087,2025050100660,33,60797.28719301775,g,268.96861161250735,-23.76829136753303,14.620193481445312,2193.6,147.601,False,2085.64,1.22394,4368.65,147.15,False,2255.89,7.34919,23.047106358050826,0.07305604493572693,23.101901687241174,0.0006371550483340756,22.29913189416132,0.0365710412769944,23.016705253978735,0.00353708837483425
2004 RP249,nan,MBO,MBO,21163624530655568,745200692066517097,18.67393,2.3123455,1.5067766,268.9685801656721,-23.76826291879986,2025050100665,32,60797.28969674934,g,268.96857602328,-23.76825748961853,13.793364524841309,2411.97,173.326,False,2363.96,4.22924,4965.24,174.108,False,2433.9,5.08774,22.94407025878319,0.07802183281110321,22.96589970874426,0.0019424351503586938,22.1601493352229,0.038071745186631326,22.9342432168196,0.00226958530742075
2004 RP249,nan,MBO,MBO,21163624530655568,745200692361166877,18.673634,2.312343,1.5067643,268.9685664764309,-23.768257300426917,2025050100667,82,60797.29073289838,g,268.9685719781805,-23.768249220842705,14.923713684082031,2144.18,144.631,False,2023.3,0.452678,4525.2,145.538,False,2326.15,6.0042,23.07184693266295,0.0732359757381667,23.13484926997902,0.0002429144844419493,22.260905507005347,0.03491908928915645,22.983405754475697,0.002802475151820627
2004 RP249,nan,MBO,MBO,21163624530655568,745200692742848693,18.6732,2.3123386,1.5067464,268.96854635824343,-23.768249020218967,2025050100670,42,60797.292251945415,g,268.96854048469396,-23.768236132807967,12.274883270263672,2098.19,168.961,False,2246.58,6.17057,4545.99,169.474,False,2491.25,4.39043,23.095387998208004,0.08743110891988853,23.021195241511144,0.0029821376972358603,22.255928753886618,0.04047612225682388,22.90895672072864,0.0019134365386032273
2004 RP249,nan,MBO,MBO,21163624530655568,745200693006041211,18.672909,2.312336,1.5067344,268.968532844912,-23.76824344270064,2025050100672,32,60797.2932699156,g,268.96854270146247,-23.768216414221474,10.497979164123535,2178.82,206.813,False,2409.24,6.7608,4850.48,208.429,False,2792.45,3.94444,23.054446583109893,0.10305778288854792,22.945299841802395,0.003046788712540701,22.18553820887841,0.04665495234709035,22.78503650490838,0.0015336429546739033
2004 RP249,nan,MBO,MBO,21163624530655568,745200693406597386,18.672476,2.312332,1.5067165,268.96851258316764,-23.76823505582669,2025050100675,28,60797.29479243902,g,268.96854081324125,-23.768222809740866,11.406778335571289,1936.54,167.033,False,1877.38,2.80843,4224.06,165.776,False,2312.38,4.82339,23.182433798251495,0.09364835066672317,23.216119529794376,0.0016241858730248733,22.335674788845157,0.04261042779779837,22.989852043863223,0.002264735651444768
2004 RP249,nan,MBO,MBO,21163624530655568,745200693700198502,18.672165,2.3123288,1.5067036,268.9684980496276,-23.76822902205936,2025050100677,76,60797.29588233264,g,268.96854690117857,-23.768241766272205,8.260231971740723,2167.01,257.609,False,2398.11,6.05808,5665.97,265.626,False,3245.18,3.06311,23.06034770649979,0.12906974414224834,22.950327201187243,0.0027427752296202484,22.016814282076457,0.05090033337214308,22.621903045963155,0.001024821310083653
2004 RP249,nan,MBO,MBO,21163624530655568,745200694101278937,18.67174,2.312325,1.5066861,268.96847816673346,-23.76822074283409,2025050100680,73,60797.29737012891,g,268.96849579470233,-23.768233951400788,12.794098854064941,1839.68,141.036,False,1805.88,1.23011,3178.59,140.85,False,1356.08,7.58427,23.238144250886357,0.08323615085217972,23.258277776457987,0.0007395701888796023,22.644413688113033,0.04811125273736542,23.569286758013043,0.006072294254768758
2004 RP249,nan,MBO,MBO,21163624530655568,745200694369714263,18.671444,2.3123221,1.5066739,268.9684643084854,-23.768214955256028,2025050100682,73,60797.29840548485,g,268.96851902591413,-23.7682509804768,9.96036434173584,1770.9,177.608,False,1953.72,0.75849,3989.78,178.101,False,2207.18,4.15662,23.27951489017963,0.10889120506618745,23.172844210414173,0.00042151387840739347,22.397627619615214,0.04846650695792643,23.04040565312509,0.0020446873345299783
2004 RP249,nan,MBO,MBO,21163624530655568,745200694751920324,18.671019,2.312318,1.5066564,268.9684443448191,-23.768206593015243,2025050100685,34,60797.29989384275,g,268.9684883252937,-23.76819768066072,14.068819999694824,2168.71,152.067,False,2138.96,0.141388,3816.65,151.011,False,1634.86,5.47745,23.059496314509218,0.07613035024539658,23.07449336221149,7.17685568214404e-05,22.4457941891065,0.04295864591588964,23.36629858945573,0.003637660541512834
2004 RP249,nan,MBO,MBO,21163624530655568,745200695020355747,18.670717,2.3123152,1.5066439,268.96843008182475,-23.768200600447617,2025050100687,34,60797.3009545994,g,268.96841288807775,-23.768164619130214,14.17618465423584,2254.72,158.897,False,2348.54,0.763828,3515.89,159.447,False,1262.72,4.96328,23.017268471194768,0.07651514663241878,22.97300507838069,0.00035311967342556395,22.534911835556034,0.04923856909309248,23.646732377100406,0.004267623173441143
2004 RP249,nan,MBO,MBO,21163624530655568,745200695690395818,18.669973,2.3123083,1.5066133,268.9683950340791,-23.76818580981731,2025050100692,32,60797.30355416398,g,268.9683997889509,-23.768179462122166,15.359045028686523,2213.62,142.831,False,2155.97,1.17517,3126.65,141.763,False,885.715,5.4186,23.037242267546528,0.07005573348644839,23.06589323121876,0.0005918099848843827,22.662301862284693,0.04922752048762938,24.0317649677764,0.0066422834773969845
2004 RP249,nan,MBO,MBO,21163624530655568,745200696091476243,18.669537,2.312304,1.5065953,268.9683743481478,-23.768177035767337,2025050100695,29,60797.30508495514,g,268.96835851217867,-23.7681601878827,14.035467147827148,1911.21,135.699,False,1912.65,0.306094,2491.67,135.58,False,615.955,8.11325,23.196728999437674,0.07708903041909695,23.195911224135457,0.00017375752157024898,22.90877372586174,0.059078498053376734,24.426127507506912,0.014301123911045667
2004 RP249,nan,MBO,MBO,21163624530655568,745200696367251687,18.669218,2.3123012,1.5065821,268.9683592046279,-23.768170591387864,2025050100697,43,60797.306202946434,g,268.96838550650983,-23.768185102706788,15.802084922790527,1930.65,120.03,False,1919.86,0.445723,2576.9,119.345,False,642.791,9.32725,23.185741112859954,0.067501055957207,23.191826107676654,0.0002520692128766444,22.872256127375223,0.05028413737156305,24.37982550514414,0.015754626707727096
2004 RP249,nan,MBO,MBO,21163624530655568,745200696769904685,18.668774,2.3122969,1.5065638,268.9683380901632,-23.768161575811664,2025050100700,43,60797.30775836383,g,268.9683654003368,-23.76812457110047,13.529951095581055,2045.95,152.281,False,2114.82,1.87191,3366.83,152.085,False,1248.09,5.27968,23.122762485938598,0.08081185038950092,23.08681644264057,0.0009610275897248494,22.581947004095753,0.04904441096180507,23.65938527090664,0.004592889646170334
2004 RP249,nan,MBO,MBO,21163624530655568,745200697433653347,18.66802,2.3122897,1.5065328,268.9683022500768,-23.768146190745068,2025050100705,29,60797.31039287135,g,268.9683122894019,-23.76815456745773,13.960280418395996,2062.24,144.357,False,1926.32,2.87955,2654.41,143.835,False,567.779,6.31532,23.11415198927812,0.07600163716196069,23.188178945977967,0.001623007472303355,22.840080023930717,0.05883299093649533,24.514551701936,0.012076479906993755
