provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2005 UL171,nan,MBO,MBO,21163628875493708,745174275414559649,17.4535,2.7580922,2.0580766,271.3394516151259,-25.103546627965045,2025042500453,187,60791.279216819836,i,271.33941593168674,-25.103537502325107,5.84324312210083,3572.57,617.017,False,3182.85,4.96458,9225.15,300.539,False,6752.5,168.508,22.517548111728473,0.18751702956449642,22.642959537042948,0.001693521261180874,21.487566362844696,0.035371355589372704,21.826338517851276,0.02709444377935301
2005 UL171,nan,MBO,MBO,21163628875493708,745174276080403097,17.45296,2.7580893,2.0580437,271.33946352471787,-25.103586205214725,2025042500458,177,60791.28187701356,i,271.3394474464394,-25.103598826910034,5.3926801681518555,3300.79,605.31,False,nan,nan,15306.3,282.871,False,12975.6,142.261,22.603455249895678,0.1991059630191086,nan,nan,20.937824460979392,0.020065155673204067,21.117181410090666,0.01190372118421941
2005 UL171,nan,MBO,MBO,21163628875493708,745174276747297244,17.452421,2.7580862,2.058011,271.3394751677513,-25.10362542165487,2025042500463,169,60791.284521776055,i,271.3394858206664,-25.103556663201566,5.396162509918213,2484.67,470.893,False,2980.46,27.5812,10464.6,223.567,False,7242.43,131.761,22.9118282433122,0.2057680096650205,22.714291770109412,0.010047411278392282,21.350693459346584,0.023195802668799465,21.75028920783521,0.019752719229036146
2005 UL171,nan,MBO,MBO,21163628875493708,745200689988763834,16.15005,2.7513137,1.9869051,271.2782146847011,-25.18695272972405,2025050100649,165,60797.281717596794,g,271.27821755918035,-25.18689929947403,9.44105339050293,1748.93,183.543,False,1956.28,5.0982,1788.1,179.538,False,172.727,5.79849,23.293068898108356,0.11394353880068962,23.171422446373903,0.0028295029685007763,23.269020506871133,0.10901566092204962,25.806599393375215,0.0364484440477239
2005 UL171,nan,MBO,MBO,21163628875493708,745200690658279584,16.149452,2.7513108,1.9868768,271.27812046837107,-25.18698984427425,2025050100654,162,60797.28417959226,g,271.27811616213086,-25.18699851969469,10.944032669067383,1778.94,164.637,False,2046.4,2.17632,1803.36,164.999,False,168.068,7.16455,23.27459678459084,0.1004825065901371,23.122523669210448,0.0011546664735403004,23.25979392772185,0.09933977786851321,25.836287464107166,0.04628371525207129
2005 UL171,nan,MBO,MBO,21163628875493708,745200690800886120,16.149326,2.7513103,1.986871,271.2781008574591,-25.18699754982525,2025050100655,178,60797.284691791996,g,271.2780815705394,-25.187019540389265,10.767074584960938,1675.62,156.951,False,1664.16,3.02134,1788.53,156.895,False,143.204,7.06933,23.339561164646035,0.10169811051626214,23.347012280120424,0.00197119149703499,23.268759409197866,0.09524390627719044,26.01011216746378,0.05359786067180758
2005 UL171,nan,MBO,MBO,21163628875493708,745200691309969748,16.148836,2.751308,1.9868478,271.2780233517162,-25.18702793738617,2025050100659,125,60797.28671342708,g,271.2779713018575,-25.187018770331278,11.840941429138184,1686.27,140.689,False,1819.33,6.47689,1818.48,143.24,False,139.456,6.8296,23.33268220327735,0.09058521713936674,23.250221323948395,0.0038652659120082013,23.25072868925868,0.08552244820071811,26.03890703884439,0.05317192638991221
2005 UL171,nan,MBO,MBO,21163628875493708,745200691471450416,16.14872,2.7513075,1.9868422,271.2780049393052,-25.18703514086948,2025050100660,177,60797.28719301775,g,271.2779935745863,-25.187016567340738,10.778987884521484,1685.34,154.82,False,1576.78,3.25151,1667.77,151.328,False,127.456,7.44185,23.333281200798616,0.09973874148946923,23.405572223123364,0.0022389185290556837,23.344659593680248,0.09851615609488258,26.136599277258405,0.06339353263412204
2005 UL171,nan,MBO,MBO,21163628875493708,745200691740934200,16.148474,2.7513063,1.9868306,271.2779662183282,-25.187050270427,2025050100662,179,60797.28820217203,g,271.2779266390383,-25.18705938412866,10.402297973632812,1644.84,156.383,False,1664.44,1.96822,1775.11,154.23,False,128.686,7.28627,23.359690875504057,0.10322626131759334,23.346829677577137,0.0012838959549578556,23.276936832506077,0.09433392387115466,26.126171706528854,0.06147496235194799
2005 UL171,nan,MBO,MBO,21163628875493708,745200691983155456,16.148233,2.751305,1.9868193,271.2779283969634,-25.187065023392183,2025050100664,129,60797.28918785686,g,271.27788339360006,-25.18704548723371,9.099961280822754,1548.08,171.121,False,1546.97,1.10687,1911.96,171.037,False,200.608,5.40591,23.425516531005236,0.1200146457251226,23.426295291518397,0.0007768534074036352,23.196303016716186,0.09712602242225817,25.644129370353426,0.02925801649517405
2005 UL171,nan,MBO,MBO,21163628875493708,745200692141490470,16.148111,2.7513046,1.9868134,271.2779088445242,-25.187072640521507,2025050100665,175,60797.28969674934,g,271.27782624900374,-25.187034410623188,6.812102794647217,1154.39,170.569,False,1080.3,6.79035,1380.5,171.893,False,171.593,5.65199,23.74411859624915,0.16042493145686215,23.816139010698798,0.006824519542420271,23.549908972561795,0.13519048118513588,25.81375106738473,0.03576235639215189
2005 UL171,nan,MBO,MBO,21163628875493708,745200692493287669,16.147734,2.751303,1.9867957,271.2778493850824,-25.187095764032957,2025050100668,78,60797.29124312107,g,271.2777897321298,-25.187092216935053,10.170044898986816,1703.6,166.267,False,1797.67,3.19957,1818.29,164.329,False,125.315,6.37504,23.32158093705526,0.10596507530409231,23.26322504630668,0.001932439679812068,23.25084210102826,0.09812402601327296,26.15499233274023,0.05523370433636791
2005 UL171,nan,MBO,MBO,21163628875493708,745200692656341423,16.147612,2.7513022,1.9867898,271.27782984894725,-25.18710334834161,2025050100669,133,60797.291751934696,g,271.2778201830155,-25.187049251966677,8.835620880126953,1401.21,156.175,False,1389.81,0.876925,1659.9,151.039,False,142.882,6.23132,23.533741960064397,0.12101316706174066,23.5426113737195,0.000685064269292333,23.349795171696286,0.09879421037949815,26.01255616961464,0.047350747080629314
2005 UL171,nan,MBO,MBO,21163628875493708,745200693082063028,16.147242,2.7513006,1.9867724,271.2777714394573,-25.18712598529828,2025050100672,177,60797.2932699156,g,271.27764215288,-25.187097912243154,6.988973617553711,1527.31,215.571,False,1855.57,5.51479,1906.54,209.252,False,192.958,4.38041,23.440181970117454,0.15324539843839105,23.22880667535102,0.0032268291689747353,23.199385174295585,0.11916480455188326,25.68634306929167,0.02464769599230018
2005 UL171,nan,MBO,MBO,21163628875493708,745200693481046032,16.146872,2.751299,1.986755,271.2777127903784,-25.187148657001185,2025050100675,170,60797.29479243902,g,271.2777618011097,-25.18716790503156,10.51751708984375,1882.36,181.514,False,1742.08,0.884559,1794.29,175.093,False,127.383,6.47884,23.213243294591933,0.10469640834980964,23.297329790260527,0.0005512937002802969,23.26526838457987,0.1059498786033668,26.137221290554105,0.05522173946043145
2005 UL171,nan,MBO,MBO,21163628875493708,745200694015295529,16.146362,2.7512965,1.986731,271.27763223163385,-25.187179704060163,2025050100679,165,60797.29688292678,g,271.2776439317196,-25.187165654919102,10.417197227478027,1661.35,156.18,False,1579.82,0.956175,1500.89,148.256,False,71.3192,7.12381,23.3488471764641,0.10206776115739843,23.403481018039567,0.000657134282809353,23.45912782932084,0.10724763415249267,26.766983863752426,0.10845015623117557
2005 UL171,nan,MBO,MBO,21163628875493708,745200694827417905,16.14563,2.751293,1.9866965,271.2775160251059,-25.187224299649102,2025050100685,178,60797.29989384275,g,271.2774619466313,-25.187236531168118,9.78467845916748,1624.75,163.602,False,1633.28,11.9527,1787.41,162.02,False,91.7004,6.99714,23.373033635902225,0.10932673950135217,23.36734837044213,0.007945654470783827,23.269439520869796,0.09841669296346435,26.494071909334593,0.08284640028110027
2005 UL171,nan,MBO,MBO,21163628875493708,745200695336501523,16.14512,2.7512906,1.9866725,271.27743507126365,-25.187255235490237,2025050100689,125,60797.30198891531,g,271.27740765647144,-25.187229083390175,10.423933029174805,1293.71,122.28,False,1440.68,3.70499,1320.59,121.518,False,77.5837,26.8783,23.620407694954974,0.10262255513303295,23.50358114153861,0.0027921825344395246,23.598080017327035,0.09990723320082498,26.67557375216699,0.37614527711006207
2005 UL171,nan,MBO,MBO,21163628875493708,745200695766941754,16.14474,2.751289,1.9866545,271.2773745072702,-25.18727830985232,2025050100692,178,60797.30355416398,g,271.27735992399147,-25.187262231084844,11.077301025390625,1716.79,151.793,False,1984.1,9.16303,1743.15,148.473,False,90.461,6.9576,23.313207037945453,0.09599726884694137,23.15609112058643,0.005014179316155982,23.296663084188125,0.09247770822415197,26.508846556732962,0.08350690869311013
2005 UL171,nan,MBO,MBO,21163628875493708,745200696009687248,16.144487,2.7512877,1.9866426,271.27733437838594,-25.187293566016518,2025050100694,129,60797.30459107594,g,271.27728601613865,-25.18728967799484,10.67402172088623,1458.98,135.535,False,1470.41,0.375093,1546.63,128.661,False,81.6562,9.29326,23.489876668195777,0.10086174070784636,23.481403855730736,0.00027696496552093484,23.426533921725206,0.09032018032466159,26.62002713158739,0.12356721046552371
2005 UL171,nan,MBO,MBO,21163628875493708,745200696167498061,16.144367,2.7512872,1.986637,271.2773152942137,-25.187300812349665,2025050100695,174,60797.30508495514,g,271.2772587861402,-25.187303327904154,9.705668449401855,1411.69,142.203,False,1342.75,2.38769,1445.47,138.861,False,79.3007,7.59879,23.52565169929236,0.10936888064264881,23.580012097381157,0.001930665836380186,23.499977315661955,0.10430269045183899,26.65180748429776,0.1040379451469413
2005 UL171,nan,MBO,MBO,21163628875493708,745200696519819367,16.14396,2.7512853,1.9866178,271.2772506175524,-25.187325327067377,2025050100698,78,60797.30675439897,g,271.2771814659278,-25.187326760909343,9.730311393737793,1316.33,137.249,False,1314.21,0.919519,1330.6,137.036,False,63.6229,11.9935,23.601588088103583,0.11320581135020556,23.603338113591583,0.0007596617791380781,23.589881222146182,0.11181793505285378,26.890966380316367,0.2046712315094075
