provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2008 YE67,nan,MBO,MBO,21163641826326341,745174274980970928,15.543853,3.0316489,2.3268948,269.75042313117115,-23.801321995900626,2025042500450,128,60791.277617615146,i,269.7504123547706,-23.801313515576474,11.43152904510498,3737.14,324.25,False,3758.52,5.96135,2298.95,300.414,False,-720.399,23.6942,22.468651612187777,0.09420304685194865,22.462457830420597,0.0017220750326373414,22.99617620837147,0.141877972437103,nan,nan
2008 YE67,nan,MBO,MBO,21163641826326341,745174275362652954,15.54353,3.0316486,2.3268762,269.75038440095943,-23.801361058765632,2025042500453,88,60791.279216819836,i,269.7504054833812,-23.801356353219685,15.613757133483887,4059.39,255.003,False,4357.08,6.90295,3404.95,236.56,False,-538.698,18.6577,22.37884808489771,0.06820384423344242,22.302011145393443,0.0017201388071804715,22.569723168327787,0.07543187348714574,nan,nan
2008 YE67,nan,MBO,MBO,21163641826326341,745174276030072043,15.5429945,3.0316482,2.3268452,269.7503198139019,-23.801425992540803,2025042500458,81,60791.28187701356,i,269.75036702517815,-23.801412264524593,12.014470100402832,4247.97,344.479,False,4243.88,20.687,3044.01,315.871,False,-866.795,24.5005,22.329546342560317,0.08804518567788258,22.330592291762954,0.005292474289152758,22.691384809468815,0.11266473566728243,nan,nan
2008 YE67,nan,MBO,MBO,21163641826326341,745174276300603415,15.542783,3.0316482,2.326833,269.75029433209124,-23.801451540600365,2025042500460,85,60791.28292506441,i,269.7503115346472,-23.801441989182223,15.241990089416504,4239.62,276.343,False,4267.65,1.49515,3357.05,248.564,False,-613.911,15.1251,22.331682639414637,0.0707694504906921,22.324528038088815,0.0003803822926383488,22.585105459981058,0.08039049911017362,nan,nan
2008 YE67,nan,MBO,MBO,21163641826326341,745174276681237346,15.54246,3.031648,2.3268144,269.7502554777753,-23.80149042018256,2025042500463,43,60791.284521776055,i,269.75025336643074,-23.801466631867353,14.44492244720459,4369.37,295.319,False,4523.47,7.55778,3158.39,274.717,False,-747.544,25.3195,22.298952914637105,0.07338323875488688,22.26132066246271,0.0018140398310898251,22.651335647073832,0.09443742365739942,nan,nan
2008 YE67,nan,MBO,MBO,21163641826326341,745200689699880995,14.259643,3.030787,2.2603018,269.524007448102,-23.94527189132741,2025050100647,126,60797.28074399984,g,269.52402352518,-23.945257162965525,14.464988708496094,2328.47,161.247,False,2485.46,10.3963,2335.39,162.179,False,-30.9462,4.67831,22.98232339652055,0.07518744133148351,22.91148307164032,0.0045414691147173504,22.97910150930807,0.075397951082522,nan,nan
2008 YE67,nan,MBO,MBO,21163641826326341,745200690082087110,14.259296,3.0307868,2.2602863,269.52391583853444,-23.94530871201198,2025050100650,87,60797.28220231854,g,269.5239386313462,-23.94531253934845,15.325440406799316,2491.76,162.102,False,2417.38,2.77241,2489.21,161.583,False,-25.0418,5.08559,22.908734471097123,0.07063281175069477,22.941637740917713,0.0012451935426247942,22.9098461744781,0.07047878959260363,nan,nan
2008 YE67,nan,MBO,MBO,21163641826326341,745200690350522429,14.25906,3.0307868,2.2602756,269.523853045158,-23.945333923655213,2025050100652,87,60797.28320126145,g,269.5238806008128,-23.945331657741317,13.690645217895508,2084.28,151.522,False,2018.75,7.63482,2060.76,151.17,False,-18.6499,5.48576,23.102609831703408,0.07893033678339244,23.137293650812055,0.004106204569121041,23.11493145493239,0.07964573230626258,nan,nan
2008 YE67,nan,MBO,MBO,21163641826326341,745200691419021365,14.258115,3.030786,2.260233,269.5236019345764,-23.945434527875264,2025050100660,77,60797.28719301775,g,269.52361791984436,-23.945434870412516,13.84501838684082,1924.71,137.725,False,1861.18,0.944948,2027.46,137.867,False,21.3775,7.50847,23.18908676519998,0.0776911994336465,23.225529026132563,0.0005512439660386799,23.132619284118284,0.07382991575501947,28.07510768511029,0.3813456943576838
2008 YE67,nan,MBO,MBO,21163641826326341,745200691690078364,14.257875,3.0307858,2.2602222,269.5235384184914,-23.94545992018615,2025050100662,82,60797.28820217203,g,269.5235469246446,-23.945452718534554,17.202072143554688,2315.14,133.8,False,2273.89,0.771495,2349.81,133.3,False,13.0551,6.28847,22.988556903905405,0.06274847924989459,23.008076421903773,0.000368373173799057,22.97241810372331,0.061591633280468565,28.610549456328915,0.5229848177676824
