provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2011 WT54,nan,MBO,MBO,21164711239562324,745174274936406783,16.789143,2.8133638,2.0998871,269.7750888435884,-22.845608492596543,2025042500450,43,60791.277617615146,i,269.77503948112286,-22.8456312906983,7.2352776527404785,2219.04,297.66,False,2167.08,17.8094,926.447,244.481,False,-1362.68,37.8392,23.034587153853252,0.14563966264481046,23.060312600743774,0.008922748709915005,23.98294852649369,0.28651597983283134,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745174275337487578,16.7888,2.8133626,2.0998676,269.7750446501301,-22.845621136684574,2025042500453,40,60791.279216819836,i,269.77498045603295,-22.845606287696935,7.36242151260376,2418.15,327.35,False,2365.32,7.92369,448.433,279.165,False,-1717.72,50.1507,22.941291951261704,0.1469783791773624,22.965275208650436,0.0036371555173690157,24.770756054678827,0.6759082125376255,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745174276007526881,16.788225,2.8133607,2.0998354,269.7749709579471,-22.84564209988998,2025042500458,38,60791.28187701356,i,269.77487930931,-22.84575332570646,5.511445045471191,2260.13,365.794,False,2790.47,35.2598,-428.476,309.236,False,-2209.83,33.1621,23.01466650637049,0.17572255435203385,22.785806616821088,0.013719137560364702,nan,nan,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745174276279632944,16.788,2.8133597,2.0998228,269.7749418856896,-22.84565032886472,2025042500460,45,60791.28292506441,i,269.7749389861862,-22.845677801247145,6.103403091430664,2300.31,370.706,False,2264.33,16.2697,371.155,300.122,False,-1979.35,46.6119,22.99553405380304,0.17497159442724897,23.012650661179137,0.007801248378245768,24.976111714798005,0.8779440729314609,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745200689654792403,15.413136,2.8085618,2.0303562,269.5200166807482,-22.88862620807726,2025050100647,40,60797.28074399984,g,269.52000694124104,-22.88862060110563,7.253835678100586,1189.12,163.68,False,1353.25,11.7585,697.332,160.609,False,-212.372,4.22408,23.711935795354517,0.1494494203885013,23.57155491059225,0.00943405081938599,24.29140105866557,0.2500659750790673,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745200690057445483,15.412764,2.8085606,2.03034,269.51991428430694,-22.888638292522717,2025050100650,40,60797.28220231854,g,269.5198689996725,-22.888684349103244,7.712427139282227,1236.29,160.37,False,1175.19,13.6922,969.953,156.505,False,-180.787,4.64382,23.669699074761283,0.14084034033603693,23.72472983595306,0.01264996952485269,23.93312327016627,0.17518699309541205,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745200690324308257,15.412508,2.80856,2.0303288,269.5198440973919,-22.888646554013224,2025050100652,37,60797.28320126145,g,269.51984570098665,-22.88861752758393,7.785795211791992,1194.93,149.559,False,1181.96,1.20852,1062.69,148.284,False,-146.367,4.84645,23.706643789459967,0.13589216102844948,23.718493087482983,0.0011101340325018812,23.833983575236125,0.15149979067487498,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745200690726961336,15.412128,2.8085587,2.030312,269.5197393749636,-22.88865884778918,2025050100655,37,60797.284691791996,g,269.51972868539855,-22.888644456081924,7.4798665046691895,951.026,127.561,False,1088.32,3.63384,841.479,125.933,False,-91.3339,6.37543,23.954519023307668,0.14562965957376497,23.808108527951852,0.003625213114062183,24.087391789539513,0.1624877333613674,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745200690995396828,15.41187,2.8085577,2.0303009,269.5196682216924,-22.88866717837476,2025050100657,37,60797.28570343807,g,269.51966879076474,-22.888636662865764,7.875755786895752,1194.53,150.647,False,1279.0,13.1264,859.71,148.092,False,-142.117,5.28502,23.707007320113846,0.13692657486427068,23.632823638803366,0.011142930188827444,24.064120026233187,0.18702683085767816,nan,nan
2011 WT54,nan,MBO,MBO,21164711239562324,745200691654951090,15.411232,2.8085558,2.0302727,269.5194924286134,-22.8886876826338,2025050100662,15,60797.28820217203,g,269.5194675575989,-22.888659954909308,8.733260154724121,1220.63,138.406,False,1246.77,2.27471,1140.03,138.095,False,-118.78,6.26593,23.683539896625945,0.12311053383610394,23.660534123841476,0.001980906581361887,23.757709272127755,0.13151823957997774,nan,nan
