provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2012 TK378,nan,MBO,MBO,21164715487148107,745174274961572304,18.090637,2.6361058,1.9204372,270.4029178426758,-23.16742843369452,2025042500450,91,60791.277617615146,i,270.40302544968847,-23.167444163353398,21.680377960205078,5307.84,240.593,False,5151.6,0.740007,4803.45,231.061,False,-104.725,33.6869,22.08770547451569,0.049214094795484026,22.120144643100595,0.00015596171253406732,22.196116769829075,0.05222731329426662,nan,nan
2012 TK378,nan,MBO,MBO,21164715487148107,745174275200123887,18.090403,2.6361055,1.9204254,270.40293619472743,-23.16740774565723,2025042500452,34,60791.27868052027,i,270.40305636012715,-23.167405978618845,13.56155776977539,5148.96,373.516,False,5006.17,5.5856,2711.23,340.725,False,36.1289,19.3926,22.12070121324193,0.07876150480688437,22.151236033603226,0.0012114027551192864,22.817084104414455,0.13644636480785088,27.505363193940738,0.5827813123967378
2012 TK378,nan,MBO,MBO,21164715487148107,745174275364225326,18.090284,2.6361053,1.9204195,270.4029454361911,-23.167397307384537,2025042500453,91,60791.279216819836,i,270.4030666526409,-23.167383574708467,17.99880027770996,5082.56,281.05,False,4963.91,1.65571,4154.93,268.889,False,-97.6705,14.461,22.134793701935457,0.06003788318796271,22.160440218919348,0.0003621468188107205,22.353590675504552,0.07026412436005777,nan,nan
2012 TK378,nan,MBO,MBO,21164715487148107,745174275612214487,18.09005,2.6361048,1.9204077,270.4029637054131,-23.1673766318539,2025042500455,52,60791.28027748602,i,270.4030700087731,-23.167385133147093,16.258955001831055,4722.03,290.031,False,5786.25,4.1581,3511.24,258.883,False,-121.685,20.3802,22.214678194621307,0.06668682280527394,21.994007015522833,0.0007802289655939068,22.536348714664356,0.08005110499619685,nan,nan
2012 TK378,nan,MBO,MBO,21164715487148107,745174276014867322,18.089695,2.6361043,1.92039,270.40299119582386,-23.167345419593538,2025042500458,52,60791.28187701356,i,270.4031024800249,-23.167366348560783,15.227197647094727,6111.14,399.148,False,5465.78,5.37143,9356.0,324.295,False,-66.4512,31.282,21.934694393013537,0.07091466340068645,22.055869674756064,0.0010669943109520516,21.47227446715721,0.037633479809856235,nan,nan
2012 TK378,nan,MBO,MBO,21164715487148107,745174276304273712,18.089464,2.636104,1.9203783,270.40300916353584,-23.167324953762343,2025042500460,92,60791.28292506441,i,270.40311856291015,-23.16732905329392,16.755653381347656,5068.94,300.389,False,4771.52,0.997046,5515.83,292.755,False,-119.239,18.0358,22.137707136051958,0.06434150429840194,22.20335812423573,0.00022687297315152218,22.045972803153695,0.05762590642267592,nan,nan
2012 TK378,nan,MBO,MBO,21164715487148107,745174276526572175,18.089228,2.6361036,1.9203665,270.4030274260606,-23.16730409909942,2025042500462,4,60791.28399201683,i,270.4031723607904,-23.16732709218863,12.888792037963867,4795.03,371.543,False,5152.62,5.39468,3142.26,354.208,False,-95.9304,10.4754,22.19802172697426,0.08412829617409512,22.1199296880404,0.0011367419450793012,22.656894704084763,0.12238849010014496,nan,nan
2012 TK378,nan,MBO,MBO,21164715487148107,745174276686480825,18.08911,2.6361034,1.9203607,270.4030364688223,-23.167293753054995,2025042500463,53,60791.284521776055,i,270.40312538921563,-23.16728308341034,17.150245666503906,5479.83,319.966,False,5527.59,4.86868,4829.22,291.883,False,-154.306,28.7886,22.053082270429957,0.0633958844069704,22.043660474506424,0.0009563122979701726,22.190307475259296,0.06562300367003847,nan,nan
2012 TK378,nan,MBO,MBO,21164715487148107,745200689661084300,16.681467,2.6341712,1.8569548,270.41871743779376,-23.039888674537853,2025050100647,52,60797.28074399984,g,270.4188488296323,-23.03991255973786,19.338382720947266,3309.44,170.022,False,3127.89,1.88068,2667.94,166.613,False,-2337.65,6.47778,22.600613739833104,0.0557795420734805,22.661871358249932,0.0006528114472410654,22.834559877864578,0.06780428998149372,nan,nan
2012 TK378,nan,MBO,MBO,21164715487148107,745200690063737237,16.681087,2.6341708,1.8569399,270.41867948424573,-23.03985826795505,2025050100650,52,60797.28220231854,g,270.418800183804,-23.039858999677158,18.774751663208008,3514.59,185.927,False,3350.92,2.81969,367.466,154.727,False,-1961.94,6.56458,22.535313300328944,0.05743704739797964,22.587089876325987,0.0009136116585071985,24.986957085061288,0.4571653149543544,nan,nan
