provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2014 BF84,nan,MBO,MBO,21164723772339270,745315082086908443,17.551218,2.2376971,1.3774382,289.8702679209722,-20.1192471710516,2025052700969,49,60823.34510192819,r,289.8701518025008,-20.119242974692796,18.925395965576172,4363.55,229.216,False,4123.56,2.61794,4091.08,224.141,False,-269.412,5.60664,22.30040015679585,0.05703340737706436,22.361819189167846,0.000689305392467107,22.370405049025123,0.0594850262150436,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315082252059323,17.55102,2.2376976,1.3774344,289.87022252556,-20.119264323309643,2025052700970,108,60823.34562419675,r,289.8701146963634,-20.119247406579003,20.724214553833008,4381.31,208.223,False,4179.54,4.35607,4119.74,202.494,False,-220.315,7.92202,22.29599002844951,0.051599922068868063,22.34717877492151,0.0011315941253070465,22.3628254176442,0.0533662459565543,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315082420355326,17.550817,2.2376978,1.3774304,289.87017608915096,-20.119281863740845,2025052700971,173,60823.346159234134,r,289.87004495503265,-20.119272897075668,14.312560081481934,3510.26,241.47,False,3356.5,6.9326,3220.75,236.607,False,-267.801,5.92862,22.53665178388939,0.07468755076801618,22.58528337119765,0.0022425070270519994,22.630107461339627,0.07976178851746202,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315082666770586,17.550425,2.2376986,1.3774229,289.870086082599,-20.119315847171016,2025052700973,131,60823.347196936214,r,289.86997640453524,-20.119285806627722,18.938995361328125,4157.75,218.687,False,3920.14,0.367063,3875.38,213.983,False,-272.895,6.27249,22.352854069428524,0.05710694235256868,22.4167460866002,0.00010166309982192117,22.429214298750388,0.05995001759405728,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315082797842844,17.550226,2.237699,1.3774192,289.8700409501673,-20.11933288037073,2025052700974,125,60823.347716870485,r,289.8699137771216,-20.119334116866128,18.62577247619629,4156.23,222.23,False,3875.76,0.389873,3779.35,217.296,False,-273.355,6.02661,22.35325107309206,0.0580533688651707,22.42910780664691,0.00010921708984011975,22.45645718907641,0.06242505561855357,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315082926293055,17.55003,2.2376993,1.3774154,289.86999599214744,-20.11934984294415,2025052700975,114,60823.348234866906,r,289.8698796880559,-20.11934649688413,18.073598861694336,4342.23,236.676,False,4318.91,3.29785,3866.99,232.12,False,-322.465,5.26822,22.30571794609881,0.05917873940041203,22.311564575578576,0.0008290505932671622,22.43156738025928,0.06517241657812926,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315083074142314,17.549831,2.2376997,1.3774116,289.8699502538394,-20.11936709502564,2025052700976,140,60823.34876146431,r,289.86984857800894,-20.119366687262744,17.648704528808594,3837.29,214.49,False,4093.84,0.275791,3600.54,209.466,False,-275.532,6.38803,22.439938434240418,0.060688548989534755,22.36967281399269,7.314312618664071e-05,22.50908088808515,0.06316408680629339,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315083363025091,17.549437,2.2377005,1.3774041,289.8698597347292,-20.11940122357527,2025052700978,179,60823.349804524616,r,289.86974880844195,-20.119399963210412,16.75126075744629,4109.73,245.111,False,3890.07,7.19319,3762.9,241.597,False,-312.288,5.77034,22.365466778548722,0.06475507635099523,22.425106440112607,0.0020076519907500094,22.4611933357031,0.06970969645780475,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315083500912706,17.549238,2.237701,1.3774003,289.8698145200607,-20.11941826378584,2025052700979,186,60823.350325471154,r,289.86969265908925,-20.11939957381442,19.583885192871094,4803.45,243.826,False,4662.62,5.36422,4243.13,235.868,False,-305.973,6.31656,22.196116769829075,0.055112618944896996,22.228424917148615,0.0012491105585438666,22.3307841855343,0.06035413247013866,nan,nan
2014 BF84,nan,MBO,MBO,21164723772339270,745315083563303335,17.549032,2.2377012,1.3773963,289.8697671369431,-20.11943611615828,2025052700980,49,60823.35087184959,r,289.8696636840351,-20.119438351096548,20.050851821899414,4376.59,217.256,False,4171.27,0.615911,4031.68,214.603,False,-291.045,6.43206,22.29716037949336,0.053896460427816595,22.34932923996419,0.00016031493430035938,22.386284882775254,0.057792842501004874,nan,nan
