provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2014 BO82,nan,MBO,MBO,21164723772338767,745284180503429189,18.096798,3.2575994,3.0784855,150.16693670153776,3.8632390025373375,2025052000110,116,60815.997173178526,g,150.16703979594635,3.8632586384001413,5.876132965087891,1300.41,224.663,False,1799.03,13.1463,1280.55,223.755,False,-61.5358,24.52,23.61479922018667,0.18757525738932235,23.262403968443955,0.007933949950311648,23.631508607406854,0.18971449809355226,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284180771864645,18.096792,3.2576032,3.0785086,150.16712768635787,3.863160862777266,2025052000112,116,60815.99852844935,g,150.16731064240028,3.863226976257133,5.527337551116943,1123.58,213.532,False,1728.65,98.9149,1037.51,213.408,False,-71.5278,24.2903,23.773490042340462,0.20633994003444261,23.305732308386375,0.0621267974924223,23.860019261443274,0.22332777030871775,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284181194964997,18.096785,3.2576084,3.078539,150.16737775990916,3.8630585522564673,2025052000115,155,60816.000302056374,g,150.16743685653503,3.863004534526352,7.380051612854004,1172.44,155.766,False,1237.97,8.00335,1117.79,152.589,False,-97.3517,12.9635,23.727273487276126,0.14424687075392875,23.66822472455005,0.007019174406466621,23.77909941205405,0.14821335032706684,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284181328658497,18.09678,3.25761,3.078548,150.16745290184068,3.863027811193053,2025052000116,154,60816.00083512574,g,150.16751294733723,3.8629957871198815,7.671397686004639,1173.98,148.083,False,1557.21,0.152192,1003.14,145.001,False,-106.159,15.2635,23.72584827229955,0.13695213632203176,23.419132067280728,0.00010611309001373989,23.896596113746675,0.15694004906025497,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284181464449038,18.096779,3.257612,3.0785599,150.167552015297,3.862987264050578,2025052000117,157,60816.00153897185,g,150.16757814866295,3.862953338589624,9.613497734069824,1570.79,160.293,False,1719.1,3.64075,1436.3,158.041,False,-114.549,14.5038,23.40970465352109,0.11079514661166831,23.31174716461927,0.0022993973992549606,23.506887061901573,0.11946726317651293,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284181733408796,18.096773,3.257615,3.0785782,150.1677024589553,3.862925719669307,2025052000119,158,60816.00260581951,g,150.16770942006528,3.862898984877783,10.009681701660156,1465.76,144.738,False,1435.56,1.55842,1331.97,141.056,False,-94.915,21.6995,23.484842828273003,0.10721215813928674,23.507446583728097,0.001178657029391833,23.58876391558873,0.11497977372000755,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284181867626564,18.096771,3.257617,3.0785892,150.16779425460263,3.8628881684948495,2025052000120,158,60816.003256159864,g,150.16780033879152,3.8628570811952603,7.7861433029174805,1039.98,130.061,False,1303.14,9.23218,995.548,126.498,False,-51.5944,20.2487,23.857437551886786,0.13578332680959168,23.612522298549738,0.007691968302081869,23.904844518192363,0.1379576507208839,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284182403973131,18.096762,3.2576227,3.0786228,150.16807192891238,3.8627745847128,2025052000124,157,60816.00522575411,g,150.16812696297802,3.862770284924623,9.128072738647461,1356.07,149.117,False,1402.12,5.79602,1265.83,146.392,False,-97.6476,11.2082,23.569294772293475,0.11939039786204979,23.533037043335614,0.004488167070613172,23.644061577240443,0.12556433182134225,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284182538190866,18.096758,3.2576253,3.078638,150.1681961857269,3.8627237597199375,2025052000125,157,60816.00610655401,g,150.1682586749645,3.862690684565835,9.0918550491333,1268.24,142.201,False,1307.38,3.39405,1157.96,139.294,False,-93.1964,11.1148,23.641996391820957,0.12173782534484791,23.608995403587144,0.0028186470841259064,23.740766142636584,0.13060602343712813,nan,nan
2014 BO82,nan,MBO,MBO,21164723772338767,745284182672408635,18.096754,3.2576275,3.07865,150.1682961904972,3.862682855867562,2025052000126,157,60816.00681531953,g,150.1683092485751,3.8626644003507216,7.248606204986572,1110.19,142.135,False,1293.07,6.41869,1009.38,139.431,False,-96.4706,14.1297,23.786506779502716,0.13900424039484172,23.620944955266623,0.005389502990370166,23.88986325647331,0.14997848557356158,nan,nan
