provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2015 AD269,nan,MBO,MBO,21164728052169028,745416141069877515,13.279515,2.7692919,1.902793,226.8601486809941,-39.91476149024874,2025061900253,74,60846.18571192013,g,226.8600735102352,-39.914761299822175,12.46084213256836,2345.89,185.896,False,2728.02,18.6111,2253.7,189.257,False,-107.6,2.8776,22.974230939809473,0.08603729182563861,22.810381117351902,0.007407109960330102,23.017759761790025,0.09117592646070007,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745416141451034684,13.2798605,2.7692916,1.9028018,226.8599833223269,-39.91448801369642,2025061900256,33,60846.18711265712,g,226.85986970095655,-39.914445495549444,11.056751251220703,1998.14,180.457,False,2237.66,5.23436,1876.72,183.673,False,-140.631,2.83454,23.14843520736883,0.0980555404830964,23.025514796214388,0.0025397668192228343,23.216501311322475,0.10626008864181007,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745416141721043092,13.280092,2.7692916,1.9028077,226.85987254057588,-39.91430469553254,2025061900258,36,60846.188051312194,g,226.85992155578847,-39.9143161389966,15.292091369628906,2417.52,157.239,False,2327.67,0.427508,2340.61,159.946,False,-138.229,3.14795,22.941574802072118,0.07061785300545124,22.982696513311218,0.00019941010764704193,22.976677309732757,0.074193972557767,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745416142281506858,13.280557,2.7692912,1.9028195,226.8596501494449,-39.91393643839807,2025061900262,81,60846.189937692834,g,226.85967989219483,-39.91394023649062,15.017087936401367,2256.63,150.479,False,2426.81,4.28766,2251.76,151.437,False,-119.54,4.29715,23.01634916282088,0.07240022116224482,22.937410534172958,0.0019182662489710014,23.018694745018507,0.07301871828406883,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745416142791115100,13.281018,2.769291,1.9028312,226.85942979973805,-39.9135712282876,2025061900266,29,60846.191807329466,g,226.85948880306194,-39.91356869691039,12.977213859558105,2084.03,159.179,False,2183.99,2.10262,1904.0,160.651,False,-148.695,3.35824,23.102740068680838,0.08292894144296797,23.051873391104074,0.0010452843399992359,23.20083263987886,0.09160956307294513,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745416142933721432,13.281136,2.769291,1.9028342,226.85937338220765,-39.91347766750973,2025061900267,45,60846.19228652783,g,226.85936079974775,-39.913468854425375,14.12682819366455,2047.01,141.806,False,1910.14,6.31219,1952.41,143.434,False,-130.135,3.65257,23.122200084140818,0.07521404744107102,23.19733699371245,0.003587890532835561,23.173572422512066,0.07976372293533521,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745416143048015916,13.28125,2.7692907,1.9028372,226.85931874117512,-39.913387031839626,2025061900268,7,60846.192750367045,g,226.8593029007788,-39.91337623246448,11.240466117858887,1964.14,175.323,False,2079.48,7.15611,1854.5,176.921,False,-131.354,3.20446,23.167068891395836,0.09691494755291295,23.105113140776837,0.003736341575192862,23.229432905838426,0.10358023228960248,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745416143193768098,13.281365,2.7692907,1.90284,226.85926375668836,-39.9132958055904,2025061900269,29,60846.19321768653,g,226.85928568349448,-39.9132548768546,14.425775527954102,2472.81,172.089,False,2645.93,4.35339,2515.45,174.374,False,-127.216,2.97493,22.9170231034282,0.07555908388318128,22.84355415198198,0.001786378889073062,22.89846079805798,0.07526452958970473,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745416143487369238,13.281599,2.7692904,1.902846,226.8591519340594,-39.91311021284298,2025061900271,77,60846.19416766088,g,226.85917458181783,-39.91307677842136,9.894624710083008,1957.75,200.902,False,1992.98,5.98477,1515.48,198.482,False,-98.3422,3.2445,23.170606918401248,0.11141696702269666,23.151242659439973,0.0032603846178407337,23.448624490750593,0.14219857097324143,nan,nan
2015 AD269,nan,MBO,MBO,21164728052169028,745424936779645222,13.724114,2.7689772,1.9144909,226.6704577091812,-39.56017117547061,2025062100250,111,60848.02981565961,r,226.67047063099335,-39.560170410857886,21.83590316772461,3268.22,148.953,False,3378.09,0.706565,3097.77,147.4,False,-167.208,10.9868,22.614221801365318,0.04948371576513322,22.578321931797007,0.0002270937736858552,22.67237706921477,0.05166216631496647,nan,nan
