provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2015 HJ304,nan,MBO,MBO,21164728169870410,745284180713668667,18.254225,3.2306776,3.054682,149.03122477177683,1.521982008934281,2025052000112,5,60815.99852844935,g,149.03111828024575,1.5219419396516285,5.499911785125732,1135.45,196.118,False,1274.4,20.4219,1223.11,195.939,False,26.1334,10.7816,23.762080010081146,0.18753130305423912,23.63673557221754,0.017398615468597844,23.681336220688955,0.17393207784709655,27.85701021187783,0.4479315159897789
2015 HJ304,nan,MBO,MBO,21164728169870410,745284180853129231,18.254229,3.2306778,3.054689,149.03130552970623,1.521984740255821,2025052000113,15,60815.999004494544,g,149.03127113322614,1.5219432297122113,6.199953079223633,941.739,147.883,False,1112.16,17.677,920.89,147.815,False,8.23132,7.07156,23.96517359393733,0.1704951372577291,23.78458178871848,0.017257011897003342,23.98948059031569,0.17427499180595915,29.1113262357059,0.9327602691344046
2015 HJ304,nan,MBO,MBO,21164728169870410,745284181119991861,18.254238,3.2306788,3.0547078,149.0315257613241,1.5219921853881306,2025052000115,12,60816.000302056374,g,149.03149994278897,1.522054167555015,5.357272624969482,756.664,139.064,False,1083.86,5.36391,768.096,137.663,False,-3.77124,9.31409,24.20274231810429,0.19954274849842407,23.81256704245681,0.005373195412672007,24.186461229643726,0.19459246688393847,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284181252112416,18.254242,3.230679,3.0547154,149.0316162013673,1.5219952413792488,2025052000116,8,60816.00083512574,g,149.03155632821793,1.5219701600944462,6.098542213439941,839.476,138.041,False,820.897,3.96509,875.853,135.768,False,27.3832,10.5577,24.089979271717844,0.17853531189085617,24.114278364858485,0.005244314391496101,24.043921911431262,0.16830248258231878,27.806289516209013,0.4186098567239144
2015 HJ304,nan,MBO,MBO,21164728169870410,745284181386330148,18.254246,3.2306795,3.0547256,149.0317354925008,1.52199927099195,2025052000117,8,60816.00153897185,g,149.03161509495487,1.5220031196879156,6.101746082305908,897.228,146.641,False,nan,nan,877.749,145.354,False,29.1332,8.02538,24.01774292128649,0.17745037490380874,nan,nan,24.0415741126199,0.179796388641391,27.739029535755957,0.2990898995390363
2015 HJ304,nan,MBO,MBO,21164728169870410,745284181524742156,18.25425,3.2306798,3.0547335,149.03182594064396,1.5220023253396444,2025052000118,16,60816.002071902825,g,149.03187678803627,1.5220461685251176,5.9313764572143555,875.103,144.908,False,1037.82,14.3577,922.105,144.352,False,48.3815,8.55768,24.04485203437888,0.17978667906744594,23.859694966690824,0.015020596916184103,23.98804908065533,0.1699678468101924,27.188301672218838,0.19204413048375477
2015 HJ304,nan,MBO,MBO,21164728169870410,745284181658435612,18.254253,3.2306802,3.0547411,149.03191656198874,1.522005384706424,2025052000119,15,60816.00260581951,g,149.0318830170089,1.5220465258845741,6.071059703826904,825.278,133.877,False,790.579,8.46282,874.471,132.788,False,49.1711,5.7922,24.10849931013946,0.17612865243659567,24.155136842968687,0.01162235572201325,24.045636460728286,0.16486851101091032,27.17072517653392,0.1278962899436139
2015 HJ304,nan,MBO,MBO,21164728169870410,745284181792653351,18.25426,3.2306807,3.0547507,149.0320270434431,1.5220091134239824,2025052000120,15,60816.003256159864,g,149.03197299913612,1.5220299943938491,7.638343811035156,985.326,125.238,False,936.926,9.27427,990.557,123.925,False,44.7806,7.25186,23.916050155477855,0.1380004498356392,23.97073674325253,0.01074728473907783,23.910301314089814,0.13583252812257393,27.27227519298154,0.17582629182610116
2015 HJ304,nan,MBO,MBO,21164728169870410,745284181926871125,18.254263,3.230681,3.0547583,149.03211784250988,1.5220121769409731,2025052000121,15,60816.003791225885,g,149.03207887307062,1.5220537185997618,8.040383338928223,963.26,116.563,False,868.645,6.39112,1005.55,114.25,False,26.8868,15.9276,23.940641173245517,0.13138370927447043,24.0528941651937,0.00798838440353844,23.893990837324907,0.12336071095369135,27.826152177440562,0.6431844392480002
2015 HJ304,nan,MBO,MBO,21164728169870410,745284182061613140,18.254267,3.2306812,3.0547652,149.03219931016085,1.522014924909449,2025052000122,16,60816.00427132496,g,149.03218749954664,1.5220565867055618,7.396300315856934,1019.32,132.137,False,945.633,2.8054,978.479,128.999,False,17.4276,7.44743,23.879223628312264,0.14074669063720213,23.96069345632367,0.0032210426758277184,23.923621222371843,0.14313937900696752,28.296905987864605,0.46397347479865386
2015 HJ304,nan,MBO,MBO,21164728169870410,745284182193733663,18.25427,3.2306817,3.0547721,149.03228010182093,1.5220176494117217,2025052000123,12,60816.00474765939,g,149.03226338300982,1.5220061277215635,6.059945106506348,870.611,139.484,False,1001.51,18.3987,877.37,138.769,False,8.2896,7.40797,24.050439596175032,0.1739500394183499,23.898361764292833,0.019946016805658055,24.042043054921862,0.17172518457235958,29.103666013878236,0.9702640439829786
2015 HJ304,nan,MBO,MBO,21164728169870410,745284182327951400,18.254272,3.230682,3.0547793,149.03236123587996,1.5220203847939575,2025052000124,12,60816.00522575411,g,149.0323748243452,1.5220497325194249,6.8017897605896,1027.0,149.443,False,983.629,2.22689,1000.13,149.211,False,-21.467,6.5981,23.8710738910068,0.15798993984970233,23.9179216577092,0.0024580559560551797,23.899858858166297,0.16198272471258746,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284182462169122,18.25428,3.2306824,3.054792,149.0325107816226,1.522025424881019,2025052000125,12,60816.00610655401,g,149.03251602107517,1.522071431991801,5.347062110900879,752.804,144.603,False,883.038,5.81797,733.534,144.196,False,-35.5808,7.86647,24.20829518167256,0.20855455817211577,24.03505148666848,0.00715346369111068,24.236449383536634,0.2134308942503691,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284182596386879,18.254284,3.2306828,3.0548022,149.03263113839284,1.5220294795726572,2025052000126,12,60816.00681531953,g,149.0326433467434,1.521975630957232,5.24586820602417,767.363,138.921,False,691.108,20.8442,712.978,138.005,False,-43.9154,7.72465,24.187497896459572,0.19655830383152414,24.301135244699275,0.032746406767664535,24.267309635224485,0.21015658897276313,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284182732701703,18.254288,3.2306833,3.05481,149.03272162260453,1.5220325269197486,2025052000127,16,60816.0073481772,g,149.03267036461776,1.5220394307719058,5.371164321899414,719.97,135.166,False,nan,nan,686.615,134.067,False,-34.025,7.56274,24.256714043053424,0.2038343628507516,nan,nan,24.308216798135685,0.21199857167627337,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284182866395160,18.254293,3.2306836,3.0548193,149.03283180452962,1.5220362365261082,2025052000128,15,60816.00799732409,g,149.03280714621343,1.5220092719661633,6.375033855438232,958.195,149.766,False,885.985,7.16429,935.144,149.937,False,-37.0502,6.03468,23.946365240909227,0.1697007125097681,24.031434094927455,0.008779526865741719,23.9728037916819,0.17408231099628807,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284183133782046,18.254301,3.2306843,3.0548348,149.03301313318212,1.5220423388110509,2025052000130,13,60816.00906569423,g,149.03302884529387,1.521995182935587,5.115111827850342,1095.09,215.336,False,1370.06,17.7974,1059.9,216.579,False,-58.8,5.4531,23.801375501022363,0.21349669624835677,23.558150986225492,0.014103966383920145,23.836837744604548,0.2218583360456579,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284183672750094,18.254316,3.2306857,3.0548668,149.03338517710193,1.5220548487773733,2025052000134,17,60816.01125654897,g,149.0333114466637,1.522097008368543,5.304533958435059,857.954,158.807,False,nan,nan,772.744,158.965,False,-74.5022,6.17814,24.066340017524574,0.20096942378320093,nan,nan,24.179910869798643,0.22335216794832652,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284183804870705,18.25432,3.2306862,3.0548735,149.03346550386027,1.5220575479080911,2025052000135,13,60816.011729216334,g,149.03331996426687,1.522072302652001,6.067692756652832,861.002,142.459,False,nan,nan,778.857,142.071,False,-69.8557,8.88304,24.06248958147731,0.17964289403771236,nan,nan,24.17135568876101,0.19804871559500306,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284183941185560,18.254322,3.2306864,3.0548804,149.03354566387435,1.5220602407789072,2025052000136,17,60816.01220191838,g,149.03353109761485,1.5220666143780575,6.4485063552856445,1012.21,153.123,False,1217.08,17.5712,946.306,152.957,False,-43.2007,6.16822,23.886823417553565,0.16424574195580882,23.686702224653455,0.015674966359670015,23.959920980967013,0.17549391861998334,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284184209621026,18.254332,3.2306871,3.0548975,149.0337455682219,1.5220669534423878,2025052000138,17,60816.013378554475,g,149.03372796218883,1.5220461237296643,7.249077320098877,1182.34,158.541,False,1176.56,6.35324,1124.41,157.916,False,-47.4629,10.3333,23.718144075026366,0.14558731753327817,23.723464747398975,0.005862805429592557,23.772688218561917,0.15248451516468206,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284184609652782,18.254343,3.230688,3.0549204,149.03401378009173,1.522075953406225,2025052000141,12,60816.01495770269,g,149.03398195634574,1.522128189978335,6.700422286987305,964.778,142.44,False,1007.13,1.15505,841.63,141.782,False,-52.4881,7.16451,23.93893150392397,0.1602982916588904,23.892286162843888,0.001245201354230207,24.087196974792764,0.18290442019859332,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284188638806033,18.254623,3.2307153,3.055527,149.04111007243964,1.5223113703762698,2025052000171,17,60816.05664611027,u,149.04117082449696,1.5221319211862774,5.551394939422607,2738.46,487.793,False,nan,nan,2939.91,477.187,False,135.821,21.4597,22.806234011286612,0.19339867198608007,nan,nan,22.729164943759766,0.17622962286339391,26.06758269759866,0.17154617458943033
2015 HJ304,nan,MBO,MBO,21164728169870410,745284189442015289,18.254665,3.2307198,3.055626,149.04226847606105,1.522349301566872,2025052000177,13,60816.06343342403,r,149.0422634386931,1.5223330124726209,5.1200761795043945,1135.99,215.737,False,1056.66,17.8643,1553.2,217.201,False,423.416,7.06707,23.761563738475193,0.20619325266011665,23.840161796226866,0.018355872664878738,23.42193157944739,0.15183041539850514,24.833081875516953,0.01812159681823431
2015 HJ304,nan,MBO,MBO,21164728169870410,745284189576233017,18.254667,3.23072,3.0556328,149.0423499270411,1.5223519633407212,2025052000178,13,60816.0639107544,r,149.04224728290518,1.522331318267927,6.443450927734375,1666.22,256.683,False,1719.34,14.254,2686.45,255.758,False,942.18,7.19068,23.345669161350234,0.1672588531257665,23.311595603974844,0.00900117711186061,22.827053114922613,0.10336530385168602,23.964665305760175,0.008286295296911897
2015 HJ304,nan,MBO,MBO,21164728169870410,745284190115201052,18.254705,3.230724,3.0557213,149.04338651289092,1.5223857777258554,2025052000182,17,60816.06997807289,r,149.04332227279545,1.5224214921021637,5.563243389129639,1666.81,297.517,False,1538.11,63.664,1815.47,301.72,False,78.0705,7.19529,23.34528471849319,0.19379831247721593,23.43253152101879,0.04493977153028904,23.252527325657375,0.18044271417946428,26.66878255301585,0.10006579475332347
2015 HJ304,nan,MBO,MBO,21164728169870410,745284190399365126,18.254711,3.2307246,3.0557356,149.0435550264968,1.5223912641633628,2025052000184,47,60816.070964540704,r,149.04349902806686,1.5224099174125103,5.7119646072387695,1592.88,276.358,False,1639.61,3.47621,1741.61,279.524,False,59.4093,8.33133,23.39454234828766,0.18837067890253795,23.363148613651283,0.0023019176593593203,23.297622734936564,0.1742579079917504,26.965363879726144,0.1522594387105879
2015 HJ304,nan,MBO,MBO,21164728169870410,745284191730008115,18.254742,3.230728,3.055812,149.0444482080554,1.5224202945898897,2025052000194,25,60816.07618805147,r,149.04434995364028,1.522507392893237,5.553656101226807,2112.41,374.29,False,nan,nan,2035.36,376.194,False,-45.7604,10.0667,23.08805450832206,0.19237753573626007,nan,nan,23.128396919628383,0.20067577677533144,nan,nan
2015 HJ304,nan,MBO,MBO,21164728169870410,745284193470644265,18.25478,3.2307322,3.055907,149.04556300526914,1.522456410961551,2025052000207,17,60816.08270365432,r,149.0456086883895,1.5224264102666818,5.015958786010742,1879.8,382.772,False,1947.89,42.0971,1986.32,381.152,False,142.521,6.94239,23.214720858634443,0.2210817167882823,23.17608892174897,0.02346454085505264,23.15487699066341,0.20834032072048356,26.015302877455177,0.052887675073882416
