provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2015 RG67,nan,MBO,MBO,21164728335611719,745416141787627650,10.548697,3.4732773,2.6219223,226.36892219428057,-37.815646944971085,2025061900258,163,60846.188051312194,g,226.36889056532527,-37.815626030220486,22.513540267944336,3838.49,169.752,False,3897.06,0.409667,3820.99,171.377,False,-67.206,3.84443,22.439598968951707,0.04801520689286023,22.42315725282975,0.00011413482756688789,22.444560250055126,0.04869685941223708,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745416142036140312,10.548907,3.4732754,2.6219277,226.36877454873857,-37.81558572270188,2025061900260,125,60846.188991285606,g,226.3687059671708,-37.81554280892714,23.22366714477539,3703.63,157.492,False,3771.43,0.71773,3501.33,158.008,False,-59.6885,4.1589,22.47843105111698,0.04616950843943868,22.458734891277032,0.0002066233351420607,22.539417363510825,0.048997094716071554,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745416142151483510,10.549011,3.4732745,2.6219306,226.3687012075121,-37.815555301799016,2025061900261,89,60846.189458533816,g,226.3686400764112,-37.81553003091274,27.2368221282959,3920.41,143.341,False,3583.31,0.401457,3809.78,144.018,False,-47.0146,5.59668,22.41667130358409,0.03969751136393554,22.514289028349488,0.00012164071909183432,22.447750247700995,0.0410431997033975,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745416142707229105,10.54943,3.473271,2.6219416,226.36840571313127,-37.81543267135461,2025061900265,125,60846.19134019294,g,226.36835849250377,-37.81541183976976,24.605926513671875,3605.39,145.707,False,3423.68,0.134545,3596.74,146.308,False,-37.6954,7.16165,22.507619407778037,0.04387857366205274,22.56376710708097,4.2667649680090924e-05,22.510227390919315,0.04416551978156846,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745416142999781668,10.54964,3.4732692,2.6219473,226.3682572233025,-37.81537100946287,2025061900267,171,60846.19228652783,g,226.3681838183063,-37.815356745896864,22.693941116333008,3525.62,153.367,False,3436.51,0.201636,3516.87,154.627,False,-33.491,5.0076,22.531911211017157,0.04723030381936808,22.559705966882106,6.370518530544925e-05,22.53460917618685,0.04773680157246456,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745416143113551930,10.549743,3.4732683,2.62195,226.3681844014468,-37.81534076004457,2025061900268,132,60846.192750367045,g,226.36812752218177,-37.815302340658114,23.18739128112793,3675.71,156.898,False,3610.07,0.717111,3624.65,154.613,False,-27.1841,4.27886,22.48664691196747,0.046344743037535614,22.506210921824138,0.0002156726466618041,22.50183483674825,0.046313145684683844,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745416143363113225,10.549951,3.4732666,2.6219554,226.3680381509355,-37.81527999042993,2025061900270,96,60846.19368268379,g,226.3679815022189,-37.81525201239,23.973281860351562,3521.7,146.258,False,3293.97,0.94659,3623.0,147.356,False,-5.41495,5.25647,22.533119121703642,0.04509117848366712,22.605700910925204,0.0003120086248808876,22.502329164913657,0.04415946652958061,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745424936874541131,10.948599,3.4697504,2.6329238,226.09942067061863,-37.69852080056108,2025062100251,36,60848.03025114289,r,226.09936223843985,-37.69849593022467,38.86526107788086,5442.11,138.127,False,5085.13,0.0882097,5405.03,137.552,False,-120.831,32.132,22.060581737732438,0.02755723190626265,22.134244874961063,1.88338294160042e-05,22.068004771162265,0.027630779939014048,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745424937008758873,10.948695,3.4697497,2.6329265,226.09935646058835,-37.69849330678645,2025062100252,36,60848.0306865646,r,226.09929643509005,-37.69846086979418,38.926944732666016,5258.66,133.264,False,5151.29,0.106643,5216.38,132.29,False,-118.822,34.3177,22.097812236987245,0.027514529083261508,22.12020999211169,2.2477120071718622e-05,22.106576971582918,0.02753481120330573,nan,nan
2015 RG67,nan,MBO,MBO,21164728335611719,745424937540387044,10.949093,3.469746,2.6329374,226.09909090166207,-37.69837956407163,2025062100256,26,60848.032485754215,r,226.09903807419894,-37.69835810440982,22.908130645751953,5411.22,233.58,False,5200.2,0.121279,5306.18,233.381,False,-253.082,15.2672,22.066761979183788,0.04686674255092558,22.109949841852455,2.5321525628471846e-05,22.088045018178303,0.047753786948418704,nan,nan
