provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2015 XY216,nan,MBO,MBO,21164728437716569,745315078219235601,12.633513,3.0943797,2.265152,289.98770365377345,-20.06698832486727,2025052700940,96,60823.310881503065,i,289.98762551891514,-20.067017871763962,9.922701835632324,3651.81,368.431,False,3483.55,4.95017,3805.09,361.514,False,288.567,6.66778,22.49372954871638,0.10953989089569749,22.544944863732283,0.0015428453034819559,22.44908764144467,0.10315362776647474,25.249383391194378,0.025087589420553932
2015 XY216,nan,MBO,MBO,21164728437716569,745315078350307337,12.633389,3.094379,2.2651467,289.9876658435269,-20.06699145574835,2025052700941,90,60823.31137196548,i,289.98750976375305,-20.067025076068976,10.618621826171875,3849.61,371.091,False,3949.72,14.1063,4142.82,363.366,False,1002.81,6.71514,22.43645813517017,0.10466175182108052,22.40858423529427,0.003877672625689454,22.356759885586705,0.09522973134288919,23.89695336243551,0.007270440552193836
2015 XY216,nan,MBO,MBO,21164728437716569,745315078460408432,12.633258,3.094378,2.2651408,289.9876257163056,-20.06699477521892,2025052700942,44,60823.31189173038,i,289.9875925133582,-20.066961267014243,12.174603462219238,4364.04,359.15,False,4159.67,2.02844,4179.85,352.011,False,498.334,6.96278,22.30027818378386,0.08935347701251686,22.352352825353655,0.0005294532467845005,22.34709823272035,0.09143654997182042,24.656198670212163,0.015170030751503165
2015 XY216,nan,MBO,MBO,21164728437716569,745315078600392794,12.633127,3.094377,2.265135,289.98758558705003,-20.06699809149537,2025052700943,55,60823.312411398525,i,289.9875035274056,-20.06701229863121,12.66178035736084,4493.77,355.022,False,4499.98,3.65782,5163.36,351.898,False,988.11,6.85105,22.268472893768788,0.08577658417236682,22.266973545779024,0.0008825433906146414,22.117669013746983,0.07399608399020513,23.912986779794124,0.007527940236782105
2015 XY216,nan,MBO,MBO,21164728437716569,745315078783893826,12.632989,3.094376,2.265129,289.98754344912567,-20.067001570151973,2025052700944,149,60823.31295736766,i,289.9874973654748,-20.067014098367473,12.175134658813477,4327.67,354.139,False,4284.88,0.601219,4577.86,344.772,False,1024.83,6.99487,22.309364677387123,0.08884724319905904,22.32015337015294,0.00015234154782368272,22.24834376502917,0.08176996618775965,23.8733704713339,0.007410579446369667
2015 XY216,nan,MBO,MBO,21164728437716569,745315079135691264,12.628941,3.094348,2.2649522,289.9863054339031,-20.067102136978026,2025052700947,52,60823.32898863165,i,289.98618891372456,-20.06707538758516,10.324506759643555,3526.07,337.528,False,4159.63,9.07258,3205.84,329.351,False,322.417,8.00572,22.531772654652514,0.1039305456356392,22.352363276199466,0.0023681022640328515,22.635145361753473,0.11154278107567282,25.128955194627036,0.02695918766753442
2015 XY216,nan,MBO,MBO,21164728437716569,745315079269384325,12.628808,3.094347,2.2649465,289.98626510150507,-20.067105360620555,2025052700948,51,60823.32951046493,i,289.9862117882593,-20.067115207611707,11.361310005187988,3470.88,307.933,False,3336.9,2.75264,3347.22,301.806,False,41.8428,7.80044,22.548901039384106,0.09632543710443583,22.591642051921433,0.0008956339727955225,22.58828936496497,0.09789667354288822,27.34594814992984,0.20240566867043142
2015 XY216,nan,MBO,MBO,21164728437716569,745315079413039450,12.628677,3.094346,2.2649407,289.98622492271494,-20.06710856872113,2025052700949,69,60823.33003026659,i,289.9861547560209,-20.067105593312398,12.605752944946289,3889.2,308.417,False,3965.56,1.08205,3857.94,302.399,False,129.061,8.39413,22.425349320931613,0.0860998402716928,22.404238670815367,0.00029625596534438493,22.434111343829144,0.08510384641941089,26.123012396434753,0.07061629967864912
2015 XY216,nan,MBO,MBO,21164728437716569,745315079605453065,12.628545,3.094345,2.264935,289.9861845112821,-20.06711179211433,2025052700950,180,60823.330553404696,i,289.98611779589487,-20.067109151416744,13.09591007232666,3963.68,295.292,False,3779.76,0.97575,3961.36,288.413,False,139.814,8.94185,22.404753555455844,0.08088675483956612,22.456339435422333,0.000280284232500602,22.405389190658312,0.07904871595479376,26.036123383994116,0.06943861335910098
2015 XY216,nan,MBO,MBO,21164728437716569,745315079671513843,12.628408,3.0943441,2.264929,289.9861427081721,-20.06711512305351,2025052700951,50,60823.3310941422,i,289.98607597448466,-20.067116006252792,13.931424140930176,4163.02,295.962,False,4022.55,5.25182,4437.04,291.689,False,180.302,8.97501,22.351478751577766,0.07718835442099815,22.38874635918814,0.001417531451588286,22.282266630673426,0.07137580459162023,25.759998627836694,0.0540453966162861
