provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 BR74,nan,MBO,MBO,21164732362208338,745315078374949217,16.4429,2.424655,1.57985,290.860851329639,-20.514761714196435,2025052700941,137,60823.31137196548,i,290.8608188465743,-20.514767683013762,11.995203018188477,4191.57,348.988,False,4205.64,8.38683,3142.58,349.581,False,-913.411,8.01127,22.344058237147195,0.09039785323239985,22.340419728151566,0.002165160364727502,22.656784117402772,0.12077742869487326,nan,nan
2016 BR74,nan,MBO,MBO,21164732362208338,745315078508642558,16.44272,2.4246554,1.579846,290.8608107219869,-20.51479991266796,2025052700942,136,60823.31189173038,i,290.86080028841303,-20.514822212765562,11.26110553741455,3940.0,349.631,False,4300.84,1.35337,3185.9,344.093,False,-899.976,8.0525,22.411259445436063,0.0963469664960236,22.31611682390462,0.00034165484135318926,22.641919683501904,0.11726489384684267,nan,nan
2016 BR74,nan,MBO,MBO,21164732362208338,745315078624510467,16.442541,2.424656,1.5798421,290.86077011127884,-20.51483810658181,2025052700943,101,60823.312411398525,i,290.86069223993843,-20.514827453071476,10.960917472839355,3979.89,357.816,False,3967.15,5.03242,2321.42,347.763,False,-877.768,8.00586,22.400322357320306,0.09761420709252173,22.40380347251595,0.0013772811459144933,22.985615732167282,0.16264996985141633,nan,nan
2016 BR74,nan,MBO,MBO,21164732362208338,745315079179731429,16.436838,2.4246712,1.5797157,290.85947416470816,-20.5160533109212,2025052700947,136,60823.32898863165,i,290.85941932162643,-20.516098998075016,11.683645248413086,4030.98,342.852,False,4779.06,27.2456,4095.51,337.063,False,26.1752,10.0301,22.386473396823735,0.09234648148696821,22.201643779132226,0.006189822622578633,22.36923002069595,0.08935675624972071,27.855274998556137,0.4160443003027462
2016 BR74,nan,MBO,MBO,21164732362208338,745315079313424476,16.436659,2.4246716,1.5797117,290.8594333238128,-20.51609150218557,2025052700948,135,60823.32951046493,i,290.8593630051565,-20.51609904175822,14.592897415161133,4586.81,310.832,False,4411.39,1.39204,4523.01,302.43,False,210.748,9.33586,22.24622310945453,0.073576527582671,22.288561330428347,0.0003426104232725742,22.261431186420925,0.0725974980085983,25.590591339693404,0.04809669095664553
2016 BR74,nan,MBO,MBO,21164732362208338,745315079453409474,16.43648,2.4246721,1.5797077,290.8593926379688,-20.51612954261987,2025052700949,146,60823.33003026659,i,290.8593250383583,-20.516165872510406,12.754836082458496,4181.34,323.637,False,4177.63,18.4812,5059.63,314.607,False,945.953,9.86764,22.346711332937346,0.0840363170832864,22.347675097445254,0.004803131850286551,22.13970312772816,0.06751090736875706,23.960326099469395,0.011325777784588924
2016 BR74,nan,MBO,MBO,21164732362208338,745315079696155214,16.436113,2.424673,1.5796996,290.85930938441066,-20.516207365038863,2025052700951,97,60823.3310941422,i,290.85925647407447,-20.516211036367768,13.725407600402832,3989.08,286.758,False,3668.52,2.67039,5584.2,279.737,False,1599.14,11.1349,22.397818113575653,0.07804895658526659,22.488772766470817,0.0007903293343596995,22.032597551284127,0.05438927286941288,23.390283773518895,0.00756004105749173
2016 BR74,nan,MBO,MBO,21164732362208338,745315079868121899,16.435934,2.4246736,1.5796957,290.85926830340225,-20.51624575729141,2025052700952,169,60823.3316194858,i,290.8591984595083,-20.51627000586337,9.391108512878418,3742.76,387.188,False,3243.08,56.5653,7467.07,374.347,False,3634.16,11.0468,22.46702004868201,0.11231925526284124,22.622605818990984,0.018937242575045737,21.717124468963704,0.05443126744172803,22.4989899164151,0.0033003254197242907
2016 BR74,nan,MBO,MBO,21164732362208338,745315080126070866,16.435577,2.4246745,1.5796878,290.8591873116247,-20.5163214313783,2025052700954,149,60823.332654560734,i,290.8591347039032,-20.516368045541356,12.845685958862305,4520.5,351.02,False,4304.66,4.72644,11390.0,344.059,False,6736.3,10.3225,22.262033816051478,0.0843081762340326,22.315152823703066,0.0011921189571664976,21.25869068980225,0.032796953690523,21.828946481092878,0.0016637490235102458
2016 BR74,nan,MBO,MBO,21164732362208338,745315080273396218,16.435396,2.424675,1.5796838,290.8591461489334,-20.516359883013028,2025052700955,174,60823.33318095436,i,290.8590856002302,-20.516396900339018,11.393509864807129,3735.62,320.48,False,3414.91,2.26512,10860.5,314.779,False,7392.15,12.557,22.469093236215663,0.09314564648268132,22.5665518721156,0.0007201720945478674,21.310375450163896,0.031468804178914456,21.728073087052184,0.0018443334993489351
