provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 EN188,nan,MBO,MBO,21164732413720654,745262191840591920,24.284256,2.4452326,2.124732,149.53437704859107,1.5719649887102294,2025051500122,38,60811.04208450287,i,149.53437539330997,1.5719462963775246,11.355960845947266,4630.71,408.966,False,4416.65,0.445132,4500.63,412.205,False,-78.7782,12.3594,22.235881049193654,0.09588793082955915,22.287267562249212,0.00010942590543281038,22.26681675140262,0.09944072037838186,nan,nan
2016 EN188,nan,MBO,MBO,21164732413720654,745262191978479717,24.284275,2.4452326,2.124738,149.53447486019428,1.571930948799615,2025051500123,45,60811.04255635306,i,149.5344662754896,1.5719328336559057,13.745729446411133,4604.39,328.19,False,4552.09,8.61262,4541.05,327.399,False,-87.6024,10.3046,22.242069712689382,0.0773887001556791,22.254472937347593,0.002054228729401378,22.257109337197406,0.07827902108027286,nan,nan
2016 EN188,nan,MBO,MBO,21164732413720654,745262192112697416,24.284296,2.4452329,2.1247437,149.5345732985713,1.5718966920403818,2025051500124,45,60811.0430310299,i,149.53458293210795,1.5719237525639655,14.03468132019043,4271.41,303.045,False,4739.31,4.98097,4210.91,303.435,False,-80.8843,10.7428,22.32357181011033,0.07703005113392514,22.21071219410324,0.001141098449929283,22.33906006141081,0.07823732884708465,nan,nan
2016 EN188,nan,MBO,MBO,21164732413720654,745262192248487944,24.284317,2.4452329,2.1247497,149.53467277855182,1.571862074112442,2025051500125,48,60811.04351116055,i,149.53465301578538,1.5718437942119707,15.978960990905762,4685.8,291.206,False,4806.46,0.560715,4635.29,290.708,False,-90.2083,12.2188,22.223040675165382,0.0674746902406347,22.195436677807272,0.00012666049491534193,22.234807715058984,0.06809330299404044,nan,nan
2016 EN188,nan,MBO,MBO,21164732413720654,745262192382705758,24.284338,2.4452329,2.1247554,149.53477102042345,1.571827888334784,2025051500126,48,60811.043985125616,i,149.53477390106727,1.5718286640929322,15.730816841125488,5086.83,315.739,False,5126.82,2.68144,5000.83,314.354,False,-79.4011,11.028,22.133881923547523,0.06739153326004862,22.125379862592943,0.0005678640392170942,22.152394754945767,0.06824977410143525,nan,nan
2016 EN188,nan,MBO,MBO,21164732413720654,745262192515350621,24.284357,2.445233,2.124761,149.53486906016536,1.5717937741913504,2025051500127,45,60811.04445870916,i,149.53487611572268,1.5717603182855653,12.882349967956543,5103.38,403.326,False,5586.95,2.23927,4951.91,402.03,False,-93.5665,9.33155,22.130355256678385,0.08580698250619326,22.03206300031686,0.00043516702237697243,22.16306810857587,0.08814750496283283,nan,nan
2016 EN188,nan,MBO,MBO,21164732413720654,745262192781688868,24.284399,2.445233,2.124773,149.5350670214197,1.5717248951050091,2025051500129,41,60811.04541385244,i,149.53508144889796,1.571741357757756,12.165844917297363,4470.21,363.908,False,4318.2,10.3314,4419.13,362.645,False,-56.6375,10.8596,22.274180195114724,0.08838691758454877,22.31174306821423,0.0025976505092451985,22.286658084711704,0.08909826243795957,nan,nan
2016 EN188,nan,MBO,MBO,21164732413720654,745262192920100875,24.284418,2.4452333,2.1247787,149.53516590656696,1.5716904907965334,2025051500130,49,60811.04589065211,i,149.5351606402178,1.571683349285609,9.374817848205566,4033.6,432.821,False,4692.69,20.9613,4019.6,436.406,False,-15.1186,12.19,22.385767902882648,0.11650372722668778,22.221445349598103,0.004849764736282761,22.38954287973921,0.1178778458114995,nan,nan
2016 EN188,nan,MBO,MBO,21164732413720654,745262193053794320,24.28444,2.4452333,2.1247845,149.53526396786904,1.571656374457482,2025051500131,48,60811.046363020694,i,149.53524782425194,1.571653364697077,12.113245010375977,4130.51,338.891,False,4096.78,3.20397,4094.95,337.764,False,33.8632,11.0182,22.359990866781423,0.08908009894715957,22.368893450296454,0.0008491220817353576,22.36937850463846,0.08955484585989128,27.57567997437496,0.35327016235648123
2016 EN188,nan,MBO,MBO,21164732413720654,745262193188012044,24.28446,2.4452333,2.1247904,149.53536286380688,1.5716219690970517,2025051500132,48,60811.04684006958,i,149.5353822053502,1.5716402177425708,11.840275764465332,5360.08,445.304,False,5546.83,1.35404,5560.24,444.022,False,127.619,10.3281,22.077071805046046,0.09020064107950299,22.039887845291638,0.0002650397179894348,22.037266109979427,0.08670322580212107,26.13521162884804,0.08786773151926737
