provid,permid,orbit_class,population,ssObjectId,diaSourceId,phaseAngle,helioRange,topoRange,ephRa,ephDec,visit,detector,midpointMjdTai,band,ra,dec,snr,psfFlux,psfFluxErr,psfFlux_flag,trailFlux,trailFluxErr,scienceFlux,scienceFluxErr,forced_PsfFlux_flag,templateFlux,templateFluxErr,psfMag,psfMagErr,trailMag,trailMagErr,scienceMag,scienceMagErr,templateMag,templateMagErr
2016 TV197,nan,MBO,MBO,21164732665444182,745174274934309303,21.651018,2.1917508,1.4381397,269.35751903825525,-22.559704320494472,2025042500450,39,60791.277617615146,i,269.35749797960443,-22.559719990287952,13.832305908203125,4427.85,317.115,False,4357.01,3.98217,8311.03,281.878,False,4081.42,30.2528,22.28451772584208,0.07775855513971175,22.302028666632786,0.0009923287963671961,21.600862839356168,0.03682397125061627,22.37297180002397,0.008047826705114785
2016 TV197,nan,MBO,MBO,21164732665444182,745174275335389585,21.650602,2.1917484,1.438122,269.35758804350155,-22.559747801264283,2025042500453,36,60791.279216819836,i,269.3575514252128,-22.5597935857313,12.6795654296875,4527.59,351.672,False,4731.39,5.04859,9963.75,308.919,False,6222.1,37.6349,22.26033230738969,0.08433251080503931,22.21252809952643,0.0011585257158166129,21.403942944655007,0.033662481448205425,21.91515751621274,0.006567167341692817
2016 TV197,nan,MBO,MBO,21164732665444182,745174275588096563,21.650326,2.191747,1.4381104,269.35763378062137,-22.559776624572727,2025042500455,6,60791.28027748602,i,269.3576392668295,-22.55981262950981,11.069899559020996,4106.65,370.127,False,4158.52,21.7681,11405.0,318.294,False,7901.44,35.7554,22.366280799452852,0.09785599191286223,22.35265300859623,0.005683371721101699,21.25726177596833,0.03030103695301747,21.655734391513917,0.004913146759700232
2016 TV197,nan,MBO,MBO,21164732665444182,745174275989701243,21.64991,2.1917448,1.4380927,269.35770267748734,-22.55982004817904,2025042500458,4,60791.28187701356,i,269.3577184001326,-22.5599541043995,11.163485527038574,4296.77,392.207,False,5699.35,17.0521,12412.1,343.67,False,9424.56,29.8553,22.31714472721766,0.09910545328680269,22.010436661298428,0.0032484548556647656,21.16538686945261,0.030062196389913805,21.464347340378964,0.0034394160122655083
2016 TV197,nan,MBO,MBO,21164732665444182,745174276262331066,21.649637,2.1917434,1.4380811,269.35774775651515,-22.55984846298629,2025042500460,12,60791.28292506441,i,269.3577228272174,-22.55986898067696,12.18178939819336,4676.67,374.418,False,5144.21,11.7823,13382.9,332.577,False,9607.77,26.8229,22.225158203498466,0.08692492399697264,22.12170328498034,0.002486770520155879,21.083624386237595,0.02698151183405405,21.443443558066487,0.003031150402824982
2016 TV197,nan,MBO,MBO,21164732665444182,745174276665507979,21.649221,2.1917412,1.4380635,269.35781633483066,-22.559891693678235,2025042500463,13,60791.284521776055,i,269.35792331353923,-22.559959936391483,10.065364837646484,3521.9,385.173,False,4305.41,6.31077,13916.5,342.991,False,11802.7,32.1295,22.53305747872816,0.11874166992174637,22.314963672598356,0.0015914468675481991,21.041174940156765,0.026759439779427303,21.22004656102017,0.0029556086549185133
2016 TV197,nan,MBO,MBO,21164732665444182,745200679301677197,20.011135,2.1836123,1.3754716,269.5170005658455,-22.719939352568066,2025050100570,5,60797.21047811331,u,269.51692700612,-22.719886698341327,5.035998344421387,1747.81,344.984,False,2019.15,26.6407,1442.19,343.467,False,-199.166,10.1034,23.293764414074893,0.21430339444678903,23.137078528601037,0.01432522174893834,23.502443844408603,0.2585752110253582,nan,nan
2016 TV197,nan,MBO,MBO,21164732665444182,745200686029340699,20.001871,2.183571,1.3751626,269.5167860885107,-22.72086268477909,2025050100620,37,60797.24045999628,u,269.5168187331469,-22.72093895867713,5.708614826202393,1697.76,290.428,False,1587.79,93.2914,1835.21,285.337,False,135.114,13.3896,23.32530925077893,0.1857319070241857,23.398017317280505,0.06379297320571296,23.240785605559324,0.16880941371715028,26.073249134502298,0.10759487130086672
2016 TV197,nan,MBO,MBO,21164732665444182,745200689653219524,19.989367,2.1835158,1.3747493,269.5164351642977,-22.72207599423701,2025050100647,37,60797.28074399984,g,269.51642708801876,-22.72207820034021,17.879100799560547,3025.19,169.315,False,3221.54,0.811702,2892.6,168.678,False,30.7042,4.13444,22.69811838069827,0.06076690446547378,22.629841166586537,0.00027356303268629133,22.74677900867814,0.0633132125437035,27.68200550793504,0.1461985990861477
2016 TV197,nan,MBO,MBO,21164732665444182,745200690055872653,19.988913,2.1835139,1.3747344,269.51642137818266,-22.72211926612924,2025050100650,37,60797.28220231854,g,269.5163935743305,-22.722140767321214,20.229022979736328,3318.77,162.104,False,3632.32,3.192,3300.32,161.519,False,8.49309,4.45892,22.59755710452316,0.053032353836355246,22.49953972458041,0.0009541201780417272,22.603609849410038,0.05313636840537515,29.077335725775264,0.5700176337486891
